Application,Velocity_m_s,Acceleration_m_s2,Force_N,Mass_kg,Energy_J
Physics,214.793,19.12,3942.0169,4031.3879,9643714.8702
Physics,215.4427,5.8805,2849.3494,9606.7283,6673723.2759
Physics,-238.255,6.8397,-1693.1966,3367.1009,6534002.0453
Physics,16.1408,-16.7467,4698.2302,5625.109,5224570.0375
Physics,193.4484,22.6473,9924.2228,753.6816,7765280.9446
Physics,175.6913,36.3515,-3517.8248,4518.5608,9786886.5854
Physics,11.6538,14.9015,3269.0013,7433.7633,3763177.4469
Physics,297.5095,-34.2009,-5392.5229,7164.275,2804647.8607
Physics,243.4247,28.0485,-7060.4602,4663.6573,9947499.1679
Physics,-38.2958,-30.2499,10000.0,8404.7334,5358654.459
Physics,-154.5702,30.8978,-5911.0717,9569.0635,1939253.4734
Physics,-62.8359,11.095,-8352.9014,4564.5722,8909450.1447
Physics,-144.022,-16.2937,-111.0081,3410.747,1015511.8398
Physics,96.6948,8.5462,4675.8001,6232.0556,5478883.0923
Physics,144.4926,28.3643,-9987.3006,9695.4383,7621085.3351
Physics,-218.6335,3.1119,-1271.4766,407.4986,8640584.4953
Physics,-113.3761,-3.4798,-1480.9761,3792.6527,629959.1066
Physics,250.1348,-32.9402,157.0271,4742.5525,6844488.7289
Physics,89.0771,-15.9512,-1683.6636,9879.0978,8220752.4762
Physics,119.5011,4.4235,-6395.3789,8420.7422,6143431.082
Physics,-267.4097,-38.2977,4268.8732,2528.6281,2668890.6553
Physics,-62.2458,25.6632,2504.8812,7988.4608,6646089.4977
Physics,282.4983,37.9277,-8855.5681,1865.2356,8855929.229
Physics,158.1285,28.8165,773.6243,6050.8076,9188848.8649
Physics,165.5511,-1.7877,4592.1277,738.8789,7233482.3018
Physics,232.8388,-50.0,-7507.8348,3925.7169,2026363.6233
Physics,-184.4358,-4.7871,5270.7208,7620.079,2442079.7197
Physics,279.1683,-37.342,-4167.4431,2918.878,3390344.7645
Physics,-33.2736,23.5973,4102.8496,7525.3397,2279863.8725
Physics,187.1164,-34.3555,3344.9787,3087.2054,2516635.5299
Physics,-110.4387,-38.9722,612.4687,637.7199,1971339.4125
Physics,82.4558,0.9696,-5553.2648,8796.0054,1222198.3682
Physics,-259.8083,-29.0933,-4640.9485,4316.4443,5450047.0199
Physics,276.3546,-27.5958,-890.8142,6867.0508,2667156.4442
Physics,-244.7654,42.0529,-9753.0612,6133.2748,10000000.0
Physics,122.8349,-20.7504,-1416.4433,6862.5693,4511309.7395
Physics,-275.8744,42.6479,3723.181,5251.6744,6124065.2396
Physics,17.4363,-25.5849,-9876.5662,5393.6267,9574069.1492
Physics,-127.1216,39.8792,4311.9983,8665.4818,7681160.3793
Physics,-156.2658,-29.9079,-1320.9097,5371.1565,8462534.592
Physics,115.0776,-33.1567,57.5443,8092.5371,8965540.4482
Physics,-58.8357,-22.6955,-5138.6767,4472.0425,8236706.5416
Physics,-115.8138,-10.6549,-1237.5651,9543.9454,8797621.0428
Physics,-43.3267,-29.3465,-239.1382,920.5355,9440173.6595
Physics,-111.0783,9.5827,10000.0,3450.2256,5061823.356
Physics,-35.7646,-3.4348,1824.1855,1668.3467,1482857.3642
Physics,-203.1698,1.4358,1500.5703,3374.0555,8403555.826
Physics,257.3108,18.2614,9911.7766,942.198,8462602.9216
Physics,-61.5129,-0.567,-8818.8034,5171.6103,5864459.9675
Physics,-13.1264,-42.9655,6957.742,49.9275,7608757.1745
Physics,141.7984,-16.3975,5537.5741,6030.4525,8910820.7847
Physics,-219.022,0.3723,-9362.8459,9380.9315,5679059.8079
Physics,-191.7022,-32.4007,-465.0278,1756.9672,5594721.8826
Physics,-206.4831,1.3596,750.9582,6567.8503,8845795.71
Physics,6.4216,-41.0623,-9254.4444,2603.8695,5446641.8641
Physics,44.2211,-15.1688,-1476.7054,1440.5327,8479001.4009
Physics,127.3739,36.9491,7350.1263,8408.8468,8602549.1227
Physics,266.3041,-48.3693,-8771.9113,4675.4606,3333552.7596
Physics,-249.6299,-43.7939,6569.3776,693.6709,10000000.0
Physics,87.2708,-12.0062,6761.3707,5224.3818,8580469.4996
Physics,142.6012,38.7868,-9856.3746,9543.2724,7842085.8042
Physics,105.046,14.7807,8072.3981,7844.5894,3895316.8367
Physics,200.5539,21.5084,4767.1061,5798.2544,1613440.8789
Physics,13.3783,1.3185,8801.8758,9497.4555,3320710.6417
Physics,187.226,29.9452,8193.8837,7873.1091,731858.6616
Physics,-249.7885,-7.9486,-5220.3149,4677.8191,8477953.282
Physics,85.2167,26.1334,157.7294,4553.1004,7244671.0634
Physics,260.211,41.8148,-278.8786,8881.9017,2840817.114
Physics,-26.182,-14.4148,4231.1594,482.5472,1921565.4887
Physics,-217.4439,-7.4617,1265.3378,3189.4556,2816250.1938
Physics,-91.995,-32.9661,8722.6841,4182.7591,4114963.4278
Physics,222.877,-34.6997,176.9806,2220.7679,4819948.4104
Physics,-212.1349,19.677,-2213.9525,1969.4016,690815.7377
Physics,-5.8417,8.8818,9804.7167,5015.4736,602911.0492
Physics,199.2614,20.0049,1800.9489,5499.1558,3272921.9719
Physics,152.8179,-31.1327,-1777.0102,4485.8034,6374125.0362
Physics,14.7892,27.2279,-2988.4158,4154.5885,6780101.2342
Physics,69.1166,-19.8888,3916.7193,7118.6059,7256351.8977
Physics,-137.0034,12.504,7524.0187,7536.4641,5184525.4638
Physics,269.8909,31.4124,-6317.4457,1688.9334,9411344.5807
Physics,-284.2808,13.6982,-2840.59,516.7435,7782303.0765
Physics,-75.6732,-36.5188,-9380.1897,711.138,4841674.3667
Physics,-78.5156,-0.6705,-4464.0363,7399.0502,4868575.9289
Physics,158.9254,-26.3799,8503.2385,132.3634,5356472.5438
Physics,8.8838,7.6754,3444.952,10000.0,3431985.1808
Physics,202.4035,-43.7023,8136.4702,7041.2033,8648837.7146
Physics,-127.1776,50.0,884.1292,5777.8049,5051370.8473
Physics,-208.7394,14.2684,9695.0859,7.601,6444609.3459
Physics,-156.5879,-16.3537,2633.8149,229.0489,2120081.6293
Physics,-190.4445,-11.5254,4477.9877,4196.6249,2728026.0236
Physics,-106.3774,5.2531,6483.2643,3954.0957,9322955.1432
Physics,-151.6072,16.7638,-3203.8502,2706.9699,576554.4083
Physics,73.4488,-25.2022,-4190.5295,1374.325,3522779.4698
Physics,-282.4635,6.4652,-6124.8913,2780.6472,4898255.0042
Physics,-15.8,36.4507,4620.8059,6663.4172,3289899.8138
Physics,-70.6395,31.2587,6493.1494,3968.6944,3474829.6607
Physics,-103.8827,-33.1816,-2422.9401,3452.2334,10000000.0
Physics,-265.2249,-11.1627,-9824.0103,8978.0137,5358147.3817
Physics,141.0472,28.3968,8619.0387,3196.9711,5453930.8285
Physics,-93.6993,-18.6702,4019.424,9075.1263,4193140.4994
Physics,274.5075,22.2507,7520.0323,1005.4637,8174639.7663
Physics,247.2509,25.8176,7209.5091,8743.7017,7538712.7088
Physics,54.5158,-29.8232,522.5424,4682.2486,6802482.6339
Physics,-105.607,19.7057,4885.8966,5607.0297,1542187.2259
Physics,-58.4026,34.5377,6058.2539,6081.5175,966787.4731
Physics,-116.6164,41.9787,-8949.0017,6662.1637,5064829.0075
Physics,113.6049,-24.5124,6648.2122,8151.8572,7940200.8606
Physics,2.4842,50.0,-747.9266,346.6701,851012.5745
Physics,-21.9093,-0.3884,-2658.0036,3044.5923,8994829.0677
Physics,-15.3644,-25.3098,-7197.8736,4542.0957,8336647.6127
Physics,-235.2195,19.5394,-5562.5799,9431.9287,2225946.2244
Physics,90.3885,20.6745,6294.818,753.5192,3957144.1077
Physics,-7.1726,12.0681,7614.9306,3846.9555,644874.2389
Physics,89.9458,-33.4822,9769.0123,7898.9457,194352.2786
Physics,-142.147,-45.844,-7282.6613,9435.6719,4214350.7501
Physics,133.5909,22.9514,357.7184,8199.7182,3582741.8657
Physics,-30.8163,-14.9337,8399.9129,9761.4329,7693111.6784
Physics,-225.7473,-42.3507,-5948.5235,5186.3643,2847487.9177
Physics,108.0439,44.1522,-5244.9901,7467.7128,7663014.6616
Physics,-228.4109,41.8236,842.8553,8961.0329,3267717.5658
Physics,-250.8885,11.8585,1812.2092,4073.622,5517452.3751
Physics,171.0627,-26.2785,-6062.5679,480.6065,8754532.2988
Physics,-23.5839,48.839,768.3128,130.2227,1486411.2266
Physics,-284.0507,-23.8957,8551.7241,9535.9381,3502720.9034
Physics,2.0914,-49.0054,963.6757,60.954,7166428.0547
Physics,239.4391,36.0273,5751.6301,2952.4763,2153492.7025
Physics,-266.3867,-30.7521,5663.8299,8139.6806,758088.3239
Physics,-102.2599,12.5661,-2169.4015,4218.5559,10000000.0
Physics,191.323,-27.9881,5860.7853,1932.1615,3679205.6456
Physics,-137.8077,-6.9721,6135.5398,1544.6118,8835685.3284
Physics,-245.1229,-7.5463,-1654.2348,287.5782,2515706.8909
Physics,-16.7811,-11.7839,5965.843,6902.6298,5386090.6778
Physics,209.2934,-16.0745,9916.7895,3485.982,8934488.223
Physics,-97.3874,-46.894,3227.0556,0.001,707303.6739
Physics,201.393,-28.684,-4453.7867,1137.5645,7424279.3136
Physics,-236.4878,50.0,7209.9112,8283.314,1494024.4513
Physics,-60.8338,-49.4226,-7424.3164,1312.2073,2219420.8338
Physics,0.6611,-43.7961,-443.4912,5147.7868,3276290.7526
Physics,-69.1003,-49.6178,7510.9733,3380.5564,2834093.9744
Physics,243.6138,0.5514,2622.0879,1767.721,3551199.8341
Physics,-112.2994,-43.8811,9155.6408,931.8007,6839328.3006
Physics,226.9766,0.6245,-1685.8054,6331.9537,2760858.5692
Physics,182.354,-16.7113,520.2878,8898.6959,6064766.9482
Physics,147.1957,35.1964,-2263.4971,6109.6867,6118572.5715
Physics,-153.8804,-15.4902,3206.9058,3792.0313,2496212.296
Physics,-71.9163,32.7277,-4313.0094,3066.1664,881124.9228
Physics,47.9598,20.3054,-4179.2237,3639.5608,2528923.0784
Physics,-203.6708,48.0859,4886.3145,3424.4888,6392856.3828
Physics,-20.8503,-6.5941,10000.0,5507.0438,2705304.3516
Physics,-280.689,45.4905,-6449.0366,3846.4957,2149546.8945
Physics,-183.0663,14.087,6984.0201,6055.918,9629889.9456
Physics,214.7304,-12.1586,8715.3731,932.571,9495107.7992
Physics,-300.0,0.9836,5000.2209,2720.0968,4165959.2354
Physics,-75.7,24.3621,-2685.7845,7144.6052,8031698.6985
Physics,264.2451,35.8072,-9313.8176,7600.0793,452600.6353
Physics,169.6048,-8.3382,-9174.2279,6984.9941,9057309.6298
Physics,-189.425,46.3129,1919.1015,3508.5843,3425547.3391
Physics,-115.807,-3.2627,4948.7318,4098.2484,7796171.5499
Physics,136.0583,26.3136,-4171.5572,1988.1043,6496140.3546
Physics,19.2748,39.3739,-560.4005,9211.455,4332283.5361
Physics,179.1043,-28.8926,-4872.0013,8712.3553,661113.6786
Physics,-204.7311,-30.1474,5556.1104,9351.0299,5974956.027
Physics,-82.3694,19.023,5699.7645,5554.3869,479372.3412
Physics,149.2083,13.3646,4954.564,4229.4442,9478475.0591
Physics,-34.1403,33.7571,6659.7394,8654.3646,4148568.3533
Physics,98.2751,5.2992,-6910.393,4038.3517,2961457.12
Physics,-177.7798,23.1971,-1442.3218,2483.904,1911164.0012
Physics,95.672,-29.2996,6894.1118,5019.5407,644632.3571
Physics,-198.6681,3.5264,8565.5163,1589.6004,7238562.7133
Physics,158.7667,-45.8358,5290.5003,7747.5098,10000000.0
Physics,22.6663,15.5019,8100.6869,4454.6589,4536984.43
Physics,-31.8714,46.2928,-9641.4408,6588.2071,6896336.772
Physics,-269.7444,-32.4208,5962.8289,6075.9774,5007442.4694
Physics,86.7586,-37.0514,-6937.1315,5460.486,3563050.1907
Physics,-167.7652,-0.8159,4975.4893,9206.3267,3983173.4835
Physics,-226.4513,-9.381,-8550.5117,387.3405,8781889.3604
Physics,-203.4501,-7.0357,-4283.3104,6139.8785,7625888.9325
Physics,-193.3446,-22.507,3327.5673,2840.7229,8890954.9309
Physics,111.1512,-43.3589,-6379.3041,1533.2726,705412.4338
Physics,-16.2924,39.5327,6026.0369,403.1951,3515182.0781
Physics,-14.4935,-12.2021,-8450.7715,8331.5127,2002128.7105
Physics,-29.0935,-10.3197,7076.8051,4224.9305,1843925.1523
Physics,-63.0166,-10.6118,1637.9111,6699.0033,8799819.9644
Physics,9.2824,-35.8165,-10000.0,8891.2379,9063412.7861
Physics,-205.3661,-33.8684,-4924.6453,8637.9977,5503225.3829
Physics,-138.5889,-46.8266,-943.4906,2557.8967,2606630.2929
Physics,-254.5958,1.7053,2787.6379,6234.6664,9783227.1471
Physics,205.1309,5.0861,3645.0824,3176.611,915501.0139
Physics,300.0,-28.1949,7525.7148,758.8027,7820045.9206
Physics,139.4639,-2.9838,-920.1149,9093.4437,3453811.8031
Physics,-265.931,19.2291,-10000.0,7090.2161,4179772.145
Physics,-11.1361,-19.6064,-5061.799,8166.2996,7935889.6781
Physics,-300.0,-12.7874,-7707.8463,2904.8872,128539.4607
Physics,-136.8269,20.6065,6882.1407,2845.0756,4375164.9122
Physics,-250.4241,5.0052,-7294.7746,2356.459,4183232.6569
Physics,-43.1549,0.0032,-2972.8162,2629.0182,2687749.9284
Physics,-39.499,36.8493,-6791.5438,1100.2587,9633353.6416
Physics,-191.1828,-39.4987,77.6837,7496.4817,5098702.6338
Physics,186.964,3.9682,-6203.5262,9951.8542,4186251.3695
Physics,146.1505,21.5007,5394.9094,9019.0277,6354707.5923
Physics,200.2809,-22.7929,235.5594,1400.018,7506642.2214
Physics,31.1099,-19.1288,-122.2675,2174.4091,2912257.6656
Physics,-300.0,2.7746,8787.805,3801.6069,2615142.9089
Physics,242.8889,-16.9629,-3504.402,1912.9808,232809.8041
Physics,246.0059,-7.6929,-2143.6914,6764.0415,10000000.0
Physics,16.0904,18.6676,2471.0163,7657.5068,633600.8721
Physics,240.5654,-13.8384,-2770.898,7549.1883,4646318.0809
Physics,-153.0951,-49.5383,6111.9595,5567.266,4257986.6141
Physics,13.2757,-38.0964,740.6175,2541.3269,8254635.8365
Physics,117.7552,1.6894,-10000.0,1154.91,262049.2896
Physics,22.2652,43.2952,-3559.8674,5105.5692,3111834.0413
Physics,186.3099,-24.1609,205.8052,8737.1288,7489675.7105
Physics,9.5207,-45.7268,5750.5629,2826.2169,9727525.3768
Physics,-194.3867,32.2742,4255.5841,3295.6508,10000000.0
Physics,210.7766,26.8684,4216.9437,7196.1801,1805417.561
Physics,125.7842,33.0452,6114.1007,3746.0734,829030.3863
Physics,19.4314,-6.8857,-5744.7426,9081.2283,4708020.4708
Physics,-9.5667,-44.2832,-312.2108,8796.4388,299684.3131
Physics,104.8067,-37.5467,614.8608,8968.0965,4760101.4441
Physics,99.2228,47.4487,8930.1863,7753.06,9629753.0476
Physics,-153.8176,36.7684,9529.74,739.8403,8411592.6631
Physics,144.1174,12.9867,97.8784,5354.4084,255296.5589
Physics,214.6175,-46.827,-6793.8214,4843.8135,319997.6824
Physics,-159.9954,-44.0109,7910.6058,4324.2049,3923930.2365
Physics,-30.7055,-31.515,-9431.8888,6749.6009,1141219.2024
Physics,-117.3165,16.5757,-793.3847,7894.2419,3732314.5731
Physics,-172.0468,49.2079,66.0394,5534.9382,7068534.9301
Physics,-233.4464,10.7685,-7357.35,7584.7919,3321253.9666
Physics,215.6137,38.1088,-2767.6114,3139.6393,3852245.0206
Physics,-182.271,25.3708,2773.2074,6219.9998,974700.0054
Physics,104.8448,-23.3078,3841.4111,6372.7219,9247696.3557
Physics,-22.1353,6.707,5380.3104,3213.7508,8585556.1727
Physics,21.015,22.8487,982.7823,5328.969,3815832.8744
Physics,17.9809,-18.8332,-4376.9275,9573.8692,5646465.8757
Physics,67.2531,10.8937,-10000.0,7290.0596,5434650.9871
Physics,189.0483,-36.4738,1807.5052,4547.9484,1997302.8471
Physics,-208.0197,29.3845,1259.3762,6959.4124,2223743.9036
Physics,-101.63,-16.1596,2579.0527,3616.0348,5175248.5899
Physics,-221.1426,-21.1483,8663.5313,3389.4241,4372051.8598
Physics,107.0766,24.8417,-5270.5847,5531.8734,3974459.8673
Physics,-107.6845,27.7951,4221.426,4544.1566,8541383.5449
Physics,156.567,18.9482,-6418.8491,9443.7617,237865.2027
Physics,150.1064,-16.9574,5279.4137,9977.7288,9815301.047
Physics,-270.4452,42.7171,-9658.8366,2709.1073,7968132.4602
Physics,-234.8359,12.3171,-4838.517,1007.7916,8808930.0924
Physics,69.2034,-10.6781,-4902.6897,2144.8208,6415522.6787
Physics,107.272,-14.3704,7485.1043,9491.0116,3190347.9418
Physics,-67.288,-45.8222,939.2754,1660.5148,5064537.5794
Physics,-182.1506,-32.6731,-1980.0371,6349.1972,4432108.063
Physics,-215.4652,14.1188,-4671.3785,316.9332,1885237.3202
Physics,-143.2274,-18.859,-3409.2467,4887.5445,9496026.8014
Physics,-211.0227,-26.7321,4119.1745,3744.8293,3123245.1603
Physics,-111.9526,-50.0,7887.0962,7255.7327,0.0
Physics,-23.7123,33.4145,-8247.9575,4858.4636,4650908.1861
Physics,90.7247,-22.5892,-9080.4139,5015.1381,1135553.0323
Physics,202.2605,-19.0683,1237.7463,6259.2063,8342079.1178
Physics,146.2017,47.242,6097.2132,6696.6613,416909.971
Physics,78.7807,-5.4462,-10000.0,6299.6015,474366.7199
Physics,169.7869,0.4052,2575.0999,9241.5825,7983504.4051
Physics,233.9035,-47.191,6458.9281,1298.8348,1383119.1551
Physics,-155.4159,1.2686,-7879.1216,9198.2041,5683713.4164
Physics,76.8103,-6.8192,-2663.6826,6751.6435,6130794.4899
Physics,-294.8825,37.8417,-7856.4718,1934.2826,9888258.5763
Physics,300.0,-0.5296,-9630.5247,4050.497,2379962.0538
Physics,221.729,35.307,-482.3071,2614.0474,2814096.8203
Physics,-91.4492,23.7631,3521.2228,7290.4403,682494.5811
Physics,81.3734,-48.6588,7449.1108,10000.0,550322.9516
Physics,20.8525,47.5949,-3563.6223,8500.31,4190360.0165
Physics,192.4253,-41.0854,-4899.7198,7969.0792,6243331.9804
Physics,-7.8066,-46.823,2714.2874,4123.473,6966903.3793
Physics,-210.0743,-12.7997,8984.892,4739.4803,7734198.5328
Physics,-1.2924,-5.7505,-6615.9097,2013.2141,5027164.1307
Physics,-249.112,-28.8003,-7441.4717,3496.8177,7632326.7293
Physics,197.0377,-1.4773,7289.5098,6584.7025,1895885.3805
Physics,-176.5975,47.8639,-7320.1304,8770.3987,6497320.4495
Physics,-96.5213,4.4193,-1933.1141,475.6739,7587978.3951
Physics,-230.841,-40.3479,5380.7564,9599.6468,5897259.5911
Physics,-73.0366,40.291,-2415.9643,2411.1374,7691131.3617
Physics,284.915,-38.5984,3255.0038,2028.3519,1203389.8266
Physics,250.9076,-3.7004,5562.3434,3933.9199,4011020.4773
Physics,38.8424,-7.8114,1048.3499,6157.2984,8348295.5058
Physics,85.8198,21.6061,-5226.8714,5452.6737,3090167.4745
Physics,-100.8615,20.1342,-5891.9295,2317.9462,9113171.0596
Physics,-161.6086,16.2992,10000.0,9556.3095,9876377.4344
Physics,-140.7374,13.5852,6727.6629,6131.2868,1756211.5472
Physics,-245.2491,26.4269,-3280.8316,8573.357,1551739.2336
Physics,-25.7404,-32.989,-5833.2298,9200.1576,3607449.1947
Physics,-240.7747,50.0,-4295.475,3837.8905,5569731.439
Physics,-87.6746,3.0932,5872.7194,2224.407,7864814.7489
Physics,230.7731,24.4998,1770.1417,6662.2836,721292.8753
Physics,-84.3423,10.6598,3196.6546,3731.5005,8127977.6956
Physics,-52.2886,39.6048,3055.2038,3601.9568,1488004.6467
Physics,3.1235,8.2071,6828.2065,1209.3492,1025698.8143
Physics,-92.3858,-39.7907,10000.0,8201.6644,6078197.8553
Physics,-239.1412,40.243,2484.2969,8184.3336,635795.9557
Physics,154.125,-38.599,2159.7993,6561.883,763123.578
Physics,-146.1708,-1.5291,-7271.7251,3788.6103,6092722.1807
Physics,-203.4061,-29.6437,7744.0803,9844.5133,7033992.6144
Physics,-258.8956,-39.6169,-8022.494,3798.209,9017504.353
Physics,93.8632,-36.8162,3551.8779,6064.2813,9655928.1216
Physics,-278.6604,37.0421,4738.8741,1404.4716,4326597.3873
Physics,47.7227,-17.3122,-3574.3365,1557.5443,6409604.4824
Physics,-83.468,-13.1484,-8124.4201,9402.7856,7691836.9377
Physics,-10.7791,18.3909,-953.8147,7413.3755,9369020.4439
Physics,235.5411,32.894,-5287.5316,470.1621,361192.0909
Physics,-300.0,31.6232,1843.1051,6323.4502,2260628.2947
Physics,107.4389,14.7022,-9509.6107,402.827,5272157.7782
Physics,230.0444,22.011,-8946.4366,7345.2424,2070241.8538
Physics,-149.6703,12.8025,1223.0084,733.8027,5427663.7481
Physics,-231.4102,32.8647,-7503.1776,3950.1524,6565182.6617
Physics,-86.5964,-14.6046,-2742.5252,3821.5375,7971014.6621
Physics,270.8013,-24.4297,7747.2037,5754.4325,8685820.9633
Physics,49.9741,-27.6226,-10000.0,2013.3687,10000000.0
Physics,277.0212,8.721,-6966.2247,6997.8181,8864510.6365
Physics,-156.3008,-28.1418,8012.6078,4920.6737,3467685.7173
Physics,129.7105,-39.5493,-2341.7536,3012.3709,2907923.8207
Physics,-129.8896,45.6493,-2244.1651,7643.1085,2831944.4258
Physics,18.2654,-10.6575,1484.3595,6324.91,892286.8052
Physics,258.6746,35.7252,-624.5394,8861.928,6816620.7127
Physics,-240.268,18.8128,5420.4717,4827.7727,0.0
Physics,-131.731,-17.1158,-4537.6358,3279.4756,3274769.8808
Physics,-86.8586,-35.9258,-6800.6779,373.3583,8212341.9417
Physics,-273.5623,36.0721,1302.8784,5716.4617,4789762.8558
Physics,-153.5246,37.1129,-473.009,8847.2824,4308129.0106
Physics,-270.9445,-29.8772,-3659.5738,1185.5172,7922634.7535
Physics,-111.9535,16.1766,-2697.3743,9554.1087,3904998.9597
Physics,-290.6147,8.0287,8548.3949,6984.6492,4780560.569
Physics,-286.8598,41.6959,6262.5951,2272.3542,5001012.2705
Physics,-159.2947,11.1786,-5812.9929,9505.382,5090076.9603
