Application,Calories_kcal,Fat_g,Protein_g,Carbs_g,ShelfLife_days
Food_Industry,1400.9493,29.7672,170.1897,142.2925,582
Food_Industry,639.6727,68.3606,81.3912,250.3116,269
Food_Industry,395.2103,6.6439,119.4481,46.593,661
Food_Industry,570.5449,1.1011,122.9415,270.5978,455
Food_Industry,861.0893,89.4665,29.3323,107.5293,380
Food_Industry,90.4759,41.1132,106.1741,83.8297,214
Food_Industry,737.0094,11.5281,114.3503,137.0557,416
Food_Industry,98.4129,76.3686,148.603,45.6634,122
Food_Industry,1161.0953,26.4172,3.0182,276.6592,632
Food_Industry,700.117,94.7865,98.9118,81.025,563
Food_Industry,392.4755,40.9667,184.1272,24.1991,682
Food_Industry,124.6587,4.6019,67.9028,112.3292,328
Food_Industry,902.5261,39.4414,101.9985,15.7492,500
Food_Industry,734.4518,50.0173,109.8044,42.7037,380
Food_Industry,1280.7888,51.9371,125.4717,62.6695,668
Food_Industry,1356.4508,93.1055,102.9033,29.2041,500
Food_Industry,776.6326,92.8551,131.7112,186.9329,117
Food_Industry,437.9664,83.547,162.8944,131.2585,266
Food_Industry,228.1454,7.9194,130.5183,141.0536,7
Food_Industry,118.5111,95.1733,93.0569,76.9949,524
Food_Industry,701.1109,26.624,65.8645,213.865,600
Food_Industry,765.0347,5.641,20.2308,267.6273,679
Food_Industry,408.1909,100.0,178.0057,184.9609,335
Food_Industry,159.7981,7.0228,137.9577,244.5308,174
Food_Industry,1116.2882,6.1434,112.1569,291.1225,7
Food_Industry,861.6407,80.9243,134.3084,230.0874,37
Food_Industry,1329.9701,6.7531,150.5345,120.4374,315
Food_Industry,1194.7851,44.1378,11.3082,204.5986,383
Food_Industry,183.9567,70.8798,192.041,205.4445,296
Food_Industry,1045.8611,27.3748,49.0051,178.26,392
Food_Industry,1371.8324,68.6566,189.5468,184.0613,647
Food_Industry,1017.7191,96.4864,5.8283,125.2898,75
Food_Industry,935.3723,98.2684,146.8271,167.6093,146
Food_Industry,1369.446,50.4301,134.8248,274.021,562
Food_Industry,870.4769,78.0701,60.3213,288.5374,426
Food_Industry,1385.9193,66.4296,30.1744,21.4446,436
Food_Industry,1092.4477,94.4759,35.5302,58.0486,280
Food_Industry,329.4904,94.1517,35.5202,282.0743,157
Food_Industry,193.8311,58.6912,157.757,114.6814,706
Food_Industry,1304.6817,31.0986,50.583,22.4354,505
Food_Industry,950.6631,11.3847,6.383,130.6351,645
Food_Industry,1130.4891,36.0227,102.6693,90.4529,66
Food_Industry,101.7387,70.6567,166.6074,300.0,30
Food_Industry,149.7065,37.0324,106.8108,212.8805,45
Food_Industry,1330.7722,2.8605,9.2173,286.5917,301
Food_Industry,371.2732,60.8832,5.6286,189.1668,548
Food_Industry,1177.8883,39.2505,58.3981,168.3347,166
Food_Industry,131.6657,26.5938,43.8441,7.5545,291
Food_Industry,1052.6747,32.8181,154.9011,181.6066,56
Food_Industry,1331.9681,69.9339,6.6433,145.1362,326
Food_Industry,951.8633,6.7026,18.1968,252.016,582
Food_Industry,1495.1984,38.366,178.7982,110.5914,310
Food_Industry,566.362,10.3738,177.0172,173.7305,575
Food_Industry,58.9076,73.5928,164.7373,96.0638,304
Food_Industry,1119.4635,98.9629,51.8905,22.1634,296
Food_Industry,810.7144,35.7188,46.0214,279.3159,493
Food_Industry,999.8885,87.8219,133.1049,6.9895,497
Food_Industry,1410.8766,90.3877,167.5461,111.2029,423
Food_Industry,427.5431,67.008,116.0259,91.9547,679
Food_Industry,350.9817,11.5687,9.773,261.9678,267
Food_Industry,624.9455,73.7415,162.9408,49.0917,387
Food_Industry,862.0619,39.4125,108.973,267.4957,97
Food_Industry,1290.1382,74.658,88.8256,191.2417,655
Food_Industry,891.6247,30.3509,3.2278,178.545,523
Food_Industry,1250.3229,91.2802,197.4924,218.3456,432
Food_Industry,887.8168,7.2301,103.5521,142.1639,303
Food_Industry,1167.052,97.5732,145.0684,65.862,251
Food_Industry,1174.717,30.3977,0.7512,88.6364,663
Food_Industry,1500.0,21.9521,5.5726,65.1274,200
Food_Industry,1051.2851,61.6791,10.8155,149.8099,93
Food_Industry,186.3032,50.4415,2.0247,294.1815,153
Food_Industry,1266.1463,83.9784,120.8329,88.0324,685
Food_Industry,1034.2396,81.3959,21.67,239.0412,635
Food_Industry,348.3046,59.21,191.3829,73.8377,710
Food_Industry,803.5103,47.4644,186.6261,250.4569,406
Food_Industry,1258.8704,99.7356,45.8176,231.6332,179
Food_Industry,312.305,21.9187,100.8419,77.1332,233
Food_Industry,999.7346,79.4061,90.9011,144.8554,352
Food_Industry,1426.6655,26.2234,74.067,201.7111,3
Food_Industry,906.2426,50.0813,89.341,214.3324,65
Food_Industry,1455.3132,9.6521,65.5484,53.5713,172
Food_Industry,1323.0208,18.114,59.7297,268.2132,524
Food_Industry,627.0956,28.7659,49.7888,81.7249,222
Food_Industry,264.3992,16.2171,158.2122,236.1863,589
Food_Industry,1182.6625,10.8481,33.2805,161.3048,379
Food_Industry,1143.5055,75.4548,22.9633,218.8569,40
Food_Industry,1271.4546,64.0479,11.2554,223.8477,360
Food_Industry,118.2769,58.5936,26.8289,175.353,329
Food_Industry,1458.3248,36.6402,20.8962,200.4251,702
Food_Industry,426.0878,5.0109,51.0822,276.7995,574
Food_Industry,858.2317,25.4514,99.1571,15.4108,493
Food_Industry,258.9466,41.8768,152.469,46.3857,677
Food_Industry,347.8811,58.9165,110.309,200.6614,412
Food_Industry,243.8125,51.7047,109.5433,174.7011,163
Food_Industry,1416.4166,31.1634,173.3845,74.5984,381
Food_Industry,621.4767,14.2312,105.4714,189.7844,416
Food_Industry,673.12,11.6813,101.5534,172.7562,225
Food_Industry,1253.9247,72.9263,185.4512,62.3131,327
Food_Industry,285.4941,34.0402,195.0469,91.3345,658
Food_Industry,1444.002,81.1277,179.4263,80.1296,189
Food_Industry,72.8776,72.8746,45.4729,147.6096,120
Food_Industry,1336.608,19.1804,198.1329,148.5646,40
Food_Industry,721.0687,90.7907,4.6185,41.8295,694
Food_Industry,382.6294,11.8041,34.5806,78.9177,397
Food_Industry,1471.5742,45.7004,134.2498,279.3119,347
Food_Industry,612.0897,63.0343,62.6366,197.6847,30
Food_Industry,992.1657,81.6283,133.9108,123.5008,306
Food_Industry,603.5708,9.4755,147.3259,254.3291,222
Food_Industry,1277.9897,69.2836,1.7445,59.1881,214
Food_Industry,1267.9214,73.6665,73.0362,171.7309,220
Food_Industry,457.5708,85.136,32.7752,31.4793,408
Food_Industry,562.3338,10.7742,100.727,133.1162,639
Food_Industry,975.5937,59.9883,16.0525,218.9765,199
Food_Industry,1221.8912,28.8377,181.6877,22.92,381
Food_Industry,1215.928,72.8408,44.4258,236.9064,720
Food_Industry,735.3291,1.3651,137.6863,53.1298,652
Food_Industry,1500.0,91.3359,30.8357,300.0,247
Food_Industry,236.6816,18.219,190.5058,227.1105,429
Food_Industry,985.7732,53.1563,67.1162,249.7047,440
Food_Industry,667.2593,64.5051,183.6578,106.405,416
Food_Industry,122.675,78.3698,64.7212,40.0149,412
Food_Industry,703.9278,37.8229,79.3961,211.4405,354
Food_Industry,1431.5477,38.4367,60.4631,190.909,724
Food_Industry,1071.1649,85.1065,16.0609,178.9767,546
Food_Industry,158.6938,100.0,5.18,233.5041,442
Food_Industry,716.5271,82.9533,42.3604,56.9366,5
Food_Industry,1013.2942,23.403,10.6646,85.9617,332
Food_Industry,1208.6557,49.5185,32.9676,17.0646,27
Food_Industry,50.0,13.3851,120.7051,192.9995,42
Food_Industry,712.3138,75.7251,20.8294,183.9189,441
Food_Industry,387.3737,61.7643,177.3285,69.6999,255
Food_Industry,1039.8522,36.2565,161.948,9.7031,409
Food_Industry,226.6697,86.1479,55.0035,31.2667,469
Food_Industry,1054.6716,20.0394,69.4799,60.1791,115
Food_Industry,282.0985,42.4122,158.9022,261.4888,79
Food_Industry,712.168,24.282,117.2234,277.1114,592
Food_Industry,200.586,82.8796,176.8434,132.4091,396
Food_Industry,1265.7831,84.1714,125.307,199.6628,55
Food_Industry,1209.445,38.0711,19.4853,224.1295,91
Food_Industry,532.5184,8.4383,200.0,83.656,3
Food_Industry,359.7529,68.6981,111.7286,206.5206,284
Food_Industry,1163.1392,74.8775,7.4598,137.3807,398
Food_Industry,311.0027,98.5794,78.6002,240.6413,687
Food_Industry,554.0727,17.4132,115.1756,113.1968,513
Food_Industry,345.7388,10.5272,122.8376,171.9737,401
Food_Industry,452.8776,56.8448,160.5275,248.8618,699
Food_Industry,728.7464,24.9766,97.637,6.1321,640
Food_Industry,1207.2146,9.9327,56.4942,111.7675,64
Food_Industry,1146.5561,17.4698,115.8066,186.6987,99
Food_Industry,275.2416,34.8032,56.0678,126.0245,158
Food_Industry,737.3132,34.2953,58.7919,195.6072,712
Food_Industry,68.8078,96.8285,56.4242,56.5425,523
Food_Industry,143.401,42.7782,69.2485,16.2986,315
Food_Industry,954.8871,77.7794,176.6602,61.2141,122
Food_Industry,791.3636,9.9713,30.0728,143.2468,396
Food_Industry,1382.1019,0.8398,41.8681,212.7265,317
Food_Industry,1268.064,6.3554,38.6602,84.9639,43
Food_Industry,420.2045,82.5946,168.9707,44.8963,265
Food_Industry,825.8266,4.1533,148.8858,151.8779,130
Food_Industry,1482.8116,100.0,181.9302,274.6183,448
Food_Industry,872.894,33.4025,52.2051,166.5623,585
Food_Industry,541.1831,44.1847,103.7434,277.0736,85
Food_Industry,871.3043,81.4987,74.8002,235.4327,686
Food_Industry,133.154,98.4503,156.1334,52.103,306
Food_Industry,228.8124,35.1805,108.6493,79.6335,408
Food_Industry,1169.1539,60.6008,169.7337,151.5388,389
Food_Industry,1304.8183,66.5041,145.3428,145.0537,512
Food_Industry,301.0019,22.2531,85.2513,114.3809,179
Food_Industry,166.4077,68.9345,77.1561,227.4558,389
Food_Industry,596.2142,93.2253,165.8312,138.8035,485
Food_Industry,1119.231,25.1603,166.8481,76.0245,598
Food_Industry,1341.1545,43.5232,21.4675,124.14,681
Food_Industry,479.764,87.0669,23.3313,36.9397,475
Food_Industry,794.417,72.1326,37.1741,22.7733,562
Food_Industry,311.3661,59.3979,61.1273,169.9648,407
Food_Industry,295.2345,15.9252,48.3444,246.9274,159
Food_Industry,329.6676,83.2526,89.0656,93.1465,374
Food_Industry,724.4147,92.6805,138.6699,11.0948,603
Food_Industry,541.2428,32.6125,37.4181,45.4979,477
Food_Industry,128.9406,59.2702,40.9902,159.7612,17
Food_Industry,184.0652,14.2246,195.7552,196.0087,49
Food_Industry,1015.4757,90.8494,128.5574,242.1922,184
Food_Industry,980.3368,11.3988,71.8988,87.954,393
Food_Industry,1199.2556,40.4169,41.0578,268.6863,645
Food_Industry,1065.0666,51.0538,193.998,75.6949,81
Food_Industry,1171.8949,14.1025,197.6144,214.9433,632
Food_Industry,1443.3576,84.8557,99.136,31.2454,115
Food_Industry,348.0696,82.6896,61.3796,39.592,274
Food_Industry,1128.2588,16.6312,11.6038,222.9817,128
Food_Industry,1391.4786,2.1991,198.0074,144.4056,75
Food_Industry,96.4813,60.3877,179.7888,59.1522,650
Food_Industry,468.1319,96.1429,138.7396,297.6308,102
Food_Industry,1406.4041,32.8103,65.1481,127.9658,80
Food_Industry,1490.3484,87.5986,135.3529,244.6472,476
Food_Industry,431.4115,28.0962,102.0388,174.9288,190
Food_Industry,1295.1079,78.0641,70.2463,243.2192,655
Food_Industry,88.1386,60.3161,161.7774,66.8364,530
Food_Industry,695.5284,26.888,158.5935,0.0,484
Food_Industry,536.6007,99.5041,198.074,65.3705,211
Food_Industry,914.9323,88.6247,122.0859,13.317,144
Food_Industry,1265.3756,18.1052,41.3805,154.739,56
Food_Industry,183.673,51.2779,34.9274,81.6241,312
Food_Industry,1101.0809,89.2005,127.9248,248.4307,364
Food_Industry,1049.3894,93.6554,27.6131,178.67,571
Food_Industry,1179.5238,40.7059,65.146,3.6879,142
Food_Industry,805.3241,61.1268,172.274,138.1119,572
Food_Industry,379.3974,61.1316,198.462,149.8622,434
Food_Industry,89.2499,54.9141,90.8057,131.2739,320
Food_Industry,1442.2589,68.448,6.3847,204.4736,557
Food_Industry,108.759,1.8467,158.2075,215.359,100
Food_Industry,847.9614,52.7098,71.2357,2.9717,365
Food_Industry,464.5548,55.7099,5.7196,190.2445,709
Food_Industry,1052.5474,68.433,41.8443,300.0,631
Food_Industry,138.1405,63.1867,40.0933,73.9555,379
Food_Industry,1077.9334,18.4725,46.9553,223.5775,527
Food_Industry,444.2237,38.161,197.0892,126.6701,598
Food_Industry,904.836,39.1468,134.9685,23.1261,275
Food_Industry,562.9245,68.1046,162.4006,221.8068,497
Food_Industry,352.811,64.4733,62.8402,300.0,475
Food_Industry,530.1639,72.9964,151.7173,226.406,105
Food_Industry,1016.6625,61.646,153.6577,216.2663,208
Food_Industry,74.2326,39.5679,18.9355,269.1687,165
Food_Industry,782.2217,27.1708,41.0413,201.345,488
Food_Industry,344.971,14.2094,16.4153,249.0343,529
Food_Industry,908.583,32.1393,22.8084,246.559,127
Food_Industry,1284.4952,37.2108,185.5239,294.7986,406
Food_Industry,808.2516,66.3853,35.8925,14.2228,28
Food_Industry,676.424,26.4496,47.0284,44.6168,1
Food_Industry,923.983,13.489,161.2492,263.1198,74
Food_Industry,399.8689,95.7789,161.0192,282.3941,654
Food_Industry,50.0,5.1609,167.603,63.843,426
Food_Industry,1072.2343,93.646,1.7238,17.4554,406
Food_Industry,1243.5465,38.5421,164.5631,194.1615,493
Food_Industry,1051.9409,55.4204,99.4725,268.9856,572
Food_Industry,1436.4577,79.1349,99.881,136.2272,142
Food_Industry,211.4769,89.9782,145.9462,257.1594,605
Food_Industry,154.9325,100.0,109.2283,235.6179,455
Food_Industry,738.579,61.4801,98.5808,210.7606,513
Food_Industry,1040.481,64.1859,168.7713,187.3443,308
Food_Industry,823.6289,14.4107,31.8396,50.5006,461
Food_Industry,533.9704,50.4013,80.4571,247.9172,84
Food_Industry,534.0259,71.78,149.9749,265.1625,204
Food_Industry,677.2113,98.4082,149.8277,255.3001,390
Food_Industry,51.1956,4.0622,178.6404,94.6661,452
Food_Industry,932.4523,85.7908,198.4255,155.8936,27
Food_Industry,421.6176,79.2906,25.0438,41.0022,442
Food_Industry,477.4915,44.8064,4.9231,206.5456,105
Food_Industry,1268.9657,38.8018,13.5532,262.5847,333
Food_Industry,988.6965,95.1804,25.4151,208.2821,168
Food_Industry,838.9875,38.2029,43.6988,59.1819,566
Food_Industry,607.7197,4.8204,35.9414,37.4405,392
Food_Industry,697.876,85.091,140.1311,189.365,247
Food_Industry,1241.1897,85.6907,36.2069,264.8154,217
Food_Industry,612.87,57.7226,65.6968,197.4375,173
Food_Industry,472.8208,91.0094,137.2095,118.9109,380
Food_Industry,631.9783,62.0058,89.4814,85.4668,161
Food_Industry,554.9586,11.5047,19.602,282.542,560
Food_Industry,1047.3588,14.3667,152.5378,42.1144,279
Food_Industry,1436.1435,47.8791,164.8094,105.777,223
Food_Industry,132.541,45.2478,191.8061,69.4358,351
Food_Industry,994.8513,48.8529,185.265,97.6173,637
Food_Industry,720.7938,95.4416,90.3123,233.1879,98
Food_Industry,1476.299,52.345,109.462,12.1647,460
Food_Industry,570.9132,63.7851,167.5103,22.5325,679
Food_Industry,108.4177,84.452,73.6963,140.7325,578
Food_Industry,691.2372,83.9184,95.6207,215.634,66
Food_Industry,297.768,70.1449,151.6222,114.9393,79
Food_Industry,347.9957,92.0953,27.822,262.5484,356
Food_Industry,1319.4437,29.9244,60.5893,5.2618,725
Food_Industry,768.7843,86.9566,193.9806,113.7674,278
Food_Industry,1393.3713,28.6801,5.1117,63.1995,417
Food_Industry,565.3596,56.0818,148.7242,288.7903,123
Food_Industry,1075.2882,17.6899,134.1021,268.4645,321
Food_Industry,1240.4698,73.2806,64.5911,268.9296,357
Food_Industry,76.2411,60.1276,99.8217,240.0049,198
Food_Industry,1398.5329,93.28,33.3114,13.1219,478
Food_Industry,136.4333,39.8667,161.7025,261.3245,499
Food_Industry,107.271,46.7573,122.7662,18.41,166
Food_Industry,1189.964,9.1201,194.2241,164.0623,136
Food_Industry,445.7677,73.2463,109.1952,300.0,433
Food_Industry,731.1808,96.2912,165.7829,22.8929,540
Food_Industry,432.1021,84.3267,27.8343,59.2131,44
Food_Industry,1093.0212,70.4356,38.4072,275.5183,74
Food_Industry,631.45,83.7302,89.5263,149.0386,664
Food_Industry,878.1231,34.2895,143.7616,62.5115,28
Food_Industry,1115.2571,56.003,148.6245,104.1653,692
Food_Industry,619.852,10.2934,166.2249,189.163,269
Food_Industry,198.4871,37.6365,7.6965,292.1302,644
Food_Industry,1305.6228,23.0351,65.9816,41.9254,92
Food_Industry,676.2145,5.7061,163.7885,89.9866,179
Food_Industry,873.0116,10.5311,172.248,150.2626,66
Food_Industry,1455.7385,100.0,156.5212,245.7953,646
Food_Industry,438.669,92.5921,109.6224,244.4511,217
Food_Industry,253.1037,72.5657,177.2135,159.3053,28
Food_Industry,953.136,44.5955,143.3105,9.7378,679
Food_Industry,474.1924,39.0889,160.4296,239.6128,111
Food_Industry,1244.8007,70.1786,103.3156,259.0308,577
Food_Industry,1290.8259,24.9675,172.1997,212.9982,662
Food_Industry,219.9176,28.3801,28.9508,286.4383,290
Food_Industry,1454.5824,90.9056,21.7322,167.6973,635
Food_Industry,1151.6203,7.3701,16.5008,178.9023,231
Food_Industry,155.7414,7.9004,107.6605,278.5446,175
Food_Industry,1481.4177,47.1144,63.8197,294.3083,688
Food_Industry,105.0347,42.0171,63.6983,248.8076,463
Food_Industry,228.2672,38.4745,12.6212,14.2252,124
Food_Industry,405.9613,46.4185,89.9469,165.7819,198
Food_Industry,937.9535,29.4742,19.2331,300.0,428
Food_Industry,1383.5845,22.0667,165.8242,223.0658,224
Food_Industry,422.3288,5.6228,23.3661,160.1453,393
Food_Industry,537.8555,16.9328,103.6026,207.1246,74
Food_Industry,173.5225,4.5336,158.2962,168.9805,375
Food_Industry,917.7379,34.4892,111.5493,178.6797,242
Food_Industry,1121.5496,1.4844,21.5708,281.0943,298
Food_Industry,769.6236,29.9249,79.804,234.421,36
Food_Industry,466.9716,20.3304,181.97,94.7328,11
Food_Industry,526.013,65.6365,63.1303,22.8916,570
Food_Industry,1255.2683,65.8361,106.8025,257.3969,663
Food_Industry,1213.6518,41.9419,126.989,0.0,238
Food_Industry,1084.1452,71.9567,27.6243,64.7561,523
Food_Industry,904.2824,36.9415,189.7803,200.6952,409
Food_Industry,377.5716,15.1225,143.4229,133.657,376
Food_Industry,1313.4126,3.8601,117.0912,112.1268,288
Food_Industry,890.0635,3.3181,46.0603,109.6982,539
Food_Industry,1270.9711,54.3485,43.5117,261.0046,408
Food_Industry,368.4365,80.0539,52.5823,246.563,452
Food_Industry,953.9586,61.5456,169.8849,84.1062,36
Food_Industry,1051.7546,31.3513,140.208,294.8166,266
Food_Industry,840.524,52.3634,187.7223,193.0399,93
Food_Industry,69.618,86.586,180.0191,197.106,593
Food_Industry,737.4355,82.3741,124.5673,199.5075,229
Food_Industry,829.9072,62.6891,151.3034,289.8109,43
Food_Industry,960.6468,62.8091,163.0339,238.5227,375
Food_Industry,482.5845,44.0515,113.1961,300.0,140
Food_Industry,1294.0728,98.5678,26.3403,217.4375,529
Food_Industry,924.1573,72.9559,18.5964,266.8561,58
Food_Industry,1414.6338,57.1209,61.0641,290.7963,576
Food_Industry,906.098,92.2576,72.6235,194.2866,23
Food_Industry,923.5825,23.1682,118.8604,49.76,542
Food_Industry,1204.1557,4.3163,60.3837,148.4944,131
Food_Industry,1257.6663,9.3166,47.9385,150.5408,226
Food_Industry,737.3317,93.9883,48.418,93.6328,337
Food_Industry,123.3473,5.4373,17.1399,104.534,310
Food_Industry,1163.178,62.8493,92.284,143.7527,576
Food_Industry,1152.7882,83.7512,54.5886,127.0229,333
Food_Industry,1376.7152,49.2414,26.297,203.3259,502
Food_Industry,609.549,25.9518,157.3032,25.6637,108
Food_Industry,962.2274,78.5006,125.4293,105.2005,322
Food_Industry,877.7279,95.4869,66.9896,274.7776,394
Food_Industry,682.0016,12.4948,95.2092,130.6828,519
Food_Industry,859.9669,72.1758,60.4649,22.0798,347
Food_Industry,652.4298,74.2182,200.0,51.3543,596
Food_Industry,292.6564,62.4198,47.0887,252.3244,323
Food_Industry,837.8644,28.3798,117.1669,152.778,134
Food_Industry,260.7877,13.3444,199.1813,65.8894,114
Food_Industry,997.827,5.5934,144.3402,146.4069,211
Food_Industry,1179.2658,74.3093,177.1866,0.0,301
Food_Industry,254.4059,64.4106,75.3429,33.1764,548
Food_Industry,359.2476,31.9096,71.0149,83.7129,598
Food_Industry,424.7911,26.7889,115.2815,115.7265,594
Food_Industry,453.4248,50.7859,65.4653,13.9365,297
Food_Industry,1229.6265,4.3854,109.6604,110.8035,158
Food_Industry,599.9776,49.0951,193.2572,32.674,520
Food_Industry,728.4191,45.6881,162.4284,245.6828,390
Food_Industry,1500.0,32.8035,132.6805,161.987,234
Food_Industry,1071.8615,24.9955,3.2423,77.8584,480
Food_Industry,443.0074,25.3923,124.046,76.4618,564
Food_Industry,436.9726,27.0472,28.5724,16.6727,69
Food_Industry,108.0681,38.9916,100.0116,237.6652,121
Food_Industry,249.9098,53.7987,5.6893,99.174,495
Food_Industry,959.0712,87.3309,56.3683,247.9953,496
Food_Industry,1495.6109,1.4178,191.9232,293.3043,386
Food_Industry,1049.0851,7.427,86.3424,176.6411,53
Food_Industry,534.694,90.5529,150.9128,54.6887,104
Food_Industry,1360.9445,62.4372,149.8568,205.798,261
Food_Industry,327.8856,0.0,79.945,139.1198,228
Food_Industry,807.8574,74.4563,134.4637,197.6533,451
Food_Industry,1232.1141,68.5232,8.6157,237.0229,572
Food_Industry,1230.8589,39.2869,138.4213,206.2642,718
Food_Industry,1435.6948,79.9621,173.4799,195.9428,399
Food_Industry,71.5167,39.5787,20.0481,186.4459,9
Food_Industry,1500.0,13.1176,85.2129,63.5336,365
Food_Industry,502.0239,22.7644,11.3645,242.5148,98
Food_Industry,107.6614,23.2737,172.7719,124.9937,646
Food_Industry,1499.2023,81.1488,92.8335,193.3415,320
Food_Industry,1318.0491,1.3622,70.985,64.6188,384
Food_Industry,332.1379,77.0268,119.0447,214.4204,445
Food_Industry,396.9418,74.2269,194.2535,115.4892,624
Food_Industry,1104.0827,91.4403,47.7406,61.7961,674
Food_Industry,1444.8428,96.6811,162.2484,18.8811,515
Food_Industry,1014.6122,56.6521,28.3439,275.6663,235
Food_Industry,470.0978,63.5925,168.9998,0.0,517
Food_Industry,924.01,43.1332,171.7076,26.4812,352
Food_Industry,159.5455,18.225,154.6084,24.5212,298
Food_Industry,421.9425,41.5252,5.3826,287.5505,409
Food_Industry,1424.1938,18.6978,34.3822,285.1457,75
Food_Industry,472.943,64.2506,146.0149,293.827,706
Food_Industry,563.1401,89.5965,105.9851,208.8275,36
Food_Industry,838.85,30.1059,31.6191,285.9353,7
Food_Industry,509.7851,41.2067,109.7787,97.8244,342
Food_Industry,234.4515,31.5957,22.0998,283.6969,151
Food_Industry,691.4542,20.3335,183.3721,69.1091,346
Food_Industry,96.6312,23.7326,146.3503,57.1262,718
Food_Industry,610.1584,85.1656,69.032,203.7079,557
Food_Industry,425.7529,96.9501,183.5434,276.3114,468
Food_Industry,962.3305,32.158,165.6418,75.2187,390
Food_Industry,282.753,26.9578,89.4203,268.3324,669
Food_Industry,1122.4208,76.6442,185.7295,266.9577,666
Food_Industry,605.1166,63.0063,147.4598,8.6636,472
Food_Industry,807.2012,83.2844,19.3587,299.4301,250
Food_Industry,565.8249,89.708,189.1718,236.7604,467
Food_Industry,187.0006,67.3394,134.8882,171.7854,654
Food_Industry,256.3959,0.0,2.3648,62.2747,682
Food_Industry,366.5512,43.2373,52.271,180.0936,423
Food_Industry,996.4992,79.7601,93.123,207.0457,109
Food_Industry,425.551,22.9607,60.6876,120.0271,700
Food_Industry,956.1659,39.5888,195.7797,208.3206,134
Food_Industry,355.3571,65.1646,166.0512,210.5468,151
Food_Industry,1137.7685,12.1925,27.8783,147.7461,76
Food_Industry,387.9114,56.8201,156.1422,23.1003,685
Food_Industry,1316.1622,10.6945,150.5127,38.217,8
Food_Industry,846.5673,87.9031,150.8686,102.8427,508
Food_Industry,450.2829,56.136,132.6741,5.5678,194
Food_Industry,1467.3226,13.8538,63.3257,43.3333,127
Food_Industry,212.9302,75.5444,7.2001,267.5678,516
Food_Industry,1443.8116,59.6059,21.9568,266.034,565
Food_Industry,130.3343,57.9882,162.1393,76.0904,547
Food_Industry,883.0592,89.0917,50.455,241.1464,148
Food_Industry,1184.8733,58.5101,12.7134,222.1943,255
Food_Industry,1150.0842,95.4264,141.7741,100.4531,471
Food_Industry,1078.5959,23.9803,142.9891,145.6325,49
Food_Industry,113.5573,51.648,131.648,213.1341,386
Food_Industry,560.395,73.3573,174.95,258.1864,219
Food_Industry,495.0216,43.7115,133.8726,16.0413,356
Food_Industry,149.3986,98.3211,147.2179,154.1295,556
Food_Industry,1154.3224,32.0758,73.9764,61.996,25
Food_Industry,457.2698,53.2715,177.0731,111.8801,425
Food_Industry,1449.8446,9.103,167.6052,56.2127,326
Food_Industry,984.411,49.2561,188.7192,265.5619,608
Food_Industry,961.2762,13.389,54.8781,151.9034,92
Food_Industry,189.6907,75.6481,72.8396,22.9625,604
