Application,Distance_km,Delivery_Time_hours,Fuel_L,Load_tonnes,Stops_count
Logistics,89.2548,229.2984,529.9027,61.9751,46
Logistics,551.3308,89.47,4661.1023,0.0,6
Logistics,1074.2441,21.1554,3857.6527,32.287,97
Logistics,522.7272,165.1605,789.2689,40.9176,47
Logistics,1362.3895,29.3512,3592.9326,27.9923,56
Logistics,826.4269,65.1638,4618.3871,96.6325,52
Logistics,1844.9284,207.3373,4358.2312,75.5368,10
Logistics,1192.351,96.6529,2642.7298,6.3294,98
Logistics,1201.2204,87.714,2125.3299,45.72,34
Logistics,1831.1992,61.8968,1264.5217,63.7598,15
Logistics,1343.3482,177.7241,4387.0778,21.0105,52
Logistics,534.7409,80.7757,3782.0872,50.5116,60
Logistics,772.2289,181.9017,982.9361,58.0978,50
Logistics,1008.6949,144.3636,2603.8761,27.9838,37
Logistics,558.8829,63.6268,1910.6061,5.1861,82
Logistics,1644.2941,89.6534,2818.1092,69.2715,74
Logistics,1794.1816,173.2574,1095.3114,40.3757,93
Logistics,1008.5161,170.2657,1954.1197,33.7036,98
Logistics,564.6717,62.8817,1401.0556,0.3998,97
Logistics,1.0,161.7774,1126.6519,60.2718,25
Logistics,1478.0708,65.2396,4278.0599,69.6347,11
Logistics,498.8305,230.8709,1118.6973,36.3679,80
Logistics,989.0954,163.8075,3035.2761,60.4293,43
Logistics,1559.6141,62.5096,4587.6537,65.9882,87
Logistics,558.5173,5.0314,3259.6301,97.391,96
Logistics,1414.4809,45.9691,3670.4511,93.0042,19
Logistics,1527.8268,196.6061,1937.1793,31.4403,100
Logistics,1979.3302,54.1331,4228.4067,52.0108,44
Logistics,1587.9093,95.1315,4585.3317,60.8472,81
Logistics,384.9352,149.7209,1354.9482,34.1834,40
Logistics,396.108,164.0274,1782.6659,14.3303,78
Logistics,1332.2554,189.8394,2672.1168,55.5413,33
Logistics,1858.6771,70.3023,1766.2747,4.9413,45
Logistics,534.3923,44.6439,3159.6858,29.3095,23
Logistics,960.5138,103.8515,3165.0434,11.5234,17
Logistics,1658.202,233.7323,2884.3299,38.3259,41
Logistics,1952.4044,117.8799,793.9685,0.7305,27
Logistics,1312.6804,171.2688,3183.7005,2.1715,14
Logistics,451.3281,226.8508,293.7356,8.8836,68
Logistics,1959.0153,226.931,1400.1883,37.949,93
Logistics,1819.8747,37.6309,3120.785,26.9915,52
Logistics,849.078,134.1611,3460.6355,100.0,24
Logistics,1488.4179,77.9425,4312.0495,5.958,68
Logistics,1556.2309,74.0973,4886.4509,58.6947,26
Logistics,644.5193,96.4911,2472.2498,82.4235,36
Logistics,1329.1305,145.1627,2802.9602,14.8137,79
Logistics,1969.971,235.4463,3841.5158,65.2966,31
Logistics,971.215,92.2158,3780.5673,62.3617,27
Logistics,1589.1902,18.2284,520.4339,58.7855,3
Logistics,1938.9731,23.7506,2951.4961,29.109,93
Logistics,1272.7015,173.4002,420.9863,90.3387,1
Logistics,1551.5404,147.298,3418.3463,28.238,15
Logistics,886.0205,81.5327,3609.5826,70.4918,37
Logistics,745.7039,131.9345,3806.029,42.8267,21
Logistics,1051.8122,9.5065,949.6328,94.1822,27
Logistics,1497.1657,142.6668,4559.7524,89.5557,23
Logistics,269.3819,210.901,2975.3322,26.3012,97
Logistics,98.3341,133.7495,422.1415,44.5954,100
Logistics,1767.8601,45.4287,4692.9011,9.6474,9
Logistics,1332.1993,161.3493,3911.5686,47.4477,24
Logistics,1172.0167,79.0815,4191.8435,6.0846,8
Logistics,1196.6179,190.9994,322.3517,81.0435,43
Logistics,1724.3329,113.2828,3549.7805,84.5789,3
Logistics,526.7373,174.1256,652.3707,71.3354,28
Logistics,1484.414,7.4832,1600.6547,62.7971,71
Logistics,2000.0,162.2725,4815.5103,57.813,1
Logistics,861.0373,180.7921,2942.2343,39.9454,20
Logistics,1721.0363,165.8916,774.6451,2.4137,8
Logistics,1079.1158,218.8104,4181.4337,1.5491,91
Logistics,204.8389,126.105,4742.0839,76.835,85
Logistics,944.4241,211.0418,4043.1234,89.0742,50
Logistics,792.0713,142.3261,3863.7715,39.5786,85
Logistics,865.6075,132.4102,4333.3775,96.6409,19
Logistics,1670.6987,40.851,4216.345,23.5817,19
Logistics,1772.0962,66.1366,3585.7133,87.0911,85
Logistics,1283.8011,141.0805,4367.2906,14.0093,56
Logistics,1940.738,147.9283,1488.9344,40.4582,3
Logistics,1732.155,208.5607,1659.8136,54.5412,82
Logistics,494.7757,103.8154,2236.1007,76.159,73
Logistics,1944.8494,41.5404,2234.4346,77.3533,99
Logistics,1708.72,124.1659,1325.9796,55.2568,88
Logistics,1046.7488,34.8263,2503.2092,59.5807,26
Logistics,640.6054,103.8442,2038.6547,33.6068,88
Logistics,1763.9728,119.7925,4896.7657,77.4832,29
Logistics,715.0126,67.8305,2986.3999,55.4824,48
Logistics,549.279,29.0016,2966.0879,98.5936,79
Logistics,1916.2713,3.314,3167.5177,79.508,52
Logistics,874.8658,0.1,3882.3414,47.2052,49
Logistics,1246.6507,134.1078,1888.865,44.353,10
Logistics,834.4748,139.9742,3701.7087,85.395,46
Logistics,491.0909,226.1485,1271.8317,65.4263,19
Logistics,810.9733,47.4762,5000.0,0.0,81
Logistics,1172.5846,52.2657,1434.9396,66.4225,31
Logistics,1672.003,201.5893,3940.2243,46.0749,8
Logistics,1880.7708,235.7683,1558.5023,50.6057,15
Logistics,1993.6008,107.0026,393.9315,77.3983,74
Logistics,1451.3988,26.5406,2502.1761,9.1211,100
Logistics,1721.1772,164.6681,3062.9674,90.2638,25
Logistics,1955.7421,15.8696,164.1903,40.7552,52
Logistics,448.9181,195.371,4158.038,87.6543,9
Logistics,214.9946,92.9115,4329.2856,48.6178,95
Logistics,801.3926,181.5818,3234.1966,95.116,97
Logistics,1701.636,214.676,1877.7292,62.2708,36
Logistics,1552.8774,193.3818,80.0135,21.7645,13
Logistics,272.8603,3.0378,3252.0153,49.534,38
Logistics,576.8515,200.4313,3567.7453,38.9625,74
Logistics,774.1648,68.9534,1060.7472,87.5961,89
Logistics,1614.557,69.153,3942.1956,38.5066,28
Logistics,962.0392,103.7957,783.0497,57.8606,58
Logistics,1754.5321,80.6867,1333.9491,15.1585,80
Logistics,1595.4121,135.4129,352.2803,98.042,43
Logistics,1825.3406,232.1911,1677.3171,98.374,2
Logistics,1719.0899,136.3439,3742.7136,22.1764,7
Logistics,346.5992,231.3772,3910.4165,9.9275,2
Logistics,1081.3942,138.45,4488.1781,56.3795,45
Logistics,1382.4246,159.5532,4858.792,68.153,53
Logistics,1479.2171,8.3134,2545.4235,16.7922,1
Logistics,155.5121,24.9952,2152.8689,88.8112,65
Logistics,963.2077,38.1031,2756.5272,52.0459,92
Logistics,31.8243,83.9313,2146.1075,32.2206,18
Logistics,929.1351,133.5789,9.4954,67.7837,90
Logistics,1971.7546,77.2999,264.8137,31.6083,76
Logistics,765.2171,26.29,1694.1738,17.3956,4
Logistics,675.396,122.6304,1231.7739,43.7565,81
Logistics,957.4537,126.1101,3035.9082,22.9197,5
Logistics,1980.1553,127.3158,3388.2239,95.4236,8
Logistics,511.3882,119.9588,3317.6472,39.4312,56
Logistics,1815.3116,231.5935,2376.0512,4.8223,96
Logistics,1408.7573,18.1416,4766.1012,80.1438,58
Logistics,426.833,234.7935,2389.8616,74.1781,86
Logistics,122.7614,200.5726,4213.6265,14.9136,0
Logistics,1872.7812,144.0798,3397.0412,46.1383,0
Logistics,1332.9299,191.6193,264.8102,48.0992,78
Logistics,167.9736,172.429,4076.0098,27.9364,51
Logistics,1505.8995,169.6574,2950.1464,19.2385,75
Logistics,731.9065,192.778,4086.1974,29.9807,14
Logistics,1938.3384,161.7418,2704.8751,93.9381,48
Logistics,1867.7039,171.8252,3550.18,42.8829,77
Logistics,217.0393,224.5454,4308.8285,56.0057,2
Logistics,969.873,98.9811,4486.0171,83.1962,22
Logistics,389.9977,49.9225,1149.5522,25.2674,82
Logistics,1237.138,80.7863,4518.9238,0.0,19
Logistics,680.694,60.2725,2534.9887,56.4908,21
Logistics,1001.3286,110.2521,4599.1304,98.2076,57
Logistics,1955.1092,68.1862,1228.165,80.7812,89
Logistics,745.2036,65.4727,3879.7673,24.7492,95
Logistics,1594.7613,139.4939,1890.7983,73.9382,94
Logistics,827.7996,218.6764,3924.6346,59.1731,21
Logistics,848.7802,234.9484,3453.761,87.5282,38
Logistics,1470.1573,134.3671,192.3871,73.3739,51
Logistics,995.49,16.2861,647.7823,48.5097,25
Logistics,1176.9015,89.4048,993.845,19.2151,5
Logistics,345.5233,225.8795,1061.9841,35.9739,20
Logistics,1176.1515,236.3276,3260.8211,70.6723,35
Logistics,361.0841,223.6688,1802.3797,47.6968,52
Logistics,1314.9898,128.2885,4242.9681,75.2043,82
Logistics,1406.0275,20.2699,2818.3764,27.7469,70
Logistics,413.2739,128.3729,3111.5668,23.1195,49
Logistics,510.0001,126.1329,774.0527,51.1736,27
Logistics,1566.1824,35.1353,110.7162,44.0076,40
Logistics,1355.8359,130.2876,829.8805,32.5076,22
Logistics,939.9539,97.9302,1501.8946,15.7377,76
Logistics,1930.425,148.8833,946.0896,42.6601,64
Logistics,1842.8203,182.7064,311.5494,32.737,51
Logistics,693.7386,173.9763,1472.2149,54.7579,13
Logistics,1328.0492,238.0745,1508.4271,37.1362,99
Logistics,1755.08,119.3539,4070.0493,1.8542,39
Logistics,672.4754,202.2792,4107.3306,91.2127,81
Logistics,1.0,238.1501,3939.0568,7.7939,98
Logistics,240.0763,189.117,4164.695,73.5855,5
Logistics,1386.4318,25.623,2457.0727,42.8473,5
Logistics,1316.1584,156.1713,3290.0433,86.777,10
Logistics,815.518,95.9499,1947.3765,88.9301,24
Logistics,847.9979,89.4515,1279.1442,8.2195,13
Logistics,1826.8969,38.4545,1088.7305,80.5408,4
Logistics,921.4775,158.2335,4324.144,11.1779,70
Logistics,330.2639,186.6807,3181.092,13.0604,81
Logistics,1117.0735,140.4019,4173.7559,57.3667,78
Logistics,185.7958,174.943,857.2506,30.702,27
Logistics,713.2823,49.2064,3400.1052,12.2734,74
Logistics,1049.1935,67.8199,1185.1692,4.0039,78
Logistics,1991.8031,131.2404,238.1502,24.8346,69
Logistics,905.5652,232.9953,3888.5178,93.8749,80
Logistics,575.4516,217.7921,4571.7341,5.5054,27
Logistics,746.5351,151.1336,4288.2279,62.6313,76
Logistics,1421.0126,190.573,2560.7647,35.0209,19
Logistics,1820.162,93.5225,2697.5316,26.7636,83
Logistics,646.1001,63.9967,992.8723,19.4624,36
Logistics,103.1271,184.9813,767.0186,0.0,7
Logistics,896.1186,208.5849,2515.6282,92.6175,9
Logistics,98.6967,7.3406,2486.8817,60.8283,89
Logistics,1789.3377,102.1555,1934.0784,61.5817,38
Logistics,156.1756,132.8443,4234.6982,0.319,40
Logistics,240.8456,162.9431,3445.9986,90.0527,0
Logistics,1452.979,51.2825,3615.6212,16.2684,17
Logistics,846.7415,85.174,4053.9462,83.9083,68
Logistics,401.2088,136.0345,3519.0131,57.5154,32
Logistics,372.2262,214.1878,834.5307,19.0537,33
Logistics,1968.0903,97.7401,3765.0792,58.4636,78
Logistics,150.2,239.2034,988.8419,40.9375,63
Logistics,165.0711,57.8025,2485.9962,97.4459,24
Logistics,1956.0566,153.3731,4227.6199,99.5376,13
Logistics,346.8595,183.6741,374.7733,27.6421,79
Logistics,327.2979,200.3325,4834.2239,96.6127,17
Logistics,223.6718,44.6127,2146.2056,60.4368,77
Logistics,1404.6366,2.9941,504.5184,74.247,23
Logistics,186.4402,86.5789,4911.7145,33.3785,37
Logistics,412.6383,110.5886,2674.0766,81.9002,80
Logistics,1714.5146,23.9855,2975.0944,84.1725,7
Logistics,603.4579,52.6974,613.6114,99.9121,88
Logistics,298.739,83.803,1841.9944,55.0058,54
Logistics,193.9837,174.4427,4965.3315,26.408,51
Logistics,1613.6396,85.3603,1611.3268,36.0771,74
Logistics,763.7692,170.7653,1773.0588,38.6121,2
Logistics,1466.7142,200.5355,2758.0882,77.1066,7
Logistics,761.5292,219.0951,2400.6055,56.7329,80
Logistics,1863.4603,180.5228,986.9822,0.0,89
Logistics,1182.4609,155.1144,791.9652,26.0809,68
Logistics,1905.9553,151.5631,2406.1572,62.5657,52
Logistics,1182.0724,225.7825,757.706,33.1325,21
Logistics,936.6925,220.5759,3364.4713,45.1613,48
Logistics,1160.6946,75.533,1705.5059,23.9537,51
Logistics,1997.556,196.7295,3749.3935,44.9626,1
Logistics,1732.1564,236.6474,2741.4477,64.1107,36
Logistics,1519.7472,10.6428,449.2391,24.856,87
Logistics,1665.4786,147.0417,1422.011,53.5973,63
Logistics,1865.6339,54.5967,3500.8697,73.3736,55
Logistics,717.5034,163.5176,4996.3843,15.8713,95
Logistics,1471.7717,228.0648,4283.3709,12.1924,23
Logistics,1224.2132,48.8261,1069.1266,95.2407,29
Logistics,659.1651,21.794,464.7512,16.6799,4
Logistics,958.8645,10.5325,0.0,65.4486,54
Logistics,380.1451,152.7177,1221.712,30.0378,14
Logistics,1147.6293,152.3329,2848.9948,49.251,84
Logistics,359.0906,67.435,3659.7243,87.2667,39
Logistics,1460.5714,155.4063,581.4181,88.4119,43
Logistics,1037.0452,23.4848,847.0693,3.5792,36
Logistics,1056.7867,80.5547,1427.1322,93.4485,27
Logistics,1853.059,210.2962,1952.4784,21.5475,83
Logistics,1590.6784,240.0,723.1579,78.3807,40
Logistics,1778.043,240.0,4780.4032,83.5598,29
Logistics,1353.2717,57.2201,3167.2744,86.9811,19
Logistics,910.0569,43.3176,2082.4649,45.5762,68
Logistics,65.4313,84.2605,3668.9644,43.1764,89
Logistics,921.8184,189.0989,935.8114,96.7767,43
Logistics,1459.9495,196.4705,357.3511,74.3409,46
Logistics,1301.9739,83.1819,2629.7005,27.2553,31
Logistics,652.6739,87.201,377.3205,95.2951,99
Logistics,1000.791,61.5929,103.399,30.1094,48
Logistics,348.2561,85.4857,3116.33,28.8185,30
Logistics,925.5568,206.6508,4425.0413,7.1494,20
Logistics,251.9718,129.4568,3737.6693,85.0272,86
Logistics,27.9942,227.4908,4392.5748,38.6231,28
Logistics,506.5174,175.3774,1257.5988,46.7464,21
Logistics,760.5299,169.0016,366.341,58.2213,93
Logistics,1322.2393,233.529,1552.5617,69.1095,82
Logistics,1478.5347,226.792,3947.7006,29.9203,25
Logistics,1221.0804,22.2075,276.9804,97.5878,36
Logistics,1066.737,54.4987,4831.826,0.1603,85
Logistics,1243.5877,154.0625,1697.4708,11.6528,35
Logistics,932.8345,93.0816,2850.7548,50.1563,71
Logistics,350.0533,158.4898,3418.285,92.0441,64
Logistics,470.3464,200.6274,3673.3509,37.3202,83
Logistics,475.2287,228.5263,1747.4747,66.0468,42
Logistics,1441.5838,113.0422,2508.6543,67.1772,7
Logistics,1763.6437,71.2809,0.0,91.9729,7
Logistics,235.9085,224.6857,2753.1553,36.2246,1
Logistics,1291.3776,175.6946,1801.0086,97.483,30
Logistics,242.6722,120.5859,3855.4061,14.7352,71
Logistics,1676.3805,139.8847,4431.1976,70.5394,72
Logistics,1341.1199,217.3544,3267.484,44.4653,96
Logistics,1979.999,25.6486,4087.2817,5.8926,24
Logistics,709.1831,154.9908,3402.5168,63.9205,0
Logistics,142.4253,202.3113,3510.3233,28.8642,49
Logistics,1893.1759,112.6294,1344.0047,71.2275,49
Logistics,1297.7433,185.7803,1181.8157,8.7809,9
Logistics,292.0537,126.4378,4829.792,54.6245,80
Logistics,640.6016,112.7718,3866.1205,45.6153,55
Logistics,1745.9418,60.6095,1250.9702,59.9138,88
Logistics,1275.4649,207.4037,2648.2155,8.7526,50
Logistics,735.3047,230.8233,3965.4705,62.4735,20
Logistics,1613.6825,20.5098,4740.5275,15.003,2
Logistics,1172.6031,111.3581,2468.3532,51.7756,69
Logistics,1345.7771,108.7036,4175.929,0.5701,38
Logistics,1865.9893,72.9586,3486.4414,35.7436,7
Logistics,2000.0,122.0265,2327.8562,62.3862,49
Logistics,1149.8353,130.439,2296.0934,21.7873,80
Logistics,1226.1965,85.0987,4082.2758,22.0187,86
Logistics,659.0892,143.0703,3140.5186,29.997,52
Logistics,1773.3514,214.5718,3961.9794,0.0,19
Logistics,49.5868,218.1585,2879.5677,29.9782,16
Logistics,1766.1034,145.963,4115.4462,27.6219,34
Logistics,295.5645,63.4444,4935.7216,51.0884,74
Logistics,1875.1133,10.5475,4237.2633,54.1352,28
Logistics,552.816,27.5487,3336.8769,24.4489,80
Logistics,1487.1851,118.0359,4062.0363,47.724,23
Logistics,326.0712,37.2271,2505.4556,40.209,68
Logistics,1299.4839,90.7455,3781.2166,1.9681,13
Logistics,934.2937,19.6665,800.6871,30.9086,3
Logistics,1469.1812,213.982,4898.0094,73.935,58
Logistics,1328.6022,71.9644,1828.4996,86.3101,57
Logistics,1718.5243,120.2658,4590.4227,92.9209,68
Logistics,1796.472,198.8767,1052.7162,17.4091,76
Logistics,957.1984,40.9016,305.1486,32.9739,9
Logistics,1081.3318,192.8785,2694.6807,90.3873,83
Logistics,1822.5499,188.5831,411.7142,41.9242,8
Logistics,1506.0095,194.9082,2148.8402,13.548,26
Logistics,183.7562,79.3559,1214.4185,54.444,99
Logistics,1614.6809,17.7084,3835.9395,35.1079,9
Logistics,1107.0037,171.8641,2582.8376,93.5582,2
Logistics,1675.1534,228.3508,1030.2346,1.4111,98
Logistics,1858.9528,169.3036,2763.5505,0.0,10
Logistics,1784.5319,105.2607,2285.2299,77.0216,23
Logistics,1095.053,79.6635,869.9409,90.4208,52
Logistics,1822.9423,54.3969,1007.416,0.0,17
Logistics,1863.3066,151.984,1461.3905,5.0605,21
Logistics,333.3227,160.2565,2531.9113,84.2388,46
Logistics,936.3575,127.7571,3962.6681,86.5477,84
Logistics,1174.1891,159.4048,3141.9541,55.957,84
Logistics,268.062,91.3339,3339.2732,29.4197,92
Logistics,1073.3104,69.1526,2581.5094,19.1517,88
Logistics,1370.1737,201.617,631.1938,19.1693,9
Logistics,1103.1895,177.6954,1125.9216,0.0,93
Logistics,564.2662,183.0431,2824.703,65.3155,35
Logistics,1455.0818,7.695,1062.0537,60.6321,44
Logistics,910.007,30.5819,4577.5925,47.7084,26
Logistics,596.05,113.1915,2587.2442,37.1062,36
Logistics,1811.4928,18.7278,688.4912,74.6395,25
Logistics,1374.0197,198.0068,0.0,15.6794,62
Logistics,1072.497,190.5026,4403.7954,72.9293,21
Logistics,1923.5159,160.6834,1127.8637,73.2447,55
Logistics,246.4063,31.7622,4613.2416,87.1115,71
Logistics,464.283,29.6039,1447.1205,95.4608,40
Logistics,1918.5372,109.4959,2040.478,91.4529,85
Logistics,270.6558,123.1836,227.2658,43.7464,81
Logistics,726.9963,48.3523,4306.5168,81.2643,11
Logistics,396.1669,139.706,1706.1212,27.7407,57
Logistics,106.1091,40.6923,1506.2727,81.7099,37
Logistics,1380.4971,175.8424,4872.6143,34.6055,36
Logistics,1221.2485,78.5609,206.6764,30.6408,28
Logistics,1167.005,103.488,2041.3797,19.0503,7
Logistics,550.2364,143.3276,2712.4998,2.1095,62
Logistics,1239.5787,59.6619,1648.2433,9.3787,20
Logistics,1703.104,34.8402,4802.2085,48.2638,95
Logistics,841.5905,114.7723,2083.5023,0.0,40
Logistics,1969.2365,143.8475,1250.1752,82.5998,90
Logistics,588.996,223.7608,2686.932,63.4565,86
Logistics,101.4831,199.3056,1402.2707,12.6651,34
Logistics,1.0,147.44,1935.0002,55.919,42
Logistics,316.4731,33.2221,4112.6613,38.6332,78
Logistics,1313.552,153.576,4831.4606,53.7402,99
Logistics,1722.1986,70.4515,1701.0572,30.0894,11
Logistics,1387.4998,87.2976,4617.2574,67.4312,99
Logistics,1933.0285,20.161,1475.217,3.1441,42
Logistics,2000.0,33.7722,2893.4232,69.8261,84
Logistics,756.0946,109.2042,2328.4039,4.6369,6
Logistics,582.6663,170.3146,4572.2808,15.6309,63
Logistics,778.7638,108.5039,3918.2583,93.1241,46
Logistics,1130.8157,212.4068,2889.9524,65.5466,68
Logistics,1429.4873,41.098,2513.4903,52.0993,26
Logistics,513.7066,217.2684,4151.9041,25.0132,17
Logistics,1954.4598,28.2204,1518.0611,99.551,42
Logistics,666.8513,100.3797,4474.8477,86.3416,99
Logistics,573.8446,162.8591,1068.0395,68.4708,23
Logistics,1380.4448,117.4184,4302.7825,76.5918,58
Logistics,1378.6791,95.2626,1934.6272,70.7197,48
Logistics,1217.8047,170.6388,3574.6625,61.2922,47
Logistics,1130.0754,115.5959,1071.3994,68.6232,29
Logistics,92.19,56.6939,3482.9353,84.2287,77
Logistics,520.3872,152.3507,3201.2801,39.6253,75
Logistics,588.0041,81.6465,230.9952,0.0,37
Logistics,1421.5521,122.5293,1448.3245,69.4389,16
Logistics,1910.7565,32.0656,1118.0205,91.44,94
Logistics,968.7695,41.8296,2406.6776,46.8961,89
Logistics,1546.6694,129.2274,988.9319,77.9035,100
Logistics,144.4045,22.839,1061.4794,5.4129,55
Logistics,1359.3303,50.0838,1725.1347,23.7325,92
Logistics,1059.4318,33.5641,488.8743,2.7969,23
Logistics,101.78,177.0246,6.551,80.0801,15
Logistics,1203.297,128.1522,3306.5617,19.2966,11
Logistics,756.5781,228.9769,3804.6491,20.1561,66
Logistics,1230.4836,114.391,2497.707,41.0234,52
Logistics,1746.548,217.4303,3175.9138,10.9523,21
Logistics,977.7585,159.2495,5000.0,45.2934,11
Logistics,1900.4822,13.0638,3425.117,89.2707,67
Logistics,938.0008,35.6453,542.5816,19.2435,14
Logistics,689.5376,208.6509,2925.7979,10.213,17
Logistics,1632.6492,232.1632,1375.1496,25.7024,39
Logistics,496.1749,199.5769,4637.4747,45.9263,40
Logistics,807.005,205.5893,461.3542,26.4124,63
Logistics,213.0752,36.494,0.0,71.1964,71
Logistics,1622.3576,159.4611,3004.4684,76.5523,21
Logistics,1394.0616,3.8485,4554.1638,71.2318,87
Logistics,1525.4813,126.3198,3531.0221,62.5291,75
Logistics,1787.0052,46.8821,4184.6873,53.8838,94
Logistics,593.0137,132.3765,1510.7122,64.1845,2
Logistics,1436.2459,162.4096,3294.7787,99.043,61
Logistics,435.0403,68.7523,1153.6759,9.8541,79
Logistics,1277.9996,65.8489,1110.2752,75.6049,12
Logistics,1097.3559,124.37,597.6749,5.9833,9
Logistics,603.4335,144.7463,1612.0277,96.8665,19
Logistics,1674.0747,71.2909,560.9223,36.6846,36
Logistics,325.943,169.644,360.3962,48.1633,47
Logistics,994.6987,68.5265,4653.4182,11.8981,40
Logistics,1907.6121,38.7848,3565.13,88.9502,31
Logistics,261.3007,100.7678,196.6371,34.5637,56
Logistics,1107.6727,154.5223,3045.7457,74.4872,52
Logistics,1426.9548,103.3352,4771.498,59.9812,33
Logistics,425.693,152.0315,4111.5706,35.8635,63
Logistics,1988.5265,4.5568,1843.9812,95.5762,89
Logistics,1974.5099,233.5635,3201.6192,53.3824,32
Logistics,74.8662,207.395,4010.4515,65.5301,53
Logistics,83.421,59.7377,3464.0822,72.8979,43
Logistics,1652.5717,10.4917,4690.8448,93.2719,89
Logistics,241.5278,40.7708,3701.5598,93.4863,60
Logistics,799.302,189.9766,2909.3199,3.5511,45
Logistics,744.0126,13.4657,3967.8987,43.7251,34
Logistics,1194.9041,75.9747,1472.3353,11.13,48
Logistics,284.5988,172.9107,1666.6616,64.7207,19
Logistics,1817.3379,189.2824,645.829,94.0715,66
