Application,EngineTemp_C,Mileage_kmpl,RPM,CO2_g_km,FuelRate_L_per_hr
Automobile,41.3176,17.9776,3586,336.0195,38.7442
Automobile,48.8347,23.9067,5990,146.6536,11.2327
Automobile,79.5815,12.3265,2581,371.2552,32.9071
Automobile,70.5142,14.2987,6911,250.6087,32.8873
Automobile,132.9804,12.6268,2284,76.3516,31.1251
Automobile,35.0801,20.1848,998,262.864,17.5701
Automobile,3.5803,17.7726,3193,84.8252,45.9719
Automobile,44.9749,3.156,6095,238.3269,36.8384
Automobile,-5.3445,11.3163,4255,233.4894,25.0638
Automobile,103.561,13.9804,5559,268.625,11.4645
Automobile,83.1708,8.1766,1222,86.3831,10.7404
Automobile,57.0102,21.1525,5463,354.625,43.7972
Automobile,105.9402,23.6629,3447,311.5022,16.5746
Automobile,90.5934,17.1002,2668,400.0,45.6079
Automobile,137.546,11.0982,2494,50.0,9.3701
Automobile,125.8128,17.1763,3347,256.4489,0.7955
Automobile,77.1867,25.7061,3145,207.6424,22.1148
Automobile,74.5004,13.8534,1863,193.8556,16.7968
Automobile,128.9668,7.8963,6651,126.9015,49.0989
Automobile,83.0905,22.7684,2065,84.5186,38.8239
Automobile,-9.6669,19.1143,5966,395.0471,11.6632
Automobile,85.0516,24.0341,5073,355.9419,33.4926
Automobile,-5.6076,5.4379,2871,326.4153,41.974
Automobile,108.6408,16.168,1454,103.7744,18.8083
Automobile,55.9838,6.2691,3011,387.698,42.3621
Automobile,122.3046,9.2255,3728,190.6707,1.3717
Automobile,97.2239,23.354,1057,225.9144,47.1862
Automobile,106.459,24.433,6225,285.7211,24.6012
Automobile,1.0694,19.5392,7176,160.0933,16.8298
Automobile,55.5318,34.9248,1216,205.3477,32.743
Automobile,145.1562,8.541,5108,248.1087,46.1614
Automobile,86.2468,9.9751,6182,114.98,45.2587
Automobile,52.1815,2.0253,5210,152.6687,13.4615
Automobile,94.8282,30.0538,4562,85.8679,9.9954
Automobile,118.2837,22.0005,6528,198.7802,5.1754
Automobile,124.6912,16.0215,7673,213.8448,25.3613
Automobile,36.1422,8.364,2376,251.0972,7.1261
Automobile,-12.5387,18.3339,2289,358.5291,48.0171
Automobile,101.4994,10.1995,702,110.1781,19.0474
Automobile,31.5938,9.988,6260,85.8692,29.8599
Automobile,109.2582,31.3514,6502,80.8177,35.9192
Automobile,-4.8608,30.379,3952,104.6527,31.8768
Automobile,37.0537,18.0479,7109,75.8247,21.6277
Automobile,2.2003,31.6602,6835,297.869,21.8105
Automobile,59.7451,12.8069,4357,368.4833,40.7179
Automobile,19.731,33.5717,7503,343.4848,8.6343
Automobile,47.6355,18.7666,809,354.8854,30.4408
Automobile,150.0,25.0737,3754,146.2604,48.843
Automobile,52.8621,17.9396,737,68.7906,9.6536
Automobile,75.0326,24.8808,3127,347.4922,12.8107
Automobile,-3.4712,11.3168,2366,348.0829,50.0
Automobile,44.9709,26.0963,4458,83.697,12.6257
Automobile,35.5727,3.7121,7099,169.6396,1.5448
Automobile,40.4232,14.7282,7213,167.3591,23.6607
Automobile,136.5658,33.6557,3849,84.6407,1.6004
Automobile,-20.0,12.942,6706,387.3499,40.6124
Automobile,-9.7262,25.1828,4759,327.3314,23.6915
Automobile,62.955,34.9012,858,257.3225,18.676
Automobile,125.0047,8.0389,1632,173.4592,25.9706
Automobile,-16.8464,35.0,1267,389.8654,5.8773
Automobile,113.4586,34.9893,3825,170.9525,10.7859
Automobile,143.4016,25.2975,2927,245.8439,14.9039
Automobile,125.1187,23.6882,3017,266.946,4.389
Automobile,145.7796,25.2737,2492,96.0598,21.6321
Automobile,87.76,22.7176,2803,297.4235,23.3556
Automobile,86.7045,33.1147,6029,100.9114,14.837
Automobile,145.4464,6.5562,7512,341.2681,11.8898
Automobile,39.4032,19.5421,5269,149.2996,47.638
Automobile,64.9348,8.221,6109,289.3854,33.8865
Automobile,-2.7439,8.8093,3159,87.9951,11.2689
Automobile,64.3033,35.0,3080,250.311,6.5154
Automobile,125.6367,11.4921,5636,100.6785,35.4395
Automobile,80.317,32.1555,7234,207.3369,32.8809
Automobile,84.8563,29.5008,715,281.7246,37.4107
Automobile,28.624,5.3143,4455,83.9644,33.9836
Automobile,-14.5906,30.9181,3881,192.5308,19.6749
Automobile,77.2014,9.0578,1495,395.329,45.9128
Automobile,41.2074,33.2721,5022,296.9033,40.3792
Automobile,140.6595,33.6024,7819,143.3659,25.7495
Automobile,23.0026,25.1705,7730,209.2233,25.4577
Automobile,-14.613,10.3891,717,123.6672,11.0387
Automobile,145.2967,9.854,5437,390.729,38.374
Automobile,102.1059,30.0031,7762,230.5742,5.7121
Automobile,24.3539,7.6375,3380,115.1292,5.6095
Automobile,50.8008,14.7848,1757,239.2219,15.754
Automobile,131.8017,8.4975,4449,95.7699,4.3736
Automobile,49.3506,4.2951,7193,78.9441,12.3083
Automobile,97.641,14.1059,714,66.1672,23.0656
Automobile,0.8923,33.1873,584,162.5489,10.1729
Automobile,39.7373,16.556,1178,366.3866,45.5767
Automobile,27.5255,19.5066,999,54.263,44.4676
Automobile,36.78,31.9496,4194,385.5455,45.9665
Automobile,49.9379,30.7171,5759,65.3627,10.0618
Automobile,138.6151,34.2429,1384,99.4795,3.741
Automobile,45.3812,20.1485,5726,94.061,41.783
Automobile,3.4455,1.039,4613,135.8041,29.9597
Automobile,117.4404,4.4581,1071,385.6505,20.6038
Automobile,51.3797,20.658,7071,87.7931,39.5018
Automobile,142.8894,7.0042,6905,391.4342,42.8931
Automobile,-0.1748,25.9695,2217,335.5952,26.5535
Automobile,45.2795,15.6111,3669,285.1153,36.4313
Automobile,54.3778,17.2457,2382,298.5599,25.177
Automobile,98.5102,3.5144,2749,161.9214,18.3712
Automobile,-18.2786,10.8534,5314,81.2749,7.4279
Automobile,118.531,18.6511,6362,278.3746,29.0337
Automobile,40.5323,11.0019,1730,115.4831,12.409
Automobile,146.3862,27.7667,1509,331.2034,34.4861
Automobile,18.083,5.8583,948,151.0957,11.4329
Automobile,27.756,8.9531,5060,200.3907,33.605
Automobile,102.883,15.3027,1341,128.1212,28.006
Automobile,145.6625,10.6711,3741,301.5875,30.3972
Automobile,87.0269,25.276,7163,235.556,50.0
Automobile,92.8833,29.5719,5558,286.0802,28.9626
Automobile,148.5577,33.3854,2830,291.466,9.8047
Automobile,2.7877,7.0814,4108,396.3957,30.9761
Automobile,-4.5162,27.5899,7103,239.3261,30.1628
Automobile,93.5321,32.8344,6152,131.522,0.8921
Automobile,2.2382,17.7122,3382,62.0241,49.7115
Automobile,-5.3035,22.7409,7470,353.683,46.4714
Automobile,64.7962,32.735,7287,77.7619,10.0606
Automobile,144.1138,14.9249,5151,240.6305,31.1383
Automobile,93.1908,29.7419,7087,139.1828,1.8397
Automobile,5.9888,30.8135,4549,369.1287,27.5295
Automobile,53.6092,2.6656,1233,233.1236,43.1757
Automobile,76.0075,1.8527,5107,225.6139,36.3553
Automobile,111.8546,1.0,1067,210.9245,30.2397
Automobile,119.7484,11.4915,6291,289.4869,15.1547
Automobile,52.6726,24.532,1271,56.4811,26.9094
Automobile,83.9922,9.1955,1647,261.8468,19.7183
Automobile,44.5334,27.1083,4113,192.5425,38.5493
Automobile,-3.7759,34.736,6537,156.3397,47.9133
Automobile,33.4652,19.9922,5439,324.8972,40.8731
Automobile,105.6869,20.9967,5157,106.706,14.2754
Automobile,22.6842,17.2263,4709,370.8837,13.9498
Automobile,150.0,23.7429,1754,91.7329,48.3193
Automobile,49.7996,12.1907,771,198.9477,11.6885
Automobile,-3.7801,7.7461,1773,58.3456,0.9395
Automobile,52.8486,21.7499,655,110.7151,21.9735
Automobile,4.2426,15.6047,1398,94.7623,13.4506
Automobile,149.2623,10.6477,2274,216.5673,14.4026
Automobile,114.8052,17.8179,5228,140.2454,27.0729
Automobile,120.4009,32.6864,4876,90.5906,2.0942
Automobile,-11.3342,12.9885,6199,331.126,28.3782
Automobile,17.3403,3.1177,915,97.8552,27.4093
Automobile,40.2102,9.601,3220,396.3092,34.5952
Automobile,112.4046,7.6806,3506,57.2478,23.078
Automobile,89.4527,21.2469,6636,293.935,31.6219
Automobile,39.2261,7.858,1214,300.1098,24.6363
Automobile,67.4971,33.0883,1730,172.9051,44.4816
Automobile,126.1268,13.2153,2624,341.6459,38.0409
Automobile,127.2831,16.6038,673,129.7979,6.9026
Automobile,11.5745,27.6918,7991,302.9773,33.7717
Automobile,85.8307,28.8728,7621,355.2814,43.1267
Automobile,87.3469,33.5079,3165,88.8343,6.4393
Automobile,-5.4414,23.23,1217,183.8543,22.8515
Automobile,-1.4842,35.0,5223,392.7721,35.9637
Automobile,108.6785,10.972,1364,200.5074,45.3608
Automobile,45.0704,6.9494,5484,252.1404,17.5
Automobile,57.8317,3.9425,2595,359.9528,23.5245
Automobile,105.9297,27.2727,7397,328.9153,11.3321
Automobile,138.8727,4.0564,3853,151.2385,12.4527
Automobile,47.5886,25.9845,1783,283.9802,20.4592
Automobile,106.3283,32.1407,5674,292.2975,32.6564
Automobile,13.732,27.6395,7291,345.8995,2.7667
Automobile,48.0141,19.9057,2170,227.886,10.2058
Automobile,-11.4933,33.5829,4106,291.4917,30.1005
Automobile,126.4833,29.6092,4945,219.9498,30.7033
Automobile,150.0,2.6381,1181,314.7834,15.3744
Automobile,108.4514,14.508,995,216.469,23.0213
Automobile,137.929,5.7844,4505,60.0301,31.6353
Automobile,43.1384,14.2526,4608,211.6583,16.107
Automobile,103.0689,26.7934,3493,391.1914,9.1664
Automobile,-8.7377,5.4006,4967,235.9813,19.6261
Automobile,63.9763,27.1436,3544,70.4052,7.8558
Automobile,121.5709,13.4085,3489,182.7656,31.8707
Automobile,-7.2811,18.5149,3878,99.236,7.5781
Automobile,9.6137,11.4908,3268,236.4673,0.5277
Automobile,32.2489,33.0469,6206,170.4615,16.0385
Automobile,135.0492,12.7752,7548,256.4839,42.3526
Automobile,-15.1204,7.4896,4724,385.7574,9.1439
Automobile,50.3872,15.2087,4048,57.713,32.1493
Automobile,-1.6901,25.9838,6972,292.0663,33.142
Automobile,-20.0,18.4957,2727,232.4748,43.3866
Automobile,80.1432,15.7406,6039,375.2466,14.199
Automobile,87.6592,10.1556,6049,58.7729,23.8901
Automobile,140.7588,29.9911,5957,263.9701,27.6694
Automobile,81.4062,5.3268,2712,396.489,6.2726
Automobile,94.3654,21.8108,6669,280.4915,13.1037
Automobile,78.7673,23.3218,1221,165.6788,43.027
Automobile,40.5872,4.1296,1430,119.3753,7.3207
Automobile,-2.3211,11.441,1702,351.2131,4.1871
Automobile,6.0851,31.7212,4406,237.5681,33.231
Automobile,132.3824,14.7339,1895,153.4811,32.4141
Automobile,64.1014,25.9897,7340,364.0688,28.4142
Automobile,110.9709,10.4796,7825,231.4501,23.3931
Automobile,30.4551,25.5659,7428,252.7723,11.2603
Automobile,143.1654,32.1479,1235,316.3092,24.0406
Automobile,89.5784,3.1546,5119,236.6,2.1031
Automobile,137.9451,30.8705,5660,187.3667,20.6261
Automobile,21.3208,17.1022,1091,101.2364,8.4912
Automobile,13.1334,8.3289,7146,241.2584,34.4704
Automobile,43.5803,8.5668,1053,51.5128,2.0469
Automobile,144.0369,4.8759,7531,392.204,26.5989
Automobile,109.9733,11.0278,3114,235.136,46.2639
Automobile,114.6182,15.7558,7972,330.1735,33.7068
Automobile,145.0657,5.0299,3107,332.2021,34.6197
Automobile,24.3047,9.2682,4906,375.1097,37.6173
Automobile,131.4498,2.3893,4297,136.5399,4.251
Automobile,79.211,6.6718,2166,88.031,21.0055
Automobile,114.3874,23.7126,1039,72.7603,10.6455
Automobile,129.9177,27.7048,7378,120.7776,21.1668
Automobile,47.6982,31.8564,7623,206.4686,35.5532
Automobile,19.5696,23.9295,2599,217.1131,6.2777
Automobile,85.1648,32.1534,3013,59.8523,28.6899
Automobile,-16.5869,15.4131,6565,186.8902,34.3475
Automobile,89.3526,28.2555,6393,351.6911,16.6661
Automobile,113.87,6.9954,5601,152.2221,32.0852
Automobile,121.2124,12.8164,6353,231.6646,1.8302
Automobile,49.6654,21.3685,5283,340.0658,18.3956
Automobile,8.9317,25.5488,3793,111.6166,2.9929
Automobile,0.8332,8.8502,1431,225.5003,16.0881
Automobile,33.4699,22.9688,7395,88.7325,2.3979
Automobile,127.5933,29.3451,5583,311.6709,5.2546
Automobile,132.1071,10.8004,4078,284.9283,24.4836
Automobile,36.2982,30.3273,7454,141.3707,19.2727
Automobile,120.8039,8.3334,2727,243.7896,43.5824
Automobile,50.3683,29.5263,6297,132.874,8.7052
Automobile,32.4217,33.3816,731,159.7142,17.2634
Automobile,112.1473,18.8747,7290,295.2477,7.7149
Automobile,40.001,29.7242,3991,314.0356,47.6422
Automobile,11.0151,20.8736,7444,105.8023,50.0
Automobile,74.5904,30.9896,4823,324.3594,30.4691
Automobile,94.4054,18.8565,3041,127.0566,5.1797
Automobile,96.2758,21.7636,4803,166.6653,16.5464
Automobile,43.9413,7.8829,5175,343.0094,40.9258
Automobile,75.6179,4.3554,6123,286.9482,27.1288
Automobile,92.9509,30.5391,4114,358.7509,28.3776
Automobile,63.1391,26.5199,4875,50.4737,48.8791
Automobile,30.841,20.9706,7504,344.859,4.9858
Automobile,100.0924,11.1597,7365,335.2114,47.4001
Automobile,77.5295,5.4788,5170,144.4891,43.6757
Automobile,110.4109,28.0812,6548,380.1854,16.014
Automobile,129.5053,12.6707,1233,225.2163,15.2566
Automobile,150.0,5.2082,2211,112.9303,7.5038
Automobile,141.8272,10.6085,1530,394.1193,2.9602
Automobile,102.6753,19.8197,517,334.9927,19.5599
Automobile,80.6058,23.1466,3983,196.6566,13.5888
Automobile,145.7733,11.7205,5661,271.9401,22.8033
Automobile,150.0,29.3586,6366,394.1006,45.1962
Automobile,150.0,24.5395,2107,215.5501,1.5938
Automobile,109.5542,12.593,3336,258.0514,26.8529
Automobile,129.0145,30.7265,2145,200.779,25.3296
Automobile,20.8104,1.0,1613,380.8667,35.1865
Automobile,139.0567,31.7858,4111,376.3909,48.8358
Automobile,30.322,22.4657,5246,387.3511,16.1614
Automobile,6.9865,23.3343,5832,126.4387,13.4022
Automobile,87.3145,26.6482,6506,223.2065,10.7787
Automobile,76.5061,9.6308,2489,287.798,14.0804
Automobile,3.4701,23.8125,2235,326.1103,7.3919
Automobile,-3.9393,11.1266,7586,372.5636,1.2003
Automobile,57.8962,10.1872,1237,186.9139,10.5333
Automobile,141.4335,10.8931,5618,143.1646,41.4226
Automobile,79.977,8.0606,6021,281.3368,31.4817
Automobile,18.7863,26.9487,705,399.5213,25.6869
Automobile,14.6561,32.9629,2135,116.1927,39.9802
Automobile,-3.9632,3.9087,3089,92.6058,11.3104
Automobile,-10.2016,19.5192,2951,388.9073,38.6987
Automobile,65.4876,24.212,6631,128.8046,3.7213
Automobile,10.5958,11.2928,2371,205.043,40.9575
Automobile,22.5709,13.7559,3636,245.4284,33.3193
Automobile,112.4233,7.5771,6905,341.486,47.5244
Automobile,1.4716,13.2251,1406,294.4568,29.944
Automobile,68.1712,16.8868,7719,221.9819,0.2723
Automobile,21.3785,4.523,5211,299.9177,17.0389
Automobile,100.4628,5.747,5612,302.7576,21.0736
Automobile,102.7483,10.2438,6533,279.6798,8.2206
Automobile,33.3803,7.5853,2522,364.8455,32.123
Automobile,96.4979,33.3296,6348,115.0582,25.8225
Automobile,74.982,1.161,2027,157.8656,38.0499
Automobile,63.5499,8.5716,6435,160.0977,3.6478
Automobile,74.743,13.1745,7839,379.8588,34.5607
Automobile,58.9731,25.9769,4842,155.1109,23.7227
Automobile,64.3423,12.9244,1883,122.2298,30.7691
Automobile,6.5099,18.0496,5669,186.4005,45.4387
Automobile,30.3877,3.1148,6176,223.2982,35.0066
Automobile,115.9785,11.6274,1032,370.1259,6.4223
Automobile,2.8596,25.9942,6359,307.4862,15.8953
Automobile,84.1472,26.9614,7723,243.9232,44.9524
Automobile,1.7552,14.9353,6550,217.934,13.7502
Automobile,113.1167,26.7341,2981,75.0764,15.4199
Automobile,82.9536,14.248,2539,90.2737,31.9193
Automobile,126.9602,12.3323,3627,79.3782,5.9902
Automobile,13.6452,6.4212,1051,393.6524,29.0702
Automobile,2.4892,9.1,3213,352.3633,32.8987
Automobile,127.9642,18.0623,2983,228.0852,35.8035
Automobile,139.6043,24.4415,6272,84.3989,39.4361
Automobile,82.6048,3.6345,7952,399.3932,39.7665
Automobile,137.1409,32.5772,6909,146.4746,46.3199
Automobile,8.9331,8.3134,3654,289.2956,0.1
Automobile,130.0543,2.1656,1684,106.6567,35.1611
Automobile,126.2078,8.6798,834,350.6178,29.7855
Automobile,102.1867,16.6955,6184,194.514,2.8386
Automobile,141.8654,21.4247,3722,362.2018,23.2201
Automobile,74.1125,20.2932,4968,232.2754,48.2113
Automobile,46.5467,22.3722,7188,116.2733,22.9974
Automobile,50.5614,5.9572,1268,119.307,19.683
Automobile,17.856,26.4743,7062,84.7895,12.5292
Automobile,124.6648,15.1636,3521,122.5838,45.5162
Automobile,72.4479,14.1836,1484,322.7621,1.655
Automobile,-15.8175,29.0994,5605,80.9062,34.5311
Automobile,49.2792,33.9142,3842,110.0824,12.0535
Automobile,117.9597,11.6892,1096,98.3608,36.5508
Automobile,-1.7617,23.6785,6216,156.3503,40.3779
Automobile,91.6544,27.4619,7285,257.8311,30.1735
Automobile,75.3333,7.4383,3766,88.7083,1.0326
Automobile,0.9255,12.0311,2165,188.2654,23.1296
Automobile,43.6633,13.3968,2028,340.6255,14.6611
Automobile,40.3517,27.2844,2326,59.26,33.2189
Automobile,41.7941,33.1776,6490,169.6266,43.358
Automobile,5.6274,34.1408,6692,79.2997,45.469
Automobile,118.8482,29.9702,5128,296.0,10.7415
Automobile,2.4639,19.5778,3557,385.0686,21.6417
Automobile,131.9879,2.9514,1631,76.0733,44.8389
Automobile,39.8692,22.5108,7518,252.1719,24.0419
Automobile,128.5155,24.57,1023,106.044,7.4449
Automobile,128.1169,26.1622,3479,372.9848,25.3773
Automobile,-19.0811,20.0319,7606,50.9458,32.1709
Automobile,63.2544,23.5699,2779,179.9352,43.3374
Automobile,32.7874,5.859,6663,298.2796,13.1809
Automobile,100.5167,3.1966,4305,267.7648,48.5426
Automobile,-15.2878,6.4211,4375,190.1593,38.4042
Automobile,32.1983,2.4257,5743,236.9559,13.0842
Automobile,-3.5016,32.8836,4925,112.8086,49.3626
Automobile,36.2575,10.2272,2128,99.0315,46.5165
Automobile,52.2295,22.4582,6580,323.4374,38.1209
Automobile,32.5512,29.469,7355,206.8323,25.5874
Automobile,94.3114,7.1412,2349,189.3285,45.4507
Automobile,79.4481,8.0609,1004,88.2705,22.8094
Automobile,59.2256,5.8723,1348,317.0156,21.3181
Automobile,12.4856,33.2156,3494,245.7614,17.5221
Automobile,36.5937,25.5296,6551,271.1549,41.447
Automobile,-20.0,24.5479,7038,160.4605,8.766
Automobile,78.1554,21.8236,2062,114.2047,1.8076
Automobile,45.2198,33.2899,5037,283.2244,16.7346
Automobile,76.4021,3.0098,5526,245.4516,46.4689
Automobile,65.3379,21.866,3101,62.0631,22.6939
Automobile,57.7106,13.7051,2119,71.5767,14.1721
Automobile,100.7437,28.8353,6198,385.8101,2.8493
Automobile,75.724,1.5213,5891,161.8501,36.9232
Automobile,111.6233,15.3388,6365,371.8766,26.4406
Automobile,94.5714,5.3264,7246,267.2474,39.6636
Automobile,6.4334,26.6351,6665,133.7492,19.5258
Automobile,-3.7226,25.1529,5265,207.6455,35.9975
Automobile,63.9307,22.2305,2951,315.2292,9.2808
Automobile,139.0753,13.38,4998,382.2024,34.8977
Automobile,-7.8103,28.0126,2586,381.5194,13.0882
Automobile,-11.573,11.764,4794,139.7939,40.0797
Automobile,77.8201,23.6419,2013,123.5778,32.022
Automobile,145.5743,28.6673,2235,266.3041,20.2167
Automobile,60.009,10.2399,6528,76.3165,4.455
Automobile,104.1937,5.9456,3384,296.7025,13.3864
Automobile,56.1646,8.9808,7099,251.0431,7.8654
Automobile,60.1456,15.7083,2645,158.3007,18.1133
Automobile,23.4058,1.7931,1870,129.0678,10.9962
Automobile,87.076,14.4652,3254,400.0,20.0458
Automobile,139.8027,3.6761,7466,196.744,46.621
Automobile,60.6372,12.7814,6759,267.7147,1.4679
Automobile,87.2405,31.2694,5677,306.5547,7.0733
Automobile,134.8322,15.5497,7063,363.2079,25.636
Automobile,56.1863,23.4351,4607,306.6067,35.3211
Automobile,67.2751,20.0156,1965,359.1142,14.3074
Automobile,24.5083,4.7699,2948,157.3059,39.0019
Automobile,29.5974,12.0596,7360,70.2314,10.4579
Automobile,28.7883,34.3361,3046,202.851,45.6128
Automobile,68.0223,32.6344,1754,331.4462,28.7441
Automobile,136.422,22.3084,2026,253.7316,11.9266
Automobile,64.6758,5.775,2724,263.9403,27.0918
Automobile,116.2012,31.2931,3235,246.2552,46.5908
Automobile,130.1439,19.6134,4138,55.905,41.2945
Automobile,135.7919,15.206,6966,180.086,25.8057
Automobile,53.0054,11.2961,3768,267.4262,8.2119
Automobile,90.522,8.9183,5006,178.4235,45.8422
Automobile,11.5158,32.7863,4178,400.0,44.2472
Automobile,93.1742,14.9288,1762,95.9596,1.1286
Automobile,-13.6691,2.5557,2806,295.9518,2.4648
Automobile,87.4818,30.958,4099,363.4036,22.2227
Automobile,40.7429,7.6104,2893,279.213,27.975
Automobile,85.0581,16.2909,1684,143.0489,29.6112
Automobile,-2.5738,20.1041,6912,80.253,30.7682
Automobile,60.3246,23.2869,6635,327.1169,34.738
Automobile,89.9036,35.0,5549,105.905,44.5087
Automobile,1.1129,8.5989,3720,287.3217,19.0577
Automobile,41.9654,10.3962,4130,216.6876,1.7753
Automobile,-11.0223,23.3499,6968,355.4417,29.6392
Automobile,-9.47,16.2872,974,206.206,29.9453
