Application,Voltage_V,Current_A,Power_kW,Frequency_Hz,Efficiency_pct
Energy,179.8468,1780.8751,4018.0991,50.469,80.71
Energy,765.0,1017.3812,1229.4844,50.4086,15.0392
Energy,560.4171,76.3996,4798.478,49.9968,53.1425
Energy,246.044,875.9388,3022.3238,57.8788,41.2704
Energy,694.4422,379.3297,436.1876,46.2176,13.5177
Energy,341.6468,1187.9169,1627.8158,46.2267,50.1807
Energy,296.4718,1380.68,3607.148,48.6503,22.1588
Energy,278.3815,1355.1066,4365.2242,55.698,13.6084
Energy,428.072,943.596,2714.1742,50.1657,63.2273
Energy,134.6878,1446.208,769.6543,65.0,96.8567
Energy,529.2455,230.9863,466.0545,53.111,71.8071
Energy,756.7682,1911.4884,1635.5404,53.798,90.4314
Energy,644.4137,1648.8836,160.6851,46.6631,21.3416
Energy,630.6514,1768.3497,2116.1338,58.8547,35.334
Energy,633.7636,132.6972,3916.8989,60.5739,80.2801
Energy,340.6109,442.1515,2187.3087,51.456,26.3385
Energy,235.6042,199.1669,4364.1718,59.7645,63.1391
Energy,315.6322,1734.0218,3328.9483,48.9415,51.0183
Energy,240.1354,1506.0503,883.8563,61.456,65.0575
Energy,660.3676,159.4994,1035.2265,56.7277,96.7184
Energy,375.6299,827.2326,1642.0483,52.8968,79.8975
Energy,626.4416,977.8543,2677.3787,58.9416,100.0
Energy,297.8125,1441.478,3391.9727,56.6046,23.4866
Energy,205.3247,503.5394,921.4926,55.5916,53.8427
Energy,676.8988,607.7454,727.544,49.0232,31.3619
Energy,627.4864,1073.8818,311.4979,62.3164,68.0548
Energy,464.7346,1025.1779,501.3864,54.0667,10.7653
Energy,210.5809,242.2434,3708.1871,53.3585,90.5727
Energy,316.3079,1491.4973,277.6348,48.938,66.3542
Energy,121.9403,424.1459,2958.476,63.3037,70.3024
Energy,697.8814,1725.3391,3085.6709,56.196,83.4663
Energy,291.2799,1568.8835,4861.9536,53.2681,77.364
Energy,461.3725,2000.0,3450.5271,63.9614,72.3216
Energy,733.2453,381.2403,3478.7382,52.1136,98.2553
Energy,529.9662,1852.4287,634.0901,45.8888,34.0863
Energy,509.8992,1482.8189,4313.7782,49.3152,16.4044
Energy,644.8442,1750.1834,1737.0341,60.3216,67.2124
Energy,563.9779,146.9533,1586.9858,47.6509,15.7941
Energy,440.4037,671.7778,2387.0181,48.0483,57.3087
Energy,181.8394,49.7489,3393.6441,53.8128,74.0831
Energy,424.8805,356.3616,1465.848,54.5014,70.6244
Energy,226.3236,1706.4872,3869.5992,54.7984,42.1728
Energy,445.1349,828.6201,1313.2784,49.7327,69.3517
Energy,129.4993,1319.4301,578.4347,48.917,41.3028
Energy,342.5591,976.7301,3652.7804,60.3275,80.0303
Energy,131.9173,1064.0048,4589.3214,56.7169,88.9704
Energy,197.3119,1298.4739,4352.9551,51.2417,68.8046
Energy,550.6259,811.1617,282.2098,48.4699,65.5989
Energy,731.5378,25.2707,1974.5974,62.6996,37.3895
Energy,466.3131,1599.6514,1494.5854,47.5462,46.6877
Energy,231.3139,533.2293,2259.4588,56.2781,31.9606
Energy,361.1367,1353.1886,476.6102,57.218,70.7856
Energy,262.9507,1314.9742,2096.0142,61.3165,68.8271
Energy,128.635,307.6643,4764.8248,46.2363,16.6705
Energy,703.1718,340.1371,2764.1886,50.4755,90.0926
Energy,468.6948,960.6439,1228.748,64.3251,99.1893
Energy,196.4806,712.5065,4027.7494,56.4642,22.0795
Energy,594.7257,593.8748,2038.2381,52.9181,36.4923
Energy,221.3153,589.351,431.1319,51.1899,78.8631
Energy,264.7539,537.0325,1715.9318,48.0318,47.1205
Energy,516.5092,250.4151,4037.143,48.3114,17.177
Energy,413.9066,133.3164,1246.044,60.8263,92.826
Energy,688.3364,1739.0799,1532.044,50.5461,53.9378
Energy,508.1279,1639.9564,1432.2065,49.3755,11.3371
Energy,233.2771,998.106,4614.9142,51.792,49.7239
Energy,435.1364,655.2748,1430.27,60.2333,84.0419
Energy,607.8842,1371.7518,1338.025,53.3067,44.2809
Energy,489.1452,230.2795,4640.5517,45.5757,23.5888
Energy,312.7986,193.9627,4947.6871,55.1721,13.2072
Energy,342.0215,282.8347,2898.9883,50.6689,80.4874
Energy,556.1068,1419.5801,4778.1349,54.263,52.9302
Energy,438.7792,1628.8579,3811.1188,63.103,37.9043
Energy,148.0382,1108.0395,953.3726,48.7156,84.919
Energy,476.0802,354.9023,3453.6061,51.5531,19.9097
Energy,388.733,733.2174,3787.5539,64.2969,26.02
Energy,627.261,1658.295,3704.7206,60.4846,46.3451
Energy,176.4706,1055.0854,2744.3048,50.4364,17.7949
Energy,111.028,754.1032,2451.5593,46.1647,86.6073
Energy,643.1056,1276.287,4064.8785,64.3064,49.979
Energy,250.5884,720.8749,3437.4977,47.6951,64.9826
Energy,145.2488,46.8248,3971.5119,52.409,15.3279
Energy,262.1684,1896.9433,1056.7209,51.4271,87.3325
Energy,682.0814,1405.7097,4890.9326,47.5994,98.5645
Energy,214.0601,1873.3198,3782.7782,47.3864,87.9293
Energy,326.513,1690.7036,2175.1914,50.2535,72.0168
Energy,506.9859,768.768,2980.0789,53.0009,81.087
Energy,241.5475,770.4708,3210.482,63.7862,85.6556
Energy,532.3987,323.6157,4111.3309,55.6935,28.489
Energy,554.7295,1609.1486,3539.8474,62.7812,25.4754
Energy,263.3742,1244.6597,4294.8541,47.8344,27.4052
Energy,171.8312,450.5053,2006.0717,50.4115,89.742
Energy,376.1235,1890.8242,2075.5999,48.407,40.0022
Energy,550.6038,1586.068,807.8123,52.2672,22.3518
Energy,625.1189,1792.0966,2531.247,63.0273,99.8842
Energy,154.4208,387.7623,2033.3372,51.6709,27.3352
Energy,451.1697,1166.9101,3302.5243,56.5841,17.6469
Energy,273.7782,2000.0,2982.2753,62.9218,85.0714
Energy,357.1192,711.934,4243.6356,54.8395,88.8711
Energy,457.0925,779.5485,870.2385,55.3622,55.9634
Energy,568.9404,1091.1288,4628.3094,55.7718,33.6789
Energy,134.8826,119.8924,1038.062,50.2765,38.8744
Energy,224.12,473.5326,3608.2431,53.2905,33.4035
Energy,506.6035,617.6239,2569.1495,62.002,84.9875
Energy,406.7616,19.8279,3660.5018,53.055,10.0
Energy,248.1373,673.2332,2780.646,52.6315,72.7256
Energy,157.088,1074.1244,3323.4843,46.9956,95.3139
Energy,706.0756,43.3943,3716.2365,54.1362,78.2894
Energy,347.7956,1022.7225,998.0963,46.6447,52.2748
Energy,406.4886,1636.5094,1806.0191,50.4111,15.6954
Energy,139.5067,269.2107,4256.6804,64.1035,12.9955
Energy,580.5499,1993.8773,4080.3981,63.0471,30.6939
Energy,756.6652,864.3379,3427.8205,58.1595,64.6086
Energy,762.8186,873.3209,1376.8085,59.0238,53.5881
Energy,300.7888,951.5288,987.3189,49.1234,63.9525
Energy,711.6602,784.3674,182.9488,48.3502,17.699
Energy,343.7743,1211.7548,4711.0497,55.999,83.377
Energy,364.1079,336.2023,3145.5856,62.7295,71.7874
Energy,647.4326,1916.0087,2073.64,62.2396,69.5315
Energy,641.6331,1729.3901,3393.5577,55.5085,26.5997
Energy,418.4774,1265.2254,2316.4378,64.4872,57.575
Energy,421.8759,1562.9459,1747.3626,49.2692,33.1192
Energy,723.8109,1433.5182,2397.1483,60.9601,92.5252
Energy,378.9738,952.9394,3708.8575,50.423,51.7643
Energy,683.6147,395.0433,4220.9284,63.9031,39.3184
Energy,599.6482,666.7735,579.9385,49.6155,94.7941
Energy,186.541,1776.9152,393.9684,52.7628,29.554
Energy,217.8877,1327.4452,1792.9758,55.3303,56.6856
Energy,117.3324,1725.7745,165.3583,51.35,25.5197
Energy,118.3686,1821.1827,2519.9794,50.524,17.544
Energy,507.0083,1082.9846,3994.8778,54.1696,18.0717
Energy,186.6284,821.2333,1561.4842,61.7014,10.0
Energy,190.1829,888.8497,2289.11,60.19,74.4043
Energy,277.1161,928.3762,2684.0345,53.5079,42.9601
Energy,471.8016,1974.2104,4604.074,51.0561,93.3128
Energy,266.2306,303.247,4655.1691,47.8927,68.0381
Energy,370.465,293.3354,3008.6484,62.6785,82.9667
Energy,331.1736,820.5201,187.9066,62.1827,38.9257
Energy,377.4859,1597.3897,960.1609,46.2737,31.834
Energy,721.578,1728.9209,875.7882,58.9335,50.4085
Energy,765.0,1732.2353,3115.5207,62.1943,88.5632
Energy,164.3168,1176.0875,3466.4851,59.5751,53.881
Energy,165.295,1744.5493,479.8308,51.3993,58.8567
Energy,154.9286,377.0179,1482.0461,53.5842,40.8264
Energy,374.3138,1131.5437,2411.2725,51.5562,64.2517
Energy,672.8215,696.776,3991.1404,55.9712,55.9888
Energy,651.6095,567.5319,1975.0791,63.4579,52.1924
Energy,317.7056,238.7946,2384.009,58.2424,58.8165
Energy,621.2405,691.8073,2520.2981,54.0595,48.3204
Energy,754.9104,35.7579,4664.2146,62.5026,85.044
Energy,249.8881,722.3834,4250.539,45.5717,16.6649
Energy,730.8095,949.8705,4487.0086,50.7122,43.9938
Energy,591.5401,667.2256,855.5624,54.0938,79.8271
Energy,183.3048,1501.1026,4554.2873,56.7846,40.5451
Energy,632.1963,551.4794,2075.3747,64.4362,52.8717
Energy,159.6132,129.8616,2906.6768,58.1058,44.6665
Energy,137.2664,351.8959,3006.1639,52.4688,39.472
Energy,615.4894,1606.4576,2133.2804,59.4828,55.8889
Energy,716.2012,1269.0996,1751.7261,63.971,27.4677
Energy,373.0677,1157.7471,1163.0917,58.0808,51.16
Energy,142.731,1031.8606,2674.6934,52.3636,76.309
Energy,501.9038,1531.1634,4200.3939,59.2062,10.3028
Energy,265.0832,411.7208,3722.3094,54.805,64.8674
Energy,475.4677,424.9745,2539.3693,55.7507,99.0719
Energy,320.8136,304.9001,1612.6158,63.2172,46.133
Energy,507.7723,703.4549,32.6774,53.7493,57.4605
Energy,263.0457,481.2842,830.2673,50.9953,24.7885
Energy,195.664,1771.9916,1021.2416,58.2512,71.1804
Energy,608.143,58.5342,2894.949,56.6449,45.5751
Energy,467.8666,908.5756,4510.57,53.0864,79.548
Energy,334.5098,1481.6932,1566.2828,50.644,21.2317
Energy,520.6905,1829.2166,4086.4696,55.1287,15.5787
Energy,303.4208,1924.4887,1711.8906,47.5959,31.7372
Energy,360.4609,90.7651,5000.0,49.923,26.7539
Energy,337.9416,391.5388,839.376,61.9836,81.3788
Energy,245.062,1952.4477,1895.5088,62.8399,77.2657
Energy,412.437,655.3816,721.7777,52.9852,98.4589
Energy,632.0374,169.529,1292.8121,61.9716,15.557
Energy,736.8139,1853.5913,607.7394,47.2154,33.2606
Energy,262.4413,816.0376,631.1913,50.1096,95.8181
Energy,707.1615,626.5641,3042.4633,56.8281,22.6106
Energy,278.3881,289.7047,3881.9156,59.056,53.5438
Energy,416.6244,824.5925,368.3606,50.5555,68.4303
Energy,166.6799,760.1245,1145.7051,63.225,31.942
Energy,487.0895,1790.0684,1683.7337,57.6487,78.9241
Energy,443.1678,357.6255,4682.395,64.1048,91.4133
Energy,561.0044,105.8233,2880.5894,46.9367,46.2843
Energy,488.9061,543.895,463.8595,56.2712,74.416
Energy,750.1954,1095.091,1911.3061,51.9984,55.7528
Energy,630.4545,631.0335,3714.4245,62.4174,70.4632
Energy,748.1567,579.4341,4937.8429,46.2751,51.3442
Energy,441.008,807.8309,3647.3647,60.8067,13.3585
Energy,309.0795,1712.0212,843.8699,48.5328,38.3707
Energy,464.4044,1347.1636,4065.6534,62.4344,37.5506
Energy,411.6491,1106.2107,165.9777,53.5594,94.917
Energy,397.7893,857.2373,2354.8739,48.9901,52.8531
Energy,363.1973,157.1304,1638.608,61.5403,89.7307
Energy,640.6466,1777.7361,4687.7755,55.0306,14.9946
Energy,590.7357,242.0119,241.2759,46.2385,70.0764
Energy,546.43,384.6978,1240.8632,45.9222,54.5901
Energy,518.5641,931.8493,1255.5884,49.7947,13.4446
Energy,361.8312,323.3116,2162.5166,58.2499,52.9662
Energy,394.7831,1335.3318,4483.1512,53.397,45.9
Energy,200.0987,973.5628,3216.3323,55.4737,28.0838
Energy,474.7796,1042.9559,592.6225,47.2583,14.8165
Energy,214.9922,1916.7765,4164.2521,59.3927,79.9531
Energy,717.9429,1374.5342,3086.3739,53.1339,65.8108
Energy,360.1991,1460.0879,0.0,51.6679,62.5723
Energy,145.9411,1182.0983,4641.7643,56.0219,95.5115
Energy,110.0,587.8625,482.1848,60.3829,11.9943
Energy,557.8454,174.295,3034.4634,45.569,59.8182
Energy,478.2525,1066.0807,3043.8957,45.9605,94.5904
Energy,583.6647,905.3383,3032.0332,46.3648,51.1425
Energy,605.9909,233.1083,4198.6858,62.2132,52.1969
Energy,133.0761,1735.6417,679.1647,63.0519,14.5586
Energy,238.0225,1015.4575,2643.716,58.2782,73.4711
Energy,320.5704,940.969,2771.052,46.3621,81.8205
Energy,161.7096,794.7205,1990.0252,59.4393,20.8306
Energy,226.0105,1401.2316,2512.243,62.139,65.3791
Energy,494.8906,135.3322,2594.1759,62.9253,40.2676
Energy,404.9166,387.3557,3876.6685,60.993,56.1515
Energy,684.2166,1790.3461,837.3183,54.2966,73.0811
Energy,266.93,78.9021,36.2537,54.468,20.8248
Energy,465.8433,1212.9474,4656.8389,54.9942,40.4507
Energy,656.203,513.5244,1789.8948,54.0523,85.9634
Energy,158.9703,1019.5558,3828.4612,55.6277,24.1534
Energy,683.5609,1020.3401,1551.3382,46.8449,67.7451
Energy,339.6046,1290.1725,16.5651,60.0165,84.9558
Energy,622.5854,332.455,1028.7765,45.2045,67.3634
Energy,530.6221,1223.8632,482.8697,45.1227,83.1911
Energy,560.5264,1588.4445,4076.6036,45.4093,57.111
Energy,166.1576,299.0703,718.6131,62.5887,90.1177
Energy,714.7848,1529.9682,4859.9315,64.9729,69.9791
Energy,390.4288,275.9832,3007.0631,51.0761,41.6521
Energy,145.6177,511.8437,1299.9335,47.6596,55.2737
Energy,607.0817,767.0607,2413.1736,45.4481,67.0232
Energy,674.9451,496.2767,4809.8639,63.1243,82.2693
Energy,710.3069,1440.0773,3129.8136,51.9472,23.5526
Energy,459.5595,578.5121,3672.7259,54.9081,98.2477
Energy,377.9189,1474.2316,2449.4645,52.8053,20.8782
Energy,484.477,136.4315,2635.2403,63.1478,58.4667
Energy,310.8965,606.8933,4980.3426,61.6604,14.3741
Energy,381.3814,1843.2355,3041.7542,62.533,50.8682
Energy,447.2238,758.3198,2691.5824,53.825,11.1716
Energy,637.3885,1017.9176,4259.0704,49.7685,15.0477
Energy,647.0868,1511.8027,2227.5157,57.3938,58.5699
Energy,192.5053,81.3516,2179.5857,49.1285,47.274
Energy,200.9852,1361.6513,3749.9844,51.9424,17.0351
Energy,218.8385,154.251,640.619,63.9342,95.1531
Energy,516.9813,1149.4713,658.3331,61.7956,42.7996
Energy,253.8088,1187.5564,3044.6686,54.1169,79.3246
Energy,498.7509,341.3085,904.5572,51.0094,97.3073
Energy,571.5019,1731.3478,2188.0005,56.3007,89.4707
Energy,653.3079,1140.5321,3917.8193,60.2503,71.6972
Energy,671.9113,306.3771,1615.3132,49.0483,13.8506
Energy,270.0997,1781.1057,3793.7428,63.4479,68.4292
Energy,302.3562,1664.7298,1611.6226,48.0644,17.8237
Energy,235.8782,1348.3199,257.233,57.3875,48.105
Energy,555.6928,783.7089,632.1358,55.3818,94.3947
Energy,536.4133,986.1855,2209.7074,51.6347,18.9592
Energy,123.5032,1485.6,1627.7664,56.21,71.4562
Energy,210.9437,596.3573,2178.3727,61.7479,36.9962
Energy,321.3276,1252.7759,2697.4692,52.4849,25.6768
Energy,245.2167,1154.4091,4680.5802,61.9033,34.0614
Energy,466.9743,423.4963,2444.1467,46.3138,43.8754
Energy,149.0136,288.7162,4310.2135,55.5561,83.676
Energy,642.8089,354.1308,4127.6749,50.7562,57.2101
Energy,417.9399,2.7776,4410.374,62.887,43.1835
Energy,505.4954,1562.7888,2802.4692,46.1555,26.4854
Energy,475.0329,1758.7625,1735.143,46.3186,34.5989
Energy,405.6833,1677.9257,3841.5142,61.1514,93.1822
Energy,469.3528,1912.9603,1462.1783,59.9001,31.192
Energy,165.6452,127.0574,4475.1387,48.0714,39.0491
Energy,329.5089,1887.1053,549.0849,64.2096,55.1371
Energy,591.9003,1007.92,3448.4831,62.8639,49.5034
Energy,343.2086,813.4071,2506.988,49.318,37.8981
Energy,278.3204,232.9938,3080.5123,58.2898,12.2883
Energy,483.216,986.3382,479.4257,53.2456,84.7213
Energy,415.3127,1347.4539,4892.2064,56.2594,17.3301
Energy,450.863,163.6117,3455.1449,61.2086,79.7632
Energy,740.1642,1955.8,1276.7472,56.6321,36.9691
Energy,224.441,1772.1576,4568.5179,47.0601,88.3704
Energy,519.8742,1822.477,2365.7937,57.7447,54.4272
Energy,124.506,844.3645,719.0518,48.5714,11.4898
Energy,550.7253,1711.867,2272.1727,53.8835,56.6701
Energy,261.3851,196.2698,1611.7084,53.2493,89.9945
Energy,634.7775,1772.2737,3645.6783,46.9791,15.257
Energy,290.2605,1748.1852,0.0,46.8431,51.9273
Energy,377.3091,1148.6817,4338.7692,60.9175,73.131
Energy,468.1968,1288.4071,2091.1903,55.2585,14.8385
Energy,518.2309,641.6451,543.054,64.6287,29.5252
Energy,318.2074,1899.3414,3848.6484,64.0356,14.3515
Energy,236.8865,98.9673,4722.1011,49.458,61.6712
Energy,529.0274,1756.449,4459.0623,62.7681,82.2816
Energy,407.8886,561.441,773.6357,51.4543,39.0058
Energy,151.574,1609.7842,1017.6158,48.9809,20.6988
Energy,460.6866,38.3239,4908.4754,53.7345,61.2093
Energy,398.2572,469.331,1241.8804,50.7077,86.3102
Energy,431.3613,406.6872,1496.869,55.6837,62.7799
Energy,159.8224,1972.6585,2953.7948,58.0445,29.9111
Energy,424.859,491.5768,1521.2507,51.3299,29.5163
Energy,605.908,768.7059,1995.3517,55.8882,43.0666
Energy,182.9124,603.5128,3775.0412,57.2577,15.6623
Energy,510.0668,2000.0,2892.7788,57.2414,61.384
Energy,225.4435,1262.7057,4162.6105,63.2821,97.5369
Energy,332.8292,600.6715,3934.1617,57.7751,83.1366
Energy,343.0022,1787.3165,4072.9943,52.1864,59.4668
Energy,630.4736,1408.9823,934.0781,46.5609,92.6582
Energy,218.0807,1343.7836,1381.5792,54.2384,61.0423
Energy,295.6387,936.6133,923.1825,57.289,81.5056
Energy,662.2467,1029.976,650.0204,56.079,30.2674
Energy,595.2974,1444.8764,4212.4089,56.487,29.4237
Energy,429.6539,40.0463,0.0,53.0945,87.9498
Energy,313.678,884.6592,3305.5417,64.2331,32.1448
Energy,625.0736,2000.0,4311.3259,57.6366,61.0872
Energy,468.8432,1295.9566,806.2337,49.2592,25.507
Energy,325.5963,804.4913,4621.3807,45.0,63.7549
Energy,318.137,387.293,4817.9892,56.5225,48.4741
Energy,394.1596,674.8039,2757.6603,60.7399,83.6436
Energy,718.3406,977.8413,3255.8026,46.5082,81.4301
Energy,549.5181,1255.9517,911.2164,54.5921,32.3017
Energy,554.1226,1947.5605,4927.8787,64.2754,56.3787
Energy,364.3504,1056.1033,3574.371,54.1755,97.0018
Energy,738.4737,735.9675,2621.0001,62.0429,54.1834
Energy,378.2667,457.0307,2440.7181,47.6189,50.3891
Energy,110.3661,1548.6196,3099.3207,53.7539,13.951
Energy,642.2477,930.9937,1036.5683,52.0621,62.413
Energy,439.5246,1415.8509,3003.5318,45.5538,94.7967
Energy,205.0633,601.3854,405.6555,54.5156,91.8547
Energy,151.7322,763.7466,2912.9879,53.6844,73.4941
Energy,765.0,1848.5334,2717.5907,57.8391,40.8273
Energy,531.346,481.296,1876.252,56.5717,75.8456
Energy,415.5377,609.1079,602.885,54.0809,62.1964
Energy,344.009,1023.0557,2887.7738,47.0814,59.1687
Energy,142.8744,1020.3424,2083.4671,54.3448,87.6743
Energy,532.4477,151.9563,1500.8518,65.0,32.4864
Energy,351.9326,1968.9987,1938.1829,51.0321,59.7384
Energy,760.3991,586.3523,218.702,52.7252,68.5006
Energy,173.7836,83.8406,411.9699,61.9283,96.7069
Energy,268.0479,502.3127,760.4798,55.8156,10.0
Energy,349.2663,813.3108,2772.2898,45.0,53.0861
Energy,640.0926,445.2064,1510.5942,55.94,30.2671
Energy,608.092,305.2203,1266.3992,61.9684,82.9863
Energy,294.6166,953.8264,3149.8299,58.1628,35.6403
Energy,346.8847,1599.2028,3052.8218,59.9587,36.1966
Energy,135.265,1383.7137,1694.0527,45.5985,70.7754
Energy,338.1541,861.2507,4792.1299,48.4134,36.757
Energy,216.6173,265.8237,2117.1808,56.7092,48.5553
Energy,718.1729,1942.9011,972.7735,48.2864,10.2869
Energy,645.2141,668.0219,4482.9412,60.0482,43.2576
Energy,205.6258,181.4069,3550.5797,49.7376,74.7989
Energy,473.7545,731.6202,3717.1511,51.4054,56.6803
Energy,750.4931,1435.8999,4367.7126,46.0922,26.2614
Energy,397.028,497.0498,3815.2528,53.1394,84.8276
Energy,408.0416,407.6009,4259.3211,50.5022,40.1966
Energy,320.4476,552.5836,1194.2408,45.8744,88.4327
Energy,434.194,1171.0801,3074.5996,47.3543,89.7123
Energy,498.7861,1777.008,3330.0443,52.902,21.3209
Energy,179.2598,278.3732,1575.2471,51.5422,96.6486
Energy,165.5098,272.3975,4837.4065,62.7744,12.0955
Energy,609.9748,868.7416,4108.5396,50.3531,45.7598
Energy,730.3641,218.2485,4534.9518,53.0456,24.9704
Energy,434.3475,1997.1978,624.7925,53.4907,22.343
Energy,662.5457,1727.597,209.6199,57.1818,18.9849
Energy,677.0623,154.0327,17.0801,63.4897,10.0
Energy,348.3909,1807.7517,4225.8703,57.9668,81.5517
Energy,307.4726,597.6828,2709.6425,61.3659,31.636
Energy,580.9206,678.6086,1645.0038,49.1647,12.2542
Energy,698.2433,699.0149,4124.4329,62.1698,26.7672
Energy,673.4037,137.9258,3253.0967,58.6699,13.2518
Energy,308.6173,1581.7878,3156.0198,51.7155,12.8039
Energy,350.2991,319.7705,4053.1246,62.93,81.4405
Energy,599.2074,473.0884,2232.7755,58.1564,11.0519
Energy,311.3446,1576.2888,986.8283,53.8012,92.3514
Energy,665.8501,75.1077,4528.0608,59.3281,28.4624
Energy,446.498,729.5565,4174.6287,45.2893,95.2957
Energy,295.1641,1045.9487,1071.5819,51.3423,77.496
Energy,302.49,257.0395,1422.5914,60.3288,32.9547
Energy,635.1971,815.0483,4009.406,61.9539,33.3836
Energy,207.2131,709.1066,4825.0619,60.4018,31.7965
Energy,734.322,662.914,3827.1086,60.0329,24.9567
Energy,382.768,587.6337,222.9955,55.4698,30.4395
Energy,654.4853,680.9048,1950.5379,47.7788,67.1829
Energy,645.396,770.68,3919.3609,47.1701,67.9988
Energy,619.5951,213.3255,2394.9647,63.5625,26.3411
Energy,556.5478,422.8384,3423.0105,49.5123,86.7294
Energy,401.0449,1769.8484,0.0,49.725,81.3573
Energy,388.4477,1918.9572,1081.4476,59.3639,54.9362
Energy,511.8036,1993.6653,3762.6659,60.2173,24.4094
Energy,440.0844,975.7339,907.3161,53.2222,48.3359
Energy,335.4087,312.7118,4984.2857,46.8155,44.1293
Energy,426.0884,1391.5356,1888.4273,54.2178,88.8024
Energy,329.3665,1924.8717,815.9908,60.7477,88.7904
Energy,530.0855,38.5363,1090.0839,62.4791,13.2483
Energy,685.5262,47.7645,772.5356,57.3963,10.0
Energy,630.0658,1189.0038,1688.3088,59.7155,76.3091
Energy,351.2208,26.1361,2891.8359,45.0883,21.8723
Energy,443.1568,760.3077,4252.1619,49.6446,26.2355
Energy,110.0,752.329,4632.2238,60.5512,95.8308
Energy,676.5154,222.141,2878.5387,55.713,41.7609
Energy,269.681,1488.9562,3130.7733,56.4271,87.8079
Energy,393.7808,244.2214,2671.1078,61.2701,26.093
