Application,Units_Produced,Defects_count,Machine_Time_hours,Labour_Hours,Cost_USD
Manufacturing,8744,464,451.5518,7297.9668,923261.0978
Manufacturing,31324,515,46.2476,9218.9335,867860.4966
Manufacturing,91037,576,907.1391,1007.6384,485173.4728
Manufacturing,83986,780,521.1986,3640.4395,551231.7957
Manufacturing,36940,310,537.6546,4959.1028,167999.3766
Manufacturing,99569,270,789.3219,9487.4604,857287.6146
Manufacturing,45542,296,510.0817,2025.6147,183921.2361
Manufacturing,36411,227,432.4325,8230.5685,185105.9941
Manufacturing,18332,700,18.7641,9250.1163,965580.5378
Manufacturing,64181,687,687.1156,7708.5042,330008.7236
Manufacturing,13841,108,459.0933,1132.4316,968763.6155
Manufacturing,82694,165,947.7975,8612.1888,955067.8717
Manufacturing,86456,194,854.7249,8156.2195,914134.0121
Manufacturing,6561,588,33.9288,2678.6598,940668.1242
Manufacturing,84328,794,685.9213,5452.6967,616090.9933
Manufacturing,89699,187,679.6825,8569.441,29416.3978
Manufacturing,47305,388,838.2625,1374.2799,886554.0364
Manufacturing,36135,530,988.7266,6362.3644,941897.8348
Manufacturing,79906,703,447.5318,5135.2387,768604.4146
Manufacturing,13444,230,725.3889,4724.6591,629799.1569
Manufacturing,61785,404,850.0876,231.5805,182459.2321
Manufacturing,44166,105,593.9366,6453.1322,916975.6463
Manufacturing,77676,163,184.9568,2914.7154,80603.0022
Manufacturing,2169,562,139.388,8127.5526,372858.9399
Manufacturing,25662,91,732.1369,10000.0,383554.0174
Manufacturing,41835,16,974.0169,7735.4782,846670.8749
Manufacturing,21720,790,284.9401,1899.3123,112604.2821
Manufacturing,61225,118,913.3388,3001.0337,197750.5593
Manufacturing,62190,958,992.112,8635.2534,270147.8421
Manufacturing,93103,206,334.08,849.809,371847.3873
Manufacturing,93829,959,123.2028,1582.0786,578947.4581
Manufacturing,1928,337,336.7948,7711.532,867300.724
Manufacturing,47360,303,478.7324,225.0531,438622.7127
Manufacturing,92215,244,271.3243,3324.9823,253583.432
Manufacturing,27552,728,984.389,7538.6967,64717.6358
Manufacturing,22781,550,145.8756,1113.5606,275503.1663
Manufacturing,34262,471,303.7198,4268.8818,405513.2099
Manufacturing,5318,577,309.1286,5118.7837,711593.5995
Manufacturing,8765,125,552.3046,6049.8554,375204.2383
Manufacturing,56037,537,653.1681,6689.1047,777128.323
Manufacturing,6285,912,33.4797,1425.3475,353978.6238
Manufacturing,25360,162,957.3223,3594.3085,0.0
Manufacturing,76646,748,887.9823,862.8496,125906.6473
Manufacturing,94770,962,1000.0,9196.6515,222539.4213
Manufacturing,42117,327,409.9208,4835.4869,388259.8934
Manufacturing,42254,661,13.0867,3350.2784,54392.5471
Manufacturing,89711,770,668.9962,8014.845,833408.7091
Manufacturing,96319,389,125.3725,6751.4197,226118.2215
Manufacturing,26406,434,546.0158,4764.7388,791101.7548
Manufacturing,89519,448,82.9739,6017.8971,591916.8595
Manufacturing,35555,634,604.9388,8658.823,918816.3176
Manufacturing,13733,450,942.575,6921.3155,377313.6225
Manufacturing,93724,525,481.9089,8196.1824,704758.5143
Manufacturing,90622,592,82.8007,3554.6931,405040.3117
Manufacturing,24455,864,31.8079,6686.147,748805.3875
Manufacturing,39,366,24.5592,1232.8352,410664.4998
Manufacturing,20126,156,100.7048,2041.4163,919160.2139
Manufacturing,47982,891,581.6631,4078.8419,972386.0042
Manufacturing,95602,59,98.4094,9599.1969,935605.743
Manufacturing,96669,229,262.0537,8177.3236,700787.5247
Manufacturing,92896,649,342.4487,3060.0834,231666.9792
Manufacturing,92896,764,19.7771,868.6133,853470.1631
Manufacturing,16678,252,321.5317,2437.74,189492.282
Manufacturing,59098,486,198.7078,1958.7128,765281.1019
Manufacturing,75776,550,91.7288,17.2987,963359.1533
Manufacturing,95921,745,936.4959,8257.8013,399046.7581
Manufacturing,36406,227,714.6805,8056.661,35955.6347
Manufacturing,39538,788,244.1992,3906.532,809685.2078
Manufacturing,21996,544,295.3277,1797.3867,825433.1849
Manufacturing,60686,119,510.5412,1116.4889,228645.9904
Manufacturing,29954,883,943.4297,1253.6088,549670.2189
Manufacturing,36458,688,91.736,1575.4489,405310.2963
Manufacturing,22264,223,653.0319,892.834,12934.1303
Manufacturing,61585,268,925.4583,9310.8191,742367.1886
Manufacturing,36831,984,611.521,2720.7901,328298.5354
Manufacturing,44684,961,835.0909,880.1823,958717.1654
Manufacturing,92434,35,659.7238,7192.5616,820364.01
Manufacturing,53426,268,119.2346,9299.6144,803778.8146
Manufacturing,15443,129,525.2024,7741.3757,743985.092
Manufacturing,3430,129,32.004,8524.4534,536051.1629
Manufacturing,91042,604,494.014,4681.5569,192242.5272
Manufacturing,91720,968,533.1899,4270.4464,564997.5113
Manufacturing,53721,29,738.081,7433.4211,132246.1953
Manufacturing,22338,545,12.3153,9461.9153,943242.6301
Manufacturing,47988,163,351.9553,1567.3054,123204.8445
Manufacturing,56652,550,802.2102,706.3882,34833.8018
Manufacturing,94985,921,402.4856,3875.7176,45360.3748
Manufacturing,75993,497,859.3866,5819.6647,812255.6668
Manufacturing,7369,992,679.1463,3007.7398,415181.5622
Manufacturing,94509,567,664.5206,5893.377,195737.2889
Manufacturing,40349,630,374.9717,15.3974,767713.8738
Manufacturing,11708,830,207.3667,673.5425,527592.9823
Manufacturing,15046,927,724.39,7884.5693,563275.512
Manufacturing,18969,51,244.4124,1876.3343,526877.9204
Manufacturing,79573,155,881.9333,8477.6226,886763.3537
Manufacturing,10281,723,910.5584,9837.1154,380789.3462
Manufacturing,2609,651,690.5907,7596.3388,937642.1156
Manufacturing,28256,271,22.1761,8274.1119,123160.0946
Manufacturing,4584,557,890.3135,4827.6727,615072.848
Manufacturing,84165,631,171.8203,2776.1837,718116.3508
Manufacturing,70185,705,497.7209,6600.7683,637203.207
Manufacturing,95894,603,67.6898,1593.9177,918681.8978
Manufacturing,824,527,650.0555,2044.9405,222192.284
Manufacturing,80428,732,446.997,7598.1777,785697.6089
Manufacturing,75576,586,951.923,1365.9739,397551.4934
Manufacturing,44840,218,323.2352,9614.8706,296380.2756
Manufacturing,99610,364,19.0875,7657.6825,56999.8311
Manufacturing,69848,513,992.1285,8899.2282,136993.0536
Manufacturing,52583,108,119.4395,5025.1335,308932.9837
Manufacturing,23185,166,670.2482,4956.702,623105.1968
Manufacturing,9010,653,486.7042,8136.7299,959435.313
Manufacturing,64926,237,95.7132,5521.2139,301882.3709
Manufacturing,83268,969,698.7819,485.4067,84531.5074
Manufacturing,56639,344,14.7534,3744.5943,356314.1519
Manufacturing,79263,722,748.129,7340.3717,1000000.0
Manufacturing,78749,659,437.5162,3011.5984,751758.7945
Manufacturing,4334,926,668.4397,686.7747,170391.4958
Manufacturing,22393,95,657.471,6803.9578,207560.4512
Manufacturing,94419,85,758.5879,8069.4181,595631.8072
Manufacturing,93064,141,496.0796,3381.1731,221579.5
Manufacturing,84798,336,384.5783,2331.7319,992677.0141
Manufacturing,90305,698,585.3892,9752.5183,804442.3908
Manufacturing,80271,936,874.5072,5803.8918,15315.2061
Manufacturing,44294,689,309.0062,900.8812,271642.861
Manufacturing,16227,619,842.542,4096.0532,314176.1549
Manufacturing,561,737,924.1747,4299.252,820816.4704
Manufacturing,58010,73,20.7024,4036.2656,414243.7136
Manufacturing,36779,85,283.6925,1290.751,318505.6917
Manufacturing,62526,144,436.7528,9204.8267,653739.9777
Manufacturing,10444,738,103.7322,8894.4791,818242.6902
Manufacturing,7819,504,1000.0,8546.4964,930004.1174
Manufacturing,79955,184,334.2132,8416.1121,857798.209
Manufacturing,82673,923,573.6377,5642.0215,687419.8024
Manufacturing,30833,760,823.1857,5928.2496,398228.3393
Manufacturing,50943,673,622.8754,7867.7229,497075.3395
Manufacturing,66213,213,550.6228,1900.1221,579920.1819
Manufacturing,88912,903,942.4888,4559.8464,531582.0138
Manufacturing,77474,173,628.0522,3692.3088,949754.829
Manufacturing,11736,393,817.0403,5090.8769,760040.984
Manufacturing,51959,977,685.837,4740.9001,57052.0335
Manufacturing,9108,231,129.3981,1861.2975,615441.9255
Manufacturing,9379,610,690.3629,8708.9684,730683.4951
Manufacturing,38004,405,783.2799,5656.542,340234.9948
Manufacturing,42576,995,846.0617,7777.3955,167440.8249
Manufacturing,53859,481,0.0,2879.7869,267974.568
Manufacturing,19763,555,404.9043,6813.2329,209526.3291
Manufacturing,93262,191,398.2864,3271.1198,571376.4825
Manufacturing,47697,228,107.0755,2516.0013,440432.8736
Manufacturing,57956,665,246.2071,5656.3311,1000000.0
Manufacturing,60970,85,954.982,2827.0293,979541.7875
Manufacturing,26047,38,111.3453,3552.4751,836398.8358
Manufacturing,91611,793,271.7164,5790.2875,610299.3631
Manufacturing,14299,760,878.3319,6993.0483,127598.0944
Manufacturing,23485,117,1000.0,2157.3227,344479.0809
Manufacturing,49196,980,698.4151,7664.6103,431028.0104
Manufacturing,69621,407,355.2733,2646.1343,724490.4151
Manufacturing,74391,689,878.1147,6338.495,706137.3043
Manufacturing,10511,231,784.6261,9560.9605,742009.5027
Manufacturing,98839,295,831.7025,142.5979,932195.1864
Manufacturing,54968,44,566.6332,3038.57,404537.5884
Manufacturing,87429,947,41.7065,4179.7964,136248.5435
Manufacturing,57213,807,335.6715,5729.9455,860879.4964
Manufacturing,41624,541,899.07,5279.3885,1000000.0
Manufacturing,86875,51,353.3471,7215.9323,695270.0557
Manufacturing,37394,655,474.8146,5906.1659,266010.7856
Manufacturing,32294,373,624.0159,5984.7471,422438.384
Manufacturing,18961,105,748.102,3531.8471,400360.3115
Manufacturing,37302,55,870.4542,1911.7209,623616.1019
Manufacturing,31654,630,250.0513,3424.6525,692813.6384
Manufacturing,48315,861,610.9416,35.0387,352369.0255
Manufacturing,61128,808,233.3633,2219.8102,882713.1967
Manufacturing,20673,421,924.9827,3072.5218,517656.6291
Manufacturing,69747,390,623.2614,7773.2964,810137.0103
Manufacturing,46180,290,468.9901,346.5381,892368.9875
Manufacturing,33479,998,631.4692,68.9244,827710.1591
Manufacturing,11461,216,688.4687,8680.4322,621242.875
Manufacturing,94661,965,114.3683,3737.1568,240546.2134
Manufacturing,85461,373,341.7081,45.553,634702.6052
Manufacturing,79643,167,20.7442,9885.1461,666900.3728
Manufacturing,91077,717,776.1055,3442.5778,405817.1148
Manufacturing,3192,10,259.599,8666.057,555750.443
Manufacturing,34744,542,59.664,6723.8708,545836.4866
Manufacturing,74001,569,800.1582,620.9631,3429.4055
Manufacturing,71624,285,891.0521,320.3232,601742.6189
Manufacturing,71182,541,0.0,7569.9651,71962.606
Manufacturing,72185,85,287.467,6934.3455,333827.3869
Manufacturing,40407,905,778.5468,1225.3074,453589.0866
Manufacturing,94056,485,839.7454,8193.7744,732762.1158
Manufacturing,46841,257,467.924,6672.5003,205005.2512
Manufacturing,53978,609,939.8479,4981.0844,907473.9244
Manufacturing,44524,993,521.8846,8823.6402,36854.1602
Manufacturing,6044,656,600.0774,2843.7817,32618.5714
Manufacturing,47138,699,167.2636,6851.4323,167521.3258
Manufacturing,31710,95,688.1295,9232.254,158913.6278
Manufacturing,57689,0,267.8611,6506.7397,596682.956
Manufacturing,54999,363,547.0391,4438.9676,770776.4041
Manufacturing,13933,569,625.8286,9346.3068,703678.0704
Manufacturing,84260,556,366.729,5460.4353,172459.0078
Manufacturing,65814,114,759.0884,4679.7484,890541.6672
Manufacturing,95147,58,689.7028,8239.2864,181138.7653
Manufacturing,67380,760,0.0,2778.941,603249.0396
Manufacturing,89767,415,590.9834,7095.5689,532432.4303
Manufacturing,86137,805,84.0589,7636.8423,593094.3947
Manufacturing,36591,315,290.8891,3731.9855,268608.059
Manufacturing,94969,683,651.7369,5743.5146,593308.1104
Manufacturing,35511,67,231.659,3738.0698,390107.5113
Manufacturing,17875,763,119.1986,5982.3584,705055.2623
Manufacturing,63840,231,388.834,7407.7936,421874.9029
Manufacturing,2295,209,393.3601,5010.5024,33787.8698
Manufacturing,66205,844,137.4915,9365.3644,447777.0513
Manufacturing,99412,954,733.5015,3534.5884,74249.8717
Manufacturing,33327,514,94.1334,5379.0011,754264.5136
Manufacturing,44909,676,736.9923,4118.8367,264554.2149
Manufacturing,90412,237,599.6237,5420.8171,204175.474
Manufacturing,56400,540,708.7381,5194.7433,855304.1991
Manufacturing,14449,440,382.3787,4016.7802,563817.5678
Manufacturing,95914,711,693.4105,3064.5716,876442.4884
Manufacturing,98493,607,373.5567,6849.0482,340648.2365
Manufacturing,66044,430,763.7282,4137.6491,239490.9861
Manufacturing,87819,285,720.4541,6640.8889,283729.4755
Manufacturing,28252,684,54.6525,5391.1454,1000000.0
Manufacturing,75526,213,196.9606,641.491,811788.4522
Manufacturing,72281,40,197.4097,3523.9243,724530.2968
Manufacturing,22152,67,141.5968,7994.952,187067.6785
Manufacturing,29381,216,805.1983,7399.8506,56830.513
Manufacturing,99026,143,553.3899,8852.2416,359851.5973
Manufacturing,22716,535,392.587,813.1422,927932.8545
Manufacturing,75504,301,204.0755,7758.8281,343133.9163
Manufacturing,66414,540,482.7101,5080.6052,672134.4648
Manufacturing,88771,685,807.3796,4286.0321,411379.6934
Manufacturing,23903,524,653.1642,3590.8238,32362.1916
Manufacturing,93106,871,546.3353,5137.657,245757.5124
Manufacturing,89102,251,940.5987,7765.611,874600.1568
Manufacturing,43906,858,632.3652,9383.8644,989505.1767
Manufacturing,88641,615,102.8861,9196.7165,64599.785
Manufacturing,52521,930,638.3993,2178.0907,421053.8779
Manufacturing,63309,92,579.258,7039.453,320459.5167
Manufacturing,51505,65,926.4464,9810.8762,113364.6881
Manufacturing,25106,226,618.3999,6373.6485,58493.004
Manufacturing,4524,874,748.806,3485.3613,813527.0555
Manufacturing,63478,521,880.9202,8128.338,970630.3189
Manufacturing,25418,494,765.6255,8627.3649,368338.1294
Manufacturing,34272,15,460.4501,785.2401,298360.0737
Manufacturing,47252,765,150.4871,3526.2558,701226.5225
Manufacturing,53559,4,259.3294,6203.0554,402232.6942
Manufacturing,9207,415,171.5409,8414.2751,664565.6901
Manufacturing,3028,586,473.9925,2305.0845,795875.3083
Manufacturing,40307,805,679.981,9046.8695,408343.7168
Manufacturing,74332,511,33.7038,3216.8947,29882.5239
Manufacturing,72485,99,560.2769,2350.0724,593472.188
Manufacturing,13831,351,156.5773,114.2607,771667.3152
Manufacturing,76583,417,497.984,3060.0131,530592.0096
Manufacturing,26655,339,747.7775,7313.6322,397942.7931
Manufacturing,51311,29,485.9464,6174.1336,928100.4633
Manufacturing,63030,853,71.0136,4522.5749,941166.8827
Manufacturing,2859,369,909.7064,6585.3217,680683.1455
Manufacturing,70689,538,474.7041,5034.4807,608502.9435
Manufacturing,91028,493,890.084,4370.9116,169150.0422
Manufacturing,15635,998,954.7135,1107.1818,255728.0479
Manufacturing,96666,462,673.8464,3828.5504,954545.4309
Manufacturing,1073,358,107.8459,916.3787,830527.3642
Manufacturing,39702,592,934.9691,6321.6732,946355.7957
Manufacturing,22900,60,848.1398,8520.0356,714020.7509
Manufacturing,35006,44,798.9902,1189.8144,829405.4349
Manufacturing,12985,250,140.2685,7102.3706,784524.671
Manufacturing,86270,143,384.1701,2096.7132,947975.8272
Manufacturing,94799,448,40.5443,1493.4648,666681.948
Manufacturing,2124,129,681.3288,7795.6512,401116.1923
Manufacturing,7380,401,857.6069,5888.6423,51588.9932
Manufacturing,41222,525,641.0247,9493.3711,608266.5976
Manufacturing,46680,692,455.0882,9990.2192,842173.2353
Manufacturing,52452,123,833.3053,6792.0352,199805.2013
Manufacturing,13340,56,291.9293,4229.3106,573201.9669
Manufacturing,72496,482,245.1814,2881.974,64746.2392
Manufacturing,90141,345,565.1094,1733.324,615498.3445
Manufacturing,87789,105,978.661,4639.966,977755.4758
Manufacturing,95444,688,492.6961,4663.3559,319347.8117
Manufacturing,12449,657,424.8063,0.0,203856.6092
Manufacturing,8372,437,452.1825,6871.363,757036.94
Manufacturing,25627,442,56.3109,3401.6551,560823.5803
Manufacturing,91390,543,442.3699,8492.6237,509639.083
Manufacturing,77139,45,540.9441,3606.7342,716233.4776
Manufacturing,6914,632,404.5741,9260.6454,613373.3654
Manufacturing,78743,324,145.9842,7102.474,892157.3018
Manufacturing,1869,403,728.872,4353.8318,396826.6601
Manufacturing,78611,108,86.9292,4971.2724,281910.459
Manufacturing,18695,49,801.379,4037.4237,732977.6618
Manufacturing,38417,494,75.8852,4592.9185,841811.4135
Manufacturing,54928,115,247.6209,616.1308,159304.2792
Manufacturing,77119,913,981.1235,2656.2163,888219.4476
Manufacturing,16899,789,321.4659,9521.3242,526473.9353
Manufacturing,45718,644,674.0315,5696.8232,611702.1116
Manufacturing,39217,895,836.449,104.0172,501651.296
Manufacturing,9931,708,535.165,9792.7439,250633.304
Manufacturing,34209,304,464.8491,3544.7621,899398.1741
Manufacturing,35584,329,146.9509,9048.355,951663.4896
Manufacturing,29405,288,285.1337,9396.0529,590481.0193
Manufacturing,88724,552,775.9408,4810.9745,241409.4279
Manufacturing,72305,903,337.0789,4326.469,814175.9469
Manufacturing,53026,231,79.7195,4001.162,279514.4645
Manufacturing,45518,988,668.6361,5137.076,124072.4667
Manufacturing,44054,522,643.8741,6265.7595,473458.8915
Manufacturing,11962,201,721.4469,955.6634,737128.7929
Manufacturing,36160,76,387.7597,7371.2069,300004.6773
Manufacturing,41498,201,828.5169,3715.2898,77694.9931
Manufacturing,45036,670,522.9825,5287.2993,923324.5252
Manufacturing,73811,490,348.1798,9722.1803,105218.1384
Manufacturing,82406,853,654.3752,9744.0308,167272.4518
Manufacturing,61855,438,72.653,1734.0064,838905.8881
Manufacturing,26476,892,896.5698,3976.8957,628382.6813
Manufacturing,84379,343,847.9933,2941.7791,314532.4987
Manufacturing,14596,690,0.0,2079.8757,839567.9655
Manufacturing,40322,862,655.3898,8010.2856,404609.8987
Manufacturing,26464,61,457.2293,1384.873,23932.3884
Manufacturing,90468,148,167.1357,2702.571,280212.3406
Manufacturing,62032,972,51.0036,1272.3566,484033.287
Manufacturing,55741,634,630.4931,5526.0863,557212.5141
Manufacturing,38371,537,38.6449,242.2579,757658.9747
Manufacturing,66226,987,233.1895,3170.2215,174848.1488
Manufacturing,41058,591,719.9088,9691.2887,801399.4031
Manufacturing,70218,396,408.8382,342.1865,495425.6946
Manufacturing,65346,248,362.3319,9123.5131,3350.4375
Manufacturing,3034,962,790.5191,3634.3704,454261.2779
Manufacturing,89835,723,810.7176,3232.5064,267696.3247
Manufacturing,34362,427,576.8543,5771.9086,209899.1418
Manufacturing,73478,843,230.4431,9362.3818,387897.2366
Manufacturing,4914,717,626.6319,1654.4285,575912.7143
Manufacturing,51594,898,209.9734,3351.4345,608637.5747
Manufacturing,42920,915,335.8913,5082.3955,912953.8187
Manufacturing,78638,5,150.5483,9581.5016,931562.7715
Manufacturing,72674,259,763.3994,9213.4992,566109.5129
Manufacturing,20581,534,0.0,4111.6383,89561.8773
Manufacturing,30136,4,114.5253,197.1739,98095.4348
Manufacturing,68777,139,141.9149,3432.624,73551.2466
Manufacturing,61266,315,603.7792,3730.1387,488009.2913
Manufacturing,92264,217,901.8834,8577.1556,509648.052
Manufacturing,54061,351,466.5999,4778.3073,255708.0903
Manufacturing,54728,921,775.0544,1787.0907,810301.9491
Manufacturing,24004,348,867.1527,4766.7201,154812.6909
Manufacturing,69339,442,509.4112,5859.4122,818858.2112
Manufacturing,71534,107,409.6886,2003.7787,0.0
Manufacturing,17234,396,950.5882,1726.2527,660130.3697
Manufacturing,33583,648,829.4849,8494.387,865009.3176
Manufacturing,59964,840,797.8608,2480.6488,854152.7201
Manufacturing,58545,508,657.9779,1995.6056,509266.9141
Manufacturing,38061,993,41.8229,729.946,296591.3953
Manufacturing,29748,170,725.1716,3870.8045,428190.3844
Manufacturing,87834,918,814.101,823.4846,593793.0938
Manufacturing,882,984,910.0669,8747.6138,988815.5481
Manufacturing,94700,21,785.1505,4288.7203,925349.9441
Manufacturing,69622,81,859.037,7011.9311,837873.6006
Manufacturing,15680,297,464.2905,2420.5071,754255.6482
Manufacturing,51381,944,327.3295,9474.0455,17017.3163
Manufacturing,30948,415,13.6475,4623.3963,351772.9502
Manufacturing,58395,211,898.339,10000.0,199116.1393
Manufacturing,55683,903,655.6672,5279.6903,990153.0688
Manufacturing,22269,222,929.8826,334.8679,540884.8868
Manufacturing,66747,766,983.6759,7594.754,403920.464
Manufacturing,20814,788,905.7209,2852.4974,161648.6177
Manufacturing,92990,78,180.6846,9109.2972,825547.0064
Manufacturing,43751,320,152.6195,3216.2202,983320.1509
Manufacturing,47915,282,873.7049,7310.3048,604801.2018
Manufacturing,19570,145,645.9049,8176.0288,226619.7268
Manufacturing,76555,77,318.8005,1429.029,453088.4472
Manufacturing,56876,300,169.5176,9096.3586,942127.208
Manufacturing,96651,841,312.3786,7964.5649,828592.6758
Manufacturing,57339,560,857.8775,2507.6376,531508.6523
Manufacturing,39909,560,234.794,3977.8957,667564.5845
Manufacturing,47464,351,500.91,4047.9148,282261.6426
Manufacturing,28632,240,100.0318,9304.1271,468626.3489
Manufacturing,96977,132,827.0251,8206.3208,598563.8999
Manufacturing,92223,64,789.8067,8873.5994,847439.3193
Manufacturing,9972,943,377.9509,4371.6754,322446.3129
Manufacturing,32286,441,196.3728,6665.2703,784608.9322
Manufacturing,91595,278,442.7235,7291.1441,457192.0819
Manufacturing,41361,234,871.1924,8213.0993,330757.172
Manufacturing,98949,991,384.687,8692.1056,286492.3534
Manufacturing,51330,110,833.3464,8459.6679,784193.3066
Manufacturing,30092,810,888.2423,1191.0441,104865.1138
Manufacturing,36924,303,756.6851,4215.0748,685484.4632
Manufacturing,17733,523,536.5528,5415.2182,713970.0286
Manufacturing,7124,416,662.7652,304.624,142993.08
Manufacturing,85429,111,137.0699,2711.5046,96286.5148
Manufacturing,7811,967,309.793,2218.9241,235142.5642
Manufacturing,20831,903,457.9457,3604.4716,281916.5596
Manufacturing,64139,650,148.8564,8813.3868,334730.7433
Manufacturing,7285,874,960.8369,5421.7975,781496.2586
Manufacturing,53692,340,272.861,6847.0722,792046.709
Manufacturing,16764,108,377.7738,8795.2229,217730.6805
Manufacturing,72518,864,107.7619,6300.2272,425641.4573
Manufacturing,67688,975,279.1014,4120.2338,899329.5008
Manufacturing,17810,585,149.8942,6516.5064,415594.8604
Manufacturing,796,529,619.7525,6953.3376,461197.8909
Manufacturing,82379,826,571.3779,4928.6407,441517.5145
Manufacturing,27028,801,109.5496,9469.2512,91133.108
Manufacturing,58232,398,883.8269,3592.3114,295405.2274
Manufacturing,92154,315,806.815,9457.2156,130815.2777
Manufacturing,90357,483,549.7046,406.0134,960548.1609
Manufacturing,98882,340,372.8142,7026.2479,201638.3711
Manufacturing,25449,451,621.5216,7641.8269,852535.6562
Manufacturing,97046,687,108.2904,937.2881,744645.9174
Manufacturing,22989,762,73.4912,8938.9352,832432.2321
Manufacturing,50620,992,661.3222,7445.193,96151.9356
Manufacturing,99304,598,0.0,1387.6261,590110.4602
Manufacturing,18620,55,545.4442,7185.9692,1000000.0
Manufacturing,59628,189,730.934,7946.1732,929877.6523
