Application,CO2_ppm,PM2_5_ug_per_m3,Temperature_C_env,Noise_dB,AQI
Environmental,947.2845,287.76,37.5885,28.7651,377.1711
Environmental,1000.0,144.5286,24.918,70.3121,123.3795
Environmental,827.848,460.8167,18.7541,84.5218,48.3673
Environmental,304.5013,0.0,-24.2012,27.6046,419.2848
Environmental,794.2309,409.5566,-0.7647,74.8953,39.78
Environmental,935.7759,84.6956,23.2094,46.6402,129.6454
Environmental,966.815,329.046,12.9066,109.4358,319.6104
Environmental,566.9641,137.8484,-12.9265,103.6697,240.0782
Environmental,563.5987,57.6179,-11.9388,114.1351,426.9918
Environmental,673.6009,186.276,17.2244,140.0,406.7985
Environmental,678.4157,425.6657,-30.0,106.6108,51.932
Environmental,713.109,272.9406,46.0789,73.2358,356.7023
Environmental,999.622,119.3519,46.9891,96.9893,294.1164
Environmental,826.054,241.7434,41.5736,30.2084,65.3608
Environmental,494.0268,163.0286,-12.0983,23.8803,426.0226
Environmental,796.1411,360.7638,2.607,42.2155,208.2285
Environmental,658.4142,28.0793,14.6786,61.337,357.6016
Environmental,358.5471,473.723,17.3895,102.3608,337.0313
Environmental,1000.0,302.885,17.8276,64.3974,491.7703
Environmental,347.2852,153.8265,5.838,95.4047,302.0983
Environmental,695.8124,469.7022,-9.5338,27.9917,81.7913
Environmental,630.23,157.8309,43.2439,53.6302,466.2768
Environmental,777.7109,470.249,27.2879,122.4413,59.002
Environmental,525.7917,251.25,23.8429,23.6112,383.9893
Environmental,300.0,184.5227,-22.1084,74.5207,348.152
Environmental,862.7344,368.0567,-3.9662,91.3258,92.9022
Environmental,914.7751,365.2271,45.9226,47.3865,464.544
Environmental,681.9704,41.8175,-0.6761,133.5732,427.557
Environmental,948.2008,85.82,45.4096,92.7636,305.4875
Environmental,533.4007,55.2862,46.1839,64.4958,331.3276
Environmental,885.203,197.6466,-11.3035,26.3254,470.9957
Environmental,484.7424,207.0689,36.296,100.8688,152.4204
Environmental,653.732,241.0874,7.8057,55.6118,87.6844
Environmental,370.721,5.8657,9.9869,79.1133,420.3731
Environmental,844.1887,476.5161,1.506,126.2851,255.0603
Environmental,561.2232,398.809,44.004,96.2554,376.1948
Environmental,883.6896,229.8299,38.4033,73.3207,116.5466
Environmental,851.5384,259.8942,16.1326,74.8467,300.1983
Environmental,811.8709,461.2784,6.0611,31.5081,78.9474
Environmental,816.4178,465.7048,6.8628,37.3853,440.2102
Environmental,318.2819,134.0686,-12.3637,75.7059,127.3125
Environmental,370.4517,133.841,37.59,39.6454,478.1026
Environmental,562.3768,319.4753,4.8238,60.547,48.5141
Environmental,475.2526,151.6859,39.6022,132.3311,415.8595
Environmental,409.6295,451.33,-21.8082,34.1419,1.8446
Environmental,341.4166,350.7638,15.0746,38.4852,43.1148
Environmental,976.9145,188.1218,-15.6109,103.9126,203.1875
Environmental,352.8901,280.779,1.0374,50.266,396.5175
Environmental,481.9654,146.3527,42.5847,121.5689,141.8707
Environmental,728.558,374.2935,6.5939,77.1671,154.394
Environmental,683.0406,284.4938,42.125,109.6718,334.4442
Environmental,594.2332,103.8019,21.1103,44.1258,5.34
Environmental,697.9853,382.0719,20.0686,32.3342,23.5022
Environmental,615.9951,279.5607,-29.3415,124.8275,485.8464
Environmental,606.9846,401.8056,-8.5877,74.5618,132.97
Environmental,477.3367,295.1598,-1.3775,86.1653,279.1628
Environmental,379.7547,373.5654,7.7152,80.0627,234.516
Environmental,952.1272,261.4683,-12.7823,115.8215,432.846
Environmental,928.9637,128.6224,29.5723,60.4472,423.5014
Environmental,984.7327,218.5334,33.6754,29.5759,180.9712
Environmental,426.4225,448.0496,-1.8575,20.0,400.8176
Environmental,956.6423,450.8999,31.14,35.0842,130.4122
Environmental,1000.0,200.8428,25.0269,115.576,202.6258
Environmental,929.8872,155.185,-7.2404,99.724,131.8859
Environmental,363.375,244.384,-14.7584,132.2941,263.845
Environmental,471.7547,29.877,38.6062,23.878,438.286
Environmental,664.3913,487.874,43.4922,90.6301,270.7062
Environmental,519.4341,256.6928,47.5583,109.4946,329.2954
Environmental,706.9031,396.5568,35.0135,38.0126,416.2108
Environmental,336.5437,8.9812,3.3899,130.7426,482.3591
Environmental,445.9789,319.3152,24.2303,107.2035,268.3569
Environmental,318.5544,205.0142,35.7082,69.8514,210.9101
Environmental,354.649,373.2232,6.7394,111.0779,242.6659
Environmental,881.7798,169.4376,-13.8776,50.4132,435.4952
Environmental,759.8283,460.0038,-1.1638,42.1487,371.0427
Environmental,1000.0,147.5292,-9.4763,140.0,351.5925
Environmental,798.5543,31.0112,0.0538,51.1043,279.2757
Environmental,786.734,177.9748,37.7907,26.0324,469.0355
Environmental,826.2603,286.2063,38.626,136.8893,322.5095
Environmental,625.5298,50.5535,44.6995,132.8254,151.742
Environmental,762.9767,460.5009,-23.6552,132.8433,273.0384
Environmental,617.5798,128.1901,-29.3116,96.5863,348.952
Environmental,466.2191,459.3556,-27.8525,60.7691,463.5974
Environmental,985.212,423.1687,36.8114,61.8216,385.0965
Environmental,314.7873,279.9042,10.9973,133.496,100.8066
Environmental,720.5989,446.8161,39.3348,57.4038,336.6639
Environmental,650.5483,379.7636,38.6972,138.2943,398.7101
Environmental,767.5167,0.0,23.452,74.274,187.7503
Environmental,920.109,439.6676,9.6434,69.2539,118.07
Environmental,866.4384,455.0197,33.1993,28.4409,461.8295
Environmental,306.7758,415.1687,31.2067,106.1179,45.4153
Environmental,680.9174,51.8497,35.2821,64.8569,491.6892
Environmental,700.1196,497.2082,48.5612,114.9215,354.0247
Environmental,324.4322,385.1161,-4.7218,108.6537,334.1078
Environmental,735.785,101.0659,3.3237,58.8981,232.3582
Environmental,850.1346,291.6874,30.4653,65.6144,40.7149
Environmental,481.8865,137.3586,0.2842,56.2971,287.4881
Environmental,358.5008,230.98,50.0,128.2349,111.8215
Environmental,422.9966,144.4356,-22.1317,72.1662,282.9536
Environmental,442.6532,41.4131,11.0723,107.1262,500.0
Environmental,979.9234,234.3221,-17.0133,21.3555,0.0
Environmental,699.4769,37.9279,-3.9904,24.6148,76.1316
Environmental,614.3337,362.0344,-19.66,137.0438,171.5257
Environmental,830.2644,216.951,29.08,109.0467,208.6717
Environmental,695.3704,460.5084,8.548,101.7114,286.6856
Environmental,659.5468,291.3805,-25.1046,31.5455,302.7999
Environmental,555.6257,61.4993,21.2891,40.5337,275.8485
Environmental,885.2565,252.9824,12.5489,107.6925,428.5069
Environmental,654.6958,154.5553,16.1553,51.7284,336.6929
Environmental,990.3735,119.3189,5.2575,37.8722,210.4867
Environmental,585.0322,496.7322,-16.9633,87.5998,80.2122
Environmental,830.8086,368.1294,47.496,92.6309,238.5234
Environmental,346.0338,350.3515,12.987,125.6887,481.9426
Environmental,327.1399,248.7107,-10.5026,24.4326,72.7159
Environmental,368.6032,113.0549,-29.0741,117.1692,349.7083
Environmental,947.538,193.1674,33.2679,131.3757,429.2251
Environmental,743.7984,345.5135,38.7177,39.8185,207.9681
Environmental,555.5096,488.9545,35.0892,33.7991,259.4531
Environmental,372.3108,447.0368,-14.1309,116.1389,390.9466
Environmental,336.5695,5.1677,38.4276,41.4383,278.0758
Environmental,642.8493,95.0925,3.107,135.6609,260.0735
Environmental,777.3768,31.5546,26.2369,27.746,137.9098
Environmental,870.4345,96.5838,-1.078,103.6569,212.1119
Environmental,769.3074,211.3657,45.1156,136.5555,53.362
Environmental,448.5974,478.7254,12.4146,76.2786,149.2601
Environmental,396.7381,288.1087,32.3534,69.4668,326.9292
Environmental,842.6919,133.3616,33.3735,73.7715,286.6231
Environmental,592.8106,182.2094,4.4492,116.137,243.6751
Environmental,599.1824,439.6643,26.571,26.1853,251.5511
Environmental,319.413,323.1628,-23.238,30.0252,4.8407
Environmental,804.6433,323.4348,35.8801,68.0084,497.7256
Environmental,702.0248,107.9931,21.1765,108.9614,62.9314
Environmental,328.8844,103.2522,15.386,118.8563,272.5544
Environmental,700.2937,276.5516,37.2097,43.3885,114.6162
Environmental,902.7216,67.2891,6.4438,128.2938,441.3437
Environmental,920.8867,325.1446,19.1312,26.9551,0.0
Environmental,567.3655,232.6783,33.8917,65.5713,257.6259
Environmental,907.0649,290.0551,23.673,137.3903,401.7304
Environmental,651.6847,18.5096,8.6224,36.2039,129.824
Environmental,673.6995,104.5219,29.0107,42.2213,308.1228
Environmental,358.0515,456.2547,10.0347,138.9817,462.7076
Environmental,436.1496,345.6669,14.3437,32.5836,414.1349
Environmental,569.3946,181.5251,12.1602,81.1521,52.2275
Environmental,940.6227,47.3865,20.5009,74.6512,357.7639
Environmental,699.9518,175.7707,4.3787,117.4152,478.9383
Environmental,590.8234,344.2475,-8.1793,49.8126,60.9436
Environmental,776.351,267.7926,0.333,65.5049,352.1396
Environmental,843.3378,211.911,32.8054,118.5891,313.5776
Environmental,659.0605,445.2658,-22.5111,73.5073,460.9526
Environmental,742.5001,421.7159,24.239,128.381,152.851
Environmental,798.1616,433.4204,-27.3481,65.7218,470.7439
Environmental,659.3452,475.039,20.7862,61.7069,54.7598
Environmental,718.1681,304.534,19.3316,53.9358,146.8875
Environmental,984.1257,391.4336,44.9625,95.4632,37.8114
Environmental,614.2708,377.0081,30.6543,109.9515,112.1757
Environmental,483.8754,487.9162,-20.7386,29.1639,26.3101
Environmental,781.2841,460.7735,-12.4161,86.8681,440.0176
Environmental,804.6886,371.0288,-6.9571,85.6507,500.0
Environmental,307.2024,498.4944,-15.2831,132.6313,365.6693
Environmental,609.6933,88.6957,10.7666,61.741,420.8697
Environmental,788.2515,143.5191,27.6333,23.8524,200.5144
Environmental,445.3869,135.8994,2.5668,92.2784,180.2214
Environmental,825.2548,418.3935,-6.1611,83.1214,271.4221
Environmental,572.0749,466.9412,15.3329,62.9074,332.6692
Environmental,828.3666,238.649,5.3353,82.1818,129.9118
Environmental,363.7426,104.791,48.0824,22.6826,444.6007
Environmental,971.8047,50.0885,48.5687,95.6755,500.0
Environmental,300.6179,138.8835,44.4538,76.0281,47.9655
Environmental,846.3002,402.5505,17.6454,72.2388,37.8753
Environmental,968.9987,277.5001,15.5774,84.0776,485.4413
Environmental,384.2371,401.9099,-6.4662,84.9592,46.0687
Environmental,867.7175,344.5313,29.5415,34.3786,165.7408
Environmental,300.0518,248.116,-15.6707,128.7971,485.4849
Environmental,906.1062,114.1287,31.6132,90.3434,122.1613
Environmental,483.3044,0.0,29.5013,123.7544,385.3166
Environmental,968.2115,363.464,39.7267,125.968,373.5401
Environmental,303.2668,359.2451,-22.8116,75.6973,262.709
Environmental,377.0369,331.3171,24.9879,128.7032,301.2182
Environmental,397.785,102.1921,-3.5232,20.0,183.4138
Environmental,907.544,67.055,33.9459,51.3996,55.883
Environmental,388.6609,188.4574,-27.9821,39.2133,83.8934
Environmental,958.0799,447.1434,-4.2758,111.5795,398.3842
Environmental,978.5473,220.834,37.5728,44.5309,31.7197
Environmental,640.6161,235.3402,24.8758,92.0922,194.9065
Environmental,437.0667,0.0,44.1509,60.2879,122.7599
Environmental,785.4127,312.9399,8.3284,77.9703,99.7839
Environmental,741.0035,464.6799,48.9356,118.827,66.3536
Environmental,688.7247,345.354,-7.373,53.604,352.1769
Environmental,544.8775,80.9593,45.0563,85.6956,117.5948
Environmental,632.0168,171.2495,10.6238,84.9185,185.4332
Environmental,921.5063,93.8733,45.7396,80.2074,360.7878
Environmental,562.3422,119.8671,41.5453,106.3994,27.4297
Environmental,656.5552,402.3114,17.419,129.5744,121.4321
Environmental,906.0045,409.6796,-2.1542,114.927,299.1215
Environmental,771.329,354.5281,14.6928,107.6454,237.4701
Environmental,772.3927,80.7519,12.7409,56.8645,407.6748
Environmental,770.9045,464.9725,-6.2903,122.5864,191.3501
Environmental,726.3002,314.9032,23.6306,41.6835,439.0568
Environmental,627.734,30.282,-22.1792,109.8449,460.5865
Environmental,514.8665,19.1363,-27.5315,74.9268,359.6071
Environmental,854.4857,232.9923,5.6084,101.1103,68.7033
Environmental,546.4007,200.6862,-4.0308,85.049,218.155
Environmental,819.5095,221.8763,13.286,45.1557,444.0812
Environmental,628.7091,492.5012,-13.6679,76.0726,299.4762
Environmental,429.3697,407.3326,7.6519,86.9305,216.3553
Environmental,754.5957,102.0294,25.0935,126.2341,354.2092
Environmental,797.2024,496.7548,36.0755,22.4226,12.3164
Environmental,993.2982,498.0238,-30.0,78.0805,102.8512
Environmental,384.0363,484.6729,-7.5052,128.7933,8.3437
Environmental,973.2543,43.3646,6.1168,76.5126,482.8832
Environmental,831.6838,436.6643,-9.9098,71.0378,419.5536
Environmental,698.4929,336.1274,21.1796,59.5728,203.6277
Environmental,843.3018,375.7661,-14.9972,126.7981,57.7896
Environmental,423.2319,0.0,-26.5572,59.4669,292.9928
Environmental,586.8543,297.0515,-1.9437,51.2965,485.6446
Environmental,811.9265,172.2488,-10.1851,119.178,248.5559
Environmental,358.6757,65.7128,-8.5882,103.4972,117.8028
Environmental,736.1884,130.8473,46.4051,70.432,226.8064
Environmental,583.1679,238.2018,-23.9445,119.8645,52.5788
Environmental,336.5416,38.2976,46.1273,106.3923,436.4463
Environmental,1000.0,1.873,-29.1164,46.4369,54.9491
Environmental,529.9809,88.504,-20.7968,93.987,128.9901
Environmental,338.0994,109.3403,-17.1383,105.3047,269.2618
Environmental,632.0081,119.5126,-25.0953,121.301,186.0707
Environmental,920.0253,135.9732,3.1076,121.3288,216.5684
Environmental,827.6123,420.1151,2.5498,33.1908,403.2729
Environmental,370.3473,301.2553,-14.4,50.6679,277.7187
Environmental,942.2471,367.1917,-29.9183,137.2934,123.4757
Environmental,354.0598,245.2618,-18.1191,139.2013,83.3836
Environmental,347.7995,493.862,-1.5304,101.3171,383.2079
Environmental,439.4478,164.0948,13.2624,109.2835,170.2909
Environmental,705.7604,345.9665,11.6536,114.3564,257.5613
Environmental,782.4325,406.5549,38.1079,76.2379,232.3399
Environmental,610.4945,149.7599,24.783,80.0707,105.314
Environmental,1000.0,413.4944,10.5848,39.8584,126.2305
Environmental,917.1947,63.2613,9.1115,140.0,376.0024
Environmental,686.6739,483.8825,-19.1068,137.7947,235.8041
Environmental,303.0194,177.0442,44.1051,44.9261,487.3384
Environmental,343.3233,277.498,36.9029,29.525,136.7057
Environmental,824.5251,114.157,-16.3173,56.5991,195.2578
Environmental,470.5416,172.8016,1.5674,135.9929,463.9012
Environmental,509.5412,101.0781,-30.0,40.6197,204.9974
Environmental,405.3875,1.9072,41.2405,83.8845,457.4961
Environmental,753.58,172.1982,15.3974,24.2373,16.0528
Environmental,486.1015,243.141,20.4967,65.7163,475.7086
Environmental,954.622,322.5909,37.7704,114.7633,492.3178
Environmental,720.588,500.0,5.4228,77.5542,232.9576
Environmental,453.3325,251.0746,40.6275,57.0804,500.0
Environmental,353.507,80.8198,-25.815,37.1368,196.6071
Environmental,421.7136,163.2012,-10.2917,134.3807,267.8883
Environmental,427.9295,492.2457,35.1004,73.9927,434.2574
Environmental,746.36,325.605,-12.3677,110.017,85.1398
Environmental,918.5045,9.3683,40.9355,32.9354,291.6678
Environmental,494.146,308.3377,30.3233,38.4295,342.5245
Environmental,674.7265,340.8986,37.1334,122.8482,450.3911
Environmental,785.3089,360.6193,12.2148,102.794,434.1691
Environmental,709.5004,380.785,41.5882,70.0837,314.6317
Environmental,451.3269,301.8822,15.0912,82.9476,200.9211
Environmental,693.0627,438.0065,-4.9166,88.207,132.8315
Environmental,957.2836,423.013,20.0572,87.5251,483.0969
Environmental,615.3284,89.7937,26.8705,48.614,24.6071
Environmental,516.489,0.0,23.9677,118.4397,165.4138
Environmental,493.3348,25.1781,10.6994,67.6832,308.939
Environmental,361.5464,196.3814,38.9945,133.1156,216.9313
Environmental,321.6001,26.8325,37.4368,139.5197,244.1903
Environmental,586.0801,189.4038,15.8455,118.2734,145.8564
Environmental,944.3928,260.8332,-1.1625,30.3238,226.4051
Environmental,609.2726,240.6103,-16.0286,115.2861,469.8579
Environmental,867.1956,223.0244,-26.0365,20.0,318.01
Environmental,588.1186,249.8588,-27.1184,20.0,272.7061
Environmental,942.1805,175.8564,8.0923,28.2874,128.8079
Environmental,484.4558,348.1984,-28.4544,84.323,98.7505
Environmental,660.1015,298.2792,-7.6826,113.9329,10.9252
Environmental,749.0054,488.752,25.363,41.8595,451.9283
Environmental,809.58,336.2692,21.4508,84.1237,233.4283
Environmental,797.595,490.9853,12.4643,93.1961,401.9287
Environmental,566.6475,469.2045,8.9701,55.4239,470.6888
Environmental,844.3131,331.0282,37.7148,133.9607,416.5666
Environmental,486.1046,452.1498,-23.1411,114.8315,130.499
Environmental,800.3063,423.6331,10.5082,65.6215,284.5325
Environmental,379.9679,58.279,34.0476,136.3026,73.3865
Environmental,551.6272,118.4597,14.623,130.511,390.6058
Environmental,392.6285,85.7429,8.668,31.932,4.1576
Environmental,470.2827,56.0413,20.3739,113.085,499.7398
Environmental,612.5434,394.6934,-11.2407,110.9865,81.4487
Environmental,907.1618,134.6031,26.4325,61.3233,169.041
Environmental,713.2879,62.4708,-10.6863,39.7352,441.237
Environmental,486.7079,258.6102,10.74,59.3997,198.1012
Environmental,572.0399,247.8534,22.2109,89.1747,110.2595
Environmental,587.7434,191.2151,1.4839,122.1113,125.8336
Environmental,547.2021,22.3012,-26.3335,104.3025,370.0526
