Application,Sales_USD,Discount_pct,Footfall_count,Inventory_count,Returns_count
Retail,60928.1894,95.0507,22867,38048,1410
Retail,5770.047,61.3771,25638,36134,597
Retail,288012.5065,7.2253,455,28590,766
Retail,338305.6312,93.6422,35628,45479,3496
Retail,259177.8422,69.6507,16301,99627,1735
Retail,117686.5423,78.172,278,32832,3732
Retail,236117.1802,41.9137,19063,22518,2873
Retail,312580.3092,93.6168,44615,83761,4274
Retail,154228.3462,44.7475,37211,23253,838
Retail,50574.1832,98.8452,20107,58211,3451
Retail,417670.2287,9.827,39944,47871,766
Retail,217369.498,47.1693,48439,18856,1323
Retail,450435.1916,61.859,31650,44038,2998
Retail,451523.8739,13.0911,28090,65238,2795
Retail,171113.9191,41.276,2745,16834,3565
Retail,100741.344,94.9162,33070,3785,668
Retail,122811.9913,46.1981,19019,86925,2272
Retail,364524.7411,58.8659,8491,39352,1206
Retail,144613.0605,13.431,8820,72523,1511
Retail,356469.6496,63.0465,48289,40256,2492
Retail,340084.4888,70.6061,29485,41788,2550
Retail,299543.7772,43.0169,19505,28519,117
Retail,321334.4999,60.6781,40422,46273,3355
Retail,492952.3149,4.8247,13245,23700,2903
Retail,275266.7984,0.0,752,1948,3080
Retail,220249.0836,33.537,1262,97481,2591
Retail,130979.8042,93.5279,27343,62002,1978
Retail,476318.9336,10.6542,45156,22069,3070
Retail,435879.8022,32.0075,6797,35841,4710
Retail,18316.6521,88.6769,7417,18485,2108
Retail,241752.9353,89.9707,2995,42813,2099
Retail,229791.7305,83.7757,1486,24049,2954
Retail,440522.4904,85.3286,5981,88715,4621
Retail,7180.8941,22.8645,43306,2702,2661
Retail,422112.0969,47.225,36439,76301,512
Retail,214808.3283,61.6346,36711,70043,1876
Retail,77882.0191,90.0361,2389,8487,1417
Retail,49579.188,64.9836,17706,54929,4140
Retail,450682.1354,5.7875,49857,67278,786
Retail,36141.3007,17.1008,48254,90167,1490
Retail,409980.1336,32.5222,17768,21016,3934
Retail,291506.8904,12.3051,19045,52296,4464
Retail,11128.8106,97.3267,31525,77206,601
Retail,366829.6726,27.9782,44600,77311,4310
Retail,38985.2573,67.4544,24880,54821,2683
Retail,393202.785,54.2702,25321,50133,2932
Retail,379169.3181,84.4983,18891,74105,833
Retail,46833.7351,44.9989,8209,55579,1224
Retail,48985.4326,0.0,40504,64561,3900
Retail,39375.1492,54.2009,29922,26152,3020
Retail,199448.8797,3.4288,32725,73512,785
Retail,11309.1727,56.5924,40149,79309,4531
Retail,146573.7543,38.1234,41766,93022,2338
Retail,177542.4768,4.6399,36006,31736,439
Retail,347994.7113,17.34,13033,87230,3081
Retail,187691.212,47.6841,47154,16827,280
Retail,283241.2851,69.9817,33851,34348,910
Retail,161180.9617,34.6642,49502,22275,2953
Retail,126474.4114,3.3569,1845,95453,3538
Retail,461708.8159,6.9001,36155,49966,1014
Retail,128706.3605,51.4978,43530,33248,3569
Retail,446571.4436,84.1416,45974,86044,4352
Retail,411414.9929,27.0624,984,58405,1058
Retail,320028.9654,92.923,28271,82784,1190
Retail,286050.9394,75.0467,9543,51572,3393
Retail,453550.3564,79.8149,44416,2118,2786
Retail,0.0,8.677,38707,98062,2083
Retail,229251.6768,82.2368,32151,97415,2804
Retail,303795.009,68.6027,2587,51083,2921
Retail,122630.9616,51.2867,35848,4612,2544
Retail,217308.2035,11.0716,7771,49107,2518
Retail,405547.2157,48.3572,22047,37831,1978
Retail,485904.0928,80.2604,26801,72790,546
Retail,446944.4035,56.948,8684,56075,4947
Retail,81222.2733,51.7466,20141,23557,4818
Retail,165001.1452,17.3496,27019,15942,4712
Retail,397752.9477,15.3201,25257,98885,2199
Retail,284797.7651,24.4181,35355,48156,4394
Retail,419705.1889,67.9034,8655,87749,2677
Retail,381882.4145,65.0738,8544,25883,1436
Retail,335098.2249,56.1953,26886,88401,1539
Retail,159685.1789,49.4545,10315,35732,3186
Retail,264387.7876,77.2749,22270,98705,1645
Retail,27461.2624,67.903,28254,21408,3623
Retail,395834.3586,75.8261,41691,85112,1304
Retail,382984.7926,77.6266,10907,15078,4140
Retail,175724.6616,9.9878,9452,32281,3456
Retail,433045.4996,23.8137,5077,51181,1344
Retail,338573.3518,18.6538,30133,52272,1158
Retail,367893.6259,43.0483,9223,99192,2960
Retail,225402.9956,71.2127,24698,38799,477
Retail,285571.4282,77.9486,15166,88181,4185
Retail,373978.9528,39.7071,26223,62036,4949
Retail,47932.929,78.1835,28484,43461,3448
Retail,356725.4289,31.8464,15853,56133,2468
Retail,299595.7773,19.8435,37827,13126,1477
Retail,3176.2574,10.8643,22024,99028,768
Retail,329531.6509,76.7804,16160,11979,986
Retail,449764.3597,68.005,48743,4941,2253
Retail,305656.9924,70.9549,48333,56344,2664
Retail,161133.7965,87.3874,46286,87334,552
Retail,102106.3535,40.5339,33277,89486,4162
Retail,147170.968,74.6036,34698,42865,2843
Retail,358774.7527,98.7639,39620,31768,2235
Retail,238783.7224,45.3656,37651,46628,4540
Retail,299706.2339,38.5403,26167,31640,4181
Retail,327801.0922,98.7152,23267,59930,2821
Retail,286122.8056,91.9983,34906,66596,1328
Retail,122229.2633,22.3007,29619,24884,3840
Retail,48069.3185,89.5778,19736,91785,1487
Retail,127179.4304,74.7896,20809,74359,2190
Retail,17230.7289,96.8784,10994,50285,3284
Retail,416051.5711,94.1206,45509,6231,3072
Retail,406919.2501,48.3036,47170,47209,2829
Retail,476079.2525,8.0068,23843,89397,1444
Retail,25117.2306,57.8897,27440,14000,4546
Retail,457588.1693,60.4145,47526,46847,2207
Retail,198480.4077,86.8036,13680,88796,1212
Retail,229230.8196,1.3158,28674,9329,4900
Retail,207698.1086,84.27,12894,22912,1950
Retail,472260.3293,22.6643,37802,20116,4193
Retail,6923.4574,84.9975,16604,92078,4428
Retail,308638.2083,60.1428,33164,30055,1348
Retail,105458.0271,37.2656,23023,20739,425
Retail,487089.2958,97.0545,4342,99831,1332
Retail,300154.3261,77.1609,36791,82363,519
Retail,7578.9316,27.6588,44005,41701,977
Retail,359616.6724,2.6698,22801,30447,4182
Retail,254865.4327,85.9345,3237,40100,3028
Retail,447432.4429,77.25,8221,77553,867
Retail,380960.1061,85.2755,37346,50828,4005
Retail,365002.2137,85.6117,21258,83260,4870
Retail,131088.2207,18.1583,43552,3753,1321
Retail,423960.7529,0.0,7774,96086,4020
Retail,487001.5232,21.2849,43773,23212,1703
Retail,280387.6111,74.8677,41227,12478,3054
Retail,103464.0276,76.4678,21815,24218,1370
Retail,329976.0696,30.6953,33362,33122,793
Retail,364484.6569,23.9687,24194,61557,1188
Retail,89743.6669,45.7225,5268,36913,310
Retail,129306.2857,75.6894,37421,68802,3918
Retail,226935.6853,38.3872,48156,63356,1788
Retail,409333.7993,41.1273,14744,39925,1772
Retail,435994.233,21.0571,19310,73650,1105
Retail,363053.2244,69.0805,11661,53078,2079
Retail,17943.7827,30.2273,30655,91215,3232
Retail,264287.821,22.3574,28297,68775,3368
Retail,110308.0418,57.4888,49263,5692,1267
Retail,438431.4086,33.8129,44186,79758,2865
Retail,342115.7972,44.3452,36391,43412,711
Retail,452502.704,52.1933,15628,34902,4363
Retail,393926.3932,23.9142,44105,36661,3519
Retail,283325.3897,89.3813,47059,48346,4413
Retail,312674.4004,4.9049,25359,60032,4727
Retail,47916.1788,91.8386,18824,68742,1621
Retail,292816.464,10.7894,30778,90762,2081
Retail,29659.9731,96.5757,42390,4142,1846
Retail,251434.4603,66.0544,35018,60490,1908
Retail,421904.4145,77.8464,37164,52945,337
Retail,100154.8028,27.1093,9890,92015,3600
Retail,247119.0949,64.6168,34741,99071,446
Retail,27772.6354,4.7313,18093,40444,4403
Retail,147115.1192,55.3437,41366,13219,1349
Retail,445916.5327,55.7946,14217,51612,3159
Retail,60619.306,5.5894,39754,97272,1538
Retail,203398.229,79.9286,17245,69859,2971
Retail,120792.8156,58.2235,42701,35337,4834
Retail,480247.603,25.8368,26993,50234,2626
Retail,341238.5009,7.1274,27879,84150,1387
Retail,252470.5984,13.4946,32612,20487,2321
Retail,382988.0451,31.4755,17027,44412,424
Retail,239029.2834,90.7387,28064,89069,3525
Retail,309401.9468,33.3162,88,32238,3267
Retail,345226.8076,19.9598,14759,50496,2783
Retail,248381.5547,86.2563,46996,72761,2550
Retail,202501.6019,5.0376,37278,35085,1425
Retail,61768.6048,56.1507,49027,75361,2804
Retail,491152.7693,31.5225,44700,79401,2248
Retail,193478.2356,7.2501,26936,24919,64
Retail,294594.5735,97.3923,23095,56280,2701
Retail,51785.0315,23.4412,45310,33552,181
Retail,327229.7337,47.815,7881,79541,2076
Retail,355531.8922,34.132,48105,88682,774
Retail,361293.7141,32.1438,42105,9093,997
Retail,443192.2973,21.6693,22781,14436,3405
Retail,184599.1872,91.2318,25294,15216,3743
Retail,194400.9873,100.0,48168,54942,3506
Retail,235087.4093,60.7936,46991,94722,2796
Retail,407508.1581,89.2696,15591,11646,1002
Retail,281489.8652,47.8246,22106,87934,4429
Retail,459642.3,3.8763,42779,53652,1561
Retail,265316.6316,50.0455,7140,80946,3670
Retail,98566.8975,19.4761,29539,27796,1087
Retail,476401.2671,88.9325,15688,70183,4436
Retail,294091.083,83.0313,8097,14861,4787
Retail,290621.0504,5.4368,19372,21652,3647
Retail,301848.9964,23.6869,3203,63289,303
Retail,175217.5294,93.2388,14763,19692,1240
Retail,489432.7611,46.6695,36798,70249,2836
Retail,26179.6586,95.4086,61,92644,2956
Retail,173475.7632,2.0024,48251,92293,3924
Retail,259925.1606,89.63,13524,61371,937
Retail,260853.0952,48.6496,11256,2770,340
Retail,280231.1606,33.6791,20397,95569,2734
Retail,415750.6523,65.2735,23156,67795,196
Retail,65033.0521,83.5982,25225,78103,2225
Retail,457225.8918,4.2649,17387,33191,3823
Retail,305568.8612,63.4848,39877,22618,1819
Retail,10690.203,85.3838,43285,17367,2340
Retail,200766.7617,33.3364,22917,87746,2929
Retail,87321.0435,7.7538,19812,98454,2701
Retail,200746.5406,69.1448,18393,78730,2259
Retail,358650.1357,82.6768,35233,40641,4101
Retail,168200.3362,42.5789,31970,30329,4659
Retail,115747.0519,24.0908,34344,41919,2488
Retail,195954.4368,26.3366,27626,40170,664
Retail,67214.4417,28.7268,44347,58667,2607
Retail,488624.0786,53.6827,44136,40645,2345
Retail,313983.1085,9.8297,6539,34394,4189
Retail,500000.0,64.2854,48434,55794,3295
Retail,267360.5278,74.9396,25949,34343,1589
Retail,468838.0964,22.7578,40413,36558,1622
Retail,362951.3108,88.1801,49134,52993,3027
Retail,444296.6743,76.3024,26582,68444,1947
Retail,401659.7079,91.7242,6303,43018,775
Retail,22198.1261,8.6715,39178,77153,107
Retail,181622.6957,7.9638,36965,94195,4196
Retail,257431.6146,82.2741,25332,96297,670
Retail,285872.5912,75.8855,14758,75244,2618
Retail,337995.4874,52.1509,42900,49042,2990
Retail,24696.2876,87.6294,23750,5063,4373
Retail,118973.3086,36.0854,48453,50593,3769
Retail,440443.9995,14.4966,47631,51694,1961
Retail,239728.6633,31.6749,26749,6627,4291
Retail,354794.3081,50.9092,21133,66795,2541
Retail,49981.7543,42.1117,13073,76096,1320
Retail,80886.3909,36.6543,22135,34959,4501
Retail,243735.7469,13.9272,47401,73539,938
Retail,423440.1814,43.7706,33739,21810,4749
Retail,361861.2503,32.9759,10406,76890,2790
Retail,153527.3454,35.1451,25464,32183,4695
Retail,356307.1458,75.479,46497,39234,684
Retail,181029.5237,10.512,20496,20010,1319
Retail,233009.6151,73.9434,36628,48889,4305
Retail,0.0,5.852,16045,74,4648
Retail,30719.5758,4.3145,1016,66956,4417
Retail,232026.5122,73.3369,27647,60576,4062
Retail,368160.4253,6.475,31226,7162,4480
Retail,25218.3247,24.7555,48575,91711,4786
Retail,474749.7963,54.1286,44223,45789,363
Retail,478564.7188,34.28,3180,51374,1582
Retail,234573.6718,38.4211,48092,85767,3571
Retail,330826.7719,96.6898,49127,20716,4505
Retail,304732.7319,68.8302,17568,29691,1119
Retail,145621.7342,99.1384,17641,36102,4297
Retail,247847.5935,20.1599,20193,89146,3343
Retail,109455.2706,25.0808,27179,94152,3712
Retail,412951.9425,41.8398,33272,26614,953
Retail,29966.9216,15.4106,9184,16778,4284
Retail,266082.496,59.7965,47361,80186,1357
Retail,49984.7779,39.612,47324,20894,2134
Retail,45387.5532,89.83,40564,86188,944
Retail,113952.6488,58.2275,27843,77735,2371
Retail,274913.7395,0.0,40415,21722,3661
Retail,349865.0357,52.9785,27514,68567,331
Retail,177374.1414,3.2183,4512,55171,3569
Retail,171086.3934,71.4261,13586,15404,1386
Retail,388512.0396,68.404,46769,16634,2338
Retail,360455.2029,53.6222,6936,1680,4532
Retail,475999.7777,36.5287,11815,17029,1958
Retail,420685.7763,46.522,40029,36244,595
Retail,70009.928,93.0965,24733,6934,3017
Retail,456590.2447,8.864,20287,32956,1566
Retail,404271.2223,30.7032,22906,80136,3635
Retail,129023.3791,69.1218,24246,63655,2520
Retail,323927.8268,28.5949,33785,52386,1433
Retail,103330.3141,56.5918,14841,86347,3980
Retail,340801.6414,55.642,3947,53843,2823
Retail,342309.6911,26.167,30055,55095,1883
Retail,491454.7598,14.503,9573,19386,1363
Retail,391432.9752,76.8044,24947,88456,4280
Retail,0.0,16.2041,2733,67374,4038
Retail,432256.9501,28.9903,10843,90316,4166
Retail,160151.4864,74.0259,7667,4755,3579
Retail,290484.8743,9.4898,21803,27992,4091
Retail,121844.6237,39.843,8688,4828,3482
Retail,46588.3721,36.7998,1658,21120,3549
Retail,72050.3502,4.6157,9559,46251,2604
Retail,218906.7599,94.1148,16708,74115,1304
Retail,500000.0,33.4326,7005,54279,835
Retail,331380.6761,74.6158,49666,95863,628
Retail,489012.8138,19.2039,37686,24347,439
Retail,42039.3628,83.2951,47848,53750,2759
Retail,250996.6757,28.2714,30199,91807,332
Retail,269589.6188,44.2493,10096,51311,322
Retail,190345.3712,21.4181,41212,40358,2084
Retail,111498.8543,95.112,19248,72982,3304
Retail,223056.1331,14.1621,8561,23241,3726
Retail,405363.8801,74.4456,12553,6043,2453
Retail,206525.5065,85.6084,28467,89821,836
Retail,388544.3365,65.7704,19457,93969,3035
Retail,477596.8966,71.5457,3340,92017,1227
Retail,250802.2687,70.004,23737,81366,4552
Retail,145825.4245,90.4141,13308,90049,4156
Retail,164082.5006,68.8353,12533,63231,2551
Retail,184310.4852,64.3201,19459,41558,3726
Retail,295183.4039,20.157,19784,6479,428
Retail,468221.7219,99.3563,22281,383,1963
Retail,102807.2836,59.8995,41034,30766,3747
Retail,67895.0118,74.0028,40402,32883,3975
Retail,474131.8904,77.9999,25593,7095,2515
Retail,10922.7412,85.2846,22626,10181,4249
Retail,481067.9401,98.0238,33017,49557,1240
Retail,385918.5714,40.439,1363,51923,4159
Retail,116142.7293,13.3098,26661,48793,2431
Retail,149867.9586,43.5902,18126,67158,3342
Retail,0.0,69.9079,8467,61910,4543
Retail,295890.8069,15.4124,28927,7231,2836
Retail,455550.7749,12.7497,16889,53187,3980
Retail,21294.1562,80.0276,18476,56165,3620
Retail,102146.8373,54.5915,6169,72738,672
Retail,308306.1744,74.588,36076,917,1269
Retail,236027.6459,43.4101,29065,28003,3335
Retail,354143.3055,59.6111,36330,42791,3894
Retail,267709.6285,95.7328,7660,67984,2442
Retail,75220.5792,93.3522,13199,7964,554
Retail,399546.5649,39.8145,4664,55943,2625
Retail,47452.1843,3.1973,33888,50923,4046
Retail,454033.4533,21.7189,49096,1807,2743
Retail,193512.5096,93.2383,24256,2666,3445
Retail,306670.2583,94.4594,34236,26467,4993
Retail,398422.4239,18.2472,11515,10979,3454
Retail,78355.5605,59.0652,3612,52852,1204
Retail,134862.9975,66.6027,7583,67727,2914
Retail,335856.4345,34.0177,23721,53758,2635
Retail,151678.6802,44.7244,9243,66156,2771
Retail,81561.0608,53.8661,20978,89312,705
Retail,99270.9877,83.83,23074,13265,4279
Retail,240172.8323,32.4378,22803,99368,506
Retail,153538.0929,62.5793,24024,29807,907
Retail,168242.6434,18.9989,4369,64866,3981
Retail,233354.0584,18.4541,37880,72100,1814
Retail,45377.9387,100.0,20570,22233,4768
Retail,352053.5589,75.326,32257,44847,1980
Retail,223797.5162,87.2443,19123,7352,4068
Retail,476898.07,95.9756,1924,2414,2950
Retail,329524.724,71.6372,6195,83906,1628
Retail,87894.2013,4.929,28538,94948,2616
Retail,398940.5227,27.9175,7463,89172,181
Retail,198024.1308,81.1862,17614,32420,670
Retail,398900.2973,39.9018,45280,18192,1893
Retail,249503.4867,11.7615,8688,31011,2340
Retail,271810.9316,69.5008,25814,80731,2377
Retail,404325.3085,52.5304,39342,19560,1429
Retail,15731.1038,3.5319,16175,98981,1451
Retail,76304.3498,5.4283,2313,57501,3444
Retail,14443.8784,40.5094,39152,99699,4309
Retail,370606.5334,99.1551,47477,48322,2733
Retail,25679.2973,87.071,35866,8420,4544
Retail,269668.7588,1.1055,7562,92125,3910
Retail,491031.6219,35.1635,8585,8870,4101
Retail,170979.6433,92.4819,20902,71415,4331
Retail,216096.2133,33.7923,32918,74737,3643
Retail,382522.7481,27.8406,21455,34649,4242
Retail,258345.6891,67.4862,31261,4901,279
Retail,381952.63,9.0394,22463,31503,1628
Retail,329638.2867,74.2557,10059,22583,689
Retail,195694.5651,76.0358,49933,37046,4628
Retail,9450.9044,88.7074,9807,56037,1266
Retail,416603.4954,65.582,43964,36045,1289
Retail,383223.1679,79.6099,37172,61188,1066
Retail,140592.4832,67.3874,9542,14557,4770
Retail,189801.1735,79.3259,24975,52708,1851
Retail,142418.0002,29.4909,3477,20789,2285
Retail,203478.1167,8.7191,15461,12705,485
Retail,445644.2014,71.5075,35063,89835,4275
Retail,434844.9744,55.4336,41021,48210,4809
Retail,500000.0,0.0,25351,39462,1327
Retail,187728.2681,4.6943,39049,77199,2508
Retail,398970.2128,73.918,33134,68289,641
Retail,183985.76,84.4902,18844,41686,525
Retail,443098.6081,62.7499,42287,14772,2460
Retail,413160.2099,76.3807,35395,51562,634
Retail,114959.516,44.6738,10296,80099,3967
Retail,241070.6023,43.8899,22386,46918,1347
Retail,136002.3698,34.722,12015,59790,3771
Retail,214231.4056,16.2469,27471,41183,1656
Retail,371626.8717,88.6162,20622,15696,2130
Retail,52856.1414,83.9862,31258,53811,340
Retail,76567.6984,57.4743,4604,796,2914
Retail,426328.7682,55.8646,30785,22522,529
Retail,41336.6228,72.8802,37998,75008,2196
Retail,208360.2227,92.105,16483,41641,2208
Retail,460095.7638,66.4999,1182,34789,2118
Retail,164324.6345,15.6258,10001,49453,3084
Retail,91911.7401,35.7639,3305,51493,921
Retail,401687.8687,72.5475,10483,72932,2669
Retail,448739.736,41.2003,25881,77818,963
Retail,246988.5597,48.5748,9330,98126,4821
Retail,33003.3654,26.6401,30369,97510,1740
Retail,424082.4365,80.0297,5763,30633,3898
Retail,188254.6652,31.9741,4662,53769,4765
Retail,473319.0702,38.4766,19796,64504,3730
Retail,45828.2588,87.5014,43476,87099,4384
Retail,68263.2384,32.3573,34104,92529,4978
Retail,482429.8965,91.9558,33349,13122,241
Retail,179406.7627,98.1346,12569,3171,3036
Retail,447295.1406,42.0248,29586,1440,1542
Retail,348535.2473,88.1571,37930,34908,3824
Retail,276266.5822,54.4424,38368,78089,2461
Retail,437600.7233,100.0,11745,22840,110
Retail,269141.4107,51.2859,12723,26294,3846
Retail,389780.5168,23.6467,9379,80772,3910
Retail,84935.6764,4.7705,17349,41080,3312
Retail,454791.4917,87.2876,7320,47853,678
Retail,11666.8125,5.5172,41137,534,522
Retail,417529.7306,19.6798,46384,84579,4051
Retail,311214.0113,42.0249,34734,23111,321
Retail,75209.4919,56.6159,22917,71689,1022
Retail,292341.8634,85.4082,1765,84722,4783
Retail,472010.3153,69.92,45314,82556,2359
Retail,78562.0422,68.5107,32673,90161,2167
Retail,329722.2021,69.0641,25420,79308,2126
Retail,57762.5512,38.9703,18366,9007,4650
Retail,152154.8563,76.8837,5206,31983,332
Retail,127363.6677,30.6343,28023,58137,783
Retail,349027.0904,57.1411,11315,33502,1795
Retail,66862.3624,68.01,35759,5165,2299
Retail,412569.4931,50.1236,36215,21148,1668
Retail,38955.4063,2.204,36422,89386,461
Retail,62685.5304,62.8046,6531,8832,828
Retail,391274.9258,10.5825,48186,23850,1838
Retail,209462.8543,59.5524,32984,34582,49
Retail,498279.5888,54.7448,44692,88106,3908
Retail,117553.5073,64.0279,19825,84174,2067
Retail,250657.7043,44.0191,11382,65562,529
Retail,303002.6377,84.6999,24255,40698,4592
Retail,352642.0535,46.0588,4159,71851,3060
Retail,100019.9502,17.0669,37530,23627,3360
Retail,319454.8822,36.1869,10017,2486,4448
Retail,120926.5605,56.7838,30343,97411,4619
Retail,269793.7797,70.3783,17431,65192,1472
Retail,325192.2125,96.3318,25384,89704,4115
Retail,314352.6145,52.3907,16351,92302,3418
Retail,274663.8481,46.1432,48299,82284,1802
Retail,500000.0,44.6285,43849,37162,2023
Retail,331755.1551,68.1509,47640,93708,1927
Retail,230123.3901,8.9417,40837,72816,2266
Retail,487381.3116,57.0694,30504,69672,2828
Retail,32100.8479,77.4185,11419,54313,4383
Retail,147221.9949,56.1551,49017,77257,1371
Retail,128941.1434,99.1534,25158,47286,1884
Retail,114265.5758,96.8593,42336,66894,733
Retail,311094.4245,96.6801,6037,78123,2469
Retail,17420.5887,81.8032,28231,60438,3995
Retail,110140.779,79.56,46405,28416,18
Retail,112659.5467,74.5152,38016,17140,891
Retail,356937.3806,9.4063,13344,72500,1823
Retail,141486.8715,90.7094,7146,8757,2009
Retail,277248.4902,43.2289,48367,19796,794
Retail,32397.6662,24.3243,5025,69726,2951
Retail,370710.0656,24.3639,28116,36604,2281
Retail,230107.802,19.0168,15910,94911,3846
Retail,416961.4737,51.6134,810,71654,4486
Retail,429266.8662,81.3632,2642,95409,1093
Retail,121008.825,24.5329,35223,19610,2943
Retail,29546.9456,23.4162,14718,17933,3524
Retail,306099.0739,76.6376,32494,96512,943
Retail,281342.5208,0.9704,9871,91861,1702
Retail,84187.689,57.9914,11942,40558,3566
Retail,240549.8061,5.7186,19420,2860,3791
Retail,149247.3999,29.9605,10126,11875,3068
Retail,100671.6478,14.1645,2791,53037,907
Retail,132372.2181,58.5352,45356,61189,3333
Retail,143643.0204,7.5686,30037,99652,3397
Retail,364025.0072,99.6409,39952,2750,4908
Retail,367809.3994,14.1961,28880,93615,2187
Retail,500000.0,71.6022,40732,82658,3584
Retail,162136.8452,80.4949,41508,53072,4355
Retail,171170.6354,18.5678,33824,57086,525
Retail,341116.6633,79.423,17646,97332,775
Retail,452412.0885,3.418,12358,64445,2005
Retail,411490.3641,66.204,30728,1010,3076
Retail,157923.299,33.1609,15365,52009,1228
Retail,79713.8888,14.3614,17370,53991,3959
Retail,121621.4383,87.8596,10371,61234,3027
Retail,119025.4172,70.7871,16862,42662,1934
Retail,219246.2919,80.0509,18271,26490,4683
Retail,214561.6057,19.9766,7742,32030,4308
Retail,9938.4036,62.9986,11426,18297,583
Retail,295904.4435,99.3955,49674,33694,1586
Retail,52530.2142,78.9067,18524,24189,214
Retail,453429.1486,65.2912,22309,29259,588
Retail,391996.5324,32.6962,32384,5746,3734
Retail,14656.9743,62.7847,39552,29604,2568
Retail,285628.5516,26.8584,1481,77414,2140
Retail,289999.3546,93.9359,25413,16490,1581
Retail,322433.3594,63.1497,27071,78239,4363
Retail,298372.0167,47.9237,39767,58900,4865
Retail,104089.4568,92.7517,35968,73156,2419
Retail,304634.2855,57.051,29959,53198,1287
Retail,422699.9903,68.3388,48889,87958,4896
Retail,144475.7892,10.8527,4316,67309,1876
Retail,500000.0,35.851,26164,81108,1616
Retail,111639.7087,22.743,27287,42686,2840
Retail,489796.9135,35.2104,41318,41695,224
Retail,161062.2753,37.3555,34489,702,2548
Retail,206142.4924,1.3978,4569,9199,2216
Retail,460418.1775,18.4921,40897,11806,587
Retail,146243.8363,39.217,30990,1143,4126
Retail,310009.0905,35.2825,23143,46868,4023
Retail,72420.2815,37.8613,7163,54166,1765
Retail,243968.0399,30.7251,45027,66219,2343
Retail,47451.9777,93.7199,14035,56394,1648
Retail,307784.2752,69.4053,29633,89075,1440
Retail,420392.2454,96.841,30491,27901,862
Retail,190879.2771,93.893,24024,40559,37
Retail,226799.6362,22.2495,47185,77449,1421
Retail,235578.6402,24.0855,48496,13089,2645
Retail,285560.8997,25.0072,34163,30325,1613
Retail,101268.2352,89.3904,36273,30271,1704
Retail,9841.0151,84.6278,7717,29098,3215
