Application,Speed_m_s,Stamina_min,Agility_score,Strength_kg,Accuracy_pct
Sports,11.4166,21,6.2172,82.8087,36.7726
Sports,9.1044,133,54.1205,34.4757,91.6567
Sports,9.3977,59,11.2354,30.9611,80.1254
Sports,8.7467,15,33.5556,79.4141,92.6687
Sports,8.4671,37,80.3968,71.9178,73.6884
Sports,11.5437,202,88.1526,59.3433,67.8633
Sports,9.107,188,75.3836,90.1678,15.4864
Sports,11.3928,68,36.4767,166.6681,11.9739
Sports,5.2167,225,58.4996,289.3558,19.9198
Sports,12.0,62,23.2475,280.8046,33.6311
Sports,7.8233,112,67.4147,92.6546,60.9442
Sports,10.9946,152,34.5122,33.1786,86.3194
Sports,1.8481,22,17.3966,293.0496,87.5057
Sports,8.0286,82,60.6318,140.6325,68.9916
Sports,12.0,177,11.5304,297.7515,54.6314
Sports,1.4974,127,68.3309,168.0528,22.3446
Sports,11.119,47,18.1018,263.8889,95.3574
Sports,2.3768,152,52.3782,135.7191,69.2455
Sports,11.8564,61,43.1994,193.3616,56.2942
Sports,4.0466,214,55.3291,168.3142,8.1993
Sports,9.6029,159,21.4175,65.0654,81.1339
Sports,1.3952,22,30.6841,231.7643,35.2606
Sports,4.0366,149,14.1002,25.1603,92.0392
Sports,7.9076,64,79.9501,113.5619,17.7124
Sports,3.9319,93,6.7227,255.9659,5.277
Sports,9.1159,9,37.1307,151.766,42.3078
Sports,8.7195,138,43.3779,30.6839,5.5337
Sports,11.6956,122,16.5268,59.4025,3.1769
Sports,7.6349,236,35.8305,47.9161,70.6362
Sports,9.5434,104,42.9146,90.1052,24.3292
Sports,2.0785,229,23.3461,54.5891,62.6961
Sports,1.2231,19,65.8566,210.575,57.348
Sports,7.5529,43,2.7436,202.6722,15.0176
Sports,11.6048,212,22.7797,39.3926,37.4094
Sports,3.8931,234,60.5605,143.2462,7.2516
Sports,1.0,171,61.8781,100.4881,43.2251
Sports,4.5034,92,26.3159,103.9744,17.1917
Sports,9.1499,153,68.0757,163.8775,8.4869
Sports,9.998,234,45.3312,267.1432,31.8689
Sports,9.6171,17,50.7378,268.4258,0.0
Sports,1.8936,33,28.5586,129.0365,81.0263
Sports,9.429,102,100.0,134.3832,16.4162
Sports,2.1061,9,73.7714,162.173,60.356
Sports,11.6819,199,24.1203,157.3496,84.1454
Sports,5.2704,25,22.0694,32.5189,90.7947
Sports,8.6233,141,77.601,180.1236,57.6593
Sports,7.0326,199,38.4826,180.3081,79.4353
Sports,3.6725,176,12.6126,129.1809,46.3345
Sports,7.6943,194,2.5881,118.0864,43.6005
Sports,1.0,226,40.7672,286.6748,55.2351
Sports,6.8377,71,42.9988,183.7948,70.1549
Sports,1.2247,117,72.0117,252.7268,70.1143
Sports,7.2488,194,55.0672,277.5318,82.7519
Sports,5.9649,194,78.0758,246.7979,64.4979
Sports,10.9666,192,34.197,286.1335,88.1838
Sports,11.564,181,65.3138,226.5049,72.8005
Sports,7.8893,171,86.1081,53.1568,92.826
Sports,2.8236,173,6.8631,69.783,76.2377
Sports,6.5163,54,68.6672,62.1335,75.7853
Sports,1.0589,230,73.3068,100.5441,86.2144
Sports,9.7316,21,79.7117,109.3721,67.4584
Sports,1.385,57,29.3084,247.0567,16.8604
Sports,10.0142,126,42.7216,113.7781,9.6645
Sports,4.1089,187,22.1525,213.6377,32.0086
Sports,3.8179,210,31.0221,275.2841,80.4562
Sports,1.8019,79,95.3537,36.3412,4.0962
Sports,8.8242,188,42.4182,10.0,12.1661
Sports,4.8508,5,83.8302,261.7503,10.0639
Sports,2.0593,197,79.8721,75.089,3.7344
Sports,4.5314,196,42.5177,51.5479,83.964
Sports,11.2481,184,99.4634,92.9359,27.7162
Sports,1.4682,147,81.3802,62.5859,72.6583
Sports,8.5371,6,44.4687,239.9159,16.4006
Sports,6.5314,16,34.5402,200.0197,41.1375
Sports,7.7041,177,6.7142,52.5155,10.0763
Sports,5.5073,189,46.0754,162.471,5.0641
Sports,5.9572,46,35.2699,64.0595,63.1578
Sports,9.6436,6,72.1573,73.5519,47.4609
Sports,6.2735,219,2.2922,186.3753,41.4044
Sports,5.2127,194,84.9272,198.0957,5.6102
Sports,4.0673,166,42.2245,108.2159,59.3405
Sports,5.8683,21,46.9286,219.733,79.8694
Sports,7.3072,45,20.3005,247.7014,3.1255
Sports,5.1487,210,93.003,271.1024,41.7652
Sports,10.8654,207,39.7309,195.8961,28.2767
Sports,12.0,88,83.7686,72.7539,88.5495
Sports,3.4435,112,26.4826,220.6831,26.5812
Sports,7.9746,203,10.3346,33.0251,94.8044
Sports,3.7067,69,63.7081,67.3739,87.6061
Sports,6.6219,124,94.0874,250.6083,10.5932
Sports,5.0912,19,65.4094,268.4393,46.9374
Sports,3.6848,113,62.2751,34.9501,63.0118
Sports,4.8294,170,46.0557,104.7335,58.1831
Sports,2.195,102,27.9763,189.464,68.671
Sports,1.7972,205,44.3856,275.1176,39.1089
Sports,5.7236,69,15.8079,183.8743,88.0593
Sports,9.9032,13,22.1322,251.5866,27.6213
Sports,8.1736,174,50.9825,276.6771,9.0406
Sports,7.4688,198,14.153,153.2689,98.7405
Sports,5.5361,218,79.6263,227.1477,63.59
Sports,5.9053,93,0.0,195.9866,64.732
Sports,1.5633,183,33.5571,208.1761,83.9066
Sports,11.4743,128,52.3903,162.7918,43.4553
Sports,4.6892,82,89.5573,186.5223,35.586
Sports,11.0719,231,55.9741,173.634,91.4101
Sports,8.9854,212,32.3253,192.0514,36.6052
Sports,7.148,151,36.8142,162.2472,6.6709
Sports,5.863,109,33.2559,71.6005,32.6593
Sports,4.7171,35,17.4017,215.0902,84.8606
Sports,7.8524,198,12.7116,136.32,10.9709
Sports,11.641,164,46.4006,42.3011,70.92
Sports,10.2442,104,27.428,248.82,26.3578
Sports,5.2866,207,12.4657,62.8929,73.6998
Sports,6.345,12,21.0182,169.6336,52.1219
Sports,6.3728,116,52.1346,213.9822,65.6381
Sports,4.1092,201,24.2308,197.1561,22.8788
Sports,10.541,230,23.5845,51.9397,19.0256
Sports,8.3817,36,62.7501,57.2934,8.0234
Sports,7.4688,51,72.7363,54.5252,81.9879
Sports,6.1462,202,26.4722,30.8799,69.7477
Sports,3.5856,12,49.5612,85.8122,32.1401
Sports,8.1574,166,75.55,156.8138,83.1417
Sports,3.7826,8,67.1617,57.8539,82.9723
Sports,1.4587,40,6.93,290.6974,14.6181
Sports,1.534,176,34.7912,204.1713,72.9104
Sports,8.6908,157,71.4437,175.1378,31.9222
Sports,5.1451,30,18.4956,214.0196,47.7645
Sports,3.8558,37,20.8752,139.7356,43.309
Sports,3.489,141,65.4263,144.1364,60.4856
Sports,6.2293,51,29.4034,273.9526,32.2375
Sports,11.3926,204,32.6723,218.1054,6.7183
Sports,4.5428,149,50.6531,178.2929,65.3054
Sports,8.4723,19,77.4797,286.9177,97.7115
Sports,9.7354,174,51.3894,203.1568,65.4874
Sports,6.1595,58,88.4917,133.4117,56.2376
Sports,1.1046,145,12.3632,17.4978,15.4035
Sports,10.2056,239,75.6386,127.2558,61.1768
Sports,10.6558,182,56.632,276.5836,59.6308
Sports,1.4071,48,81.1928,15.2597,59.0297
Sports,2.2076,7,31.2369,65.3328,87.5604
Sports,1.6645,185,45.0364,241.9251,70.1543
Sports,3.2729,60,81.4404,123.2525,80.3146
Sports,6.8876,58,86.5078,58.9835,30.7532
Sports,1.3578,189,42.9375,242.8258,26.6526
Sports,2.4545,144,83.1122,172.5157,19.8667
Sports,5.6256,97,67.254,158.8476,79.9078
Sports,7.9464,132,40.395,100.9256,70.2034
Sports,10.9938,191,96.8757,212.2222,32.3728
Sports,10.0755,69,2.4288,263.7936,11.4895
Sports,1.3373,100,39.8476,228.2331,83.6306
Sports,11.4892,41,27.9458,191.08,40.8495
Sports,4.42,152,93.6396,113.0757,18.6787
Sports,5.1947,204,13.6097,262.7901,16.7691
Sports,1.9726,41,64.8924,184.361,95.4075
Sports,11.2541,163,75.7556,267.2751,16.92
Sports,7.0262,227,18.1571,82.1132,35.3228
Sports,7.0516,29,13.7154,198.6152,61.5275
Sports,1.1925,54,5.4198,274.2164,42.3701
Sports,1.0988,236,14.3618,119.011,45.5399
Sports,8.6254,113,79.7935,276.4785,80.2911
Sports,6.0343,53,93.9775,130.7493,98.1286
Sports,6.5551,12,92.5973,144.3731,45.8757
Sports,7.8817,226,38.4122,238.8525,37.6838
Sports,1.995,98,73.6169,79.3859,39.7507
Sports,11.654,125,82.9142,219.7941,38.3885
Sports,1.8789,95,84.7818,87.5974,47.8546
Sports,4.2377,167,7.1514,176.8749,31.3616
Sports,8.7089,118,19.651,228.8284,44.4889
Sports,6.7783,240,94.2441,19.6414,93.2472
Sports,2.2864,17,72.1113,37.8028,31.2127
Sports,9.9326,25,82.3993,282.0818,66.65
Sports,11.8387,77,54.1801,245.5957,44.7183
Sports,6.0401,156,39.9263,267.7389,73.8421
Sports,3.7735,180,65.3538,137.1461,52.2561
Sports,2.4846,37,47.8227,226.1455,16.6853
Sports,3.4131,5,37.2309,300.0,87.0831
Sports,4.2563,76,30.5694,130.4756,66.3106
Sports,3.1346,7,17.2769,253.0216,50.5943
Sports,8.8286,146,54.2895,31.3243,83.6372
Sports,1.4764,146,52.3523,161.6506,93.586
Sports,5.6616,181,57.7015,112.4856,39.5938
Sports,4.8894,126,15.188,165.7816,35.2423
Sports,10.4411,37,90.5417,41.0012,77.5725
Sports,4.0251,8,72.6214,118.8289,42.4116
Sports,7.8174,42,13.3035,29.1646,7.6992
Sports,1.1803,157,9.3546,146.3866,36.6912
Sports,11.0899,51,65.2911,136.6759,80.4751
Sports,7.862,145,35.2994,93.636,73.26
Sports,9.9033,123,34.2854,277.155,87.3776
Sports,7.5227,237,84.5904,40.972,13.0431
Sports,9.8971,121,37.2091,247.7773,24.4459
Sports,1.881,171,64.2257,114.6575,19.8568
Sports,8.7026,29,53.552,66.4676,96.9736
Sports,2.3952,234,25.4205,80.3248,17.2454
Sports,6.9883,205,35.949,264.8332,61.1366
Sports,12.0,106,95.6402,255.0629,63.7085
Sports,2.6966,47,32.4919,20.154,59.5253
Sports,4.0182,170,77.5384,44.3788,65.2378
Sports,2.8269,39,84.0894,212.3155,49.4349
Sports,5.6823,97,10.5061,98.7645,4.1576
Sports,6.2808,187,67.2791,277.3643,70.4527
Sports,2.8334,54,77.8737,237.7288,26.218
Sports,1.2494,82,47.6211,267.1946,7.5129
Sports,4.6578,234,60.6877,70.4658,16.6479
Sports,4.955,38,15.3792,51.2477,29.2995
Sports,5.2026,157,37.6665,286.3553,43.223
Sports,8.6505,174,72.3151,134.9836,87.4502
Sports,6.0971,96,57.9487,132.5156,54.125
Sports,1.9277,183,14.1578,202.3215,49.3901
Sports,11.1879,98,99.0398,127.7392,18.1002
Sports,8.6184,235,94.6571,260.7917,93.7254
Sports,3.459,169,23.0302,286.0092,91.3407
Sports,10.9476,238,88.7805,100.9937,81.3845
Sports,12.0,70,25.3329,78.4395,33.0254
Sports,3.782,89,57.0321,31.2209,56.0043
Sports,5.2206,38,77.377,79.9218,40.9045
Sports,1.7081,215,34.8244,54.592,41.2004
Sports,6.5394,236,55.1991,13.8219,4.7524
Sports,9.4295,170,44.2325,19.0258,13.1617
Sports,11.2144,163,77.5495,156.6942,96.4086
Sports,6.7929,158,48.9003,215.0069,60.17
Sports,5.1802,80,57.5613,292.6643,0.0
Sports,6.9045,226,83.6932,61.456,83.4473
Sports,2.1186,158,71.0438,212.9733,10.1882
Sports,10.278,195,52.7002,172.2122,69.3121
Sports,6.8861,180,45.3201,142.402,63.8523
Sports,11.6981,131,14.6994,208.9335,7.8667
Sports,5.6888,129,7.2889,84.2376,54.2568
Sports,7.955,99,89.2773,94.472,1.6754
Sports,4.4978,116,14.3823,119.8966,6.7385
Sports,2.3351,83,30.8315,62.3898,3.1359
Sports,9.3486,14,58.6002,149.5301,25.1355
Sports,8.366,40,80.1689,45.3547,82.4243
Sports,9.3177,172,83.0291,97.4288,35.4436
Sports,11.8185,158,83.4938,39.7604,63.6322
Sports,11.6724,141,96.8407,10.393,9.652
Sports,11.2805,185,0.0,115.3774,93.5556
Sports,11.0477,213,40.2961,192.0917,53.2211
Sports,4.0787,202,94.9628,56.4182,6.6063
Sports,6.0655,90,43.9823,298.6857,55.5679
Sports,1.8524,212,90.4269,95.7909,17.6061
Sports,8.4236,218,1.2083,23.4163,20.5177
Sports,6.8881,57,54.0051,24.098,59.1023
Sports,9.2908,171,93.4927,202.9085,22.9587
Sports,8.718,65,25.0368,203.4484,22.4336
Sports,3.904,56,94.2258,272.1375,51.3407
Sports,6.2101,200,3.4712,32.4838,25.0761
Sports,1.6284,200,4.9706,120.1536,11.9046
Sports,1.7808,205,47.9025,268.2055,39.3314
Sports,5.9925,210,12.7083,246.4306,1.2113
Sports,7.0003,174,21.8738,85.6679,90.9428
Sports,4.335,222,27.1209,269.623,46.5569
Sports,1.8031,199,52.2469,211.3269,0.649
Sports,8.2087,100,35.4391,86.5779,21.8162
Sports,8.419,79,91.5859,27.4272,96.9039
Sports,4.4441,183,88.4573,159.1698,48.364
Sports,1.0,135,78.9951,224.9397,37.2613
Sports,8.1332,145,61.4808,76.7809,30.959
Sports,1.9208,112,20.4035,62.2557,42.1521
Sports,3.6247,145,58.9073,30.2775,21.8503
Sports,3.7262,124,13.4186,256.9159,78.0366
Sports,3.8981,125,48.4005,28.7482,51.3795
Sports,7.7108,65,44.2076,182.1073,73.33
Sports,2.0548,28,66.4571,221.6348,24.3752
Sports,7.9249,152,81.1596,238.2451,0.0
Sports,6.3565,78,32.3789,197.279,97.6572
Sports,4.8157,219,4.0679,203.2842,51.0893
Sports,7.4189,238,4.1615,146.5031,7.9556
Sports,10.5493,101,86.4164,135.0964,12.7529
Sports,6.9216,187,51.4744,51.7588,45.2246
Sports,2.9274,39,20.8625,157.0291,68.9533
Sports,7.1922,82,5.6492,30.652,43.1106
Sports,6.1507,84,50.0782,145.7759,86.5277
Sports,11.0084,34,15.8574,220.0685,31.2182
Sports,7.3267,87,43.3233,141.6427,3.4953
Sports,1.6566,165,52.8696,152.3021,0.0
Sports,2.1401,45,22.7387,263.1767,88.7631
Sports,6.8885,198,19.0257,189.5175,96.736
Sports,9.6138,106,2.3598,38.8511,12.2793
Sports,2.2254,181,60.8038,170.8542,10.9932
Sports,7.1456,12,19.4076,128.2009,93.346
Sports,5.9512,88,86.798,66.37,9.5485
Sports,4.8155,135,60.2919,200.5653,22.7789
Sports,1.8097,217,55.122,128.3761,76.6243
Sports,10.8631,69,50.1424,231.2172,99.6692
Sports,9.3814,89,24.8424,177.0492,49.0629
Sports,10.8974,125,95.3962,47.7034,18.9271
Sports,3.0072,118,99.2271,113.5675,85.2217
Sports,7.1327,204,33.9749,91.4546,43.5357
Sports,1.2647,134,74.7389,46.1755,30.2059
Sports,2.8795,219,10.4977,244.6356,52.1969
Sports,9.9191,173,77.9521,125.3266,84.9914
Sports,4.4763,185,28.5136,190.6753,22.522
Sports,3.1848,207,27.8473,268.8447,43.5533
Sports,6.3381,148,52.7498,176.8737,43.3509
Sports,8.1477,141,39.6381,88.1134,84.6948
Sports,7.6053,100,11.9276,246.1968,69.5462
Sports,2.0647,115,61.8999,140.9876,82.432
Sports,11.4195,43,19.9312,170.2655,66.7121
Sports,2.8298,196,43.2941,273.0962,61.374
Sports,11.1536,168,22.3224,155.2503,12.2819
Sports,6.3906,155,82.9661,93.8003,86.3324
Sports,2.2381,179,33.7581,222.0377,61.4649
Sports,2.7104,181,89.9988,55.7311,70.4148
Sports,5.5534,187,30.0775,269.6387,79.794
Sports,12.0,123,15.8518,269.148,33.1367
Sports,10.79,98,57.7455,180.0137,42.9976
Sports,11.3737,142,56.1991,48.095,54.3456
Sports,5.7701,67,61.3953,147.6811,33.0993
Sports,8.4476,99,29.4291,129.7706,26.1633
Sports,6.7944,112,34.6957,100.4435,79.5732
Sports,1.503,30,22.5794,55.4886,78.4734
Sports,2.9324,180,95.8663,98.183,79.5271
Sports,4.1175,235,67.1677,183.911,71.9757
Sports,4.4558,238,76.6614,215.3938,32.6992
Sports,8.3737,162,18.2398,290.1226,30.3584
Sports,8.9722,134,65.2989,72.1652,49.6179
Sports,6.0336,33,74.9979,57.6966,83.6042
Sports,5.3646,186,35.7025,51.5155,34.4872
Sports,3.1409,164,19.0287,282.9908,76.715
Sports,1.5125,112,69.9066,120.2195,33.6414
Sports,7.5179,170,59.0197,272.7228,30.8374
Sports,4.8718,25,58.8174,273.6558,73.0057
Sports,6.2179,31,21.2082,25.8784,65.1275
Sports,10.9864,220,27.9924,91.3966,23.1624
Sports,8.2415,38,59.7225,100.2266,84.116
Sports,9.2946,27,60.1385,101.6334,78.7891
Sports,2.8064,82,53.8434,128.0701,78.72
Sports,1.055,171,76.9321,147.5032,46.6342
Sports,2.5962,73,82.6143,225.3483,32.1051
Sports,9.6618,121,29.8814,94.605,86.2315
Sports,6.3829,77,16.5627,98.2604,62.6597
Sports,3.4382,49,23.1462,179.1256,90.9091
Sports,11.3608,67,31.8293,65.0436,24.5297
Sports,6.2476,233,97.6455,144.3455,97.1063
Sports,5.3236,12,12.3679,83.7973,32.7926
Sports,11.957,139,89.2714,70.1672,40.2042
Sports,2.5401,34,21.4377,237.2101,24.0461
Sports,7.3604,16,38.6332,204.5333,97.2956
Sports,9.3998,24,18.8623,83.8469,2.7938
Sports,11.3422,196,9.5856,129.2763,48.1337
Sports,10.2304,161,9.9903,51.1307,36.2646
Sports,4.6415,124,34.5723,26.8509,16.0693
Sports,3.7949,187,54.8639,183.3259,73.5271
Sports,1.6813,16,19.9387,102.7924,90.5677
Sports,3.0173,88,94.7622,70.7242,21.3672
Sports,8.7819,26,58.8338,42.5536,49.5878
Sports,3.8242,155,85.6046,205.038,60.2186
Sports,6.0258,180,14.9646,92.5032,38.6533
Sports,8.6086,49,14.9012,262.3076,93.6709
Sports,8.1716,30,85.3553,48.8541,49.2361
Sports,9.8025,113,59.0248,71.3355,100.0
Sports,1.8674,115,93.1945,261.1166,30.5397
Sports,7.6508,111,12.7537,173.2268,7.7622
Sports,10.9586,32,5.6273,40.0025,57.0513
Sports,4.9063,187,90.9234,179.2281,82.1297
Sports,2.762,236,70.4559,101.8701,41.6214
Sports,1.9302,77,81.0398,229.6228,19.8636
Sports,11.2079,201,26.7474,32.1704,73.5201
Sports,1.0,6,3.4311,263.6829,26.5294
Sports,9.7811,110,49.0813,147.3737,77.1429
Sports,3.8361,32,100.0,218.1277,26.8893
Sports,3.6557,81,93.4916,209.6773,55.0188
Sports,2.6934,211,7.145,63.9623,86.4461
Sports,3.4386,185,20.191,252.387,21.5304
Sports,6.8575,146,31.6941,73.437,81.2603
Sports,10.4616,111,84.8566,62.7068,25.3223
Sports,5.0249,178,81.9695,164.728,65.1934
Sports,9.2878,235,21.8898,300.0,23.0623
Sports,3.549,129,51.2765,88.6791,12.9331
Sports,11.1891,82,53.1781,290.2623,68.2985
Sports,10.7818,71,44.5922,134.1812,60.9427
Sports,2.3471,206,54.4599,253.4929,40.6087
Sports,10.4155,234,29.3794,178.8517,1.1371
Sports,8.8248,202,56.1368,61.3778,48.5593
Sports,5.7056,152,70.6814,261.7098,18.8284
Sports,9.8879,39,4.8245,38.2664,35.5766
Sports,10.8725,180,98.0729,210.5698,55.4159
Sports,6.1015,175,16.2702,255.5368,95.3919
Sports,6.6694,24,37.1232,248.7872,47.5841
Sports,8.6747,117,48.4999,205.6625,17.5777
Sports,4.2193,60,2.7279,87.9868,94.1179
Sports,2.0669,112,52.252,166.2393,4.813
Sports,6.954,7,86.0678,204.0395,64.6074
Sports,4.7917,72,92.8316,269.5882,25.0442
Sports,2.2009,143,33.1058,58.77,74.5933
Sports,2.6479,66,58.6599,142.268,30.9534
Sports,2.8951,109,81.4405,109.1607,41.8172
Sports,4.549,65,25.7847,135.7256,76.6155
Sports,5.9742,227,54.0595,66.9724,89.9117
Sports,11.8829,190,38.5917,75.2229,19.4998
Sports,6.7599,125,33.9804,235.5071,30.0144
Sports,10.9899,33,8.3582,146.305,0.0
Sports,7.1549,170,40.8345,163.0424,81.6093
Sports,2.6936,88,18.5082,271.3331,93.4493
Sports,10.1372,92,27.4478,77.7097,32.025
Sports,1.7012,91,34.7673,100.9442,37.7933
Sports,7.0076,26,42.2419,104.3542,43.2499
Sports,4.6927,218,93.0127,206.0037,38.1652
Sports,6.0773,45,62.5752,172.4404,38.1666
Sports,9.3442,216,97.1513,139.3378,48.8517
Sports,1.0,114,58.319,212.375,16.4394
Sports,2.8738,67,80.0355,158.02,5.8034
Sports,9.8645,129,86.0812,260.4962,73.1578
Sports,7.1545,170,72.06,118.0872,87.2578
Sports,3.8477,116,64.4366,266.6742,81.3597
Sports,6.4012,182,39.6432,40.421,65.9713
Sports,5.2697,109,55.8983,26.8887,97.6415
Sports,9.3803,139,19.351,200.4891,0.0
Sports,9.185,156,62.3902,124.4616,30.3853
Sports,6.3399,112,51.4193,141.7267,30.3189
Sports,4.1197,105,79.3913,202.4609,34.7367
Sports,1.3692,178,94.3997,75.7809,81.9497
Sports,5.7676,157,14.7084,15.8441,37.6984
Sports,7.8873,210,67.779,143.3395,52.2561
Sports,7.7043,33,95.2041,275.2255,62.3677
Sports,10.47,71,94.1645,142.9875,84.9888
Sports,5.9028,107,82.565,173.509,61.2444
Sports,8.7987,225,4.6106,71.2588,38.9332
Sports,2.6739,84,24.6047,141.0195,70.6505
Sports,9.3839,217,17.3337,153.0511,55.7301
Sports,5.9062,154,93.7556,86.3851,56.2532
Sports,8.3985,89,73.7971,65.0283,36.1249
Sports,10.348,90,57.6821,111.7317,0.0
Sports,3.3051,141,96.1736,29.4576,33.4133
Sports,8.3447,91,19.6543,60.2336,31.1921
Sports,2.2036,181,66.7866,208.5898,6.4737
Sports,2.4636,132,60.924,205.7924,19.6772
Sports,4.1513,205,33.6151,101.7799,99.0712
Sports,2.5588,118,49.634,172.5421,25.9045
Sports,5.8689,228,24.0914,248.2213,52.4131
Sports,10.6098,40,66.2815,261.1275,56.626
Sports,1.8581,232,43.4645,195.4874,55.8524
Sports,5.0287,9,0.9335,53.2243,4.8923
Sports,3.3348,222,92.5342,51.5399,78.6316
Sports,6.0137,8,50.7867,96.1403,76.4826
Sports,8.0346,28,69.0825,212.5197,98.1865
Sports,10.276,173,20.0302,93.4423,19.8349
Sports,1.092,111,13.7701,149.646,54.7999
Sports,7.1432,18,90.8987,255.8837,81.7779
Sports,8.7833,223,65.6353,273.9845,13.8808
Sports,2.3828,16,52.5611,250.7694,79.9566
Sports,11.5638,86,53.5336,46.7809,30.4557
Sports,1.9885,48,24.9238,275.7759,27.5674
Sports,4.6068,141,93.2076,214.749,94.6432
Sports,3.4236,70,21.7469,196.1874,34.2604
Sports,1.9265,170,15.9472,82.1184,57.8425
Sports,8.6215,100,93.231,278.6436,45.6514
Sports,5.9999,81,25.1452,21.1311,11.5241
Sports,5.8668,61,90.6352,32.7815,96.6755
Sports,3.3709,179,75.572,61.1948,22.284
Sports,5.7669,187,40.4649,212.1341,26.474
Sports,11.0513,220,27.3707,187.4673,40.0731
Sports,4.5825,134,77.6357,281.7481,47.8645
Sports,6.5744,129,60.2306,94.7771,11.5674
