Application,Calls_count,SMS_count,DataUsage_GB,SignalStrength_dBm,Latency_ms
Telecom,188462,718744,4564.2391,-30.9128,88.4595
Telecom,580502,99704,4795.3768,-61.5403,409.9119
Telecom,927408,351824,8765.2015,-85.4095,304.6846
Telecom,772506,912041,3449.8599,-51.8706,962.6102
Telecom,892982,619216,515.5822,-66.7276,722.4832
Telecom,343574,819735,4733.9034,-92.3048,901.3665
Telecom,980114,973563,7611.8199,-104.852,92.4019
Telecom,235138,8233,6121.0945,-49.9836,55.2073
Telecom,680753,829826,5057.1981,-61.1412,619.4551
Telecom,378665,317694,9477.0378,-76.778,540.1117
Telecom,886707,915654,6921.2901,-78.1253,94.155
Telecom,118405,311780,3289.6672,-114.5309,579.6852
Telecom,673442,526521,8097.0114,-61.6999,857.8287
Telecom,744474,150316,3917.0789,-87.5325,188.3641
Telecom,547565,85344,7585.8629,-59.7181,563.4295
Telecom,229453,684976,1800.9349,-44.6305,816.7325
Telecom,286952,361025,3934.4856,-40.9367,894.5803
Telecom,948445,442683,736.3713,-84.2588,890.598
Telecom,373181,359218,2754.6515,-87.585,791.4605
Telecom,171941,177308,6283.85,-34.3576,353.7115
Telecom,380135,505925,4055.4067,-30.9091,583.5888
Telecom,779041,279720,3145.8962,-43.5061,466.2398
Telecom,103965,146951,6270.9404,-55.1615,119.6734
Telecom,122082,885981,594.5778,-105.5881,480.999
Telecom,887866,218987,5397.7864,-88.5676,555.579
Telecom,118020,971676,7121.3793,-117.0746,879.5965
Telecom,754463,593874,4943.0283,-35.5229,73.0327
Telecom,817923,762745,8876.2285,-48.2554,157.1007
Telecom,346784,436665,8701.1015,-75.4247,559.2614
Telecom,642672,1165,9157.8269,-39.8997,153.9088
Telecom,584105,621204,2079.4616,-50.0214,954.2664
Telecom,277458,126416,537.3602,-97.8663,546.012
Telecom,905656,187894,8277.7768,-96.0797,182.305
Telecom,937280,880661,5674.598,-45.9509,59.7805
Telecom,623243,789236,6096.3624,-70.094,590.3642
Telecom,110197,727342,9482.4378,-67.4464,856.3879
Telecom,593085,498324,1481.6766,-111.3398,540.5196
Telecom,81640,375837,7578.2648,-89.3585,940.679
Telecom,109961,745949,2057.8924,-108.4112,946.4562
Telecom,732976,420407,8397.8008,-77.5128,23.221
Telecom,975999,107840,1259.1573,-82.4402,869.1589
Telecom,301424,799222,6251.4254,-30.8347,767.5142
Telecom,198381,839015,7715.8077,-95.3652,605.0916
Telecom,204255,11229,2008.514,-96.1783,975.2856
Telecom,580177,988302,7752.5809,-103.9977,99.9858
Telecom,527513,980381,9098.6377,-103.6648,509.2644
Telecom,723491,53800,7986.3209,-88.0981,304.7919
Telecom,933815,85357,4117.6079,-78.0841,982.9176
Telecom,307750,902295,8030.2398,-93.0153,334.6403
Telecom,165699,210021,6629.4414,-105.1415,239.7702
Telecom,237267,485525,0.0,-61.7576,474.9472
Telecom,187926,720194,3745.8696,-72.5255,63.1344
Telecom,652571,930581,1282.6633,-91.6905,595.0534
Telecom,733824,328921,2617.2671,-114.3804,116.5002
Telecom,90889,221853,6714.7718,-86.4696,532.1654
Telecom,220584,581330,3848.2832,-107.0875,918.8454
Telecom,228262,733097,3431.0322,-30.0,297.3339
Telecom,955314,553821,6660.955,-79.2258,317.127
Telecom,348099,529618,5279.5306,-86.9057,517.5882
Telecom,424066,103213,4376.8239,-49.0754,406.5917
Telecom,800278,634999,2751.5424,-46.2171,919.7368
Telecom,200999,209363,1630.5449,-111.6886,908.8017
Telecom,506316,877585,8657.5598,-76.2674,476.6589
Telecom,547548,728916,1607.8189,-63.9883,722.7374
Telecom,332645,320184,2083.7077,-48.6747,264.4041
Telecom,962233,704221,5875.5823,-54.6525,593.7161
Telecom,95438,420898,10000.0,-64.8239,813.6344
Telecom,527794,302430,6280.7595,-98.9239,811.8603
Telecom,840399,267036,5787.7058,-118.8391,160.6555
Telecom,102841,682778,8506.6232,-59.4562,728.2107
Telecom,155446,198073,7609.6309,-60.2317,247.3694
Telecom,436113,643649,9036.9735,-94.3284,504.4887
Telecom,115195,312565,8631.9439,-74.1901,962.4058
Telecom,225790,815736,3558.667,-84.4733,88.0309
Telecom,70516,856548,6391.0386,-88.2061,52.234
Telecom,349434,950850,899.2218,-76.995,564.0303
Telecom,969007,992514,5122.4512,-119.9538,944.1418
Telecom,49487,153865,6746.1972,-54.6578,806.8029
Telecom,416144,740935,9291.8833,-66.8948,281.3433
Telecom,895533,452963,4543.349,-108.3956,898.2676
Telecom,902111,566628,8540.6811,-44.5468,586.1116
Telecom,396070,401404,7703.5507,-34.245,964.8315
Telecom,302929,639166,2996.4028,-75.6049,749.2297
Telecom,427239,413335,6955.025,-70.921,169.1276
Telecom,547014,15932,8166.367,-105.5738,460.4439
Telecom,271879,936474,2691.2005,-65.4903,730.0504
Telecom,127958,674123,1492.1548,-32.1931,649.2916
Telecom,730919,588406,1285.0411,-93.3898,432.0427
Telecom,905771,822029,943.3634,-114.4018,876.6606
Telecom,899612,812491,2705.6343,-31.7679,197.8749
Telecom,335855,431588,5247.9253,-39.4327,678.2002
Telecom,943061,23284,6230.5328,-43.1889,520.0961
Telecom,442654,31056,2263.903,-108.6236,196.4029
Telecom,955952,985299,4396.3425,-109.5878,156.4016
Telecom,91182,279634,8372.6685,-70.5567,717.2142
Telecom,619151,299842,6225.1059,-82.3478,83.3431
Telecom,106034,554351,2257.5749,-116.0962,246.8083
Telecom,659052,70585,9253.5575,-42.1847,153.8861
Telecom,579849,384418,1990.0123,-111.8629,25.3006
Telecom,108549,286510,3661.0921,-90.8938,714.1949
Telecom,238621,212230,2422.1049,-111.5483,234.2863
Telecom,311143,501964,748.931,-114.4279,215.2184
Telecom,995571,167860,6548.8941,-113.0242,265.7537
Telecom,884854,745938,459.4909,-66.9173,106.314
Telecom,716890,379062,9300.0182,-66.4951,376.6174
Telecom,700368,840955,1825.1318,-83.2519,317.6172
Telecom,328053,579652,9383.0971,-70.0774,64.1327
Telecom,259443,170003,1662.5257,-83.0456,876.8889
Telecom,349639,339458,1715.1549,-39.2841,938.8768
Telecom,210945,739526,377.6419,-70.8639,331.6156
Telecom,617098,854144,2523.2251,-119.1555,833.3685
Telecom,636425,131047,6949.8024,-82.9747,702.2647
Telecom,192116,624149,7588.2184,-118.2687,496.9977
Telecom,374544,658268,0.0,-113.7104,165.916
Telecom,936401,158032,1366.9475,-67.6076,218.6024
Telecom,822685,159395,880.9541,-77.7625,667.938
Telecom,443693,293366,2309.881,-43.4422,698.3645
Telecom,572666,700662,2654.8903,-68.2779,141.7827
Telecom,443424,932829,3148.9264,-50.7317,737.647
Telecom,984469,658062,7587.1797,-43.9224,425.8892
Telecom,688739,716621,2207.7648,-41.4092,679.7525
Telecom,687081,116525,3160.9878,-58.1368,566.1639
Telecom,904674,516632,3437.9916,-110.3719,43.0263
Telecom,872844,734179,338.9524,-112.7264,360.1439
Telecom,372666,979529,9739.6949,-62.3234,1.0
Telecom,612591,19363,0.0,-40.2887,695.4773
Telecom,644870,311017,9531.5117,-119.3693,192.2588
Telecom,418270,485522,1265.5153,-99.2158,914.3239
Telecom,610632,356656,3496.2592,-70.1943,1000.0
Telecom,486182,202961,5486.384,-104.1161,894.881
Telecom,481134,448378,10000.0,-69.1727,352.1051
Telecom,878504,384042,6952.4902,-77.8216,104.1711
Telecom,342498,101409,5736.4425,-75.7659,717.9011
Telecom,282308,94262,4661.5686,-51.3297,119.6281
Telecom,726945,105037,8941.0006,-67.9721,152.5364
Telecom,460730,786705,5509.909,-77.6016,96.2133
Telecom,826063,639593,2103.0652,-32.8552,388.3946
Telecom,834366,884179,2085.3897,-51.7696,208.316
Telecom,207949,45612,6640.8373,-63.5471,616.2652
Telecom,382620,405459,4206.8602,-96.4066,369.4782
Telecom,131366,476099,9355.5926,-73.1467,406.1695
Telecom,127651,562263,4184.7597,-59.031,542.657
Telecom,189799,586741,7071.0581,-45.2449,335.3493
Telecom,51467,85129,9282.357,-81.5472,323.9821
Telecom,797549,642136,1755.9699,-76.1093,387.6025
Telecom,229849,127427,5435.9478,-53.8422,713.1834
Telecom,543019,522003,5718.3357,-82.4207,367.1268
Telecom,209492,589182,1232.7416,-98.4353,76.8943
Telecom,770570,796363,8056.066,-34.4285,681.7048
Telecom,679905,245335,557.1435,-111.1881,940.3851
Telecom,643292,767600,3634.2334,-59.9908,62.7584
Telecom,92114,309046,2856.4734,-76.0448,917.0663
Telecom,67281,122006,2785.6976,-45.1425,380.7163
Telecom,510053,134714,0.0,-36.4975,542.082
Telecom,351388,9250,8858.8702,-56.1512,180.2912
Telecom,909470,80011,2171.8092,-60.9632,319.3948
Telecom,4828,281271,6247.8111,-89.5481,228.5696
Telecom,723403,353335,6171.9217,-71.7565,67.5827
Telecom,827330,869003,1977.9843,-112.2033,630.839
Telecom,520013,495278,4510.8364,-53.2211,772.1179
Telecom,29030,757076,2818.0093,-117.4849,49.3071
Telecom,250354,611132,6492.8512,-67.7322,34.743
Telecom,610104,95928,4643.1696,-97.2188,245.1046
Telecom,924324,60973,313.8802,-76.0483,180.1844
Telecom,907462,224762,2685.5024,-57.4588,266.7345
Telecom,620111,425101,3696.4172,-93.7039,361.5652
Telecom,224558,30863,8712.5228,-34.5191,994.9912
Telecom,465768,153972,8232.625,-87.8674,317.6254
Telecom,78022,201958,9185.9772,-97.3468,285.7404
Telecom,764465,880616,6082.8289,-49.206,49.5722
Telecom,764278,810039,3357.8057,-52.4883,590.1885
Telecom,390458,142961,4094.9752,-61.5818,916.4105
Telecom,532288,88544,2496.6398,-33.85,552.2101
Telecom,415315,592462,2457.8274,-97.6153,820.5659
Telecom,849738,646179,7287.31,-37.8719,94.1171
Telecom,461757,537769,7299.573,-109.537,111.4326
Telecom,245567,38749,4080.2051,-87.7212,621.708
Telecom,173989,733904,3973.8905,-48.3308,86.5591
Telecom,54825,153881,6201.1217,-114.5801,479.0713
Telecom,935714,153879,5486.8006,-73.1477,190.0771
Telecom,368233,799606,4867.9086,-57.6567,108.7967
Telecom,455024,414856,1473.8338,-82.6546,519.5854
Telecom,196235,262664,661.7354,-30.7314,134.3873
Telecom,382768,853332,4416.9023,-110.8343,223.8338
Telecom,559459,500700,3347.4041,-89.5363,227.2333
Telecom,509050,9635,1105.6323,-72.7084,974.803
Telecom,741281,811739,9273.3167,-100.31,43.9656
Telecom,488483,291723,3687.0635,-41.0763,113.9689
Telecom,919856,82989,7131.9782,-81.6739,852.6956
Telecom,622298,993874,3037.4188,-37.2949,537.7041
Telecom,249891,300526,642.5532,-96.9105,193.6486
Telecom,880282,270579,8712.4298,-56.6516,277.0751
Telecom,188225,566079,8643.4993,-46.7877,885.2747
Telecom,8741,645796,494.9128,-88.3684,874.8256
Telecom,704881,488825,7695.5481,-33.9891,206.1883
Telecom,354638,65710,10000.0,-59.0009,221.271
Telecom,76227,771208,613.2512,-57.2523,386.9347
Telecom,270882,96456,8331.2807,-67.1574,840.0723
Telecom,106227,683896,7394.3893,-55.8722,1.0
Telecom,926746,615865,2350.0406,-94.3255,444.5679
Telecom,119577,910021,7177.2791,-44.7434,294.6624
Telecom,407675,531562,3636.2868,-41.603,595.4895
Telecom,482004,75853,3051.7798,-99.6838,519.4606
Telecom,670701,47030,1201.7097,-115.1133,166.6194
Telecom,526372,944588,9080.8132,-56.3535,776.0906
Telecom,631558,778605,4220.9262,-42.4904,650.783
Telecom,288666,237029,2531.5931,-30.0,174.7811
Telecom,608222,706030,2420.184,-107.29,201.9513
Telecom,710045,219882,2997.9599,-31.9166,840.9186
Telecom,272852,851836,5657.8508,-109.2312,125.5139
Telecom,418400,927529,6995.4537,-30.0,704.9106
Telecom,15381,944911,7785.6763,-98.4055,164.5115
Telecom,453453,583078,1644.4514,-69.1477,584.3347
Telecom,358695,806780,4254.2962,-118.2278,475.5645
Telecom,744067,234976,0.0,-78.2994,786.9108
Telecom,193265,452221,730.768,-98.1199,368.2954
Telecom,499139,59611,2572.4051,-69.3945,912.599
Telecom,412005,66159,0.0,-36.0124,763.927
Telecom,986524,577687,1575.7023,-43.0131,743.6369
Telecom,545486,410625,4276.1027,-78.1236,264.1583
Telecom,23418,252848,3856.3226,-58.4132,456.4633
Telecom,901463,448863,6552.6126,-86.6499,154.4832
Telecom,990742,504147,2073.9837,-117.0537,797.4631
Telecom,817633,186444,2544.5261,-120.0,654.4591
Telecom,986570,587163,4362.9083,-61.0363,9.6691
Telecom,291064,670214,6390.9588,-71.4371,580.7506
Telecom,555923,821664,9471.9709,-30.5257,82.0211
Telecom,318923,668161,6604.4746,-63.9246,370.639
Telecom,284791,860721,0.0,-38.5255,904.0619
Telecom,626268,609085,8118.3959,-76.3463,136.3645
Telecom,509735,706482,2858.0101,-42.7963,64.8996
Telecom,880968,329197,2374.802,-41.0347,834.5094
Telecom,837341,444154,6924.4974,-97.7838,213.2532
Telecom,559693,687524,7396.5603,-102.2788,70.8573
Telecom,224165,293537,4940.2488,-113.0841,631.0533
Telecom,451714,247358,5087.6284,-99.5546,277.2049
Telecom,142981,653319,6786.4368,-38.6821,427.4693
Telecom,276856,782627,9805.6687,-46.0545,199.2111
Telecom,111715,833156,6662.2221,-50.4797,888.594
Telecom,29293,310273,2272.5483,-66.1682,597.6291
Telecom,286024,214193,7270.8546,-87.9662,699.7607
Telecom,900153,246325,7380.6745,-63.0867,435.3267
Telecom,977603,122891,434.6438,-42.4423,182.7005
Telecom,695313,594994,330.523,-85.4584,641.136
Telecom,66690,741095,9024.0635,-94.1574,139.9151
Telecom,221242,926696,943.3595,-55.1505,423.4372
Telecom,196729,20902,2037.2021,-95.3543,328.7055
Telecom,172381,111102,9161.9013,-48.7743,318.223
Telecom,490634,830203,843.9713,-77.6121,727.3727
Telecom,22799,178397,2054.3042,-82.3484,299.8877
Telecom,565593,892792,1163.2207,-38.0751,934.5971
Telecom,35317,306437,5876.9465,-105.6308,258.8094
Telecom,151508,391878,7474.2452,-60.7037,477.844
Telecom,897366,276070,8282.0417,-100.512,584.2924
Telecom,874562,674664,2002.9306,-54.1099,472.18
Telecom,125787,800635,1224.4016,-116.9706,141.0543
Telecom,626345,293585,8994.8194,-36.8585,675.4438
Telecom,933732,281857,2885.118,-79.9637,100.2819
Telecom,334783,996775,8065.7733,-96.942,249.4455
Telecom,400744,170691,9364.3238,-60.4709,113.8588
Telecom,925906,668642,251.565,-93.9209,781.7743
Telecom,113070,775170,6381.3584,-60.3039,744.8062
Telecom,539993,985437,7430.6801,-61.0131,927.1584
Telecom,173633,611399,5889.9503,-49.0998,536.9918
Telecom,419139,279369,7931.886,-50.1003,512.7763
Telecom,324141,644626,9131.6172,-110.0652,856.0692
Telecom,946564,875604,1504.8681,-75.6615,283.012
Telecom,434423,576441,3038.5216,-78.7409,326.0484
Telecom,942390,27310,1604.9526,-50.7599,820.2724
Telecom,106008,572807,1173.2139,-59.5865,667.2671
Telecom,828203,94726,5345.0902,-54.892,912.0361
Telecom,245627,434148,6213.7028,-41.5905,459.4386
Telecom,940097,31460,4715.4493,-111.6696,820.9236
Telecom,622389,862832,8308.0293,-45.1095,776.1522
Telecom,894002,269145,5492.4212,-102.0938,371.0998
Telecom,917047,103829,4407.0137,-97.4642,259.2536
Telecom,719179,295908,6451.315,-117.9015,12.9095
Telecom,391671,83147,7642.3916,-102.0405,215.6227
Telecom,945206,469937,8396.3228,-116.9902,45.3754
Telecom,983746,647024,1760.7358,-56.5174,811.8706
Telecom,73494,563315,712.1042,-75.27,446.6496
Telecom,595849,673903,6781.6226,-86.8841,263.5182
Telecom,276924,239386,3862.1311,-105.4983,198.2508
Telecom,821978,534634,7760.009,-96.4786,523.5224
Telecom,304490,439985,4631.537,-37.9904,14.377
Telecom,234539,209004,6985.1006,-86.9413,269.5884
Telecom,875074,265390,2812.2041,-34.3445,909.2399
Telecom,917156,504232,4660.6087,-79.6786,271.9496
Telecom,551992,585141,4678.1699,-43.2077,65.6311
Telecom,2794,442241,1118.1599,-46.262,65.9793
Telecom,277539,332079,6965.8776,-39.823,503.6032
Telecom,1319,125673,8881.1011,-111.1375,939.669
Telecom,76201,734886,0.0,-36.9025,881.9789
Telecom,683882,910218,5633.0658,-51.6548,487.8865
Telecom,50321,799646,6295.6336,-43.7219,208.1026
Telecom,849524,519289,8373.2389,-102.0333,583.9461
Telecom,485504,837025,4112.2978,-82.1779,923.4876
Telecom,621423,461887,5158.3078,-78.4214,846.4566
Telecom,42893,526152,4061.1376,-89.9579,981.974
Telecom,55955,773863,7698.7033,-44.6326,217.631
Telecom,149968,192184,3568.7724,-34.7606,387.2283
Telecom,81732,455613,2117.64,-52.8327,290.5402
Telecom,661359,127967,3103.0277,-68.6923,873.0633
Telecom,178644,100912,6785.1938,-48.138,368.2763
Telecom,222112,858344,4913.0024,-42.3595,563.4267
Telecom,114311,305176,7717.6641,-86.932,812.0288
Telecom,178986,41004,6753.2864,-98.4777,280.5361
Telecom,380225,892732,3040.8476,-112.5076,836.7395
Telecom,672549,249169,3528.7159,-61.6085,405.5251
Telecom,284896,759009,4601.6451,-106.9182,168.7167
Telecom,76592,762524,3783.1336,-55.2338,593.8561
Telecom,53007,957586,5416.7032,-86.2642,133.5643
Telecom,561098,364932,8918.4109,-96.5642,321.592
Telecom,355892,96329,821.9569,-98.537,635.898
Telecom,710530,800984,87.3134,-113.409,738.4432
Telecom,873451,430757,5709.9174,-43.8897,62.8611
Telecom,415096,102190,10000.0,-65.7195,470.8491
Telecom,131385,655153,9685.3326,-103.8735,242.0128
Telecom,162554,194186,5936.4831,-105.8722,160.3122
Telecom,370878,690828,9091.9002,-39.8485,635.7935
Telecom,564673,864040,5889.5175,-95.8994,28.0845
Telecom,759133,60796,7923.1616,-32.1498,586.2483
Telecom,855686,142465,5528.404,-44.6723,46.2753
Telecom,846745,585976,7164.1106,-31.57,966.3223
Telecom,77430,262576,7534.3934,-106.1945,409.1788
Telecom,107779,667850,2251.8016,-45.5635,895.5028
Telecom,544066,360413,2989.7245,-79.9196,292.9454
Telecom,205892,506177,8902.5399,-33.8031,1.0
Telecom,886696,96749,8809.0658,-96.2079,320.3068
Telecom,530233,378726,5516.7276,-83.7214,879.6615
Telecom,920046,264821,3754.5441,-106.7049,482.4809
Telecom,616794,358601,8575.6846,-105.1056,544.4855
Telecom,210101,407315,7805.3831,-98.6095,854.6367
Telecom,679736,737350,3180.9388,-70.3893,451.9578
Telecom,162950,470177,471.5155,-119.8211,723.1227
Telecom,632112,443078,4476.0664,-31.3699,224.395
Telecom,593848,117436,3387.7526,-59.1179,261.5017
Telecom,608011,939525,7839.845,-52.9128,954.5682
Telecom,842347,246689,7435.7769,-47.2207,917.9698
Telecom,633723,360148,6731.3245,-47.1318,629.4101
Telecom,255198,770622,3672.9106,-62.8251,907.2414
Telecom,604158,623275,1013.1324,-108.7326,480.4825
Telecom,969789,16866,3429.9257,-74.1273,692.9651
Telecom,254468,368216,9078.4532,-118.7654,103.7446
Telecom,388620,526257,7767.4673,-97.1088,968.8506
Telecom,518628,326926,1926.5278,-31.736,274.8771
Telecom,57270,230148,9757.2794,-88.2811,61.2423
Telecom,630773,414406,6436.5716,-48.5626,616.8437
Telecom,258902,20183,2156.5556,-82.1919,756.9951
Telecom,516595,339223,7099.6814,-43.3607,987.3549
Telecom,433803,929076,1528.1725,-59.6134,282.5834
Telecom,649366,456914,7303.1443,-98.2995,719.7213
Telecom,449541,781053,6913.4133,-78.1492,390.2625
Telecom,917870,458265,9405.595,-36.9352,376.7271
Telecom,969457,519245,10000.0,-56.4355,739.16
Telecom,185526,755131,2052.0188,-92.4832,585.9774
Telecom,780356,859424,6917.9802,-36.5293,649.5071
Telecom,777010,720986,3065.7185,-87.3463,229.1557
Telecom,967096,402235,1020.2299,-65.0312,505.4291
Telecom,149189,441958,2426.1956,-78.3003,184.8553
Telecom,659758,360613,441.5917,-108.1201,875.7905
Telecom,96925,905598,6187.995,-30.0,200.1107
Telecom,173192,252206,216.9978,-57.7876,814.7202
Telecom,416827,246560,6107.0982,-53.8069,339.0669
Telecom,129574,417990,6762.1773,-89.6799,693.1519
Telecom,386840,350418,8866.7075,-96.75,702.5502
Telecom,828294,504514,1143.5278,-72.7969,585.1841
Telecom,508461,251308,7832.7631,-73.9188,131.8806
Telecom,212912,724684,8544.7703,-84.0223,856.6003
Telecom,602671,818364,8393.0595,-110.7777,363.4636
Telecom,655702,57369,8680.8758,-47.1729,425.9327
Telecom,450076,687783,9848.1183,-90.3857,544.0569
Telecom,619358,409674,4846.9137,-116.1495,27.7818
Telecom,344931,783787,2641.638,-109.2233,804.2374
Telecom,617947,646445,7220.5,-34.6295,130.3769
Telecom,481991,998854,2204.568,-41.3794,798.6126
Telecom,985842,480237,5097.5758,-49.3289,935.1186
Telecom,349985,318757,5742.9208,-68.5469,472.8515
Telecom,79206,758597,7126.2879,-40.4211,691.1566
Telecom,9493,603466,7469.2057,-65.4025,695.3701
Telecom,602204,822541,9917.3566,-107.3877,160.7377
Telecom,302643,958793,9310.8489,-35.6892,277.0648
Telecom,714354,776710,3057.1731,-43.7372,915.0936
Telecom,255703,915396,9110.597,-79.9894,190.8555
Telecom,386711,907138,9118.668,-66.2148,938.4202
Telecom,965303,786151,9769.2882,-59.9712,729.6678
Telecom,909526,972877,7231.6686,-52.3716,138.7855
Telecom,195252,532477,5588.6227,-54.4949,822.3323
Telecom,944716,77455,3953.4333,-86.458,21.4617
Telecom,37469,598431,3766.8095,-35.4253,551.6279
Telecom,891076,412036,6354.3844,-117.4773,945.4323
Telecom,424657,269603,7983.6597,-109.6657,402.7285
Telecom,910760,390979,2694.3734,-92.8345,300.5462
Telecom,832005,335142,5796.8663,-84.1083,929.2673
Telecom,193382,806564,4478.9852,-58.2401,6.2395
Telecom,871508,695190,5532.4061,-32.1856,35.392
Telecom,815430,266008,5952.7254,-40.7314,970.7625
Telecom,629195,193663,8798.5536,-112.471,70.0329
Telecom,252433,946581,719.4238,-117.5136,1000.0
Telecom,273433,845714,6155.5015,-63.6702,202.9589
Telecom,251365,815038,8218.3457,-45.5903,685.1256
Telecom,497026,873451,5651.6588,-41.6979,479.6018
Telecom,774383,102311,4416.4856,-32.2782,207.1948
Telecom,735935,168444,2955.7512,-77.2104,877.4732
Telecom,939087,486374,10000.0,-35.9252,882.2984
Telecom,956384,431497,1543.81,-44.6873,100.1418
Telecom,629467,996342,2854.4638,-110.2244,197.7345
Telecom,662907,347552,4056.922,-94.1036,454.5539
Telecom,656239,830516,4760.3751,-34.3,432.416
Telecom,7313,762140,5393.9607,-84.609,169.7344
Telecom,856761,555566,7971.3399,-68.5267,157.8327
Telecom,722719,145761,7824.1371,-68.2094,787.979
Telecom,775084,536278,1352.8745,-97.4711,492.6728
Telecom,794496,377143,6784.679,-50.6422,887.5287
Telecom,56847,84584,9023.5628,-41.1671,865.2471
Telecom,258705,330087,618.875,-77.5738,882.3536
Telecom,681458,975903,6900.1783,-87.4435,470.4138
Telecom,851973,797444,4413.0993,-63.6787,681.4279
Telecom,806139,20979,4406.777,-95.8525,41.8758
Telecom,744720,187558,10000.0,-69.0368,2.5099
Telecom,215048,816355,1134.339,-63.6081,171.9687
Telecom,692054,98457,443.4294,-48.6494,403.7807
Telecom,793996,547849,8995.2217,-110.1266,387.6171
Telecom,976707,242965,4733.0037,-112.7052,491.4755
Telecom,717681,204633,3455.8145,-73.9552,646.9205
Telecom,743488,979191,5911.3275,-78.3906,910.3087
Telecom,502984,356816,4142.5547,-86.9611,848.8453
Telecom,257344,853721,5453.3955,-43.4806,943.3739
Telecom,208437,771085,5555.6275,-77.0326,361.91
Telecom,638315,301933,6850.0028,-46.6889,1000.0
Telecom,826448,92599,1897.6326,-86.5224,1.0
Telecom,515411,271210,7695.9647,-33.083,185.942
Telecom,389642,972918,8616.1704,-40.1048,330.1886
Telecom,726515,375433,2143.3649,-72.0454,639.308
Telecom,875894,878025,5131.8256,-58.9276,193.5078
Telecom,741271,193720,3611.9769,-90.7529,537.4387
Telecom,958144,357036,2097.3805,-30.7369,965.9872
Telecom,347977,28743,3059.9096,-61.2771,478.3289
Telecom,92201,567577,7076.3438,-81.889,435.0264
Telecom,261288,671359,9949.0324,-63.423,286.7893
Telecom,861430,782247,8671.0388,-67.4178,973.106
Telecom,476848,138092,782.1344,-94.2445,805.9175
Telecom,389709,535785,1040.8318,-67.6496,939.8665
Telecom,807846,216390,4135.5001,-109.2496,710.2999
Telecom,509915,44834,9197.3132,-71.0923,245.1404
Telecom,177746,680268,267.6674,-61.6118,798.3614
