Application,WaterLevel_m,FlowRate_m3s,Turbidity_NTU,DissolvedOxygen_mg_per_L,Temperature_C_water
Hydrology,64.4647,4589.3726,962.991,14.2609,4.6838
Hydrology,59.6542,4285.5059,912.8635,1.9188,7.2727
Hydrology,68.161,3443.9579,599.8478,5.7819,24.3838
Hydrology,1.5765,682.9453,855.6554,12.7135,27.8636
Hydrology,37.5506,2654.5861,232.1796,13.0516,8.1611
Hydrology,47.5118,2417.527,985.6931,1.3709,15.1165
Hydrology,95.7302,4423.9436,800.9507,5.5582,31.8516
Hydrology,74.8358,4956.1607,345.5294,9.4567,-5.9373
Hydrology,81.8251,4423.4428,434.0419,8.3895,33.2564
Hydrology,30.4984,3762.6023,614.6617,17.4617,24.6686
Hydrology,44.6555,4974.9131,392.0953,16.2247,26.7096
Hydrology,91.907,2349.7976,836.2479,13.2614,5.8835
Hydrology,33.5673,2970.4739,436.5483,15.2853,26.7117
Hydrology,61.9638,37.7319,957.6092,11.0373,-5.5875
Hydrology,10.8381,4840.6547,625.5364,15.4022,-6.1078
Hydrology,54.4815,4690.0451,574.4731,5.091,5.8744
Hydrology,64.3717,4990.0027,288.9923,9.5958,15.0947
Hydrology,4.7272,1328.4171,662.0627,11.7511,11.3942
Hydrology,34.2127,1704.6772,965.0114,15.0351,15.4823
Hydrology,14.4027,2848.2465,923.1182,6.5332,-8.8688
Hydrology,88.7212,3738.898,549.5519,15.4447,5.1875
Hydrology,34.728,2795.7957,1.479,0.9376,10.6899
Hydrology,92.2198,3571.2677,44.2619,15.5923,0.2663
Hydrology,16.761,3679.3844,637.1318,4.3194,2.8997
Hydrology,29.0685,1484.1494,0.0,2.5652,7.3777
Hydrology,47.9898,1017.8123,479.0797,8.5657,17.5184
Hydrology,50.6228,2909.7779,1000.0,10.6201,24.8114
Hydrology,38.3861,4680.1538,368.7652,13.4096,-5.0079
Hydrology,26.313,2525.3615,205.8266,16.2762,-4.8359
Hydrology,56.6707,227.7115,805.5123,6.3273,-2.3196
Hydrology,18.5276,1966.4594,560.3763,14.3515,17.3609
Hydrology,30.2204,3396.1398,154.6826,14.9712,12.9359
Hydrology,27.3956,2161.2062,781.825,4.3868,19.8705
Hydrology,39.4689,2332.4707,473.0767,9.9035,27.1886
Hydrology,50.2986,4613.149,1000.0,5.6644,30.4428
Hydrology,36.1449,4113.7848,657.6101,19.1572,24.358
Hydrology,78.1098,3156.197,207.7822,11.7662,-6.5709
Hydrology,72.6036,318.1537,208.8486,18.298,36.3008
Hydrology,79.4336,3403.244,912.9492,12.5167,-7.6895
Hydrology,42.766,4224.8179,32.4611,6.5835,17.9074
Hydrology,28.5163,4565.8339,871.4535,13.9266,-3.0496
Hydrology,37.8165,4429.8302,476.4753,0.0126,14.2353
Hydrology,55.0816,3731.1752,156.7979,1.5348,8.8411
Hydrology,12.8216,3899.7589,876.9322,12.7913,37.0394
Hydrology,95.0951,2225.5779,44.288,0.6333,13.4397
Hydrology,38.6353,542.0148,259.3595,0.1211,9.3809
Hydrology,32.8616,4843.506,551.5623,11.5417,12.8146
Hydrology,17.9116,4072.1825,97.8372,18.7042,25.363
Hydrology,17.1762,1644.6448,471.2969,14.8931,-0.4898
Hydrology,55.8712,1454.6855,332.5501,4.9634,4.8323
Hydrology,78.6542,425.0631,139.3928,3.1688,2.1112
Hydrology,21.9083,3243.0555,969.2359,17.6254,31.419
Hydrology,16.8628,2394.7232,496.7404,0.5094,10.5501
Hydrology,51.5729,4424.9632,792.4057,18.7335,13.9452
Hydrology,94.7868,774.4476,412.0147,10.2656,-4.0851
Hydrology,90.5665,2506.6649,158.6707,19.0519,38.3101
Hydrology,90.7671,2194.1103,57.3771,13.2406,1.5694
Hydrology,33.9078,3357.8409,224.1147,11.3922,20.4306
Hydrology,13.11,1577.3466,443.4843,1.2891,28.0642
Hydrology,76.8848,3799.6105,688.4808,12.354,25.1052
Hydrology,74.5263,1451.6576,651.4584,10.4892,26.4543
Hydrology,20.3032,2330.577,490.7494,9.6434,20.9929
Hydrology,7.7879,2939.6382,904.4672,19.4618,8.385
Hydrology,24.2196,4411.5614,95.1717,0.0,17.8847
Hydrology,28.0212,2669.4999,439.9625,19.0585,-2.5168
Hydrology,56.2954,1707.9923,605.3029,16.0905,5.326
Hydrology,7.1662,3461.6129,46.3043,11.9903,32.8374
Hydrology,41.5606,2196.7189,230.4082,14.2395,-4.3308
Hydrology,37.9051,967.7993,137.6621,13.0746,-3.0729
Hydrology,60.9506,1579.5101,882.1922,14.2619,-4.5903
Hydrology,64.423,2924.8022,645.0636,15.4068,28.8442
Hydrology,75.2048,4648.0695,81.6433,3.4924,24.8149
Hydrology,95.6221,4908.5362,733.3517,3.1464,17.4533
Hydrology,64.8299,4993.4425,702.7363,15.7789,-4.4509
Hydrology,31.3046,487.4862,217.9395,8.3832,19.7585
Hydrology,78.1346,679.3534,220.5887,14.039,15.1877
Hydrology,67.0225,509.8204,210.5946,1.6322,0.333
Hydrology,11.8905,1132.9521,290.8095,16.9682,-2.9856
Hydrology,61.1655,124.1502,465.635,15.7214,-1.2016
Hydrology,58.3267,2580.785,997.4107,8.2787,1.4846
Hydrology,17.2239,179.358,187.772,5.7175,23.417
Hydrology,18.8268,1034.8043,550.1095,4.2587,13.3416
Hydrology,53.7654,2234.3371,782.8603,18.161,13.1193
Hydrology,67.965,1778.288,840.7675,18.1072,8.0522
Hydrology,0.0,4357.2973,19.4476,5.2357,-4.9607
Hydrology,17.1098,857.9221,538.5583,5.5597,12.5063
Hydrology,62.3678,1702.3378,874.9266,9.4849,16.5762
Hydrology,94.5874,237.599,564.9529,8.0515,10.0224
Hydrology,21.7236,4229.9664,603.5947,17.7871,23.9237
Hydrology,34.6806,5000.0,61.4899,9.6058,31.7609
Hydrology,58.0884,2661.2895,90.7317,17.374,22.5277
Hydrology,34.2779,3923.6703,773.3672,9.0571,11.9031
Hydrology,39.3054,5000.0,972.9431,5.6177,-1.2239
Hydrology,73.5086,772.4003,403.7458,3.7567,37.8481
Hydrology,21.4661,4543.6671,191.8571,7.1563,7.5617
Hydrology,36.6198,2855.76,383.1627,11.3051,22.2234
Hydrology,43.657,561.6783,573.6161,17.4715,24.1385
Hydrology,35.3783,1548.7627,387.7277,7.921,10.6008
Hydrology,80.0793,3261.7726,507.8492,13.874,33.0461
Hydrology,85.3296,1106.3661,0.0,8.805,0.2909
Hydrology,76.4354,3703.6694,287.8041,0.6635,37.3008
Hydrology,32.8113,1029.1065,387.4622,17.4469,10.276
Hydrology,71.3953,1949.958,452.0893,0.8098,39.4205
Hydrology,88.4136,3476.1747,869.0014,1.9848,2.6262
Hydrology,76.8675,3469.1344,339.4982,15.5169,37.9788
Hydrology,4.0669,574.1111,937.6028,1.1442,15.3126
Hydrology,27.2991,4355.8514,914.9347,15.4138,7.9718
Hydrology,32.7365,4811.091,927.3998,13.2736,19.4507
Hydrology,45.7901,2409.2236,468.1322,19.7588,13.6959
Hydrology,64.7227,4058.472,887.3062,7.9465,-7.1422
Hydrology,62.1528,3285.0823,975.7904,0.2307,2.7385
Hydrology,69.0633,4168.2865,224.2167,6.5711,5.3683
Hydrology,66.6336,3751.5716,850.4315,2.0772,13.3396
Hydrology,26.469,63.5505,581.3935,17.6127,36.3461
Hydrology,16.3944,1295.1068,778.4113,10.9362,-8.6006
Hydrology,24.3819,1285.2622,791.3869,9.1468,-7.8089
Hydrology,85.1692,3031.8396,649.0084,4.0945,8.465
Hydrology,4.6056,3333.7754,56.3465,13.0168,27.1888
Hydrology,41.2823,3996.2386,305.306,1.3449,29.8261
Hydrology,28.5784,4342.7258,1000.0,5.5753,-4.6197
Hydrology,61.1939,4081.3761,618.6513,7.4539,13.0187
Hydrology,50.0827,4106.8113,932.6848,14.5653,-1.2119
Hydrology,91.3226,740.8314,672.2977,12.9138,23.7117
Hydrology,15.0168,3035.8041,300.7874,6.8031,31.2255
Hydrology,15.5601,1238.6214,160.6361,17.4228,-8.8404
Hydrology,91.1967,4122.6153,723.7728,18.7051,19.7065
Hydrology,6.6317,3211.7022,547.0109,10.1261,-3.2941
Hydrology,100.0,3718.6985,804.918,3.7666,14.3373
Hydrology,64.8565,3597.3809,352.6101,2.7939,9.1119
Hydrology,58.0862,3425.9394,755.8278,7.6904,20.9771
Hydrology,11.2537,2556.5693,553.0941,5.96,11.6305
Hydrology,89.5778,1137.5103,820.1239,14.5811,35.7583
Hydrology,49.0009,556.3545,962.8145,9.0971,15.3005
Hydrology,79.2279,361.8764,334.3866,18.7487,36.148
Hydrology,22.2324,2490.6825,591.7295,11.0498,-6.5189
Hydrology,77.6034,997.7033,439.6229,0.5511,31.7057
Hydrology,59.4376,3009.9093,130.4602,13.4344,10.8132
Hydrology,34.8571,3372.2239,848.3761,0.1392,32.992
Hydrology,40.241,994.63,185.0735,0.2787,37.0294
Hydrology,47.2324,2265.2675,38.1718,17.1674,0.7578
Hydrology,9.3786,570.4987,955.7674,5.0288,5.065
Hydrology,67.8192,4353.2056,736.6334,18.2207,20.7316
Hydrology,47.0372,1531.8997,619.5174,3.1009,0.3124
Hydrology,70.5363,3882.9912,935.4182,11.4931,37.8981
Hydrology,100.0,4649.5763,367.5682,6.9154,20.8689
Hydrology,69.9851,2885.4314,395.0086,2.0341,18.9446
Hydrology,90.867,536.7676,315.1011,9.1716,28.1178
Hydrology,10.1022,540.6263,786.9147,13.2903,34.3658
Hydrology,6.6366,1701.3168,121.7636,9.4076,3.7698
Hydrology,21.6936,4924.8604,569.9334,11.6462,38.0956
Hydrology,90.3624,1252.4462,954.7867,7.3261,-3.5357
Hydrology,90.1056,4317.5119,902.7974,15.0488,34.9874
Hydrology,80.9913,1191.1378,331.4065,12.9876,24.843
Hydrology,27.3088,1827.0708,105.3303,13.4678,14.6072
Hydrology,65.6129,1977.8688,274.4445,16.2279,37.4366
Hydrology,60.928,951.0156,746.2993,12.9313,7.0658
Hydrology,90.7644,2039.5744,260.5078,9.4299,28.1619
Hydrology,88.3099,2097.524,717.5594,7.3669,27.254
Hydrology,21.4761,4546.1124,463.0278,9.5165,-7.9543
Hydrology,67.3875,419.984,64.1256,12.533,40.0
Hydrology,44.6417,40.8329,306.7076,12.6791,-4.3312
Hydrology,33.3894,2468.4816,319.6041,18.2071,39.1197
Hydrology,71.6457,5000.0,0.0,9.7724,-2.7443
Hydrology,33.831,4593.4967,608.9691,3.2271,31.9829
Hydrology,24.3252,2222.8399,730.8312,10.974,27.4724
Hydrology,77.5771,3101.1146,846.3671,0.7816,23.3061
Hydrology,35.3848,3544.1041,413.3799,18.4834,-6.3846
Hydrology,98.3527,4335.9591,834.4619,0.3539,-3.0636
Hydrology,87.6684,788.3506,733.9655,0.2035,-6.7321
Hydrology,40.1884,4715.959,697.5652,7.0324,38.8133
Hydrology,7.9391,3445.914,643.307,17.4489,-7.8879
Hydrology,67.8132,3497.8546,775.7019,13.0342,32.3832
Hydrology,17.7817,2369.8523,401.0225,5.5213,19.1303
Hydrology,88.8767,3967.289,496.01,4.7089,-2.3159
Hydrology,89.9299,2413.5846,856.8441,18.2726,13.0957
Hydrology,14.6595,2115.7173,370.11,15.1547,17.4393
Hydrology,16.7349,2244.7832,717.1692,9.3485,8.388
Hydrology,1.6211,4340.4768,406.7152,9.3921,2.5543
Hydrology,10.372,3336.8407,595.0599,17.0946,9.5083
Hydrology,9.5109,2385.3921,511.2366,12.8378,13.1587
Hydrology,97.0922,1382.2481,405.6515,16.6366,-3.8182
Hydrology,37.7232,2810.4063,782.4261,11.9624,21.3491
Hydrology,37.4389,3554.6645,345.8234,8.3223,1.523
Hydrology,52.2735,1569.9571,198.5263,14.4191,0.919
Hydrology,26.7592,1146.8173,14.3391,17.6163,15.7455
Hydrology,44.4959,1487.9132,210.7673,12.0996,18.4956
Hydrology,31.4902,1055.272,437.1376,9.1925,3.4965
Hydrology,81.0702,4135.2561,740.3733,3.6421,28.5512
Hydrology,37.3309,779.3213,720.9484,13.7517,-4.7491
Hydrology,66.6249,2818.6037,522.8595,14.0989,-10.0
Hydrology,12.5335,2854.7826,418.3877,0.0362,-7.7765
Hydrology,47.438,794.6766,894.2363,18.9183,33.162
Hydrology,77.0837,1814.8256,982.0702,18.744,19.1937
Hydrology,29.5139,1772.3203,671.8626,17.8921,12.4353
Hydrology,74.3317,890.7927,86.7727,20.0,10.1091
Hydrology,93.0221,3228.6818,461.7569,19.2848,-2.8555
Hydrology,93.1352,4866.8873,186.0382,18.0066,36.9411
Hydrology,88.1826,1028.5666,77.1021,11.278,-2.8531
Hydrology,57.671,977.0302,511.7368,9.6614,25.5623
Hydrology,92.9509,4521.8121,240.6594,7.4473,12.3856
Hydrology,82.6655,1914.9163,507.4724,1.5091,35.7425
Hydrology,75.0048,3568.8584,190.7032,3.9302,27.0338
Hydrology,20.3077,893.0864,960.4193,17.7898,25.6937
Hydrology,36.2468,1009.3339,41.7956,0.9053,39.1892
Hydrology,95.8728,3009.6833,52.3668,20.0,-6.4061
Hydrology,54.2149,3890.8693,373.8271,12.5044,-4.0555
Hydrology,72.3011,3660.2027,421.3187,12.6793,25.7391
Hydrology,40.1309,3953.067,330.4357,5.2152,0.5115
Hydrology,96.0456,4246.0605,519.9815,8.1403,16.8794
Hydrology,89.3055,1764.7159,629.7065,2.5638,4.6052
Hydrology,54.254,1463.6301,631.0319,17.7512,22.5613
Hydrology,36.9056,612.3815,381.5258,18.9499,39.5928
Hydrology,0.8145,2350.5211,569.7157,3.5261,23.6276
Hydrology,72.3192,2990.31,413.724,15.1897,8.9388
Hydrology,43.5707,2550.3761,33.8609,17.82,28.2922
Hydrology,78.4634,2099.7927,268.2957,8.5868,33.8162
Hydrology,32.7194,2189.2373,184.9707,17.1738,35.1634
Hydrology,95.8352,4471.9927,15.461,4.7352,24.1486
Hydrology,82.7898,3279.64,147.4956,14.9438,13.0316
Hydrology,53.8932,1119.9822,24.5274,0.3777,21.7285
Hydrology,73.9248,1999.7914,865.495,0.7071,12.2588
Hydrology,2.5288,3052.3724,539.0867,6.6967,13.2558
Hydrology,92.9334,1737.2244,214.2572,8.3502,1.0302
Hydrology,81.7942,3247.5101,604.3792,11.1679,18.4742
Hydrology,60.8933,1415.8961,684.6521,5.5226,-1.0134
Hydrology,59.7359,4447.7573,787.4627,18.8868,34.6958
Hydrology,24.7603,2513.8657,326.5358,7.1748,11.157
Hydrology,65.4678,1183.6121,220.0329,19.5935,23.7112
Hydrology,74.152,1746.9301,514.1777,11.1898,9.8837
Hydrology,84.2576,4746.1471,425.917,0.7152,-4.2631
Hydrology,65.8759,2566.0681,227.9944,12.9425,32.0339
Hydrology,16.2861,1046.073,391.1902,5.1412,14.95
Hydrology,28.5232,3944.5818,639.6957,5.8984,-8.6519
Hydrology,79.195,565.6864,928.751,7.0954,-4.6769
Hydrology,94.2117,4516.4656,93.1192,16.185,2.7033
Hydrology,18.2612,1585.6546,767.8675,18.7215,10.6077
Hydrology,49.6522,4199.7436,630.8651,4.1441,26.0244
Hydrology,75.6658,50.4711,372.3147,0.6301,37.915
Hydrology,77.8888,4437.2294,543.9742,19.4542,-5.5411
Hydrology,50.6874,3635.3449,34.973,15.0263,17.7044
Hydrology,5.222,4120.2571,900.6592,9.8296,5.5369
Hydrology,41.1626,661.03,492.7448,1.4063,37.6069
Hydrology,62.6771,3932.7719,346.1242,17.2203,17.7821
Hydrology,96.2006,4738.0435,276.1681,17.1513,13.2203
Hydrology,70.5041,3000.1488,811.831,17.2083,23.7015
Hydrology,26.3898,3204.2211,210.0238,17.7915,2.3028
Hydrology,47.6315,1833.0947,42.5206,3.3748,3.3868
Hydrology,12.3443,876.5245,454.4268,6.4938,33.7633
Hydrology,28.3776,4040.9663,40.5278,0.0,25.5894
Hydrology,45.9335,3144.7436,532.2622,7.7128,27.1273
Hydrology,53.7505,3570.5244,932.6731,17.5637,13.681
Hydrology,51.5981,3346.8848,892.186,2.0502,-1.8656
Hydrology,75.0548,669.4527,265.9632,19.5457,14.8261
Hydrology,79.5012,365.866,191.6826,16.8409,-0.0127
Hydrology,14.0379,2404.8788,8.3389,18.1419,14.6412
Hydrology,81.9037,2258.52,799.6908,6.2058,2.6726
Hydrology,26.4109,4590.9768,331.9601,5.3191,8.7352
Hydrology,3.6237,1885.4172,287.0426,6.8381,7.0883
Hydrology,70.8772,207.4345,918.896,12.1177,8.3345
Hydrology,24.5042,3762.3381,111.1328,18.8984,22.0605
Hydrology,4.016,4270.2678,685.7303,11.3051,22.5876
Hydrology,15.722,3068.869,657.2043,4.8648,35.8239
Hydrology,8.0368,1000.3783,422.2013,8.0383,16.4823
Hydrology,63.3595,3869.0389,562.1843,19.2216,18.2204
Hydrology,74.6365,2169.9188,616.9999,0.664,16.5816
Hydrology,47.0327,4582.9542,427.9622,17.718,0.4265
Hydrology,74.8957,3095.4031,646.2626,5.994,-4.3534
Hydrology,70.785,3736.7025,568.9098,4.7692,-6.9684
Hydrology,21.3547,3033.4603,202.8169,4.7514,7.3767
Hydrology,43.6515,4267.7259,939.3021,3.0642,34.892
Hydrology,75.4586,3204.8004,637.399,4.6687,8.9291
Hydrology,6.8904,4548.2272,111.4541,15.2955,0.6858
Hydrology,78.2175,3346.1165,791.3204,6.8613,0.8364
Hydrology,35.4235,3854.374,261.4551,8.0616,23.057
Hydrology,47.3777,4154.335,12.2203,3.7783,-2.8114
Hydrology,40.5741,4934.6387,769.7956,15.5395,-0.9384
Hydrology,52.3539,478.4748,783.4747,5.0482,34.9118
Hydrology,40.2505,714.9933,733.8932,11.7568,-1.7325
Hydrology,23.0698,2311.18,423.1709,2.304,-1.3964
Hydrology,16.7939,2692.4209,28.7002,1.9695,20.0811
Hydrology,51.1442,4416.292,149.4505,20.0,1.2954
Hydrology,34.9594,2479.8882,358.9967,10.1749,-2.276
Hydrology,4.1163,404.7643,375.4485,17.6304,5.0714
Hydrology,98.1803,2069.782,875.191,20.0,34.12
Hydrology,14.9675,2345.0467,924.8974,4.1342,5.309
Hydrology,94.0805,4884.586,295.7792,3.4973,12.9215
Hydrology,84.496,1791.1379,380.0557,8.8637,36.9065
Hydrology,18.5592,3735.1954,0.0,17.9658,31.6417
Hydrology,13.4269,3317.4826,295.5426,16.8942,37.4397
Hydrology,93.8818,1812.1358,809.4839,16.7479,35.8086
Hydrology,58.4778,3210.6939,437.8432,9.6136,30.1234
Hydrology,0.0,1882.7852,216.362,2.9222,-10.0
Hydrology,85.5144,3653.132,454.3688,15.6105,35.8804
Hydrology,76.9459,3810.8361,329.6957,18.3638,6.4012
Hydrology,59.4661,3358.6428,388.8275,19.3072,38.0209
Hydrology,31.7376,4314.4487,936.764,3.9283,3.7806
Hydrology,47.0348,1327.1141,285.2014,1.781,25.3075
Hydrology,74.5512,1784.2603,682.6287,1.2737,-0.4227
Hydrology,80.2678,3865.5173,801.7682,9.4269,9.0797
Hydrology,13.5887,316.2187,505.4188,2.976,8.0726
Hydrology,9.1629,2359.3108,899.4956,16.819,-2.2939
Hydrology,12.196,2032.4934,515.185,14.1823,23.8454
Hydrology,59.1438,2799.6422,732.5902,7.2436,22.2361
Hydrology,100.0,2121.6203,337.8303,0.4193,5.4919
Hydrology,55.7781,1615.2814,1000.0,11.3664,13.6398
Hydrology,57.9133,3826.5307,154.15,11.5155,31.6677
Hydrology,78.3373,1493.0616,103.6869,16.386,29.5012
Hydrology,22.176,1910.4697,490.0893,12.5985,29.99
Hydrology,43.709,1448.7471,156.0594,2.0723,28.4025
Hydrology,93.9491,2736.8493,515.3753,8.5014,12.6717
Hydrology,40.1256,3041.2182,721.7109,19.7239,2.8196
