Application,Tourists_count,Hotels_count,Flights_count,Spending_USD_per_person,Duration_days
Tourism,49930,2553,833,6168.236,5
Tourism,49855,1921,881,11018.8926,18
Tourism,31563,1567,1106,17364.2694,85
Tourism,81887,1895,230,4813.2689,89
Tourism,95993,2931,385,586.9803,65
Tourism,2099,1830,1778,13991.2191,42
Tourism,10660,2851,1420,988.9784,43
Tourism,83544,4726,1241,20000.0,70
Tourism,96108,486,987,2544.9067,68
Tourism,59986,4661,910,8793.1239,4
Tourism,61232,1058,327,2562.1457,1
Tourism,25502,3138,236,9509.4659,3
Tourism,40356,3528,1088,12564.9488,60
Tourism,60480,2887,869,18179.8353,58
Tourism,10362,3770,1581,4666.3802,52
Tourism,2998,567,499,9968.6369,7
Tourism,78299,4187,91,4571.7357,80
Tourism,57247,204,735,2477.7637,23
Tourism,66614,748,1074,15775.8973,80
Tourism,22150,1422,1906,146.8732,65
Tourism,60709,2325,1117,5370.325,57
Tourism,70286,4417,1902,1322.111,66
Tourism,38174,4904,1184,1314.6001,75
Tourism,6524,3190,880,11609.9826,1
Tourism,21987,3165,164,14776.5405,78
Tourism,37394,3795,1490,10881.848,2
Tourism,50605,3245,71,14970.9258,32
Tourism,98890,1529,1426,16432.9169,16
Tourism,31380,2497,1790,9419.5909,43
Tourism,26411,3298,1313,9430.5996,37
Tourism,84466,425,1718,3689.229,30
Tourism,9594,3917,1564,13593.8151,1
Tourism,25992,3810,1466,4086.6826,75
Tourism,84382,4337,1917,13096.7817,29
Tourism,49168,344,386,16180.5754,46
Tourism,77550,3142,1528,8708.1176,18
Tourism,39613,3558,996,11840.0261,38
Tourism,86999,2786,1963,4542.8869,11
Tourism,65400,3334,1880,17733.3602,18
Tourism,18327,1262,556,12050.3742,26
Tourism,3943,2198,313,11033.824,53
Tourism,41552,2236,295,10015.6598,61
Tourism,43119,576,1659,11614.8815,23
Tourism,92657,4522,264,12352.4104,35
Tourism,17800,4620,711,11752.2784,10
Tourism,9765,4414,298,13508.0442,58
Tourism,69821,569,1990,14348.88,89
Tourism,15903,4382,1773,4840.9207,23
Tourism,84484,2038,1548,16912.84,78
Tourism,58887,426,238,15564.3679,46
Tourism,45421,3658,498,2647.8437,57
Tourism,34342,2911,1120,8818.2251,58
Tourism,26422,1630,1528,12008.9023,18
Tourism,75690,674,872,1490.8142,32
Tourism,73279,954,671,17426.8125,7
Tourism,60053,2253,1940,5462.6624,79
Tourism,34075,1691,1620,6195.3133,44
Tourism,15042,1017,1458,15414.4277,33
Tourism,19630,1876,991,14280.8766,14
Tourism,27578,3503,1551,19698.8612,2
Tourism,98211,4716,687,7955.0494,78
Tourism,35714,877,1327,9439.1875,53
Tourism,9924,3622,568,15892.2751,27
Tourism,72021,3394,1860,16561.2079,71
Tourism,25276,2724,227,1551.4496,74
Tourism,66553,665,1814,2698.2483,70
Tourism,56175,731,1620,9412.5889,3
Tourism,73652,4300,694,12265.7172,46
Tourism,89081,950,1303,18806.3617,34
Tourism,48059,1406,1989,7226.6201,40
Tourism,66826,665,1027,11236.0463,90
Tourism,57869,103,1289,13283.7075,54
Tourism,86953,2645,651,6686.2489,59
Tourism,46133,3040,1065,18987.2526,52
Tourism,38075,1542,541,4039.3975,50
Tourism,54371,1364,256,673.6543,36
Tourism,26577,2409,1682,11216.1412,3
Tourism,90325,4432,752,12090.4797,44
Tourism,22504,370,1188,11884.5625,67
Tourism,78336,161,149,5166.5599,67
Tourism,35563,3332,382,16025.523,44
Tourism,94835,2860,1025,2279.4185,28
Tourism,56665,3558,1345,740.4955,28
Tourism,2296,4647,294,5649.6532,26
Tourism,68016,2889,1641,9334.7367,16
Tourism,56243,1560,1234,17423.4076,11
Tourism,42294,163,1638,4698.3517,32
Tourism,10449,811,646,16382.8901,26
Tourism,79329,1106,350,11573.9305,7
Tourism,81500,2854,1553,15289.1975,46
Tourism,9750,4345,1536,9038.7313,35
Tourism,8463,4427,64,77.9862,45
Tourism,11788,937,1533,4097.7326,34
Tourism,29516,2039,81,5540.2022,28
Tourism,95408,1061,677,950.8988,59
Tourism,23690,3715,578,2327.249,69
Tourism,23042,983,1553,2981.0214,76
Tourism,93097,429,1941,2634.6197,17
Tourism,10127,1639,1927,11981.2339,87
Tourism,93343,1520,1788,7451.5075,25
Tourism,84210,1964,293,14961.2856,13
Tourism,81822,3678,1097,13144.7896,8
Tourism,14288,1845,1666,3171.3076,82
Tourism,16284,2776,1515,8999.8745,80
Tourism,95133,2706,528,8397.8906,77
Tourism,55139,2213,1030,10705.2581,6
Tourism,28438,3217,740,17229.8189,24
Tourism,67806,3126,765,5485.5966,90
Tourism,70931,1111,469,11008.599,55
Tourism,94912,2990,1774,7947.8635,15
Tourism,92431,4347,616,18044.9702,32
Tourism,5656,4740,906,4309.2946,64
Tourism,3935,2330,1071,6551.7833,53
Tourism,60964,3990,530,9396.3966,45
Tourism,11502,8,1692,6805.3935,33
Tourism,61729,2502,1435,14890.294,26
Tourism,24904,3328,155,17064.6271,43
Tourism,83871,4683,1724,10953.7504,36
Tourism,95117,3947,35,6248.6573,11
Tourism,47465,2980,151,12297.5044,36
Tourism,21123,1132,363,8149.3252,28
Tourism,79123,3226,950,12686.7426,14
Tourism,46062,2010,1098,12926.1301,31
Tourism,39522,4645,1694,15494.0383,54
Tourism,10772,3023,632,13028.8218,66
Tourism,79473,532,263,12450.1188,76
Tourism,88185,652,1071,20000.0,44
Tourism,82675,4311,401,5615.0713,17
Tourism,20437,4456,735,9203.8554,73
Tourism,1073,400,1831,5887.6056,1
Tourism,29215,4272,1502,17517.558,65
Tourism,22147,4568,1019,17285.144,64
Tourism,6820,1463,1803,1142.99,6
Tourism,25854,4780,1843,14314.0259,83
Tourism,85609,3295,859,18438.5532,54
Tourism,29328,4650,1458,16970.1412,90
Tourism,55911,4896,887,13150.4155,22
Tourism,73352,4770,1465,6575.3234,65
Tourism,62158,4455,1658,9330.0811,4
Tourism,70068,2460,634,905.9658,16
Tourism,36287,343,263,4503.0352,88
Tourism,30363,1013,1810,19076.6915,47
Tourism,3541,1091,919,9883.9293,81
Tourism,50077,2253,669,3201.3631,78
Tourism,88265,3059,671,13338.264,28
Tourism,97522,3822,1787,2898.1566,20
Tourism,23659,4545,1905,9670.1478,15
Tourism,53630,4788,906,16914.5525,82
Tourism,97465,2276,590,13409.575,21
Tourism,83091,605,385,11856.5074,34
Tourism,43397,1766,73,15162.4499,44
Tourism,27831,1909,1473,15414.871,9
Tourism,8502,2882,27,12408.2197,74
Tourism,22243,1177,394,14429.8954,4
Tourism,49282,1340,123,5698.4201,38
Tourism,28774,4906,794,14161.1986,81
Tourism,45539,348,350,2685.1566,44
Tourism,70237,3991,106,10163.871,57
Tourism,6748,3284,1351,16678.0501,23
Tourism,6459,4826,1834,9004.1981,69
Tourism,15146,4461,390,6462.1361,24
Tourism,9250,2559,152,12167.0774,25
Tourism,35814,2178,1808,3500.2435,23
Tourism,2047,3829,1593,4604.1876,79
Tourism,70974,73,1235,5042.1732,11
Tourism,5921,2813,430,7045.8317,56
Tourism,33185,2055,403,9316.7476,35
Tourism,57013,3438,321,15830.2604,55
Tourism,95432,3951,1601,5884.3414,55
Tourism,59856,548,729,10779.8946,74
Tourism,60992,146,411,5180.1291,3
Tourism,52260,3764,1229,4993.0753,55
Tourism,90852,3053,1677,7512.397,10
Tourism,73532,508,1142,10.0,10
Tourism,89691,3191,526,13953.905,1
Tourism,495,3654,1231,10.0,73
Tourism,82008,4025,1132,6823.7429,27
Tourism,31429,1470,121,4997.1818,31
Tourism,29322,1098,1126,19849.5344,7
Tourism,89658,3193,1890,12673.5667,81
Tourism,65552,1178,1849,2405.7186,39
Tourism,77177,325,1987,18854.915,83
Tourism,16397,4835,1042,4994.3074,3
Tourism,17557,560,1276,16009.1262,34
Tourism,90777,4166,508,20000.0,77
Tourism,45155,2091,1635,19637.2259,80
Tourism,46325,2428,481,16093.0242,54
Tourism,38747,4793,302,20000.0,4
Tourism,6241,1832,1826,3138.6213,80
Tourism,27631,4104,1669,15093.5368,83
Tourism,65342,2539,327,12555.5515,39
Tourism,79976,1603,1578,14252.8736,33
Tourism,36200,297,1687,4661.2482,80
Tourism,64375,1911,610,18380.9334,46
Tourism,35122,4959,29,3061.6763,22
Tourism,66377,1464,170,2559.9428,24
Tourism,52556,2376,1499,17838.0946,47
Tourism,79483,1789,1423,15838.552,79
Tourism,1378,845,1274,11449.1034,75
Tourism,92859,4189,532,15223.8702,89
Tourism,68500,3648,480,679.3881,8
Tourism,17839,3376,1094,16496.6208,80
Tourism,31140,3782,1034,1480.1484,61
Tourism,32774,1128,33,10148.1436,51
Tourism,19060,3019,1146,1109.8795,63
Tourism,93303,4408,1438,15811.1011,81
Tourism,27225,1505,1946,5128.5772,39
Tourism,23193,4723,454,8537.0444,35
Tourism,20212,948,556,19621.5676,65
Tourism,89726,1253,1627,15923.5497,22
Tourism,97084,4344,1931,2978.5319,28
Tourism,82218,2067,676,19353.6853,47
Tourism,42309,3040,834,8727.412,22
Tourism,45326,1985,1915,16499.4809,56
Tourism,2035,4815,1964,3181.2597,2
Tourism,71593,3102,1113,3101.2706,70
Tourism,19258,4267,823,5280.0847,79
Tourism,57448,1372,817,534.2935,30
Tourism,56690,355,752,12483.1571,86
Tourism,12295,3289,1969,4146.595,13
Tourism,46720,289,1824,18663.3741,38
Tourism,83134,1331,1719,20000.0,85
Tourism,16182,4905,1435,17994.5756,50
Tourism,80978,2675,85,5341.9886,53
Tourism,28745,4501,658,8534.6295,30
Tourism,85540,4904,875,6889.6543,81
Tourism,68294,442,1016,7570.1481,47
Tourism,51359,2866,1484,16529.8467,34
Tourism,69819,352,1112,7473.0703,56
Tourism,71672,180,707,18413.6393,37
Tourism,870,2516,1909,1255.5493,36
Tourism,81418,2141,38,8677.6533,7
Tourism,2423,371,649,10.0,81
Tourism,76395,1,1129,6872.0235,49
Tourism,43596,153,1006,5948.4774,40
Tourism,41107,90,1368,14722.7627,43
Tourism,65560,47,389,9656.174,29
Tourism,99396,3955,181,7406.2559,48
Tourism,16756,3583,1250,11238.2075,37
Tourism,64754,3458,1451,549.8778,70
Tourism,25371,1080,353,16055.1966,56
Tourism,91462,808,1893,7032.4384,25
Tourism,39957,3345,1722,10022.743,79
Tourism,13014,590,1682,18254.0869,53
Tourism,54690,2814,417,18072.3593,87
Tourism,38418,4448,1103,14570.5224,52
Tourism,21519,3056,596,10381.6143,24
Tourism,16836,171,645,11298.5277,43
Tourism,18089,1847,956,3446.4862,85
Tourism,27257,2351,3,17354.9052,35
Tourism,90760,4112,362,3857.3451,40
Tourism,75680,3175,746,14864.903,30
Tourism,40923,2250,1998,18768.181,90
Tourism,82341,53,1402,1231.3741,48
Tourism,9633,2062,744,16356.744,87
Tourism,210,104,1205,11809.0945,34
Tourism,29255,1199,1062,12529.6348,47
Tourism,51740,3780,475,10474.2742,25
Tourism,33477,102,1931,14744.1599,74
Tourism,15844,4650,1622,16564.4752,61
Tourism,13417,3047,1962,602.681,12
Tourism,7421,1632,1074,9316.753,71
Tourism,37881,619,1472,64.3138,31
Tourism,61440,3909,520,5941.3485,34
Tourism,26863,1360,933,16476.8197,80
Tourism,54474,3135,340,2261.1634,83
Tourism,44160,4501,1861,8286.6836,13
Tourism,52917,4697,222,17687.137,25
Tourism,80207,2594,1534,18018.3571,32
Tourism,30946,3660,1017,5431.4476,25
Tourism,98536,3303,458,15646.125,74
Tourism,38722,4016,895,2426.1247,47
Tourism,48032,2965,549,10146.0098,52
Tourism,723,358,1616,11499.5121,82
Tourism,47357,69,1121,10742.76,58
Tourism,98255,3912,1515,9522.6734,23
Tourism,90859,342,1640,13028.9963,34
Tourism,77818,1584,1578,748.3194,48
Tourism,6489,2536,220,1226.5136,2
Tourism,31356,4900,1588,4774.1915,28
Tourism,39609,1328,437,14964.706,59
Tourism,26300,2959,350,3578.1919,8
Tourism,41014,374,1969,10493.4994,37
Tourism,36784,2500,29,2361.0325,5
Tourism,3753,1042,1058,8812.1669,29
Tourism,79666,1244,1660,13080.2369,18
Tourism,66153,1353,1818,6185.1769,50
Tourism,99887,1182,1335,1919.4403,59
Tourism,9496,4043,91,10731.7146,53
Tourism,9801,3628,1668,5021.772,19
Tourism,65534,1597,714,7139.0716,53
Tourism,88941,1042,1241,15344.3929,83
Tourism,44676,1564,453,10106.3505,67
Tourism,74694,41,1696,2634.9067,49
Tourism,58956,2510,1873,1152.6621,6
Tourism,17787,3451,107,6233.6981,8
Tourism,45605,3777,1605,18064.1398,10
Tourism,49529,4856,413,16501.1997,37
Tourism,84927,2936,77,3386.321,9
Tourism,85642,3006,820,2241.5535,83
Tourism,60164,4925,588,12549.234,49
Tourism,3452,4335,1792,17979.9424,61
Tourism,7708,3198,660,15712.2139,80
Tourism,11317,868,913,4481.6796,62
Tourism,2766,4093,1125,12174.4988,14
Tourism,68359,48,235,2509.6092,84
Tourism,42219,1678,1126,9193.2943,34
Tourism,27657,1540,271,12802.9164,60
Tourism,69004,3780,1668,11491.5357,55
Tourism,77640,1659,79,13590.9338,48
Tourism,14381,2755,136,10723.4616,8
Tourism,93456,245,488,5650.9677,5
Tourism,12088,4149,82,13468.9539,71
Tourism,70477,4100,399,6069.285,65
Tourism,46842,171,1824,17046.1551,16
Tourism,20080,2822,813,13320.7626,26
Tourism,76102,2807,1883,9369.2275,73
Tourism,74225,3333,901,15376.8826,29
Tourism,82176,1376,241,12571.9626,27
Tourism,32880,4029,234,631.5613,42
Tourism,86517,836,1076,11621.305,88
Tourism,30986,3407,1023,3282.5121,46
Tourism,3526,814,1597,14191.603,74
Tourism,75532,3122,1756,9453.0071,7
Tourism,89699,1039,1913,4820.4651,20
Tourism,40929,3645,318,18076.4455,44
Tourism,22251,2407,1371,7136.8935,54
Tourism,4800,1296,1667,16224.0228,41
Tourism,84674,391,1723,17020.9316,2
Tourism,3212,668,1793,7690.9619,66
Tourism,22580,2759,871,1801.5892,60
Tourism,29230,2041,1881,5352.7138,17
Tourism,73712,957,1357,14753.3273,74
Tourism,67737,1244,1007,4424.0079,32
Tourism,34037,3852,1293,13819.7191,51
Tourism,42961,1559,971,6114.0672,61
Tourism,97843,4599,1372,11233.9278,71
Tourism,55388,1374,665,16134.2723,22
Tourism,81889,2328,245,18937.3944,81
Tourism,77042,5000,1564,3760.676,15
Tourism,61644,3351,1375,9233.8649,38
Tourism,30790,4965,250,12345.9045,58
Tourism,13934,795,1827,1061.6411,60
Tourism,88617,3525,110,14858.5967,79
Tourism,33626,3345,947,8433.9087,46
Tourism,96022,4788,1782,9073.3952,1
Tourism,72507,3272,985,19675.128,43
Tourism,62583,708,1287,6304.8622,30
Tourism,82733,2976,373,10226.5145,45
Tourism,8597,3506,121,19475.8402,9
Tourism,52096,1106,1585,12353.2516,55
Tourism,62781,1076,525,8768.8932,24
Tourism,91402,4420,179,11017.885,41
Tourism,56259,1969,1274,885.5576,8
Tourism,56123,1500,108,8552.9515,11
Tourism,40266,1320,1676,2638.3405,29
Tourism,46007,3252,1597,9533.6536,26
Tourism,42813,3105,1145,7040.6983,71
Tourism,29429,149,863,13605.8098,40
Tourism,2960,3458,99,18139.1843,10
Tourism,56692,2484,1278,5954.136,68
Tourism,75793,2479,963,18011.3646,35
Tourism,57701,3481,1381,921.3491,54
Tourism,74932,281,778,4718.4239,24
Tourism,99801,3780,523,2304.3228,60
Tourism,82307,3574,192,14354.4897,58
Tourism,5457,2715,1087,9193.1761,26
Tourism,93374,947,687,1943.1433,59
Tourism,61834,936,1771,17857.2748,27
Tourism,23651,4024,1800,4269.3325,59
Tourism,54665,1929,240,3892.2354,30
Tourism,15112,1869,1572,18511.3021,32
Tourism,68382,2876,623,9918.8667,59
Tourism,94426,1211,25,14522.3147,26
Tourism,41478,3678,854,10626.9538,42
Tourism,69330,2548,896,17652.3909,84
Tourism,2859,4198,67,20000.0,24
Tourism,24863,4534,1421,1633.6982,34
Tourism,10545,480,1738,5750.8351,1
Tourism,54686,4078,1965,11158.8113,81
Tourism,68894,3330,1567,14862.8369,50
Tourism,76882,191,1702,9894.966,22
Tourism,50365,842,1390,2316.4661,87
Tourism,54328,4080,1643,16478.4211,25
Tourism,84705,25,245,3120.2821,81
Tourism,78858,1944,1909,9824.5066,86
Tourism,50325,2366,236,8778.6454,79
Tourism,20984,4250,596,10220.1556,29
Tourism,23710,13,386,2719.6394,81
Tourism,39353,2175,548,2813.5859,71
Tourism,85807,1614,1374,13701.9589,64
Tourism,8979,1555,1151,4957.3769,51
Tourism,18746,3120,151,4608.3308,26
Tourism,60892,3303,144,8358.668,89
Tourism,49737,4266,1641,5025.6152,49
Tourism,2893,4082,800,19952.0958,36
Tourism,19256,3144,1245,13881.2174,70
Tourism,84030,2100,1994,14793.2059,39
Tourism,9153,1228,1857,17745.9139,41
Tourism,87026,4479,1694,1852.2753,4
Tourism,74441,1558,1017,8439.2383,14
Tourism,25,830,259,11778.523,86
Tourism,55143,4066,518,15554.787,86
Tourism,82714,1816,714,19511.7324,46
Tourism,2765,3713,236,13947.2399,25
Tourism,87300,1883,1882,18940.2014,53
Tourism,96910,1302,957,19335.7143,31
Tourism,67383,3614,218,13459.6559,5
Tourism,21949,4876,1645,14118.5558,41
Tourism,62009,3026,1435,19832.2488,63
Tourism,49591,806,615,15729.2704,28
Tourism,23179,4327,943,15539.116,73
Tourism,76938,1019,1274,1865.8465,45
Tourism,50700,3082,518,19106.3386,48
Tourism,24395,2027,1984,10634.2761,89
Tourism,46226,477,606,17617.7777,63
Tourism,31593,3188,712,16339.5133,31
Tourism,67629,1162,570,13533.3643,64
Tourism,19770,4958,595,12514.7564,66
Tourism,14448,2908,186,19947.6814,78
Tourism,48113,2253,1893,10.0,60
Tourism,29797,4543,1550,10986.7409,9
Tourism,50459,1152,1986,14287.1281,85
Tourism,60870,1575,1448,1771.1698,42
Tourism,51087,1789,675,7508.3467,35
Tourism,78704,4569,1807,13664.0834,74
Tourism,50689,2885,1217,10.0,77
Tourism,56446,2745,445,18188.2765,26
Tourism,16005,3748,717,8808.3849,82
Tourism,44528,4897,1070,3324.6667,73
Tourism,31997,832,878,9690.3953,90
Tourism,17245,4945,159,1081.5417,2
Tourism,24717,4609,609,5466.6665,48
Tourism,56760,1382,725,20000.0,48
Tourism,62268,2786,205,10443.5089,74
Tourism,16396,3034,123,2017.1046,69
Tourism,20420,3630,1107,15860.6784,80
Tourism,81393,775,1233,1771.6367,24
Tourism,72559,4194,1786,8039.9489,50
Tourism,25181,3694,408,18697.4841,53
Tourism,90811,3190,1464,943.7227,74
Tourism,65002,4691,737,19683.4429,58
Tourism,37042,3651,1916,7011.4392,45
Tourism,28383,3184,1686,864.6948,24
Tourism,81477,2277,1093,10476.2785,37
Tourism,58742,1783,1167,15028.8591,26
Tourism,10003,420,158,6143.9022,20
Tourism,41919,621,1964,7804.9469,13
Tourism,47111,2253,338,18346.986,86
Tourism,84342,13,1449,13950.0575,21
Tourism,4124,2331,543,18287.7274,68
Tourism,17359,2253,1001,20000.0,8
Tourism,75442,1618,1444,562.448,86
Tourism,68998,3441,1197,9970.391,57
Tourism,29673,2637,1578,1987.9211,77
Tourism,50897,2287,1236,13464.6723,33
Tourism,69604,4388,1220,1047.8107,78
Tourism,29953,1749,1948,2206.2438,90
Tourism,69971,3144,1848,12674.6956,75
Tourism,19303,3008,1257,1705.3418,71
Tourism,38598,2692,154,17706.767,75
Tourism,39533,3801,274,1373.6261,3
Tourism,21361,797,1985,13863.6876,82
Tourism,85942,3008,1240,19255.9017,68
Tourism,52273,4561,1681,16521.9881,10
Tourism,45492,4833,1450,10619.7704,12
Tourism,9365,2203,1474,17303.441,52
Tourism,53039,711,157,18492.2656,34
Tourism,24467,2800,183,7360.4639,21
Tourism,13657,1162,1222,18097.8903,16
Tourism,14511,4485,257,10062.7036,28
Tourism,33897,4415,1174,19303.3956,62
Tourism,56222,1294,1504,15113.7695,29
Tourism,58029,1305,1124,8184.5124,37
Tourism,16890,864,289,13499.4424,70
Tourism,23072,148,1787,7430.7964,59
Tourism,42279,2363,1568,16575.7082,27
Tourism,16964,3298,566,19450.6228,84
Tourism,63084,3436,731,11998.9255,22
Tourism,6365,2056,973,209.8515,2
Tourism,5536,4998,566,8190.8055,18
Tourism,11707,4995,1232,9200.7842,85
Tourism,22550,205,1994,17813.652,6
Tourism,5524,3634,939,15472.7048,23
Tourism,55718,3890,122,2022.3289,14
Tourism,23326,2681,1958,5634.8425,59
Tourism,36701,3861,786,6102.0952,68
Tourism,64019,1286,1138,7463.4481,80
Tourism,67855,3206,1282,13704.8039,21
Tourism,20119,2310,1809,15128.5343,83
Tourism,22444,1842,1777,9336.9464,25
Tourism,57505,4937,892,19005.5289,40
Tourism,339,651,1010,12171.668,83
Tourism,74706,188,510,8442.1087,62
Tourism,86900,2095,76,3260.1497,77
Tourism,65799,3557,452,18607.7188,22
Tourism,27103,3441,1483,16001.658,28
Tourism,87874,829,432,1751.6495,9
Tourism,5433,2531,662,10543.6202,17
Tourism,81458,4649,466,13649.926,34
Tourism,16615,4651,1617,17710.3052,5
Tourism,1938,1966,1683,1011.0574,7
Tourism,85950,774,1677,19197.5821,31
Tourism,79539,1598,1958,15875.0432,71
Tourism,70627,4142,797,9247.869,72
Tourism,61784,4954,1215,8149.7641,50
Tourism,63776,3224,573,4728.9829,34
Tourism,40909,992,406,5651.4833,81
Tourism,99865,3209,783,10055.9461,4
Tourism,4879,1525,501,12418.0564,46
Tourism,70706,4681,1657,4405.8191,24
Tourism,31992,389,1084,8804.7178,58
Tourism,42846,3184,576,6386.3052,31
Tourism,85626,4470,1228,15292.1465,12
Tourism,7691,3871,158,11582.4251,57
Tourism,86179,632,452,1657.738,88
Tourism,39629,542,1072,11838.0402,52
Tourism,5330,4266,938,20000.0,59
Tourism,89323,1304,884,3762.2636,73
Tourism,1225,2758,1866,7762.8978,5
Tourism,85583,66,718,4017.433,33
Tourism,56778,3716,755,876.4885,55
Tourism,45802,2792,699,4948.2668,45
Tourism,11005,1388,941,13494.5458,85
Tourism,57376,1766,1806,5645.9069,69
Tourism,82439,43,1840,14122.4424,7
Tourism,25099,892,990,9227.9158,72
Tourism,88076,4836,308,3697.6987,36
Tourism,81736,2749,1540,16818.5875,14
Tourism,51050,4441,1926,11232.7325,4
Tourism,61528,839,20,9685.6862,24
Tourism,6653,3069,1067,8455.6314,36
Tourism,83883,3120,1239,3190.7031,61
Tourism,64591,1809,1662,661.5625,8
Tourism,29769,1674,448,16827.1109,33
Tourism,26622,3427,957,7240.5036,62
Tourism,61400,2830,1454,9621.0781,23
Tourism,77189,1233,156,11441.7728,16
Tourism,71098,3708,1598,3832.2367,84
Tourism,29056,4973,624,6422.2337,18
Tourism,26765,251,151,9237.0893,41
Tourism,5965,2352,943,5275.8471,20
Tourism,98637,689,1668,16861.6022,78
Tourism,68080,141,342,10965.2677,81
Tourism,67374,1897,661,6560.5897,7
Tourism,74100,2234,121,7817.4442,81
Tourism,80566,4221,1280,10827.9846,1
Tourism,94899,3985,795,9975.648,41
Tourism,38384,1549,1253,7214.9515,41
Tourism,57071,2877,1221,6434.417,83
Tourism,45231,804,735,6976.4976,80
Tourism,91481,4331,1228,8601.8624,68
Tourism,52776,4511,1408,9039.6636,35
Tourism,64479,1718,1901,4452.9457,5
Tourism,28208,954,1273,12704.3283,16
Tourism,25778,3207,333,17770.2799,43
Tourism,14219,4355,1060,9778.7222,28
Tourism,19720,2491,165,15401.1763,2
Tourism,57041,3260,1928,8748.5467,14
Tourism,76993,2281,1057,7649.2238,28
Tourism,31876,2073,938,6698.8874,87
Tourism,88789,4345,1339,14814.0632,53
Tourism,40065,1842,1396,6110.3921,64
Tourism,64321,1918,1588,2707.6434,64
Tourism,86642,4232,559,10479.385,39
Tourism,26132,2930,1440,19757.3554,45
Tourism,74395,4907,1660,12897.3233,53
Tourism,23994,2018,1068,15625.3185,81
Tourism,52140,948,1364,12686.3103,81
Tourism,18123,508,25,13285.7606,14
Tourism,34988,3842,998,14701.2054,39
Tourism,81356,534,904,5122.6769,26
Tourism,37571,298,571,11133.4468,56
Tourism,30350,1082,389,12857.6684,30
Tourism,26527,2513,1116,18824.4595,56
Tourism,37211,767,1891,1163.7066,44
Tourism,11445,4239,1958,10299.377,55
Tourism,71445,4114,1298,3630.7726,36
Tourism,55902,1,1195,2430.3027,13
Tourism,51463,4838,1819,17581.6331,42
Tourism,58079,1460,1506,1804.4143,77
Tourism,475,4445,230,7754.3969,90
Tourism,43340,1125,881,2392.1763,34
Tourism,80782,3488,514,3161.3258,53
Tourism,81612,1151,1892,13597.5118,2
Tourism,97663,813,503,10238.2175,26
Tourism,54748,1883,909,8309.869,28
Tourism,66734,1981,1550,13586.6753,59
Tourism,54327,1942,1781,4315.3904,45
Tourism,81515,122,503,6639.5185,65
Tourism,70142,1686,666,19859.319,53
Tourism,7005,222,1949,1884.8536,53
Tourism,67647,1676,468,16687.1377,71
Tourism,74903,1239,8,17511.4721,3
Tourism,88206,1170,582,18362.224,49
Tourism,33511,3551,1324,5125.218,67
