Application,Attendance_pct,Marks_percent,StudyHours_per_week,Assignments_submitted,Participation_score
Education,56.7495,24.2068,59.1452,6,7.5038
Education,71.2315,71.2852,19.4902,14,1.0506
Education,53.5302,75.1748,2.277,18,0.6388
Education,71.4014,59.1736,29.1885,9,5.1473
Education,60.5026,10.2531,28.0908,2,0.6741
Education,50.991,83.1321,1.5928,9,9.086
Education,64.6571,19.0618,34.0884,18,6.4112
Education,60.5216,71.7455,16.0,2,7.4327
Education,70.3552,6.2034,7.2155,17,2.3925
Education,89.332,31.2142,35.6241,4,4.9217
Education,76.2035,46.5576,16.7669,0,1.6721
Education,89.2293,1.0491,33.4401,5,2.0834
Education,66.266,17.1046,2.6574,6,5.3573
Education,51.1938,30.5379,21.9515,1,2.5118
Education,97.9494,100.0,50.9431,16,9.0953
Education,65.8745,73.4396,37.0979,2,9.8101
Education,77.1355,87.4476,53.1863,1,0.0357
Education,72.9553,66.1483,44.3273,17,7.7477
Education,78.7653,27.6905,43.564,13,1.2746
Education,94.534,74.6293,53.1371,15,5.5273
Education,92.667,67.1731,0.2678,11,2.5228
Education,98.3047,60.4005,24.2669,17,9.58
Education,76.2496,28.5976,57.6961,7,8.7677
Education,96.3272,25.7928,13.4002,0,5.7736
Education,73.5101,34.603,38.361,2,1.8426
Education,52.3921,32.2761,46.7837,6,7.897
Education,56.1879,5.4022,57.0199,1,5.4981
Education,66.8635,77.8882,53.0212,15,5.9887
Education,84.379,38.9818,39.9957,8,7.1992
Education,55.1501,69.608,40.7648,2,4.2386
Education,66.5241,27.8764,20.2682,18,0.1389
Education,100.0,60.4447,15.6142,13,3.9016
Education,89.7125,6.4026,56.9852,14,3.9798
Education,79.1905,13.2501,59.5064,15,3.765
Education,52.651,37.1364,24.1514,18,8.4239
Education,51.2736,25.5239,25.6555,14,3.2506
Education,55.4504,39.9694,28.1668,13,4.2113
Education,65.2053,94.4708,27.72,4,0.6544
Education,81.0899,10.1242,52.0051,6,7.2587
Education,59.0408,45.7963,25.711,2,2.0906
Education,54.8975,17.5132,55.3185,1,2.1924
Education,53.759,36.6017,41.5683,15,5.9017
Education,69.722,67.737,57.5215,1,9.9732
Education,90.3499,100.0,40.8701,2,3.9082
Education,91.8335,69.2701,23.2888,11,3.4445
Education,65.0076,87.5924,55.3644,0,0.3977
Education,82.6191,17.2927,12.8052,14,7.8465
Education,69.7,17.3023,59.0624,0,2.6014
Education,98.4681,87.1257,3.671,0,7.4596
Education,71.1409,57.6633,37.5437,14,2.8636
Education,69.2024,81.4671,0.5618,2,0.2571
Education,74.5761,21.9307,13.4023,13,5.035
Education,51.9972,32.5042,30.1771,9,9.031
Education,72.2252,10.4207,9.5097,2,2.0031
Education,91.0479,89.026,60.0,19,1.3151
Education,81.25,99.2717,47.2865,17,1.502
Education,99.5106,88.2999,51.9656,3,6.8288
Education,65.3628,41.3039,55.9864,16,3.175
Education,57.7983,35.5587,39.3954,19,2.2744
Education,85.8141,48.3621,17.7612,3,3.5478
Education,54.2435,60.4089,44.4772,14,2.9132
Education,58.2231,42.6334,34.8053,10,5.5686
Education,76.2587,41.0879,18.4148,2,1.4447
Education,87.2812,45.2781,21.4483,6,4.9317
Education,79.5529,72.6538,36.6371,9,3.3081
Education,99.6391,79.2088,24.2332,18,9.5957
Education,82.5711,90.9235,15.5087,19,3.9244
Education,88.6146,20.2407,26.5325,7,1.178
Education,100.0,15.9415,13.3986,14,9.2074
Education,80.3002,34.7712,52.5196,12,9.0634
Education,85.7523,37.0929,41.3722,2,1.8034
Education,64.9963,66.8369,23.6805,20,8.2743
Education,77.518,77.5271,56.6749,20,8.6072
Education,95.5625,98.3024,23.6039,14,3.9177
Education,94.0681,38.2135,33.8949,20,1.744
Education,64.4905,39.9602,33.1171,20,7.9718
Education,69.0771,56.6977,6.3235,9,0.3167
Education,93.4874,86.84,27.9763,20,6.7999
Education,66.3173,68.3224,4.4385,14,3.5146
Education,92.636,52.5711,11.3294,13,6.2399
Education,89.768,64.7398,47.3928,8,8.0804
Education,56.954,49.2714,16.7326,14,8.0577
Education,86.8836,75.0473,4.7552,13,9.7735
Education,92.6046,10.3706,44.4846,14,6.3965
Education,56.3618,50.2284,46.8865,13,2.2132
Education,73.5813,78.1533,31.5791,9,2.821
Education,92.7938,31.6938,52.7658,11,4.6118
Education,59.2412,85.2571,50.9755,19,8.6501
Education,70.5741,77.0808,31.9846,13,3.3737
Education,82.0492,60.6685,44.2907,14,6.753
Education,54.7713,21.5053,20.463,11,0.7791
Education,59.5523,88.2114,38.9332,1,4.4251
Education,73.6534,1.9038,59.066,18,1.3571
Education,68.7903,62.7688,50.4252,16,9.3479
Education,65.3184,79.8916,24.3694,14,7.5348
Education,50.4171,47.8492,54.7982,9,1.6028
Education,97.5044,8.3534,50.2587,10,4.1254
Education,93.7827,80.1583,2.9187,13,0.7673
Education,68.9839,90.7535,43.4359,8,7.4513
Education,58.6876,56.4423,57.9244,2,2.0241
Education,53.087,80.821,17.1105,0,8.2924
Education,54.4821,59.6284,15.8586,5,0.8276
Education,81.043,58.0571,39.1774,5,5.8745
Education,86.3307,12.3646,7.8904,4,6.1614
Education,57.6669,46.6763,43.1565,3,3.619
Education,56.2014,67.6228,14.5443,2,2.0052
Education,85.7986,43.9858,27.5813,12,3.1065
Education,76.0526,59.3771,55.7192,3,4.9167
Education,67.5015,88.5754,49.6709,6,9.702
Education,86.0001,36.1551,5.81,18,4.3315
Education,72.7152,82.4524,45.5353,10,1.8219
Education,71.4254,3.7562,25.536,9,0.2442
Education,51.2631,84.6011,58.0451,18,0.0863
Education,66.4583,9.0042,18.4526,18,4.0839
Education,50.3444,31.3033,28.7624,4,2.8564
Education,95.3565,50.9075,21.3521,0,1.1621
Education,64.9092,63.8705,36.2208,10,1.5605
Education,60.0507,92.0903,15.545,12,3.5723
Education,54.3278,27.6639,55.2855,7,6.6191
Education,53.1288,4.6229,36.522,15,6.0919
Education,94.7328,46.2226,57.7135,8,1.1323
Education,56.5323,35.4293,41.0779,3,1.3813
Education,80.3585,58.3306,12.3135,18,9.2619
Education,83.0837,93.2488,0.0,6,0.4855
Education,66.0103,63.5669,22.9048,11,1.9052
Education,92.6024,57.508,59.9945,8,3.311
Education,60.9381,21.9997,51.1113,12,1.7978
Education,54.2229,28.97,52.0237,11,3.0319
Education,53.0925,46.7975,35.3462,8,7.2617
Education,65.3557,89.7762,6.2437,11,0.8815
Education,72.1401,56.4288,0.5338,15,3.8126
Education,82.3378,49.6546,49.9002,12,5.8249
Education,86.707,52.7039,11.7181,2,0.5665
Education,57.719,80.7011,5.3357,5,0.6094
Education,83.9677,69.1964,41.5518,13,4.8407
Education,61.6292,90.7503,0.5749,1,8.5883
Education,99.668,56.4732,46.2305,20,4.5074
Education,97.6448,15.1669,12.2209,19,4.2328
Education,54.3607,3.9995,18.8377,2,0.3978
Education,81.6772,34.7266,10.0347,15,7.0014
Education,94.1862,7.7457,46.1813,7,1.5867
Education,56.0531,42.3296,28.5561,5,7.4261
Education,56.5644,16.1108,8.4965,2,3.5363
Education,65.9362,39.9689,2.4415,4,0.5098
Education,54.8059,41.3758,57.3324,3,3.3958
Education,95.3086,25.6783,43.7972,5,6.6018
Education,94.2021,64.4667,40.4028,1,7.6267
Education,96.0603,40.075,31.7548,2,6.3155
Education,60.8982,88.7407,24.9064,7,7.3999
Education,52.2978,7.2437,47.5952,14,2.5105
Education,72.4456,42.0672,49.7292,9,9.7265
Education,95.879,74.2731,2.2803,14,1.8899
Education,81.9022,46.105,52.1525,5,1.5961
Education,99.2157,99.0707,44.315,11,2.9214
Education,93.5546,19.6282,29.6873,7,9.5622
Education,68.9438,30.313,30.3593,5,0.6649
Education,51.224,14.6688,50.7999,15,7.7148
Education,50.0,25.0055,47.0812,14,0.7634
Education,82.8818,69.5282,9.7269,19,7.5438
Education,96.293,48.1137,35.7394,14,2.452
Education,72.188,16.8309,58.4604,7,6.9274
Education,92.7181,46.7876,43.3406,18,0.5861
Education,78.5866,88.0817,58.471,13,3.1925
Education,55.5295,43.6566,45.0996,20,5.0204
Education,91.6827,1.1492,32.8398,15,0.3695
Education,74.9779,2.2616,36.6627,11,1.7998
Education,53.0141,43.569,41.9323,2,1.8456
Education,90.8984,62.8078,44.3551,19,4.3727
Education,87.689,91.362,44.258,4,1.3102
Education,73.6464,97.8308,55.5823,12,9.9847
Education,50.9209,97.8539,18.5521,14,8.6046
Education,67.2006,53.2985,51.9371,7,2.3827
Education,71.3829,4.2702,32.8287,13,2.3933
Education,57.9717,21.9992,54.0518,14,9.16
Education,58.3822,44.4898,37.0212,18,3.3115
Education,58.9718,84.7879,58.2261,7,4.4626
Education,67.8107,4.4758,24.342,9,7.1397
Education,91.0887,50.4748,4.8853,12,3.1687
Education,87.073,67.8043,39.6131,3,8.8532
Education,51.136,29.2307,46.4771,10,5.8666
Education,51.9533,34.4264,42.4662,1,5.9598
Education,54.4356,40.1409,44.9639,18,5.497
Education,73.0118,25.7831,1.962,20,1.1573
Education,95.4693,45.3596,59.119,17,7.7586
Education,57.8766,17.8441,13.5177,20,6.0718
Education,74.142,20.3536,25.2706,5,0.3305
Education,54.8649,3.1514,24.8711,13,8.5375
Education,50.1374,42.9791,56.215,17,7.5558
Education,50.0503,73.0408,42.0202,10,2.7772
Education,86.6146,47.9916,36.3361,6,2.807
Education,50.0731,53.3355,5.6207,14,4.868
Education,62.94,44.6012,19.6636,0,0.0
Education,82.2819,62.2764,29.8099,9,7.8456
Education,82.5416,21.5382,6.9393,20,9.7376
Education,53.237,21.8621,35.2417,8,4.1472
Education,63.9541,95.5818,14.1853,15,5.2177
Education,82.8021,45.1647,49.906,15,7.8279
Education,69.9594,85.4801,48.1375,16,2.6178
Education,71.5009,91.4938,35.27,11,4.8597
Education,61.9681,59.0424,22.3919,6,1.1416
Education,52.9171,32.8164,2.9756,1,7.3039
Education,67.5429,67.0871,36.9673,2,8.1148
Education,82.8682,43.2806,48.3182,5,0.8111
Education,86.869,96.9947,48.1328,18,8.9746
Education,78.4287,79.2396,30.2946,7,3.4005
Education,68.9718,79.661,8.882,3,9.2342
Education,79.5242,55.7874,3.033,6,9.2639
Education,85.0003,1.8794,5.0906,3,8.2905
Education,87.8567,84.6216,15.7878,17,8.5459
Education,55.2779,3.0342,9.1301,6,2.7928
Education,91.4591,13.455,11.2167,0,3.8168
Education,52.5444,83.6048,41.627,4,2.2315
Education,91.8553,22.2831,11.4572,9,3.8238
Education,68.8097,84.0564,41.4117,13,5.435
Education,77.9487,23.4913,20.2125,0,8.4353
Education,65.3361,74.9036,44.8745,11,5.7009
Education,72.1929,56.8514,7.1238,18,6.9695
Education,91.5649,66.5206,1.8631,1,1.508
Education,65.1113,82.8816,4.4653,13,9.5633
Education,79.7299,97.2786,57.367,2,5.5981
Education,83.1046,7.7991,31.3532,18,7.7727
Education,55.5636,67.7889,34.5945,2,9.8293
Education,88.8413,96.2648,59.3009,12,8.2043
Education,99.6177,34.0128,48.9941,16,5.0238
Education,56.258,31.6537,4.603,2,8.5435
Education,89.8623,70.9722,25.7711,13,6.7092
Education,55.9692,43.0316,47.8627,1,7.5269
Education,97.4099,20.9244,40.8704,12,6.2263
Education,71.8574,21.1371,14.6396,8,2.652
Education,98.1187,20.6648,49.2765,9,3.3308
Education,53.3633,73.375,32.4256,7,5.6441
Education,90.039,92.0521,46.4549,6,8.8445
Education,72.8685,80.1006,37.0653,0,4.9327
Education,63.8994,46.7253,28.6049,7,5.6394
Education,87.6957,55.0955,43.4457,7,3.6883
Education,82.4039,61.4735,52.7684,5,0.651
Education,95.9309,58.8758,27.9489,17,6.6082
Education,61.4732,90.9713,1.7076,3,5.8558
Education,95.363,87.3691,35.7397,10,10.0
Education,82.9467,7.2092,5.3752,19,5.1706
Education,73.768,82.5068,17.602,15,5.3873
Education,55.2515,11.2998,31.8455,11,2.8888
Education,91.3875,68.7742,22.6958,3,0.9893
Education,94.681,26.3755,17.4276,8,6.9757
Education,89.4446,77.1612,3.3694,0,7.8462
Education,86.5914,0.4435,15.0927,5,8.9231
Education,99.1154,36.3953,23.0827,0,4.2794
Education,92.9183,1.8637,17.1784,19,6.9332
Education,96.2258,92.9994,36.4514,7,2.6377
Education,87.8479,1.4387,37.931,12,2.4051
Education,90.5127,15.3813,45.6068,18,10.0
Education,64.6822,57.8728,12.4115,19,8.6092
Education,83.5216,63.0148,36.5623,3,2.4939
Education,60.7568,74.5221,25.4252,6,4.2837
Education,54.013,21.7993,19.3618,17,5.6068
Education,78.103,35.025,29.1618,9,0.013
Education,86.3442,24.7831,28.5161,14,9.6667
Education,53.6747,24.886,37.8956,12,0.6596
Education,59.3138,79.4041,34.0304,19,8.187
Education,55.1442,94.9291,39.8317,17,10.0
Education,81.0951,58.7528,58.0908,11,7.1778
Education,54.2657,13.8688,46.791,14,9.4756
Education,54.9324,6.9485,16.7709,7,0.0122
Education,62.5443,26.4247,31.8895,10,3.441
Education,63.3485,14.0456,11.5521,2,4.6358
Education,76.6759,62.2795,31.2526,13,7.9669
Education,50.0,68.0694,43.4124,7,6.3892
Education,81.9891,1.0773,2.7071,20,7.4926
Education,70.7848,42.5146,7.8909,5,1.417
Education,58.5966,62.1821,1.2511,20,8.5113
Education,83.0469,19.9421,22.6819,0,8.3543
Education,66.9492,89.7414,46.2271,9,7.7857
Education,93.3916,55.2581,26.8459,1,8.5142
Education,100.0,34.7599,34.356,7,2.41
Education,89.3018,2.9941,37.2872,13,1.2467
Education,89.294,49.4215,6.0622,0,9.3874
Education,67.6664,29.2589,8.025,6,9.6065
Education,77.9437,96.2863,55.1116,0,4.3251
Education,52.103,40.5528,29.6401,4,4.6607
Education,86.4207,93.7902,25.1753,17,7.2178
Education,84.4229,66.3747,42.8908,16,5.301
Education,63.6846,6.6528,1.4858,16,3.2036
Education,76.998,92.8156,50.3282,12,2.1857
Education,84.2162,16.3558,39.2746,20,0.2211
Education,69.6981,44.4796,10.6412,3,5.7137
Education,86.3781,91.28,2.6191,20,1.5623
Education,89.242,80.9141,0.1179,15,8.4095
Education,61.1254,53.012,17.6423,16,9.7612
Education,66.3556,21.0566,21.3454,17,4.0843
Education,70.9347,50.4942,10.5023,1,1.4549
Education,61.6772,56.2671,18.5907,20,5.7522
Education,88.0039,96.5753,33.4179,11,5.7016
Education,78.0409,83.4969,6.6249,9,1.3662
Education,68.9908,83.2033,11.6215,8,6.6031
Education,50.7202,99.3434,31.6305,3,2.9305
Education,65.5642,50.606,43.4765,14,8.1905
Education,92.7757,59.9242,56.7399,20,6.1248
Education,86.6076,50.7593,30.6124,9,4.2471
Education,52.4656,12.8534,6.2325,8,9.7237
Education,89.875,49.537,34.0147,6,4.8387
Education,59.4184,56.9574,59.0694,10,9.0256
Education,98.4344,24.4136,52.9427,1,2.5655
Education,93.4776,80.8187,47.1888,19,4.4802
Education,95.2293,10.2153,44.6366,19,0.9646
Education,88.1456,53.9462,44.2389,15,4.2842
Education,85.5294,67.5371,4.3987,5,9.0353
Education,62.8139,5.4716,31.1237,7,8.2898
Education,79.3295,82.1329,40.9654,17,9.4805
Education,87.4407,27.8821,5.1754,10,7.1864
Education,65.0942,69.9479,53.2018,3,2.4763
Education,70.3228,8.0716,8.3538,3,1.4679
Education,97.0493,66.5126,5.3643,9,1.9857
Education,69.8924,55.7476,6.6646,15,6.2064
Education,66.7795,15.3666,25.78,20,3.9164
Education,53.7744,64.7395,33.3007,2,4.0125
Education,68.1913,66.2834,3.4009,11,8.7031
Education,81.7697,48.2228,49.4977,16,7.5794
Education,57.2681,58.5648,11.9579,4,2.1315
Education,81.4193,92.1152,34.181,2,1.8927
Education,86.7729,71.5448,29.988,15,8.0851
Education,88.3197,91.3079,54.539,18,9.4179
Education,99.7492,55.7509,52.9719,3,2.0802
Education,71.3576,19.7372,14.4154,8,9.9382
Education,52.3352,22.6998,32.3099,3,4.46
Education,92.2699,18.2394,59.4649,20,8.6948
Education,54.4512,34.4639,21.7481,9,7.2936
Education,95.7209,47.2259,4.0545,20,8.9778
Education,99.6157,25.3295,41.9804,16,6.5381
Education,96.4279,44.3427,30.2452,15,1.4502
Education,99.1128,35.335,55.4952,6,0.7231
Education,50.0,50.8055,33.178,14,6.0575
Education,50.4751,44.1966,29.7997,17,0.7849
Education,61.8856,43.6575,53.2176,5,2.394
Education,88.7509,48.7938,21.2801,14,2.2009
Education,54.2975,99.305,37.5997,10,3.9009
Education,89.4568,56.2574,52.0083,19,6.0344
Education,50.0,71.6448,35.8157,4,8.9614
Education,87.7061,38.884,16.5681,15,9.3649
Education,61.6409,33.581,31.2467,11,9.7357
Education,72.5904,89.6768,25.5828,20,7.485
Education,99.5569,74.9366,59.8621,3,9.2037
Education,78.3948,60.8634,2.9119,1,8.0352
Education,52.7928,37.1881,47.2082,15,9.3832
Education,94.8313,26.5464,0.926,7,0.9405
Education,65.4774,24.5884,35.889,16,9.8286
Education,77.7027,49.4255,26.5022,8,2.5971
Education,84.6113,88.1599,53.021,5,5.4879
Education,88.042,84.2196,32.6022,3,5.2245
Education,72.3815,72.8895,49.824,12,5.8103
Education,89.6724,52.7248,40.0501,13,6.9751
Education,55.9924,24.3122,28.43,11,5.3803
Education,75.325,47.7739,21.0895,2,6.9948
Education,50.5665,69.7805,5.1218,14,5.3439
Education,70.2274,59.2547,0.3534,14,0.1021
Education,67.0061,50.9641,0.0,14,6.1432
Education,97.7995,43.4318,13.4137,14,5.4379
Education,69.8872,76.6467,32.4698,7,5.7288
Education,95.1446,86.3593,57.2622,16,0.0
Education,70.6637,72.2373,42.1124,13,4.6731
Education,77.9691,95.8971,4.3376,5,8.6314
Education,66.8376,81.1679,37.7252,16,3.1478
Education,80.8117,43.8437,28.0041,1,4.2757
Education,88.2436,63.2587,36.2707,10,1.2208
Education,89.8586,49.2981,37.7738,15,4.1963
Education,84.4088,57.0887,8.1652,18,4.1272
Education,65.7969,89.9464,54.4515,16,9.0823
Education,66.1605,29.3001,34.2725,20,0.6094
Education,66.6603,0.0,38.9795,20,9.4448
Education,51.3741,68.4195,23.855,5,5.657
Education,97.3257,17.7902,9.0431,13,5.1789
Education,58.878,17.6715,38.9455,12,8.6651
Education,55.3891,98.6534,54.2028,6,2.0498
Education,79.3104,25.7763,33.1255,12,1.705
Education,51.1573,23.9257,10.4726,5,8.6386
Education,90.2885,18.2943,38.5955,1,9.1783
Education,95.0239,38.9218,25.4128,4,8.2882
Education,69.4208,38.2044,26.3798,11,0.2973
Education,98.9139,61.7763,54.3615,14,6.5498
Education,67.0532,10.3581,43.8732,5,4.6344
Education,63.9406,63.5989,32.1178,0,8.1414
Education,99.9947,44.126,21.9828,10,1.3848
Education,61.8436,17.6744,14.7069,20,8.8487
Education,70.918,76.0502,21.2607,11,3.7002
Education,82.3937,44.7637,33.7753,2,3.4209
Education,66.2577,65.6999,3.9739,18,2.1615
Education,69.6766,87.4238,21.7658,12,0.1583
Education,85.5526,35.9331,31.2,10,3.4097
Education,86.4786,89.1794,38.139,6,1.1257
Education,89.7585,21.2098,45.3657,11,7.1143
Education,79.3975,20.872,0.0,17,7.4402
Education,60.3276,65.1562,17.8704,15,8.3054
Education,67.1045,8.5448,16.6429,7,0.0
Education,92.7221,43.6957,30.9433,20,3.7183
Education,87.8145,19.8666,28.7991,12,0.2447
Education,56.3173,60.5478,4.7123,16,5.2701
Education,87.2335,80.4609,44.9993,3,9.226
Education,67.4204,2.6571,41.4159,8,4.1406
Education,50.774,43.252,47.6261,8,9.0649
Education,74.1788,73.016,6.9654,9,9.8327
Education,93.616,36.3873,29.5148,10,2.3302
Education,71.7937,5.1654,36.9169,0,0.0
Education,99.0162,59.4125,1.573,16,7.6379
Education,56.9911,12.6154,59.8634,6,6.1657
Education,67.8732,37.7491,46.4383,10,3.9712
Education,50.0,96.506,15.6471,12,3.8028
Education,52.1211,40.0387,37.5457,5,0.7745
Education,65.9362,84.848,9.2275,7,8.4836
Education,76.0459,86.7989,53.2716,9,2.4058
Education,62.1143,25.3066,5.6607,13,0.7886
Education,59.6859,61.9636,54.047,11,7.5789
Education,70.9855,95.1977,49.4455,10,5.0433
Education,58.2369,59.807,26.3411,6,7.534
Education,80.4254,82.1323,40.1568,12,9.0141
Education,96.8898,48.3383,14.7987,1,4.1395
Education,91.4989,70.4778,22.653,2,0.1272
Education,61.2206,0.468,12.8891,0,2.3418
Education,96.6474,80.3816,31.1259,5,0.6716
Education,85.5167,69.1127,16.6726,0,1.3934
Education,59.389,35.6679,20.5673,1,8.3848
Education,77.7319,41.3247,26.557,9,9.4796
Education,98.3128,34.4396,51.3817,11,6.7367
Education,53.9625,50.8344,32.9787,4,6.9233
Education,62.4512,6.0953,49.4136,8,7.1907
Education,68.8881,84.7157,50.1986,11,0.932
Education,56.6363,48.0312,12.9989,7,0.6441
Education,65.6198,6.1753,46.7212,9,6.7067
Education,85.2147,56.9013,39.4316,13,0.0962
Education,72.8381,96.3812,32.5044,19,7.8656
Education,71.2225,9.2785,4.7375,14,6.0798
Education,71.9291,16.7425,34.3812,7,1.0075
Education,86.5677,41.0607,10.7797,8,6.859
Education,97.4769,73.7849,47.944,4,6.2388
Education,79.4836,62.6001,56.7448,0,3.9859
Education,86.7512,44.0111,29.3143,10,8.1075
Education,67.3361,98.7184,27.1733,3,2.8002
Education,91.0193,18.2795,28.6236,5,3.7155
Education,70.3105,81.7974,2.9276,16,6.3854
Education,98.3313,14.091,13.9125,3,7.6327
Education,88.0368,20.1672,56.4215,4,2.7888
Education,86.8377,31.1118,19.0976,13,0.0344
Education,63.7658,86.0571,36.1055,20,1.6604
Education,90.8793,45.7798,39.9562,17,2.8545
Education,56.5018,42.006,51.1302,2,9.1479
Education,78.3872,50.5246,15.3694,20,9.2314
Education,86.5125,60.2694,52.0075,10,6.432
Education,93.7004,40.4134,22.6248,14,6.8387
Education,78.3949,97.3703,55.3391,6,6.2853
Education,63.0081,15.861,24.7953,3,7.9507
Education,91.1339,45.61,7.8626,5,3.5721
Education,87.8252,41.5332,3.888,9,5.3803
Education,58.7911,69.3592,58.369,6,7.2958
Education,93.0618,94.2939,6.4749,2,5.094
Education,98.0672,29.4073,31.8724,14,7.5783
Education,77.3628,96.3204,30.4655,20,9.2055
Education,53.1632,83.1105,23.5073,15,6.4859
Education,96.3847,83.0426,27.1525,20,1.0257
Education,57.0699,7.2279,28.4087,2,6.284
Education,82.0888,95.4739,6.1906,11,7.1116
Education,70.3355,84.7515,46.926,4,2.8009
Education,100.0,69.7815,21.5003,4,3.3933
Education,93.5302,11.8509,14.8493,0,6.0268
Education,89.9317,43.0771,19.2753,5,7.036
Education,57.8877,86.3508,38.1049,14,8.7906
Education,84.4435,45.629,45.9188,20,7.9447
Education,79.5034,46.1058,8.6776,12,1.4991
Education,56.6036,27.3987,34.6241,6,3.2859
Education,89.6637,8.3239,25.6092,17,1.3178
Education,54.5627,50.7323,53.0043,18,7.7212
Education,75.9373,76.9468,58.1981,20,2.5315
Education,69.1601,18.1169,42.7695,5,1.308
Education,89.5882,90.3122,33.8677,7,0.8412
Education,72.7724,57.355,47.2198,2,1.3087
Education,84.4632,77.8036,30.2856,16,2.261
Education,73.7175,67.4335,1.5509,13,7.8851
Education,79.7843,14.0534,43.2172,19,2.2888
Education,60.8073,91.8191,32.0734,13,2.8029
Education,61.0052,72.9284,8.7957,1,8.8319
Education,85.1301,2.886,10.7969,3,4.649
Education,55.9515,62.9057,17.4634,8,5.072
Education,57.9855,46.4422,43.8071,15,0.224
Education,97.5519,85.4453,32.2421,0,0.6434
Education,62.3501,14.1575,2.9056,1,7.077
Education,66.4404,57.0748,49.4289,11,3.4271
Education,81.288,30.9337,40.0266,15,1.4339
Education,71.9749,26.1336,43.949,20,4.0786
Education,77.3906,1.3463,54.827,14,0.2449
Education,56.8821,31.8891,14.8504,18,6.9149
Education,82.763,40.5042,34.1722,19,0.8643
Education,56.8387,45.1341,45.5018,5,0.4771
Education,89.1369,72.2605,30.4304,19,3.9101
Education,76.3649,40.6738,28.9156,18,5.7557
Education,88.7198,19.519,56.2952,14,7.4885
Education,58.5167,41.8195,17.835,3,0.4962
Education,69.862,5.0604,39.2617,15,3.542
Education,90.6723,95.5694,57.2395,10,2.6671
Education,90.4957,6.163,15.9176,6,7.8919
Education,98.226,19.6786,29.5171,1,3.8465
Education,59.3208,44.7286,59.1868,6,6.4411
Education,76.3131,93.6703,2.316,11,4.9241
Education,50.6763,19.2086,38.2656,13,5.9771
Education,96.9764,42.8663,21.4617,14,3.9061
Education,57.9897,97.3324,44.3491,19,2.438
Education,95.4641,63.1136,20.4432,6,0.0462
Education,84.1528,61.5261,24.1055,17,1.3287
Education,97.2747,92.8196,28.7699,10,1.5799
Education,61.7378,51.0925,19.701,9,9.3946
Education,68.3374,0.0,14.777,13,9.0891
Education,58.0761,0.4668,20.1949,2,2.6427
Education,70.6842,66.1592,54.8422,17,1.0781
Education,97.1349,21.0134,21.4544,11,2.7909
Education,78.9064,45.3556,52.7431,20,7.9759
Education,71.0904,57.6781,10.5969,0,8.2274
Education,65.7758,68.9789,38.9206,12,5.3292
Education,80.1707,13.5824,44.1534,1,5.3279
Education,85.9421,75.8502,8.588,14,4.6218
Education,71.0145,91.0612,32.7193,10,1.8493
Education,62.9022,26.0136,3.0999,5,0.3761
Education,78.7382,39.7816,56.6444,5,6.2334
