Application,Likes,Shares,Comments,Views,Followers
Social_Media,514968,37746,153373,1228143,2900050
Social_Media,103113,50498,497737,4161670,764826
Social_Media,282170,33544,251271,956696,463389
Social_Media,550199,151231,145374,180804,770937
Social_Media,452060,73760,161810,3662929,3405985
Social_Media,200227,72134,361255,2294238,2893478
Social_Media,560628,171184,289965,100187,4487183
Social_Media,140719,195100,363071,3928950,1664669
Social_Media,781618,16660,293745,4700411,4569112
Social_Media,511640,689,290094,3847696,382609
Social_Media,419691,71655,295273,975540,4210331
Social_Media,204776,44554,14593,1566047,1468392
Social_Media,453151,187744,161405,4607509,952082
Social_Media,938098,94411,115575,3613628,4134992
Social_Media,968322,188570,412517,1981285,308457
Social_Media,788668,98857,484579,2255415,1250045
Social_Media,273292,7963,285904,4094550,1673078
Social_Media,210160,171480,71191,2279162,3204461
Social_Media,911251,180363,326665,1219764,1884938
Social_Media,513533,48498,114479,4738697,4945958
Social_Media,277412,118082,278200,1055670,3581678
Social_Media,649808,56186,247615,3454383,3793255
Social_Media,401125,111052,461602,2854814,1659242
Social_Media,64031,174202,364848,4784951,2680388
Social_Media,475825,199653,482736,3142970,922323
Social_Media,437188,197436,475139,1891205,9000
Social_Media,256201,71036,423070,406540,1182340
Social_Media,797867,169922,330478,3360410,3340353
Social_Media,464515,106878,105978,4640408,49697
Social_Media,938122,79176,281883,3634275,250909
Social_Media,999947,122473,313258,2414447,825290
Social_Media,43307,64464,319254,1226935,1726582
Social_Media,936189,186143,483567,3265392,675991
Social_Media,40003,2941,158843,908336,236573
Social_Media,915207,2297,21615,1676003,2040321
Social_Media,560432,65062,8276,2770261,907366
Social_Media,552433,194930,45644,4319289,1893118
Social_Media,823960,145603,481110,4298495,2411362
Social_Media,968475,120384,76137,1280219,4562169
Social_Media,23198,103411,331547,3307988,323245
Social_Media,267158,155499,480723,3103867,1835878
Social_Media,729388,174809,126035,2649172,2774128
Social_Media,45487,191023,39136,3939551,4179719
Social_Media,987516,47866,234035,824233,2403005
Social_Media,973013,95580,72606,991564,3535679
Social_Media,825986,58449,347654,1908534,2122466
Social_Media,422347,52804,361169,2269546,3534056
Social_Media,604849,163261,314466,2699060,4516033
Social_Media,971170,123800,344212,1725184,4476751
Social_Media,447344,131024,62068,2560399,1563160
Social_Media,296510,67414,490576,544801,491354
Social_Media,882781,168983,27623,875484,3573465
Social_Media,243606,180586,101238,2329618,1061830
Social_Media,464902,100345,104986,2967652,3422700
Social_Media,144217,23169,229003,3640057,3121764
Social_Media,997097,24599,437620,2105564,4877968
Social_Media,296517,136758,355438,3332730,2899056
Social_Media,89688,126841,388864,1947786,3761805
Social_Media,56,16331,162093,3018630,896280
Social_Media,200517,194981,243143,2903285,3039314
Social_Media,540118,64344,33546,1680213,1836167
Social_Media,846679,92106,393185,2870509,309200
Social_Media,363229,153201,85396,4732772,3081383
Social_Media,655054,144376,394340,1027790,452414
Social_Media,648484,59880,437115,4913561,3212321
Social_Media,497892,71419,58556,862614,2588408
Social_Media,655654,37090,73666,1510965,1962309
Social_Media,111914,150095,454871,4836761,1517106
Social_Media,104017,156393,459657,2240822,3722775
Social_Media,643351,46563,278044,2270916,835508
Social_Media,611208,75888,485155,2906067,3168695
Social_Media,678307,94632,320323,2811996,2925762
Social_Media,23288,19053,252914,1609542,1821161
Social_Media,380160,115836,362773,1712789,3758375
Social_Media,754792,127168,54489,182660,3314605
Social_Media,76047,62695,11724,2836291,719287
Social_Media,386080,184704,16035,96653,1365864
Social_Media,847295,185845,436553,2440240,141189
Social_Media,894449,30181,366196,87676,3627410
Social_Media,271627,174891,422353,3296772,596466
Social_Media,396321,139752,234073,400346,108059
Social_Media,361991,194346,175253,2411574,847516
Social_Media,212156,3886,165145,279205,3711020
Social_Media,244858,191895,333257,11704,3121182
Social_Media,569683,38703,397911,455901,2291647
Social_Media,620621,76096,324368,4343027,352943
Social_Media,87217,122052,227482,811556,1302068
Social_Media,901279,85141,252142,364743,3719214
Social_Media,597731,9285,309611,2432010,2371241
Social_Media,815698,19991,394688,4556417,3718763
Social_Media,987205,152082,356647,1132713,2187020
Social_Media,531747,188717,219846,3150223,2017119
Social_Media,550199,84843,49410,1433621,3448886
Social_Media,203816,167389,180586,838189,3685558
Social_Media,717325,101596,400684,696200,4039703
Social_Media,848560,195329,219731,668891,4729931
Social_Media,494809,187589,117156,3243674,2041543
Social_Media,16534,28088,313917,3495493,689521
Social_Media,812861,188537,337901,4621393,2544780
Social_Media,286691,18532,240095,4007200,4133286
Social_Media,70106,59382,28756,4958267,3279498
Social_Media,9403,42387,348949,359116,2598435
Social_Media,28836,104986,414265,1964923,1880427
Social_Media,700265,119399,15865,1758709,3867405
Social_Media,659511,136605,218601,1355928,2950800
Social_Media,867946,182673,455843,2715023,4415974
Social_Media,942650,106414,69370,4160307,2829515
Social_Media,908009,32186,229307,411534,1845990
Social_Media,709953,113183,302670,2030611,4541648
Social_Media,38600,41913,203802,4663888,2240474
Social_Media,171662,156258,386740,3961878,1766813
Social_Media,133681,45930,164120,273974,4346579
Social_Media,559789,76981,274151,2288198,2329137
Social_Media,98565,167514,472887,2314716,4918376
Social_Media,653128,15127,85301,3674835,730795
Social_Media,932341,15046,99732,2450831,3830637
Social_Media,17035,119576,492047,3337415,655681
Social_Media,408921,141965,373104,4584061,2207312
Social_Media,753568,104173,489993,2081227,3252098
Social_Media,113890,49541,288318,3563123,631366
Social_Media,3172,181919,47148,884475,4065783
Social_Media,868498,94879,375980,4566810,982824
Social_Media,850109,47471,490333,1772340,3840143
Social_Media,709902,143251,427044,4558289,4098573
Social_Media,283566,24976,437777,1060145,3005182
Social_Media,545866,198019,114211,3122292,3317222
Social_Media,689094,153218,283194,414211,216663
Social_Media,838950,194162,122845,4363965,2579119
Social_Media,334171,48592,25821,4849919,2042518
Social_Media,606087,32254,192839,3923767,3181949
Social_Media,180798,80802,8502,4044926,768655
Social_Media,574673,87688,47438,4756979,50895
Social_Media,400253,108333,254457,3725688,37506
Social_Media,800398,8517,410800,162005,242927
Social_Media,80235,82334,145993,1058802,4960406
Social_Media,343177,106482,239481,2704230,492195
Social_Media,855396,188598,382373,3349543,2285712
Social_Media,419102,48036,270022,2893017,2466928
Social_Media,928167,127429,453,4315355,318239
Social_Media,442762,88868,419276,4530750,278657
Social_Media,40013,23350,390347,4108774,3921581
Social_Media,916224,186375,325762,72576,1657546
Social_Media,198325,16530,324234,3636241,4151396
Social_Media,598141,113513,349719,4797606,3941691
Social_Media,353151,174086,460194,675470,4201364
Social_Media,24134,75588,498830,4403153,836521
Social_Media,232608,58739,443487,2696675,3874816
Social_Media,379404,145754,422816,2831164,4167843
Social_Media,380114,47741,159808,3021203,2583919
Social_Media,752639,198143,459261,6547,837363
Social_Media,154120,120306,48147,2091335,2800230
Social_Media,773866,53316,200196,533215,3438208
Social_Media,903985,137813,409813,4155224,930749
Social_Media,950376,35392,143367,4116712,4555891
Social_Media,777928,36951,89219,3944579,3158898
Social_Media,876269,37764,52145,540729,1027929
Social_Media,441690,50624,244055,4879387,3028489
Social_Media,749718,158227,15008,3004301,2470689
Social_Media,807559,98203,429064,561212,1682270
Social_Media,702360,103734,461634,112181,3007485
Social_Media,787925,164818,447895,2861006,914610
Social_Media,58979,79840,326307,1730375,3335759
Social_Media,347524,114777,124085,4722581,95585
Social_Media,78413,21807,317189,2609375,3942817
Social_Media,488831,178217,7562,4853838,487915
Social_Media,156662,8871,91347,1753758,3122874
Social_Media,449259,5393,71027,1742581,2457100
Social_Media,258216,68791,114932,4828523,1301727
Social_Media,429632,158832,321850,71705,2877888
Social_Media,78747,47992,371154,983656,2630261
Social_Media,598837,58485,445471,2549141,1121341
Social_Media,106682,174357,99277,4593010,1618139
Social_Media,255412,195330,57845,353243,854760
Social_Media,371858,149970,402594,3035396,608228
Social_Media,450353,55797,361129,4472390,3622626
Social_Media,130477,108326,60043,2825076,2652624
Social_Media,906778,87869,424395,2314925,2740287
Social_Media,367445,82187,50411,2305311,4166206
Social_Media,606413,32814,39270,4331477,976219
Social_Media,763275,147115,282314,265657,4157363
Social_Media,255855,58848,465012,500520,1116531
Social_Media,882435,159582,325737,2926725,4004242
Social_Media,952475,139908,125361,2671420,4903362
Social_Media,154276,30153,39320,4536379,772587
Social_Media,602196,64959,216469,1794434,4479983
Social_Media,763333,83027,100453,3087619,4297823
Social_Media,298429,74721,277572,1539155,4908838
Social_Media,395530,175676,498489,2817899,4533232
Social_Media,230201,140049,240078,2219172,2173989
Social_Media,463364,123114,37539,3656477,302722
Social_Media,673174,106011,230405,2587277,392342
Social_Media,413186,52396,418567,4530179,4788095
Social_Media,247665,119465,148533,2205317,75131
Social_Media,318799,31728,19029,3595,681921
Social_Media,36530,88075,205028,522181,572878
Social_Media,918372,55394,302259,2088766,3904129
Social_Media,583157,3037,75777,1156302,4850363
Social_Media,214851,137637,395644,453834,3394146
Social_Media,280309,131780,35631,410962,114526
Social_Media,612031,172562,15474,3504813,3309985
Social_Media,46477,91821,131334,1177418,1585564
Social_Media,253908,160282,31815,1970,1117155
Social_Media,898036,162223,151719,3726159,1918681
Social_Media,662631,115593,490911,3050136,2476116
Social_Media,360928,149702,328708,3311541,2560927
Social_Media,335478,173807,295753,1259312,3450393
Social_Media,837148,3030,498170,2499092,3725748
Social_Media,212699,29215,453939,3681802,2496805
Social_Media,853011,115714,282465,174443,994781
Social_Media,790407,118959,78820,430955,802854
Social_Media,993007,101791,274460,1620766,2263180
Social_Media,694011,111611,136993,1747489,3006609
Social_Media,2809,23675,127267,1074697,3910811
Social_Media,648195,120077,155418,1899514,1291194
Social_Media,528204,61481,217161,2035470,4350149
Social_Media,393448,146045,96612,3216784,147450
Social_Media,714596,81003,327758,705754,425253
Social_Media,959638,176297,397678,4356707,1297983
Social_Media,692685,112308,74807,4187474,2007550
Social_Media,31137,56643,201635,782172,259749
Social_Media,140650,145583,440735,3362859,3631916
Social_Media,200168,89429,162902,652139,2129182
Social_Media,699569,186116,388617,2987127,1063391
Social_Media,500260,74873,145708,3065450,3178029
Social_Media,71323,172597,167424,878323,4085586
Social_Media,753232,161088,481877,2284553,1922530
Social_Media,901707,147309,424163,4891965,1785306
Social_Media,171730,29103,171329,4176082,2691355
Social_Media,710823,99961,63339,2468270,3307510
Social_Media,471825,91386,228485,4793798,4343436
Social_Media,357009,66768,273717,1624585,3189018
Social_Media,867077,125576,340719,2736396,1735891
Social_Media,345783,57740,10590,234292,3263386
Social_Media,167010,54274,15091,4856286,1037538
Social_Media,360126,86572,23374,4374220,1538987
Social_Media,842818,145393,146982,1751312,4053383
Social_Media,255907,109661,455223,427826,2933058
Social_Media,898002,50714,52113,4077653,1037673
Social_Media,97898,86485,287836,3227520,4231980
Social_Media,583720,198759,156447,4006755,1931556
Social_Media,949352,2479,423604,565360,2636417
Social_Media,215697,19827,139827,518397,342014
Social_Media,72904,46613,344765,1767345,1199805
Social_Media,627497,96623,160682,4610867,3680874
Social_Media,702356,141561,440808,1349166,3283581
Social_Media,976007,105415,88312,691909,3678291
Social_Media,908129,60810,480847,1527058,1490745
Social_Media,625936,179655,400950,2388230,1375413
Social_Media,442081,97342,59089,2604979,1239076
Social_Media,647108,179905,467898,1221939,805639
Social_Media,594982,58967,32790,3253805,1322319
Social_Media,238253,173906,130571,4348014,4187696
Social_Media,925246,85552,2258,3411111,1232366
Social_Media,978818,150873,348620,1684262,3467129
Social_Media,400188,56374,27068,759171,1716738
Social_Media,329726,47842,79923,4532659,400949
Social_Media,243488,129572,291513,3342466,4655579
Social_Media,812412,159022,243638,3727892,3885432
Social_Media,572604,72067,208714,2259707,1216014
Social_Media,398958,127092,483418,4412578,2015304
Social_Media,390775,139049,155011,951800,3299917
Social_Media,190673,9574,421523,1434379,2512956
Social_Media,494004,25136,355287,1218284,4138917
Social_Media,519096,35011,317781,250987,685727
Social_Media,126167,42473,23404,1036256,1433505
Social_Media,968691,48078,70371,1279279,2553431
Social_Media,561644,5089,92596,777806,3554522
Social_Media,64518,5086,459839,247212,3645254
Social_Media,122239,36368,203435,2160063,1620837
Social_Media,174936,47388,300401,3154298,1411128
Social_Media,550048,34458,118274,3432792,1224892
Social_Media,275122,62128,188234,3161189,2519418
Social_Media,895549,173754,98291,477496,4769047
Social_Media,173738,194414,257762,2898471,4728274
Social_Media,902190,62913,92704,3355443,1423591
Social_Media,895961,872,278416,4270701,2280812
Social_Media,401753,76922,130412,1195063,1271147
Social_Media,131334,88571,21078,3239279,105434
Social_Media,78035,171290,246800,3065064,2875147
Social_Media,473356,95857,494007,1354084,4946545
Social_Media,669545,67786,467404,527687,4547983
Social_Media,479091,51250,442911,1470067,660736
Social_Media,894713,3599,8808,1896377,4787696
Social_Media,862722,192236,105545,50186,2827859
Social_Media,837497,110784,390657,2462024,3947643
Social_Media,302471,13930,233514,548425,16790
Social_Media,18993,68030,340356,788918,2127405
Social_Media,772187,13303,358041,3375602,4957167
Social_Media,177154,135539,46514,274884,3516586
Social_Media,788587,23292,118269,2417036,635068
Social_Media,694380,8890,130630,4963562,4424023
Social_Media,633894,120662,80248,4805593,1011150
Social_Media,365863,20518,430965,460417,1590550
Social_Media,426973,197667,224993,1897739,889505
Social_Media,267239,156727,445574,3949592,444239
Social_Media,930044,107175,43467,3102556,1342710
Social_Media,796305,63755,100208,4173880,2892983
Social_Media,352675,140673,384307,1961552,1398601
Social_Media,389630,102269,169900,1861137,3306409
Social_Media,953001,29164,457724,2739833,2436012
Social_Media,410935,71509,295780,1117160,1774182
Social_Media,917722,71106,255812,826785,3952098
Social_Media,900591,137289,68626,522824,4247388
Social_Media,237300,26229,204202,4624092,597078
Social_Media,329361,138535,254283,4254755,4423400
Social_Media,753379,144998,191390,3939023,1804175
Social_Media,708717,149840,58391,3891516,4057507
Social_Media,389251,136706,451158,2021923,3901076
Social_Media,607323,38798,120766,1138538,1303617
Social_Media,773205,114924,286103,1803454,2838399
Social_Media,414494,198959,201080,4434937,3296304
Social_Media,220409,167362,477218,128624,817969
Social_Media,522888,139584,421625,2227333,2330504
Social_Media,573522,104310,376755,2327170,3109477
Social_Media,270523,96352,233381,3956415,2640396
Social_Media,787237,131168,165196,2649648,3207278
Social_Media,914088,14888,69214,597200,260405
Social_Media,445482,105864,176159,3086950,224080
Social_Media,884823,190109,121090,686355,1223065
Social_Media,344078,162995,11365,4078487,587947
Social_Media,288264,99398,328785,3812233,3250889
Social_Media,152762,199955,183900,3137226,4679406
Social_Media,88594,127553,69773,147067,4894812
Social_Media,869054,180047,278552,2666062,2688547
Social_Media,813098,58859,4575,332341,1325686
Social_Media,753267,99936,230762,250044,4947785
Social_Media,845959,182190,206171,1206369,2287363
Social_Media,159150,114226,76051,2514067,3932819
Social_Media,782488,78419,479480,4726706,2510946
Social_Media,607271,196959,470544,190126,748869
Social_Media,455756,84997,319867,1729422,1104345
Social_Media,926008,88560,116395,186581,331175
Social_Media,732805,49054,460838,2213767,3373610
Social_Media,687048,116675,360261,3580573,3990184
Social_Media,142000,28096,354827,578441,467520
Social_Media,803307,172646,461569,2873669,2546170
Social_Media,598678,14987,28697,3579505,4043883
Social_Media,615815,30377,224979,259033,3120333
Social_Media,996723,163867,357926,2305665,2552014
Social_Media,31576,717,497575,1921640,3072421
Social_Media,155774,114867,425,3858414,3843303
Social_Media,659919,25621,461212,4599774,2194154
Social_Media,280436,177577,193182,53675,812025
Social_Media,435364,167633,245161,3618982,4017084
Social_Media,156163,184046,345241,325359,3246286
Social_Media,36078,96743,407738,2661116,1187910
Social_Media,825274,153714,67349,4849364,1708109
Social_Media,122420,183275,121959,3661565,3946836
Social_Media,798275,167244,200555,3658773,872811
Social_Media,497733,15320,428052,3601682,4170335
Social_Media,883083,74995,434484,2281005,3581928
Social_Media,564297,89917,389942,436772,2804980
Social_Media,72616,3306,334837,2349515,1526484
Social_Media,718428,116815,147228,2241807,4527771
Social_Media,605537,127324,436323,1514672,561167
Social_Media,241806,89173,90707,3453475,401239
Social_Media,734670,39412,217040,798538,752177
Social_Media,181053,44340,89615,1377885,4195580
Social_Media,358545,16294,406268,561434,2214938
Social_Media,931602,22303,423376,2536097,2557992
Social_Media,104007,84519,492482,3240851,3952306
Social_Media,40619,45593,22039,6030,2076379
Social_Media,347205,94274,374790,4200615,2585407
Social_Media,971937,167253,70479,4288705,1314356
Social_Media,916881,34264,402790,4711308,899155
Social_Media,709558,17618,272104,2026549,1199099
Social_Media,189631,16,411444,316221,3444566
Social_Media,510646,147809,52037,1873695,4851969
Social_Media,696360,108112,361649,1014715,3153694
Social_Media,231021,57552,133130,3494994,3267458
Social_Media,932064,80350,424956,4757592,2815243
Social_Media,679436,196776,29437,3657025,2811935
Social_Media,44877,186058,147765,3931263,3621988
Social_Media,869728,94053,15439,2177327,1872098
Social_Media,856526,91469,381394,1808798,611289
Social_Media,844945,111676,55673,1150020,3959227
Social_Media,656719,121929,459322,961853,236534
Social_Media,439834,158586,232578,1639207,47782
Social_Media,207414,13065,429746,528593,3492535
Social_Media,379981,7276,217050,469276,1777795
Social_Media,227908,195427,359761,119238,954024
Social_Media,669325,154925,342667,4051919,3561014
Social_Media,69961,65531,464471,1587406,4927335
Social_Media,134431,3318,284324,3128103,4813289
Social_Media,974099,192983,277701,2965505,2714264
Social_Media,451164,30182,32321,61208,3684346
Social_Media,578754,148135,75343,3652289,3536840
Social_Media,269754,55797,245838,4809910,199726
Social_Media,338590,33139,307186,44168,2831382
Social_Media,395733,182712,384582,1155912,990406
Social_Media,470281,8702,245300,3643569,1798438
Social_Media,345847,99013,106490,4880553,2400406
Social_Media,571937,173246,225493,2160147,2997401
Social_Media,818648,74714,87124,3840646,571441
Social_Media,231590,135744,430256,770265,3361785
Social_Media,579296,83392,408953,35625,2346693
Social_Media,277502,177505,54090,710002,137146
Social_Media,961207,178004,187612,1657404,1585276
Social_Media,51177,77316,336285,4749472,2642237
Social_Media,9356,145972,281487,3377941,2774490
Social_Media,901502,71240,373174,4993504,127786
Social_Media,967275,63205,63474,2673113,384292
Social_Media,966282,65302,421522,4081556,1134303
Social_Media,752915,149016,36382,114058,4223107
Social_Media,889908,198314,299774,3106711,1098943
Social_Media,653833,108408,200334,4696611,2486814
Social_Media,160236,17246,290080,4493993,1647742
Social_Media,932117,81925,308263,845169,3169522
Social_Media,172027,53167,380288,2334943,3606542
Social_Media,526787,9076,448302,4861570,1239285
Social_Media,869682,11698,211892,756346,4514217
Social_Media,585891,156959,499758,1577416,2753139
Social_Media,433528,82474,483156,4997376,2035216
Social_Media,831450,11207,197449,3400403,4429156
Social_Media,322362,23701,220348,3598775,893270
Social_Media,353589,136179,248558,2116050,4555769
Social_Media,943138,95932,192642,1021555,2343213
Social_Media,301971,29972,184033,1861805,1604244
Social_Media,73193,90535,215913,303857,200407
Social_Media,1447,25838,286155,4928894,2040095
Social_Media,144460,133509,457809,849854,4559374
Social_Media,660480,37212,29051,4616627,2656019
Social_Media,738060,41902,244137,1230417,3979434
Social_Media,305399,40071,271720,2894254,89347
Social_Media,370240,167439,5265,4143044,1593210
Social_Media,785819,99170,478717,1508096,3504930
Social_Media,890303,138539,438166,2250942,4304922
Social_Media,323807,149464,177334,3065179,1100102
Social_Media,533644,55052,275498,4453944,2815991
Social_Media,73853,180593,158898,3017908,2150115
Social_Media,243043,47592,209070,66592,3514437
Social_Media,89468,14829,428240,4115774,187353
Social_Media,75158,150552,110253,2877371,18627
Social_Media,846861,42737,12843,3480465,1995946
Social_Media,683508,170588,131905,3302321,366291
Social_Media,632398,52736,195980,2866244,4660038
Social_Media,602029,95121,158255,2500081,4828455
Social_Media,399125,99282,365798,1577276,1280019
Social_Media,473148,80050,348514,4808004,896079
Social_Media,752172,39193,472491,2101891,1794550
Social_Media,777931,59639,8977,1384362,2726620
Social_Media,54740,174566,100943,4288418,4908910
Social_Media,208527,135537,39485,3292397,752252
Social_Media,601241,89089,275357,2834445,4839936
Social_Media,475825,143517,45283,1550963,3430370
Social_Media,484099,80960,428296,3381369,416831
Social_Media,388291,64309,136106,2699497,2248009
Social_Media,988617,14722,419503,3780026,1860905
Social_Media,161819,36505,12241,1040375,2913273
Social_Media,729132,498,481762,4191092,1537742
Social_Media,753966,182614,446374,252513,3374669
Social_Media,889555,105903,287650,1810939,462934
Social_Media,662038,87095,283333,513079,4316984
Social_Media,810760,27698,388605,4564372,2159285
Social_Media,244093,31551,246581,744636,4362075
Social_Media,659820,73064,210789,2008803,3849870
Social_Media,893101,143360,326789,2453480,775326
Social_Media,605515,5328,300887,28822,1820224
Social_Media,874851,178845,469365,4502496,2223783
Social_Media,494293,50104,44902,4894810,300581
Social_Media,785045,61712,160377,923942,4408438
Social_Media,130252,164327,233843,3851469,814341
Social_Media,384527,113019,198284,1788663,2798223
Social_Media,748740,141682,129438,4060194,1392
Social_Media,289572,175158,241955,3550100,413482
Social_Media,858777,139471,250852,953592,1217254
Social_Media,603810,189847,420552,4630030,2435507
Social_Media,155645,42853,360784,4648758,3869843
Social_Media,30620,171520,140188,3831418,2380150
Social_Media,692980,114587,27666,1397650,390430
Social_Media,981685,15949,493593,3969191,3582631
Social_Media,662970,132157,442018,253517,2103351
Social_Media,665792,117154,347927,302978,3067817
Social_Media,520938,41106,191699,1251378,2540563
Social_Media,920319,166573,259848,174465,4374888
Social_Media,101295,37159,361642,4770354,732733
Social_Media,370642,135846,187690,3002431,2002941
Social_Media,457523,153207,266837,3580097,3101825
Social_Media,95406,71567,265099,3759164,1415814
Social_Media,23643,31923,185763,1604222,3889409
Social_Media,613720,119369,289460,3406651,2114284
Social_Media,3797,106085,422506,575979,1018563
Social_Media,847678,5411,68007,2800316,4500888
Social_Media,223635,23498,268869,1266392,4055255
Social_Media,553198,7235,195217,1237567,2480898
Social_Media,868854,9191,243398,4790138,4588576
Social_Media,831036,76938,459534,778707,674741
Social_Media,289207,107899,252067,4673574,4254350
Social_Media,547434,46002,227676,3464793,1894814
Social_Media,269931,188123,412905,3123784,4542089
Social_Media,886778,94737,383634,3458979,175484
Social_Media,11867,46198,259593,2969940,1234923
Social_Media,137063,9048,433386,991533,3548865
Social_Media,504634,165870,243513,1840450,108462
Social_Media,407477,12742,59841,4607867,3104323
Social_Media,863808,70933,186725,3284741,3065558
Social_Media,458800,148634,108936,3029781,1346410
Social_Media,597705,105621,322446,412347,2366671
Social_Media,463948,160291,497039,2020238,1841863
Social_Media,215613,3410,196568,1696095,2478079
Social_Media,694862,193769,216732,4593820,1606836
Social_Media,671420,93525,450264,2611316,4504836
Social_Media,721006,140005,161079,2895152,21600
Social_Media,911223,61565,333875,4214361,4245916
Social_Media,660307,129589,343043,223056,1472039
Social_Media,315001,185889,215544,1259153,4437769
Social_Media,319670,176968,230774,3286738,1073447
Social_Media,449938,136607,310668,3317997,281093
Social_Media,174615,88448,86621,20676,1336328
Social_Media,357230,10354,243861,4029435,3902574
Social_Media,674906,169787,343190,479514,4803874
Social_Media,797284,70585,100115,2727846,3631304
Social_Media,330359,62879,249871,4739448,4697866
Social_Media,976632,136656,176564,1762626,2713263
Social_Media,538858,29884,365200,2188134,1194719
Social_Media,680939,103132,128674,98393,2548170
Social_Media,45145,191987,85819,1584819,3015492
