Application,Reach,Impressions,Clicks,CPC_USD,ROI_pct
Marketing,2698115,17177775,4515954,25.8937,489.9543
Marketing,7087637,4579706,3261979,39.7645,24.732
Marketing,4407371,10206587,4380168,45.9565,235.1547
Marketing,8535936,18376347,1295394,0.6557,-83.2312
Marketing,4859287,5332992,305847,22.0641,279.3832
Marketing,1073829,10919935,3384851,9.4562,434.65
Marketing,1172725,3897511,754034,25.0186,-15.2001
Marketing,7126566,14220805,841198,24.1518,621.6777
Marketing,4394454,12375596,4653613,8.4071,384.3406
Marketing,6370336,4303184,2387045,48.982,-8.2576
Marketing,1959672,13188870,56936,25.1693,369.4946
Marketing,7178208,9037871,4654945,6.4616,51.4046
Marketing,3617264,17618406,193767,28.0808,841.3354
Marketing,2463660,14420650,2404445,10.646,452.3304
Marketing,9698179,19616454,4785078,45.9704,530.3526
Marketing,2068983,17644055,3229623,31.2938,297.4936
Marketing,888613,11572305,3864750,36.5425,294.6961
Marketing,3317764,14645182,23873,30.7875,198.9768
Marketing,8796588,11649560,772886,42.3496,749.8532
Marketing,1240551,5005707,4262002,23.9532,-100.0
Marketing,2352517,8010700,1907467,31.3415,508.5094
Marketing,1917009,8977619,3806987,41.0311,111.9197
Marketing,7257555,13232742,763127,37.1306,836.7631
Marketing,8259523,9061920,3031300,27.5502,611.2403
Marketing,948629,8492713,4314677,11.1566,116.2121
Marketing,1680110,6797846,1086621,34.4245,401.2461
Marketing,8933040,16637006,560342,38.5992,447.9854
Marketing,6501863,17472289,2721487,36.3168,992.6178
Marketing,8918337,19619383,4024135,40.3987,582.3071
Marketing,3010249,4887149,1716031,44.9424,706.6856
Marketing,3116333,13858382,2452069,26.7161,704.2404
Marketing,9326734,19928841,3900172,38.7445,415.2301
Marketing,9799554,12838661,4377953,18.5483,549.6755
Marketing,3644898,797759,4751988,48.5343,89.0461
Marketing,8992420,19684736,3746542,40.776,716.4514
Marketing,4351162,456077,4155663,34.3428,269.3048
Marketing,320821,6554243,2847888,26.0033,226.3425
Marketing,995500,9304006,1622845,20.6405,806.3628
Marketing,99220,14531530,2929429,46.5889,201.7178
Marketing,2267831,13670912,465576,41.6833,-81.7386
Marketing,4307446,5759934,2551004,8.4758,785.7729
Marketing,4619644,158374,4771031,35.2118,-88.8695
Marketing,357819,9941539,3751703,36.1372,125.431
Marketing,7408878,16904804,3226843,16.1289,12.0176
Marketing,5261093,17181737,3996513,23.2927,-81.269
Marketing,5086782,1520119,2968060,30.0436,764.4404
Marketing,5248853,11539153,2028158,10.4922,697.2631
Marketing,7626308,17591492,4760297,5.0677,653.3813
Marketing,3937861,577703,3502293,0.9318,723.2068
Marketing,4636892,4238375,4918563,8.1001,513.533
Marketing,7584961,10403578,3020979,47.0378,399.0463
Marketing,6772982,1462477,3125758,5.9413,-6.7385
Marketing,518297,8482357,3472266,36.3677,945.3432
Marketing,5143745,17580324,4293613,46.5556,60.3565
Marketing,269805,18679954,2979297,24.4931,241.8583
Marketing,2685653,17541078,2080577,15.6626,1000.0
Marketing,6608472,12758697,2055920,11.2231,318.9498
Marketing,258602,1919595,4089499,23.2691,264.7269
Marketing,2061063,7560285,515125,23.7822,495.3093
Marketing,2071601,9224453,4557227,38.693,944.5985
Marketing,4473282,10367978,3183070,16.6027,447.2695
Marketing,330808,1649060,4824999,38.9571,595.2901
Marketing,3490300,13613038,4172899,4.4817,43.0579
Marketing,347188,11277668,3254936,1.8955,270.9662
Marketing,7861633,18767674,597404,10.1667,55.1686
Marketing,2898559,8636030,247509,13.5725,435.5435
Marketing,5746488,18807785,2392202,20.7927,548.1204
Marketing,9102871,17971198,4910096,15.8597,258.9875
Marketing,6694800,5302094,1437912,46.3072,41.0965
Marketing,1215722,12436811,906263,12.4358,171.6366
Marketing,9244763,10503605,2699845,38.6808,965.0595
Marketing,6604142,4402569,3049221,20.8673,106.486
Marketing,8142506,16367136,1491461,35.7169,74.0535
Marketing,260163,10932194,1964824,39.0872,516.8559
Marketing,3909036,8288731,2894483,21.147,978.8537
Marketing,7696880,13308742,3334746,39.1614,91.9152
Marketing,243740,7939706,4951826,15.0086,461.816
Marketing,5764062,10693238,3561762,0.9974,584.054
Marketing,2587140,2702162,1420248,41.3688,36.6391
Marketing,1653864,5193890,473739,21.0861,457.4683
Marketing,3397601,2874323,734071,20.1655,27.4332
Marketing,1964920,16575442,1950298,30.8605,383.644
Marketing,931868,4441426,4581993,40.7609,985.4213
Marketing,5667499,16167419,1045804,35.0246,217.4116
Marketing,558100,6273823,4706716,20.428,711.1749
Marketing,5028136,8935083,1308257,17.135,554.7542
Marketing,381365,6679869,1456556,17.3605,400.6925
Marketing,7515096,11033082,2345047,16.33,865.8337
Marketing,4468874,2990151,1066360,31.2298,643.0159
Marketing,9659472,7205808,1817870,35.7994,119.9842
Marketing,996295,12957146,4114977,15.7461,609.8907
Marketing,6877336,2256249,4511248,17.1812,260.0496
Marketing,8811926,10723769,1241803,7.5523,134.7497
Marketing,9523727,3457942,3954295,23.4977,623.3217
Marketing,1334092,8083115,3092396,35.1461,637.5702
Marketing,4310960,9883997,2749989,15.0817,969.7372
Marketing,7251835,7803782,4058107,30.4418,874.7769
Marketing,5310567,2049985,1194869,21.2863,99.035
Marketing,1587318,17235040,4273151,31.6334,528.4414
Marketing,4099070,4355735,4428045,24.0178,113.0477
Marketing,2530188,9665879,1443430,18.7768,356.3331
Marketing,2356155,5126591,2349855,35.3819,93.4611
Marketing,1315819,6450018,2137984,22.2214,433.1894
Marketing,5857645,16598320,393623,21.0535,224.4005
Marketing,2296070,1442287,3574231,40.7552,666.5799
Marketing,1912102,6499841,128533,6.6607,67.5427
Marketing,3387043,5551655,1141978,34.7573,676.0496
Marketing,4864404,16688168,4471785,40.755,453.6003
Marketing,6926910,17136909,1519478,38.8013,-42.3391
Marketing,4922684,16762205,3777429,21.7375,576.9335
Marketing,9644525,11884629,4943722,14.863,380.8686
Marketing,7859562,13697485,3014328,17.077,382.5345
Marketing,597621,14412814,3694855,26.0174,334.27
Marketing,401323,18945722,2190727,50.0,-37.3249
Marketing,6504809,17217305,4654231,11.7787,159.5759
Marketing,6088726,5255301,3742314,6.0986,829.9391
Marketing,953977,9826446,4312766,25.5845,853.218
Marketing,2131801,7563164,4004182,9.212,617.1779
Marketing,4155334,5659612,914253,38.4182,134.8864
Marketing,2424675,4308165,3430469,4.388,665.6606
Marketing,3187657,6646145,2338580,8.7239,324.2719
Marketing,5949399,4072810,4080945,20.841,658.092
Marketing,8371076,3740651,70589,20.6962,735.3321
Marketing,6657841,4146548,3759690,34.2842,658.3673
Marketing,9336680,15787673,2533021,5.8212,432.2162
Marketing,1432385,10864984,4982243,12.7347,816.5008
Marketing,3609079,2536920,4515849,31.5022,254.5111
Marketing,8785804,6344099,3530961,43.6086,289.0872
Marketing,9015616,16739534,578890,10.7143,122.5064
Marketing,4409689,6957948,133886,17.6856,794.4099
Marketing,4606412,13380842,3065863,16.7328,313.3423
Marketing,9148067,8233071,1837316,28.1563,-63.9842
Marketing,6329001,13468583,4364090,25.4664,735.9358
Marketing,1806372,11769603,1959955,28.5184,883.4163
Marketing,5667387,17453257,4510378,8.8121,795.4805
Marketing,1272274,11889972,2513567,12.7615,164.1878
Marketing,490691,4792662,3889812,0.01,934.3597
Marketing,6763068,9889059,3458640,40.7059,924.5728
Marketing,6668404,18933225,2468811,40.955,574.2913
Marketing,229770,15068422,915267,29.9569,932.2102
Marketing,9852944,10919685,379380,24.7378,695.0294
Marketing,6272178,6416530,4676430,35.8806,737.7493
Marketing,6160487,16885738,3938126,4.4185,597.2326
Marketing,2745022,17222695,104757,50.0,736.679
Marketing,6242572,2973545,3331442,47.6328,-24.6924
Marketing,8977915,10014164,1919316,6.5508,31.0569
Marketing,7304889,3639542,4625025,48.3319,620.673
Marketing,9131712,10951809,1097595,25.2965,-87.1927
Marketing,8579399,11396080,2209921,24.7983,907.4642
Marketing,2969079,5657759,3477200,21.1721,600.2824
Marketing,6438118,6316774,3979814,37.6608,825.8819
Marketing,4285988,16239356,1277567,32.7885,789.0685
Marketing,4697197,9486931,4776684,24.9507,778.0668
Marketing,6092594,13773300,1314074,3.1229,91.579
Marketing,8222709,7868593,4092293,26.7012,256.2175
Marketing,693843,18327444,631101,3.768,520.3111
Marketing,1434792,19971089,3876871,38.2046,161.3915
Marketing,3851208,3024439,3931319,19.9378,351.8964
Marketing,7140059,7067819,3446038,30.8521,799.4349
Marketing,3967272,9373111,4546738,26.0742,796.1002
Marketing,1428063,3933445,4355266,15.361,617.9319
Marketing,2702907,9770094,4140672,46.2431,-32.2445
Marketing,6087617,10561449,4147472,13.3913,626.1555
Marketing,5884156,3134222,3071365,42.7577,72.55
Marketing,4842526,11822084,3152945,40.4625,-44.7475
Marketing,3148732,11647164,255967,20.7582,797.1257
Marketing,2979484,19356682,2010344,1.1356,58.1119
Marketing,8396555,8996125,583364,15.7162,68.5169
Marketing,7392404,10792336,3711490,25.6778,146.8149
Marketing,8317582,5946330,3515078,15.2276,276.7063
Marketing,3918670,10037294,1629490,14.8174,-96.3168
Marketing,5406590,9268295,4877550,39.5113,226.0123
Marketing,7656393,3045422,1644894,14.4418,-22.837
Marketing,8706028,18431998,4480864,22.3302,-92.0577
Marketing,5538201,8328530,4446590,26.1957,350.2687
Marketing,8576880,15533189,3016307,48.1395,668.1898
Marketing,3068667,7333188,4761752,10.3289,413.6534
Marketing,9805093,19848005,1199224,3.2855,969.1682
Marketing,4229372,11023061,1154558,42.3372,742.1247
Marketing,5129264,2951214,3264559,6.5942,523.2786
Marketing,3588527,9245097,3417561,27.1189,-13.7018
Marketing,3380020,14509936,921624,25.2387,845.0068
Marketing,1184791,12686911,3574422,13.5743,956.9882
Marketing,3835885,2738351,179711,20.9824,396.0849
Marketing,6823025,12225581,3260083,14.882,751.5092
Marketing,4047327,13219618,3346681,29.3574,342.4564
Marketing,9706130,7600064,4499070,43.7249,180.372
Marketing,3922068,16753957,1795913,10.8319,18.9373
Marketing,4234415,9365240,2979745,23.2803,979.2628
Marketing,5652365,5288479,643949,1.9923,81.9049
Marketing,2821286,15683736,862602,45.5435,911.5954
Marketing,379253,12817379,3038614,43.9276,902.0387
Marketing,5376875,5994942,3548492,42.7481,866.8128
Marketing,6549389,5954121,925817,28.5254,676.6849
Marketing,3876322,5929215,1756405,11.0505,341.9617
Marketing,5241709,553926,4353651,42.2347,390.3707
Marketing,7975125,660233,1032872,36.8198,301.2739
Marketing,9537787,18698431,3588058,23.4175,287.6397
Marketing,7602975,2628708,1660230,24.9686,908.8277
Marketing,7078753,2040963,2261950,37.8426,108.7871
Marketing,8736702,14812605,465115,43.375,275.2189
Marketing,6582436,4572871,655668,4.083,702.7912
Marketing,7739117,15424220,2251038,22.0875,20.2566
Marketing,5364810,13250658,4260136,26.1331,739.3066
Marketing,9434608,4739409,756894,6.5249,690.8745
Marketing,5974062,2945872,3405626,37.3664,292.6076
Marketing,4094814,5644940,535865,38.5123,866.932
Marketing,2886141,12841748,4023050,25.108,349.9138
Marketing,7661401,8162190,3284876,46.6479,812.8772
Marketing,4687209,4487349,4607540,21.7797,868.2967
Marketing,5659061,13483140,3093983,20.1004,161.7877
Marketing,9100092,7280008,310583,4.2553,645.5446
Marketing,9105888,5529007,1668258,33.528,928.1326
Marketing,8694564,14489493,3970041,27.9989,567.0196
Marketing,4375827,16663310,3346768,11.6647,100.8586
Marketing,1607095,421864,3133329,45.7077,792.2471
Marketing,5902970,1536477,894584,2.305,463.5076
Marketing,2263908,16458846,4419071,6.8442,974.8395
Marketing,2923402,4514799,4497069,19.9276,276.0952
Marketing,378180,19806174,4767521,21.5252,98.3808
Marketing,1083578,3321100,3368046,29.2665,890.3537
Marketing,6380502,18101125,2289425,16.9849,526.7122
Marketing,479196,17179088,1328225,46.1498,633.7035
Marketing,9033596,5176024,3125700,23.3258,-64.8301
Marketing,144173,5772,2562328,33.9148,636.1402
Marketing,7478191,10886384,2198106,15.9969,169.9093
Marketing,6372274,1643293,3417938,40.6498,249.9428
Marketing,9817823,18323782,1476012,34.0413,733.4921
Marketing,1809438,17993732,828796,41.9532,579.9865
Marketing,8626636,6432234,2031457,10.7497,879.2205
Marketing,6593091,5511442,3894484,47.1689,716.595
Marketing,8208473,16698609,2198712,45.8063,339.9139
Marketing,8556147,2513711,3952436,21.5908,366.7035
Marketing,7784088,959390,3201685,4.2959,598.2789
Marketing,7172029,17563658,4012794,21.1674,93.9063
Marketing,1335204,6151710,3855313,21.1846,451.1879
Marketing,4373631,6856381,2922344,39.2045,-1.3777
Marketing,3372149,19339860,2368563,0.01,365.9141
Marketing,9695886,4305973,1860049,2.6022,151.9961
Marketing,3041437,3913293,2649391,31.5708,895.0612
Marketing,5558469,4241252,3781427,3.5651,700.2268
Marketing,3648225,18747565,2746827,33.7646,13.3576
Marketing,5125754,14013784,3378165,19.7664,758.327
Marketing,9547970,6474583,156385,49.5954,590.9106
Marketing,6203238,13154844,1735590,21.9507,461.5817
Marketing,5160969,13396945,2235461,36.5881,94.9118
Marketing,7108955,15957346,2185347,33.6324,738.7951
Marketing,3996236,17885628,3745569,25.6357,500.8925
Marketing,6611193,17891869,1667500,23.6318,208.3465
Marketing,7418006,10183174,55828,48.275,178.0384
Marketing,6486068,5950835,76698,49.6941,732.0456
Marketing,1875195,19007086,4923771,46.6013,-72.477
Marketing,9886174,2363298,1651898,20.0611,574.9004
Marketing,7807828,9429257,3278471,4.6952,986.6923
Marketing,3589232,4860871,4181009,13.4414,919.2503
Marketing,2443592,6564396,4733806,20.6023,931.7864
Marketing,912282,4886860,4144351,27.2833,675.3323
Marketing,6833050,6633663,1784675,17.8534,94.0749
Marketing,1645357,10423703,3292131,38.0479,956.9489
Marketing,2396065,15239916,2047007,24.4884,863.8966
Marketing,8980338,1320186,2121446,43.3191,165.9198
Marketing,6158850,14451162,3004956,22.2015,792.8663
Marketing,373785,14041845,834346,30.3348,338.1948
Marketing,8163566,265011,4547221,28.0164,622.9683
Marketing,9106159,8328766,1831242,5.6567,265.992
Marketing,6469519,19666497,1809812,24.8882,52.3482
Marketing,908995,16153947,753675,19.6937,618.4095
Marketing,566308,16450584,4673519,26.511,43.2967
Marketing,241887,12895973,862302,11.4229,11.4705
Marketing,9541855,15874121,3496041,31.352,178.6396
Marketing,9291601,19280325,2075725,32.0289,841.222
Marketing,4945088,7037044,3482167,17.6736,395.0156
Marketing,9612981,6538793,4816504,33.0978,422.8103
Marketing,8802702,15504863,4422682,19.5613,642.3338
Marketing,4842589,7163241,4606663,24.8147,899.2278
Marketing,7154677,13664435,3322350,36.9069,623.9577
Marketing,4619046,9908041,4335607,9.6206,939.0901
Marketing,7686919,16023696,809517,50.0,-12.2502
Marketing,6827401,5793194,4040178,12.9492,858.7819
Marketing,801885,14024649,2166018,38.1795,652.8111
Marketing,3928068,9507177,3250397,38.4728,448.1191
Marketing,9800145,1844197,3832120,31.212,134.7678
Marketing,8331519,13627114,615707,13.2657,250.9396
Marketing,3175051,7516629,683913,8.4875,63.7357
Marketing,3381438,2341198,4174971,8.0379,459.737
Marketing,6389672,2240942,4928400,14.3061,662.0831
Marketing,3793477,14288702,246124,21.4075,691.694
Marketing,6813452,8389825,3809435,3.6142,-20.9311
Marketing,8167432,8531903,1220477,5.3834,433.7042
Marketing,8609454,3612860,1633656,42.5056,82.7445
Marketing,5360843,17145343,4901213,11.2096,686.2542
Marketing,7664049,1535305,3143505,22.8328,678.7996
Marketing,9796871,13969203,298883,6.6226,867.0088
Marketing,8593495,17452492,1891604,14.7544,965.654
Marketing,7717827,11365754,112684,19.3375,644.9077
Marketing,6443918,1447904,3680675,36.7784,656.2003
Marketing,5417919,15383190,2420508,32.5162,195.397
Marketing,417175,10991776,3218067,4.2545,984.4709
Marketing,806628,12225186,1925859,28.994,472.6137
Marketing,5070612,7262125,1191515,32.3621,98.1215
Marketing,3047410,16557457,3925178,29.7559,395.8327
Marketing,7656219,723830,3908662,0.01,268.6702
Marketing,959187,5623857,1281820,21.5985,363.6934
Marketing,1795467,12156991,3478383,42.2307,563.7164
Marketing,7607071,17693399,391431,46.8888,651.4418
Marketing,2157273,15687915,466131,23.2701,117.5291
Marketing,386371,11351982,673227,32.8458,985.6768
Marketing,4657930,7804829,2732142,0.3968,582.7384
Marketing,8415330,6343316,992847,39.8918,461.4199
Marketing,2017770,7862959,1825355,10.4872,-88.8571
Marketing,8368252,12339710,3883134,4.3936,659.7777
Marketing,3068140,10253902,3547932,2.625,1000.0
Marketing,7785188,1374077,1359648,33.5282,679.732
Marketing,8160194,12220787,2906194,21.5539,662.5183
Marketing,5128116,2028570,1887379,42.6345,-30.4405
Marketing,207432,18169259,241602,3.3156,849.3452
Marketing,2503696,9693416,2228238,10.358,904.0211
Marketing,5230649,17581222,3367737,0.1239,884.5232
Marketing,1447599,68385,4256783,45.7797,682.8691
Marketing,1790015,18196017,4877649,30.058,130.5479
Marketing,3708691,9649750,3633827,4.9132,138.5644
Marketing,4441438,11540671,807288,14.433,689.758
Marketing,7901679,13532293,2154047,34.4074,135.808
Marketing,6720210,12481450,4032649,4.6233,87.9628
Marketing,5870314,5274087,1164062,14.3156,868.5769
Marketing,9338637,7390680,933970,38.9844,595.1698
Marketing,6007285,8510188,4887702,29.6695,117.5875
Marketing,2538416,5403823,840430,24.2472,1.8173
Marketing,1730345,1966786,1579460,12.9228,162.8648
Marketing,9042174,10626509,4785434,18.6438,566.5388
Marketing,1041086,9424568,1188989,10.7407,331.9786
Marketing,3457793,2279772,4403141,27.9724,-5.8427
Marketing,5202124,1346990,2341351,8.8692,432.3374
Marketing,7773166,19965769,4301894,33.7523,16.3891
Marketing,1469061,12264549,1669016,35.6674,304.2127
Marketing,8586816,6541458,2182338,6.053,53.375
Marketing,3249181,759919,1582902,8.1281,439.1984
Marketing,1697065,16838885,2908851,36.2157,947.9397
Marketing,7989195,9466936,365524,30.4458,381.3618
Marketing,2002241,10354720,3447335,0.01,224.8575
Marketing,5633662,16920408,423385,28.9273,-42.3665
Marketing,8355995,7147222,2101090,19.4976,-54.4299
Marketing,5569527,1030876,4412307,9.1742,833.3772
Marketing,4065475,8805160,78607,3.488,39.8795
Marketing,7166510,1132569,3327378,3.9994,629.1303
Marketing,5951171,12767763,3359941,33.0488,22.7068
Marketing,4560431,2695101,1501036,0.01,93.2203
Marketing,2101921,8880731,2215070,31.535,452.9465
Marketing,4816680,10735868,4764897,17.6267,-10.4575
Marketing,6453099,19258386,3665221,6.2968,692.8831
Marketing,9600399,11523350,1387482,30.0816,342.8032
Marketing,8105533,13807912,4623403,35.756,274.7679
Marketing,7838709,93726,2019284,7.1939,258.4382
Marketing,2250806,2119824,2666731,30.5084,-49.9087
Marketing,1965599,6531819,2471133,11.9366,76.1348
Marketing,6034791,13361323,1837075,38.3237,250.054
Marketing,7205814,16705671,270584,32.1919,767.0299
Marketing,2272919,8200318,590958,41.4995,615.4149
Marketing,4249880,1193747,2090637,21.2343,892.5339
Marketing,2434478,1688056,617844,13.5711,795.3079
Marketing,5287635,8999465,4903552,21.6173,44.3565
Marketing,1795408,9618757,3189908,46.383,494.7547
Marketing,5667120,16895407,2329051,41.0741,459.7494
Marketing,2681874,3801286,1303713,40.5422,608.3091
Marketing,9568044,4869914,1478288,34.7714,10.4562
Marketing,586423,7679876,3135288,19.8267,797.7507
Marketing,6383967,153841,2852275,23.1159,233.0069
Marketing,8624554,11843164,330578,5.067,955.2843
Marketing,408311,17210970,278358,28.7984,930.4979
Marketing,7397047,9245812,2386285,7.3892,164.6445
Marketing,8942155,19940175,1984803,16.8379,912.6345
Marketing,2129117,14252153,3118983,24.8295,220.5745
Marketing,5140782,3251504,3458381,31.4278,198.4025
Marketing,3373481,9729383,815736,2.1967,337.5547
Marketing,329588,1970072,2517424,6.8356,41.7533
Marketing,9035382,12327307,2349600,41.5491,507.2412
Marketing,2100324,15758218,736017,42.2103,117.5367
Marketing,9992010,1838550,2790823,3.6564,934.7867
Marketing,6157707,18091453,4999350,4.122,981.8525
Marketing,9852945,11180881,2245807,15.9266,20.0471
Marketing,9637026,14359965,267982,21.5693,162.7106
Marketing,7032864,8894811,3856617,34.9825,631.5537
Marketing,8747552,5613124,1634153,45.7525,733.914
Marketing,2903093,6027588,4070490,7.7758,654.1469
Marketing,787141,8679314,314915,30.8007,66.0855
Marketing,5024411,18654257,4234298,13.8568,170.8304
Marketing,5145378,9443905,754866,1.1275,707.7218
Marketing,1049610,15857396,2422043,8.2813,96.5213
Marketing,7315342,15817731,1924416,36.3379,-61.8037
Marketing,1772154,2491693,3130461,43.8516,18.0354
Marketing,1472141,17595433,536537,11.2318,499.4282
Marketing,4932829,12666474,3753035,4.5758,850.1485
Marketing,4431540,14385418,4693681,28.4553,848.963
Marketing,6745204,8075169,2802807,5.2125,465.2344
Marketing,8127486,11871257,1513873,27.4143,654.1159
Marketing,730911,6432812,2654671,7.6599,304.6399
Marketing,7123000,14532992,2705530,20.7829,967.7362
Marketing,4439912,10576413,1345964,17.4207,192.1023
Marketing,194245,14183931,4393895,9.3115,599.955
Marketing,547782,12066349,4937182,43.7908,581.9156
Marketing,6915048,9824101,3117921,39.8226,732.9458
Marketing,4320383,1566156,1898825,0.7345,1000.0
Marketing,2221904,13203898,1843308,23.3654,204.1091
Marketing,6438335,1103766,2726663,26.7528,439.3922
Marketing,7462240,17330795,1755773,42.5886,937.8952
Marketing,6845447,10792853,162887,4.3214,529.1257
Marketing,1012580,7382954,2648144,11.7418,373.1059
Marketing,268219,10306307,1293118,28.9436,558.8319
Marketing,3466624,13756041,2975554,28.5286,357.5401
Marketing,3809457,17436953,736039,11.3923,644.0757
Marketing,2921422,2179790,209768,20.5538,628.4062
Marketing,9596678,12746499,2075464,47.6912,919.3089
Marketing,2043434,5619518,551904,35.627,91.9417
Marketing,3252298,19135888,3419454,42.2247,95.3428
Marketing,565746,17745601,3318721,8.9532,219.4489
Marketing,2315455,11720744,1762936,44.7477,701.0615
Marketing,3806457,9125044,4118813,26.9331,464.8603
Marketing,5444676,18228671,1450920,46.1202,450.8044
Marketing,6210120,2935879,2041975,44.7868,763.4058
Marketing,4937336,17629427,66344,37.2727,833.9958
Marketing,3396573,4176971,3862427,8.2164,480.0756
Marketing,9650978,10857992,1217089,3.7261,-62.4838
Marketing,9793852,7618175,1171510,43.8104,290.3721
Marketing,5818125,12465980,2280187,13.3557,101.3925
Marketing,3309784,13018478,660666,11.8101,597.9338
Marketing,6049940,16744604,2772973,46.1114,67.1979
Marketing,1626923,2777164,2741268,28.0016,-90.0812
Marketing,2439998,6383797,1516159,2.7441,488.5731
Marketing,2013019,2623244,1552431,3.8065,797.4197
Marketing,754301,3228603,3517425,16.7228,818.8625
Marketing,3901212,19017590,320676,40.1835,737.9565
Marketing,211404,13678661,105372,8.3707,727.1235
Marketing,9480116,2531364,559251,33.4209,944.9984
Marketing,9576977,10854709,281355,4.0171,654.2934
Marketing,7791764,10101752,2470003,19.8539,152.3527
Marketing,6160389,3485289,3433774,4.6227,-100.0
Marketing,2584138,1821368,2810278,27.6696,78.3363
Marketing,1814321,13888762,4068368,31.5842,447.4823
Marketing,937987,38260,3794707,15.4736,256.7058
Marketing,5112356,13064663,4298719,47.2455,649.3866
Marketing,9118035,4901486,2705879,26.482,473.8459
Marketing,4438139,7196285,2079645,49.0246,509.2726
Marketing,1106388,19086824,3217555,8.3931,33.0414
Marketing,3128033,14488066,3588362,30.6914,702.1414
Marketing,5225448,697247,2959861,7.4889,850.3137
Marketing,7298213,13435235,3151873,10.4834,458.9667
Marketing,5760644,1417903,1747687,19.4408,175.0735
Marketing,6900332,351256,3347280,4.1839,549.1986
Marketing,8170401,19940195,2536767,1.7639,398.8275
Marketing,7069884,18166335,1598533,4.6667,-38.9613
Marketing,253295,18298791,3574620,45.2898,635.0647
Marketing,1068810,18177540,3535914,47.9322,692.0151
Marketing,7815256,18043040,4322506,2.4921,35.321
Marketing,6039016,19397785,1302240,3.0543,941.7445
Marketing,7556044,6560947,400178,40.884,653.3427
Marketing,3852084,1705198,3468576,1.7298,520.8751
Marketing,5671358,19040354,2672374,19.0175,563.4748
Marketing,9871524,19946404,3268195,31.9095,361.7357
Marketing,5954388,16109468,2237427,44.8816,819.775
Marketing,3674636,17040477,3755457,40.1676,527.8043
