Application,Balance_USD,Deposits_USD,Withdrawals_USD,Interest_pct,Loans_USD
Banking,875645.9702,319967.6218,208095.8336,0.5774,278604.3461
Banking,293725.613,438130.5306,87833.5934,13.1259,557108.5302
Banking,486125.0062,356858.0083,448198.5478,13.7817,266888.0774
Banking,332972.4204,191126.9402,103562.1465,2.5677,743856.2375
Banking,791632.1312,171619.0829,174241.7757,0.77,1496455.9512
Banking,268226.0636,35250.8045,252835.3668,10.9836,1887567.0685
Banking,824350.9313,293199.5496,40035.6398,17.4802,65797.0618
Banking,174497.7811,355985.5088,218969.5578,15.2177,1114342.9706
Banking,274325.6237,147581.4012,157704.0466,10.621,447249.416
Banking,857674.1693,420628.3778,450590.8591,6.6111,892564.4414
Banking,287368.8277,156019.9976,402491.2729,0.4385,1998453.7749
Banking,931249.7737,181792.1199,465696.4145,15.8294,2000000.0
Banking,162727.8785,153923.1651,127992.1463,4.5888,1221241.4494
Banking,665180.5137,57487.472,418757.4723,20.0,308768.9875
Banking,289541.1221,499100.5597,400552.8229,0.9246,1053635.5121
Banking,307817.0632,225364.7454,60898.0915,17.9261,1698502.3243
Banking,859811.2577,464061.6183,237555.3969,5.0564,1171857.9985
Banking,547741.908,291664.1366,500000.0,17.8397,1425104.0441
Banking,209767.2226,429020.4219,416580.9992,9.304,1565298.5347
Banking,936028.9893,306484.0114,340433.333,4.6238,909883.6037
Banking,405882.0323,307395.2573,265124.789,2.1227,1314011.2762
Banking,902454.7956,470534.1671,356138.3292,1.6452,250537.6996
Banking,912442.355,391532.8459,408046.8906,19.4243,731392.4122
Banking,406198.0482,77972.9512,246663.5671,5.5046,1024041.4647
Banking,422994.9464,326906.6525,345451.7575,19.49,1498812.4455
Banking,533510.4881,181908.4613,66897.3987,16.5307,904839.7089
Banking,641868.4321,200296.7226,204773.9572,15.0077,1890462.2453
Banking,69234.57,437410.3375,20769.9888,14.2784,632110.5762
Banking,50970.8482,435362.2704,381459.117,17.6975,347657.0961
Banking,225259.3007,162204.9515,111086.9143,5.0636,372114.988
Banking,430416.6341,452167.2324,83725.7682,18.2661,713332.7947
Banking,638188.5311,250577.2052,204775.7139,9.1656,984189.1177
Banking,178243.148,140665.397,253854.1955,14.7117,714271.3484
Banking,294037.6178,31763.5677,85339.4071,15.9802,1752233.3869
Banking,424032.7206,148716.7583,192403.2647,16.4549,1371515.7357
Banking,272164.4097,382107.5695,307507.663,9.3168,564538.1108
Banking,357439.1902,262366.2944,65233.939,5.2237,1534106.5799
Banking,134096.2064,116764.2496,164293.3286,17.1513,1148565.2289
Banking,25341.5747,246717.2111,140770.2376,1.3311,1387791.6332
Banking,208935.963,460594.016,366362.7479,11.6845,1926248.905
Banking,277243.4089,144970.6393,73757.8546,15.7213,477429.6066
Banking,777844.3717,347707.0433,236761.6925,17.4486,1919411.5315
Banking,773455.0199,61989.9511,164734.7193,2.8058,1373294.6476
Banking,695681.0437,418962.3178,372123.5269,10.0009,430763.3674
Banking,935209.8506,258705.0536,473865.0564,14.2158,1838324.1029
Banking,411759.4192,169546.9124,432014.6075,17.9881,872243.7694
Banking,111249.9087,409261.2888,266187.0037,13.0133,479200.0174
Banking,784248.1386,56857.7699,427272.3806,5.2426,590883.8964
Banking,557953.9093,166532.062,355238.0243,3.1436,1515165.3436
Banking,998836.6035,96664.1279,107777.4672,7.7357,1885500.0703
Banking,340712.1649,433661.7435,380977.1213,2.6513,487956.1921
Banking,898769.6278,214470.1185,279931.2682,13.2981,1896032.9071
Banking,829417.3321,149132.7022,101037.7956,9.9406,96893.9117
Banking,964159.1601,426939.8995,500000.0,4.6586,284503.1007
Banking,957230.2175,456879.9434,408868.8243,12.3889,790671.3323
Banking,948724.3342,50205.9169,376766.873,1.1751,1132418.9989
Banking,901658.9476,275763.2866,494419.8717,12.7423,1062984.4777
Banking,267243.0323,283189.4552,493244.3333,13.3333,57303.6605
Banking,430554.3287,407390.3031,225373.7076,0.4798,41687.7353
Banking,973850.4099,242319.3023,248812.9866,13.8942,1303409.3522
Banking,395561.8417,43697.5263,432257.6045,6.6116,910554.3007
Banking,895126.4126,467994.8498,309294.9095,0.8042,949395.7898
Banking,739901.8999,276052.6419,43998.7826,8.0875,73959.1589
Banking,885441.7863,322906.9891,368438.9619,7.1265,1938307.4188
Banking,772300.155,36949.3605,225161.2796,13.271,1284123.9611
Banking,394239.6651,399319.2029,27316.2823,14.0907,1845056.5901
Banking,266882.8535,442947.1739,461656.0729,9.1516,743206.7912
Banking,686588.2507,133601.5432,120055.187,13.0562,1109631.9759
Banking,94890.3245,149278.7988,481138.7908,17.0025,785316.849
Banking,176669.4251,97205.8815,249679.2464,1.0186,218653.0634
Banking,19545.4465,247621.6112,328401.4367,2.8197,828397.6903
Banking,285691.3651,6762.4873,127595.273,9.427,404931.6933
Banking,288817.1511,75039.3326,487697.8745,17.3033,506363.596
Banking,916975.9276,318939.3567,21566.763,10.8583,1494375.1725
Banking,766820.0954,233883.7725,444866.9494,4.1838,652565.7351
Banking,704853.4452,365257.731,30891.4442,18.9812,1497812.8011
Banking,789706.4345,368393.9191,469344.0637,4.9277,1988556.2502
Banking,630054.0211,211581.4733,439351.6861,16.5042,670930.7513
Banking,253291.3588,350132.072,195469.1435,19.8178,475965.1996
Banking,937632.6398,430029.7961,311965.2908,12.6024,1472486.5889
Banking,119672.2424,301806.3284,426128.2487,4.2834,1091083.5578
Banking,93954.0882,475043.1145,178113.5277,10.0099,1574325.3542
Banking,262008.9245,493858.5643,64704.8325,13.4816,362609.1173
Banking,857260.8352,240721.5711,464512.2119,2.4296,1289633.3696
Banking,422843.5675,133817.5752,27060.5647,19.2063,1442922.549
Banking,399073.1094,395566.6018,68276.7962,18.9708,239563.3301
Banking,280207.4376,90423.9261,80133.4611,10.1443,298812.5241
Banking,958325.2427,401343.1264,286073.1612,15.9434,1882531.4282
Banking,729430.2046,217306.0141,171636.3972,19.4992,367313.4313
Banking,160694.5105,397551.7265,281728.3035,13.1642,1306181.3393
Banking,367082.5639,148290.4455,401938.603,11.7106,1022814.776
Banking,368717.5831,237331.073,302848.8651,11.7766,1688404.1338
Banking,212489.451,413128.5291,438559.5741,10.4412,51972.8774
Banking,157844.2628,160505.6446,54307.9171,18.309,22131.0678
Banking,831414.6168,190916.5777,465819.7435,2.5828,1487091.3289
Banking,526132.0647,294040.5529,237734.6605,9.62,1731007.9974
Banking,345913.818,316041.9185,26387.3309,0.355,1279179.9643
Banking,33827.843,78296.8828,449216.81,17.8842,806230.6359
Banking,262950.175,307869.208,53915.3749,6.1601,911337.1208
Banking,746819.4573,235486.192,338329.6484,9.2514,1596031.1411
Banking,890613.7946,377213.8188,142532.0064,13.1095,1062775.5185
Banking,869807.6062,306775.1017,51353.1558,1.6072,1369338.5295
Banking,315051.6865,255819.7293,417883.9513,14.771,1948401.5895
Banking,698520.1782,431263.2258,196416.0385,10.5116,606441.48
Banking,154170.6074,297162.0114,300465.6931,0.8452,265084.5443
Banking,268975.7044,236178.5887,350044.8327,2.9049,1766365.302
Banking,510186.6247,113110.5084,259804.9649,12.8007,1417192.2741
Banking,796759.5295,119533.839,379823.7008,8.9686,1028982.2369
Banking,904563.4182,69189.7231,255543.9168,18.3982,1206645.0746
Banking,945450.1901,423993.867,201645.6769,13.2841,1835628.0778
Banking,164668.7788,20465.4013,382363.3856,12.1671,1924436.9738
Banking,483175.3211,478520.6727,113175.1223,14.9908,36272.6723
Banking,686375.9575,282658.2846,453649.4636,10.6034,1439440.0644
Banking,742980.7248,57135.926,169907.3666,10.1418,1917200.4803
Banking,507648.2103,411329.057,16887.8239,19.5884,406505.8545
Banking,44056.8657,421918.0698,257248.2226,17.835,409554.1095
Banking,848842.287,186426.083,160459.4165,3.0958,297961.2434
Banking,841471.5488,168811.4645,79859.7522,4.2614,806157.975
Banking,882611.5604,423016.0944,367299.0643,5.4899,1500158.6762
Banking,875941.6106,248708.6526,287588.8983,14.4105,1084295.0712
Banking,732371.355,259875.7643,289967.726,18.6996,739307.7999
Banking,425935.6683,441171.9268,268383.5035,1.9034,1137382.5966
Banking,166035.2945,67765.5084,317497.0117,19.4319,703954.5643
Banking,116703.2661,422383.6129,455944.5269,6.3431,1019165.7793
Banking,727665.0224,472593.2553,169401.474,6.7674,920696.4931
Banking,766365.7201,17271.1722,314464.5715,10.3352,1866011.8374
Banking,655345.1958,334908.7578,388303.7532,1.25,1128711.9072
Banking,577502.6877,153188.632,114271.024,18.6614,1381291.5018
Banking,604879.8471,281606.2769,369783.5624,1.0499,593005.8628
Banking,80094.7994,335143.7033,183860.3415,0.6053,762248.7062
Banking,241457.541,269140.6383,435136.5527,19.4943,1982690.4249
Banking,157599.6291,330307.8648,164333.8738,7.9527,1222123.5494
Banking,449875.7018,262545.1813,353218.9885,5.2943,576585.2309
Banking,99397.9396,359526.7634,262347.6877,5.6624,189534.1691
Banking,311207.7686,278189.0671,383130.7438,10.0186,1215469.9433
Banking,867406.6747,98422.379,404966.3397,17.2181,140965.3991
Banking,98505.0154,95184.5822,73725.1833,15.358,366034.2727
Banking,558753.4971,315474.0217,128121.1115,3.2974,414617.8884
Banking,276020.7324,259403.7231,125767.7101,6.9038,1254931.5652
Banking,362884.0693,172715.7386,9818.5062,8.177,796824.6889
Banking,283803.9471,278368.0177,468338.4761,20.0,1495110.2861
Banking,59068.6375,484735.483,273797.9332,15.3857,434909.6134
Banking,103455.6481,332230.498,106113.6951,10.9542,1795109.2218
Banking,470534.0717,346650.7849,279913.4098,4.7242,354976.0315
Banking,876903.3079,334902.9695,434692.7721,2.8831,35859.5667
Banking,940684.4643,351521.9469,76782.5683,3.767,902098.5679
Banking,223768.2323,82047.8674,326018.5313,6.8794,254964.5608
Banking,918825.3143,56333.9573,57086.0523,11.2817,834799.7474
Banking,63323.4657,389902.865,417439.9019,3.4931,1955127.7813
Banking,846955.9108,134917.6019,108013.7782,15.5367,1663693.1642
Banking,555700.0325,11079.3817,313977.6723,18.891,892795.6818
Banking,98380.5384,143168.0526,12181.5346,10.6342,1508775.106
Banking,77007.7409,224381.0761,0.0,7.0542,838158.7081
Banking,161301.4041,149919.0374,352213.339,14.1444,61364.5415
Banking,34727.7645,36105.8998,34417.6813,13.0324,1631226.2726
Banking,700364.9195,111872.1766,119806.0285,16.3821,1498964.9646
Banking,598184.6118,40571.9425,472411.5508,18.2236,1856267.9026
Banking,876678.3174,267930.7959,342384.9486,6.4072,175693.7145
Banking,446758.3976,332442.4907,114123.1999,2.8389,1582569.0016
Banking,579712.7452,355540.8059,338224.2095,18.0149,1597982.4924
Banking,129507.867,397285.6646,500000.0,3.3502,732548.7907
Banking,513268.1681,28805.3982,208528.932,7.9264,759390.0806
Banking,276750.0357,368635.4478,259009.2939,8.1578,758570.9557
Banking,437178.6712,367168.6486,259508.702,17.1466,692165.3335
Banking,846050.1148,250652.8284,67773.16,11.1612,1146788.7807
Banking,650117.9952,289398.9817,283035.9318,11.8928,967067.6025
Banking,88466.8105,332856.1139,315049.1759,15.7264,1134036.04
Banking,942358.4084,249750.5633,238079.215,20.0,1227362.9064
Banking,224813.6362,498841.0512,225845.8635,19.1583,1349965.5275
Banking,491329.9495,19667.1214,94129.9697,3.367,590847.6019
Banking,479662.6709,59589.6943,308892.273,19.2473,366442.3684
Banking,661029.1185,140103.877,261448.6648,14.6026,1035664.972
Banking,889560.5729,306745.4268,463154.9125,13.0842,764703.4854
Banking,252176.542,473172.7739,185643.2442,8.1026,1469366.9188
Banking,320145.452,448973.9729,349848.875,20.0,1154069.1033
Banking,184683.6157,473792.8013,377357.9076,6.2368,1348734.1249
Banking,734395.3877,478672.5639,413548.6447,19.5001,444930.7703
Banking,655467.7808,426765.8617,267285.0125,7.1324,2000000.0
Banking,213800.3885,292610.3546,309263.0334,2.9934,424728.1173
Banking,397897.5283,345074.053,397234.348,12.1913,842342.2622
Banking,391909.1157,0.0,24455.2264,17.8139,1417131.3557
Banking,516784.058,4733.8836,103191.8189,18.5808,9386.8371
Banking,833257.4479,432332.8492,264004.1701,15.4199,1652651.9102
Banking,898091.5053,195805.0424,382320.7441,8.1497,1155869.0309
Banking,225905.3323,195213.4503,87743.0483,15.7482,1766333.973
Banking,579944.8824,92663.7185,427643.455,0.9913,1069640.7762
Banking,790564.6207,130209.3656,267438.5077,3.751,79460.5763
Banking,144968.1265,356063.3499,187069.4952,11.6869,933088.7596
Banking,343721.8293,428741.7578,97179.9639,6.1046,1776436.6729
Banking,180290.0801,194270.1334,268545.907,13.2141,521875.1085
Banking,354377.2781,331752.7333,367732.668,13.2986,617337.5346
Banking,14245.5154,370612.0653,153670.8217,12.2361,89964.5258
Banking,497881.3256,258626.5242,255364.3531,13.7159,1735107.0986
Banking,1000000.0,193527.6957,89154.9337,6.6757,1747907.3594
Banking,841002.5798,283676.4775,130179.1545,4.0946,285592.1578
Banking,485524.0145,295019.093,357949.739,0.1339,372688.9531
Banking,575476.3355,175231.7778,472713.0559,13.7018,1062885.506
Banking,764552.7655,168353.5001,301609.0596,12.1364,426552.8516
Banking,249927.9857,98030.787,321046.1396,6.6607,490190.6471
Banking,526507.0297,269663.9096,440030.5692,7.2459,790351.9222
Banking,475916.6568,465965.0441,100436.6056,4.2511,1137131.9714
Banking,369161.8779,178842.3171,405998.2946,6.8118,48239.7481
Banking,466910.4305,342843.3004,445962.5052,6.5477,1718169.588
Banking,775321.9077,397531.4904,345820.4328,19.6442,1442134.0845
Banking,400293.0891,499932.9806,28395.1172,10.1282,225648.3381
Banking,932193.2647,393011.6961,458959.7352,11.5419,1118451.8595
Banking,918753.6395,43847.3852,302904.2159,0.0322,285180.0641
Banking,964423.7495,49236.1889,109358.3972,16.5248,1415809.6199
Banking,93788.4312,364321.6253,240315.2218,15.5299,371919.3022
Banking,572771.848,361853.4637,294019.5476,10.6,466950.7979
Banking,233568.7719,430195.7081,43203.9783,15.4148,1678303.5182
Banking,60904.4935,411269.8555,292901.9689,3.5299,716958.698
Banking,536276.3798,289523.9574,308126.6573,8.5781,1678952.6475
Banking,953158.8514,348266.3277,405096.7475,4.8163,1511060.7692
Banking,284603.6513,302843.5529,460062.0866,12.323,642439.6554
Banking,390795.7188,454247.0274,212627.3918,12.7567,1418207.8562
Banking,658505.8608,226579.0682,132991.7194,20.0,10732.2005
Banking,853930.4633,98731.6884,332370.5204,0.4379,1147320.3428
Banking,106294.3293,102040.9487,91672.8983,7.8014,1614689.6516
Banking,562853.2134,3121.5999,42419.5691,18.6354,1598145.9104
Banking,266704.75,397558.7821,394958.733,19.8571,1186502.7162
Banking,785783.8447,301710.7711,422816.2762,11.004,744891.929
Banking,266563.5506,223440.0891,406073.574,11.456,1930657.6893
Banking,717102.2721,371004.5569,455012.2862,8.8449,1956265.1659
Banking,741467.0854,153939.8141,146407.0591,3.3527,71553.7812
Banking,987787.3263,359364.2786,325617.544,1.2182,346936.6016
Banking,479648.9829,432730.0781,302650.4334,7.5694,1994993.0385
Banking,152078.1703,308625.4734,26245.4523,7.1099,1988940.6249
Banking,810916.2159,490308.3978,0.0,10.9808,1913850.2514
Banking,750559.1477,371366.4967,443149.0547,6.4478,125186.9739
Banking,838886.1295,213630.6259,0.0,8.7874,1354825.8946
Banking,572042.7008,333593.7089,359792.6501,11.3169,161571.7546
Banking,669987.8421,48987.5737,203289.4776,14.8111,965717.891
Banking,965772.6146,455007.4638,28325.7796,0.0,1976747.0902
Banking,0.0,346284.8926,438800.1724,4.0484,1804418.1497
Banking,647744.7739,206409.1314,175316.3302,3.5115,320548.9663
Banking,465092.26,421077.1253,359217.5969,8.3381,1119385.8648
Banking,375296.8334,40111.0186,245935.8206,1.2584,360329.9593
Banking,286822.1684,281189.53,400083.4172,17.2901,284552.7903
Banking,721184.9258,362557.1213,259739.0234,8.3871,205963.2474
Banking,117989.2367,360153.4211,373586.4231,16.1761,206856.3776
Banking,218600.0769,14769.0573,282520.7862,18.595,399225.7536
Banking,315233.6655,110148.445,392075.5799,3.5513,1820284.557
Banking,175498.54,440183.1998,35822.7084,9.3444,686409.6191
Banking,142671.6247,134488.9791,171771.7464,19.1144,1739375.1069
Banking,491474.7047,238814.047,194302.4282,16.6571,59128.5556
Banking,103339.481,500000.0,47511.1896,0.7888,1204309.2032
Banking,298937.0909,281406.2064,453819.2695,20.0,1198771.2802
Banking,916529.8028,285795.8038,141062.3311,1.149,1854477.9035
Banking,553244.0333,287642.6961,411523.0198,1.1518,284611.7086
Banking,503022.6347,102076.8262,248488.0791,12.9181,1524605.4843
Banking,820910.6158,349243.4913,446308.3612,12.6204,1599761.1874
Banking,686279.9815,28624.6574,360707.2346,17.3262,1085989.6946
Banking,372893.6581,149410.0236,366882.6744,5.8031,432964.9095
Banking,91838.8732,155228.1428,230570.5047,9.8054,701373.7631
Banking,763664.3521,31850.0317,193834.0588,17.0256,1041887.1313
Banking,119696.017,173322.8501,235810.3901,14.9067,935929.0056
Banking,310127.0779,291395.0948,250491.63,8.5686,1335113.1503
Banking,770281.2785,181810.4951,34466.8251,16.9836,437545.1893
Banking,714867.1109,17013.4717,38553.1638,10.0588,564518.9678
Banking,851948.0119,307245.1005,141964.9759,10.1021,1710937.0457
Banking,595031.6873,152264.0317,200657.4874,11.4805,1508288.6426
Banking,632555.8995,491964.3524,38060.4685,7.2635,677193.6343
Banking,483335.5884,455532.2987,239208.8293,5.9968,1456442.584
Banking,270477.8225,244988.8673,282485.7585,13.5769,76557.4547
Banking,476206.264,197277.921,473488.5214,2.7218,724867.1014
Banking,128577.9473,44584.8476,43694.0488,9.5517,251186.768
Banking,992160.8995,0.0,381328.3137,6.9588,578267.9464
Banking,345664.5522,406770.3743,382539.8723,7.9403,1193775.5446
Banking,826968.2391,259662.8852,376198.9333,8.6279,1288260.8923
Banking,909953.7083,149537.9251,412461.9755,4.1591,1910245.3355
Banking,28407.5905,299483.175,492650.4626,9.8123,1197928.7381
Banking,610375.933,141717.1284,324227.8948,15.0699,598063.0991
Banking,875022.1234,212873.2266,441930.6799,4.6804,1602395.2385
Banking,440846.683,54534.4662,56381.7082,17.3269,761477.9226
Banking,71877.1081,210542.7669,111273.1174,8.5447,238226.6918
Banking,352960.6804,65036.3752,204408.8971,14.5236,1286122.4551
Banking,284809.5961,227594.7099,42713.6424,13.0521,1087964.0601
Banking,891353.2753,390098.8534,114229.4261,8.2212,8265.3254
Banking,678806.2684,123985.8119,480101.3944,15.8712,393165.964
Banking,247554.2541,121702.2161,364627.2047,0.5133,254182.9292
Banking,810012.0708,360760.8492,361083.5344,5.5969,891907.8109
Banking,483079.4421,259058.8896,281468.7163,0.1895,2000000.0
Banking,862675.2786,202982.2191,124927.878,15.4016,1401361.5539
Banking,782337.8909,13104.0588,68492.5045,2.3907,599234.7221
Banking,625781.6173,226405.0944,264161.3624,8.4824,1876816.7132
Banking,122268.107,214756.1908,340192.225,11.9316,1048536.5332
Banking,594121.2523,95899.9832,298034.394,19.5105,1736522.8631
Banking,625713.2023,475928.2088,239576.8241,20.0,1978042.8769
Banking,807871.5121,201682.8175,20628.0303,17.0135,1586966.7638
Banking,170588.6178,0.0,301643.6433,11.148,1588070.6688
Banking,599634.5332,460795.889,258340.2681,3.0675,1892981.9959
Banking,838520.3065,238430.4812,137299.1659,7.5473,503414.5437
Banking,34281.1093,323342.4864,411146.3657,17.2081,1654003.6834
Banking,595564.8311,209696.6623,346017.2151,19.2402,346415.6389
Banking,819163.1001,398826.1126,476814.1359,13.1096,1130190.822
Banking,478570.4817,157803.4421,252609.9026,16.1127,214673.6035
Banking,195293.1392,229753.766,37933.8305,15.6327,630515.9402
Banking,779532.5505,208724.8741,462227.3139,18.6062,273822.9242
Banking,103892.813,226338.5968,220789.5874,15.6864,1745511.271
Banking,536121.8567,316413.9023,500000.0,7.8917,1114302.5297
Banking,0.0,405367.6041,261540.3083,10.4043,308637.3379
Banking,464213.8392,186149.76,190859.0737,5.9581,1739621.9482
Banking,883775.8199,319144.2731,41431.5589,3.0401,1307382.1911
Banking,918723.5799,19956.2984,66859.567,6.7882,168735.6671
Banking,173512.3772,52838.5252,67871.0267,13.6277,604755.3033
Banking,642207.937,45727.0861,306398.0106,11.6254,287661.8258
Banking,54140.1374,109724.5868,260636.3197,15.7345,134833.9624
Banking,697418.7602,110043.7501,500000.0,17.9314,1389034.0173
Banking,776430.5171,255496.4873,221915.5356,1.2288,262100.8601
Banking,452571.5891,147414.954,81702.5179,4.3788,307374.7415
Banking,403934.1702,337469.5624,163978.6321,15.9678,1636382.0112
Banking,557255.3754,388137.9063,418078.1238,17.9827,1808451.2783
Banking,307467.8748,198417.5455,404863.8461,19.1333,556806.9413
Banking,448452.8171,440170.8711,62857.7837,3.316,1904470.4332
Banking,860112.8056,316310.8685,484722.6985,1.6066,625886.2601
Banking,111848.928,419833.5082,181177.7567,18.8131,731792.5174
Banking,564916.7133,237978.4915,193342.9242,1.2872,1275833.274
Banking,337601.7416,180084.8938,140358.0477,12.6259,1483164.0334
Banking,755625.4742,282396.8077,386360.7252,7.6473,1888238.3078
Banking,309049.1164,210755.2041,449081.0544,5.7662,1532504.261
Banking,759365.0324,168850.7945,357844.6795,5.2043,940783.4086
Banking,442397.1142,52625.8111,44870.3052,7.0281,220886.5337
Banking,621457.1126,221893.1846,389454.0677,7.194,1216085.6911
Banking,698464.8396,325106.0756,383872.6318,15.9684,1694366.2065
Banking,304934.0967,390224.7748,315870.8966,10.342,1658993.0703
Banking,438680.9752,448299.526,107637.8735,18.4438,1414513.2165
Banking,825839.5593,104524.9347,239531.5136,13.377,1519088.3321
Banking,462774.6572,201900.2308,6165.9662,8.593,291417.9295
Banking,489852.1841,317823.1482,129522.7703,10.6176,293053.8076
Banking,588187.4101,307078.9989,362200.5112,18.6937,1184394.0394
Banking,793496.0553,426526.5918,183588.17,17.0369,48948.9949
Banking,53324.7457,246361.776,73921.7601,18.3573,415761.2159
Banking,598462.0219,278772.9277,47222.0622,13.3505,1528465.005
Banking,837008.3038,166866.5042,386936.2746,12.3984,9696.3763
Banking,326195.6008,466586.0933,148190.576,5.0516,344850.4133
Banking,649032.0805,106505.3372,475335.6975,6.9291,1535191.6542
Banking,217874.2228,360901.46,349225.526,1.2712,1814459.0532
Banking,92101.677,262897.578,173303.5151,11.6739,487939.5084
Banking,149287.3338,141653.8358,187372.9003,13.5089,1013632.1299
Banking,722090.9838,71820.1331,64463.496,14.9963,1772550.6539
Banking,597732.9162,291361.6052,356380.1688,17.7027,1540304.8851
Banking,203170.7572,27682.9042,231196.0455,6.1397,1710352.9607
Banking,29051.7629,484226.2973,414122.2059,3.387,649899.4313
Banking,852170.4551,190241.3857,131554.9787,3.0742,604197.0873
Banking,708551.0081,498106.6649,169189.2494,11.7077,1472856.5476
Banking,449065.8365,280949.2191,232481.2268,5.1973,1126075.1323
Banking,225379.8992,159033.6722,337888.3976,3.881,1726310.5573
Banking,968958.2657,125520.9853,427642.1273,11.5697,1512085.7779
Banking,383658.7196,386243.1667,496279.9074,12.4329,640384.2015
Banking,893526.3054,22344.2153,36356.0702,2.6622,1665765.7398
Banking,208927.9753,383582.023,425217.6189,10.6696,1841646.5296
Banking,890761.0851,313924.3337,56417.537,1.7827,179062.1227
Banking,540574.3248,161180.5324,488341.0633,14.8991,1112376.9901
Banking,963667.0256,282472.1252,32298.5914,11.9877,1105835.7138
Banking,135616.8429,439302.2697,156113.9479,12.3469,92029.0883
Banking,1000000.0,463521.4716,496486.0347,13.438,36971.9952
Banking,182571.5728,454602.9615,120627.8132,4.7436,401427.3884
Banking,123771.5739,251698.2085,427349.4617,3.4605,1610052.2382
Banking,591553.9494,282368.5242,442987.6755,6.1123,1307984.8996
Banking,685835.5472,88174.5525,124195.7523,11.2765,333554.3439
