Application,Cell_Count,DNA_Concentration_ng_per_uL,Enzyme_Level_AU,Protein_Mass_mg,Growth_Rate_fold_per_day
Biology,124855,120.878,24.6844,0.4886,1.4035
Biology,191222,177.6611,18.3578,4.8351,0.4336
Biology,66725,5.0,44.9677,4.4015,1.7629
Biology,130981,198.772,0.6855,2.8023,1.6708
Biology,85654,97.5778,39.2718,3.1076,1.9435
Biology,167845,147.3358,5.8038,0.094,1.7757
Biology,120346,168.7761,38.892,1.6593,1.9171
Biology,68435,131.8843,29.863,3.9358,1.762
Biology,57886,108.9108,43.3901,0.492,1.3767
Biology,67803,97.6725,3.7167,1.4326,0.3587
Biology,32551,166.9165,28.3556,2.8332,0.5623
Biology,117216,46.1667,25.6228,1.1691,0.4299
Biology,12394,196.3232,35.218,4.6443,1.2563
Biology,70092,144.1897,28.5254,0.5735,1.0061
Biology,4890,42.4459,27.5834,3.9818,1.7156
Biology,42606,151.0354,23.3761,2.6471,1.8027
Biology,88313,108.5101,14.8611,3.6164,0.7839
Biology,142699,142.0101,23.5323,1.5692,0.9653
Biology,9792,149.5991,6.5393,2.6686,1.9417
Biology,175073,15.9272,47.8186,4.277,0.5098
Biology,155969,98.4985,37.4314,2.4117,1.6111
Biology,69148,187.8283,47.9691,1.7763,0.5023
Biology,125243,67.2168,10.3712,2.7025,1.3649
Biology,121174,115.0341,42.2458,3.6336,0.4755
Biology,155555,79.519,40.3805,2.1663,1.78
Biology,125358,98.9421,33.801,4.8937,1.2027
Biology,49555,109.6435,31.6021,1.5394,0.443
Biology,18159,105.25,17.1041,2.5126,0.4005
Biology,111510,41.5718,41.9159,3.894,0.9353
Biology,107530,141.8238,24.5479,3.4814,1.8559
Biology,81077,24.2735,2.3463,4.4579,1.4963
Biology,36920,28.4733,14.4802,5.0,0.9917
Biology,199193,11.4612,46.036,2.0672,0.6599
Biology,20457,33.014,42.1829,0.5661,1.0697
Biology,198629,94.4087,49.4015,0.0614,1.5406
Biology,79953,120.291,30.6375,3.4274,1.5911
Biology,53995,157.5744,12.7306,4.2862,0.5881
Biology,172829,23.8278,8.5858,1.1186,1.4842
Biology,10692,174.599,9.5701,0.9066,1.3391
Biology,177830,152.1238,0.1,0.235,1.9397
Biology,197769,88.0817,20.0619,4.2161,1.8402
Biology,38065,189.5498,11.7293,1.443,1.5734
Biology,100299,200.0,20.887,1.9227,1.371
Biology,164678,40.8437,43.8091,2.6633,0.5898
Biology,12534,80.433,22.8224,4.2036,1.6537
Biology,41397,177.1797,43.2101,3.2403,0.8261
Biology,92387,140.5752,32.5759,3.1027,0.5166
Biology,2016,14.0865,12.548,0.7662,0.8461
Biology,56591,159.0263,16.1758,2.5378,1.6469
Biology,24247,166.0514,2.227,3.58,0.3433
Biology,25300,149.1358,18.2764,4.9895,0.9168
Biology,83798,159.391,35.013,0.8483,0.9568
Biology,10268,171.2417,5.9199,0.2336,0.0427
Biology,87807,39.8512,10.3604,0.3733,0.3745
Biology,13185,57.7819,19.0775,1.7747,1.6523
Biology,195776,131.6796,48.7223,3.9756,1.6872
Biology,171171,183.8183,38.6076,0.0729,0.5732
Biology,140643,62.0033,36.3093,2.1546,1.7308
Biology,39044,123.3672,6.115,1.597,1.5108
Biology,52214,136.2558,38.2295,0.2469,0.7941
Biology,193300,88.4717,37.619,2.3708,1.4485
Biology,115752,146.1877,30.2546,1.3828,1.9624
Biology,49984,175.0222,48.6546,1.7017,0.9023
Biology,41774,123.7271,13.0972,3.5098,0.4669
Biology,3568,110.2179,47.621,2.4533,1.8577
Biology,121151,99.2071,44.6392,0.4285,1.1988
Biology,194664,114.9309,1.3334,4.6848,0.2342
Biology,199635,72.5086,23.1974,3.2953,1.1303
Biology,134767,84.1952,49.1405,3.9095,1.0133
Biology,125375,103.8829,7.7376,0.4435,1.7691
Biology,180262,19.7177,27.2967,0.0994,1.0335
Biology,137330,54.3631,48.6649,0.036,0.5004
Biology,40504,109.6579,28.5015,0.8665,1.38
Biology,165231,93.15,9.5164,2.0613,1.1493
Biology,14986,71.0357,30.3091,4.6569,0.4243
Biology,62858,144.6074,9.0353,2.1907,1.0838
Biology,130312,139.5035,24.7836,1.4932,1.6448
Biology,13666,36.0314,4.559,2.8369,0.0627
Biology,39660,175.9909,29.1511,0.4958,1.2933
Biology,135633,102.2032,26.4957,3.0818,0.7275
Biology,27854,151.8789,37.4033,2.9587,0.5911
Biology,65505,118.7482,30.8789,4.1046,0.833
Biology,105488,190.0664,27.8918,4.9825,0.6635
Biology,184323,151.3391,33.2878,1.3079,1.6746
Biology,23662,136.9744,6.2848,2.5292,0.5085
Biology,9392,155.7462,29.5717,4.648,1.4673
Biology,31535,32.4272,8.7671,3.8213,0.139
Biology,114569,48.6932,45.9805,2.5334,1.8589
Biology,53256,144.125,3.9421,4.6987,1.3164
Biology,90135,102.3373,21.9634,0.4444,1.3438
Biology,128478,155.2468,36.3466,4.7144,0.5945
Biology,36222,29.8569,22.8602,0.2553,0.863
Biology,78373,109.1341,5.8877,2.7174,0.5437
Biology,124684,79.2375,28.6325,4.5058,1.8728
Biology,195407,94.1541,34.4068,1.3686,0.9906
Biology,11965,120.6556,35.0922,2.3268,1.2662
Biology,25538,99.9467,18.3061,1.6376,1.5133
Biology,109066,101.4125,29.4818,4.8507,0.7657
Biology,114252,95.6407,22.9739,3.9839,1.4201
Biology,140182,77.8096,34.9147,3.6204,1.3996
Biology,159338,160.4123,29.9349,2.9943,1.3959
Biology,185064,8.1144,24.2327,4.2232,0.9199
Biology,99806,121.2052,12.9268,1.896,0.7086
Biology,138982,112.4759,0.5113,2.2439,0.4439
Biology,111989,144.7711,8.9195,3.6732,1.6551
Biology,91982,118.5036,5.8096,1.8689,1.2587
Biology,122626,166.9044,20.9204,0.3717,0.9198
Biology,120176,192.9779,31.5241,0.2572,1.8917
Biology,132278,68.4328,11.106,0.6147,0.1455
Biology,123409,45.8996,48.0587,4.5497,1.7023
Biology,24419,91.354,0.1,2.4275,1.9438
Biology,182708,60.9401,39.1439,3.7308,1.715
Biology,51015,121.8693,31.0635,2.0747,1.6737
Biology,123096,181.3662,18.8839,1.4369,0.6655
Biology,108059,28.1863,2.3967,1.7734,0.4623
Biology,186340,24.3929,31.9541,4.0251,1.591
Biology,111687,58.1664,19.1796,3.1553,0.6344
Biology,88939,146.4807,45.7699,4.6893,0.352
Biology,150213,129.8459,27.2316,3.4758,1.5081
Biology,106878,26.5748,46.7749,2.8032,0.6963
Biology,188116,185.0532,11.0189,3.243,1.878
Biology,199286,155.5241,33.1323,4.6198,1.7101
Biology,165899,8.5591,31.582,4.0241,1.6968
Biology,187892,128.9785,36.6824,0.2676,1.5682
Biology,63623,146.9471,9.4665,2.6577,1.757
Biology,76450,81.8145,34.2039,3.3337,1.5747
Biology,94426,16.445,25.5873,3.8613,1.2471
Biology,118845,17.112,36.8403,1.0939,0.5967
Biology,154371,26.1494,15.2697,4.4184,1.7983
Biology,44585,170.8845,44.6915,4.7687,1.678
Biology,110225,181.3328,4.4295,1.3641,0.9694
Biology,65044,28.938,41.3012,4.203,0.0872
Biology,174629,53.9118,42.637,0.5315,1.277
Biology,181152,35.8717,42.0734,0.4219,0.1119
Biology,110556,42.5117,25.1459,0.6653,1.9711
Biology,3693,161.8396,20.6323,0.3283,1.9556
Biology,96259,64.9274,48.6835,4.1833,0.49
Biology,26939,68.0932,11.4734,0.3067,1.3557
Biology,180997,44.2973,27.3237,1.1988,0.1813
Biology,175013,124.4525,33.8939,0.456,1.419
Biology,153906,78.3913,34.9831,1.4056,0.7649
Biology,19047,148.7073,11.2562,0.5287,1.3293
Biology,27105,41.8571,32.4737,3.2863,0.824
Biology,76766,162.1655,38.9444,0.6212,0.2592
Biology,147779,129.4723,2.4751,4.223,0.8534
Biology,154048,28.4529,43.5821,4.0131,0.1709
Biology,45262,87.0861,1.8431,0.105,1.1404
Biology,126117,170.7249,18.918,4.5174,0.0924
Biology,24776,180.3125,0.1,0.2368,1.0356
Biology,162152,95.6565,5.3653,1.271,1.7671
Biology,129376,94.9656,46.4084,0.2268,1.6708
Biology,198914,177.1855,19.0116,1.653,1.7989
Biology,193445,122.6117,21.4853,2.535,1.7618
Biology,138848,14.7286,9.8549,3.8983,0.1956
Biology,93787,179.6367,30.6743,1.6078,0.3161
Biology,128948,54.3556,29.1573,3.5498,1.1408
Biology,56016,121.5458,18.7904,0.8738,1.8396
Biology,141546,38.0747,16.5474,3.902,1.9792
Biology,190125,6.9531,45.3822,1.1839,0.0589
Biology,22959,64.829,19.9547,0.8761,0.7443
Biology,137602,162.3712,24.6453,0.9923,0.4376
Biology,120101,60.0929,12.2892,0.8409,1.6046
Biology,4748,50.0216,38.7258,2.563,1.3159
Biology,14545,47.8051,20.6355,4.0585,0.2694
Biology,128659,102.1224,26.0087,0.4262,0.9989
Biology,198271,192.8093,11.2423,3.4693,1.3927
Biology,166838,95.8244,47.5812,3.1641,1.5778
Biology,74530,116.8603,14.8408,4.5158,0.0393
Biology,94557,177.1129,37.5051,1.3311,1.8033
Biology,62087,105.992,20.4732,2.3562,1.1806
Biology,69840,42.6594,11.0615,4.7079,1.6679
Biology,119451,68.0507,41.2058,3.1801,1.6552
Biology,186456,61.5881,15.9978,1.91,0.4478
Biology,52005,88.2753,43.2285,0.6319,0.2739
Biology,178648,94.6157,45.6972,1.1492,1.4704
Biology,40353,171.1953,42.8413,2.8547,0.2758
Biology,194075,74.0311,1.8874,3.5392,1.6559
Biology,53733,97.2273,40.1449,0.6434,1.4452
Biology,66318,130.0956,19.9533,3.2547,1.6871
Biology,155736,81.768,42.1765,2.7542,0.6607
Biology,68172,172.523,33.6205,2.5873,0.5294
Biology,94264,122.6112,42.786,3.4287,1.3046
Biology,27736,61.9251,23.9202,4.2625,0.0648
Biology,113859,149.0073,26.9331,1.5145,1.4161
Biology,113181,103.7134,8.3136,4.6354,1.6414
Biology,132926,109.2417,39.9685,0.7992,0.8163
Biology,91084,104.9107,21.4886,0.8339,1.4945
Biology,170695,97.0414,24.8841,1.438,0.3267
Biology,8392,151.6023,41.0002,0.5175,0.7056
Biology,56680,27.7012,30.2028,1.2311,1.9733
Biology,178789,71.737,9.6209,0.6812,2.0
Biology,51859,16.3106,30.4219,4.0865,1.0287
Biology,126657,150.2599,20.5367,0.9083,1.9094
Biology,158381,53.4938,23.8784,3.8033,1.084
Biology,195806,183.8228,1.7155,0.3146,0.6141
Biology,71467,106.6849,11.0762,4.8794,0.5151
Biology,184734,168.1356,13.1473,3.7214,1.8421
Biology,99506,196.2079,34.2285,0.07,0.3953
Biology,110751,167.9018,2.1047,3.9012,1.1429
Biology,119906,172.8282,20.7471,2.7146,1.0642
Biology,144760,83.6046,46.9782,3.7831,1.4605
Biology,26342,113.0181,3.9266,2.4447,1.0656
Biology,169229,64.3067,26.9341,3.203,0.5306
Biology,199935,41.9205,38.827,3.7588,0.3601
Biology,107308,102.3793,46.3277,2.0002,1.2209
Biology,184155,121.2904,37.3009,0.0549,1.4712
Biology,107081,75.41,35.0802,4.2237,1.1647
Biology,197805,110.4996,41.34,1.8965,1.42
Biology,90045,179.8297,22.2294,2.3853,0.3023
Biology,35698,110.3728,41.3699,0.1274,1.6991
Biology,111078,147.7163,2.0077,2.3594,1.1469
Biology,81623,160.1108,47.7141,4.7227,0.262
Biology,23671,188.8161,19.961,1.3779,1.0027
Biology,157256,124.0648,26.7804,2.0745,1.7038
Biology,94384,163.7442,10.5483,3.447,1.7656
Biology,174179,190.4582,35.9611,3.9596,0.524
Biology,87202,186.6704,3.2759,2.103,1.4622
Biology,52663,27.3966,44.0543,1.599,0.179
Biology,16708,87.2616,40.9041,4.6988,0.1204
Biology,92906,71.6187,10.3903,3.3625,1.1044
Biology,50811,18.5221,40.6667,0.6524,1.3563
Biology,134883,126.3762,37.6334,0.1805,1.5741
Biology,57250,148.2546,30.8107,2.3337,0.6227
Biology,113547,179.2414,18.2361,0.978,0.01
Biology,125249,31.0675,13.4458,1.412,0.961
Biology,35754,172.2273,11.7428,4.4607,0.0389
Biology,143483,131.5552,17.4962,0.4754,0.2033
Biology,134983,136.9004,46.0941,3.4349,0.6566
Biology,199342,185.3718,3.2065,1.4373,0.9727
Biology,140752,133.3631,41.1999,3.9424,0.5728
Biology,85896,77.045,17.1808,3.6719,1.1131
Biology,72295,168.762,25.6147,0.0434,0.0756
Biology,101689,73.5212,40.0168,2.6136,0.2977
Biology,12111,6.601,42.3743,0.7324,1.3762
Biology,38504,161.5168,18.1835,4.4249,0.244
Biology,133874,61.3682,24.8362,4.4494,1.2808
Biology,9155,158.6038,20.5151,2.0755,0.1171
Biology,40384,75.3367,0.4724,2.1616,0.8842
Biology,113561,176.4542,15.0243,1.4835,0.3266
Biology,48254,53.3739,24.0309,3.6393,0.2116
Biology,22918,195.4263,20.2899,1.7658,1.2018
Biology,86981,157.6222,37.0563,1.2714,1.8705
Biology,192785,25.4655,19.7892,2.1667,0.0823
Biology,31306,113.9767,26.8768,0.577,0.8204
Biology,148718,199.9877,21.2095,3.749,1.3697
Biology,47843,96.1777,35.0852,0.0453,0.9338
Biology,121975,39.2668,41.7322,3.258,1.656
Biology,97601,99.4603,26.6532,0.9309,0.4324
Biology,108512,108.3859,40.5185,0.9767,1.8604
Biology,148443,146.9276,14.2585,3.2513,0.8111
Biology,112472,141.0155,26.8839,5.0,0.6963
Biology,134121,84.4538,18.0104,3.8924,1.74
Biology,163688,52.0394,19.8053,1.243,1.1155
Biology,104727,129.8523,36.0374,1.0094,0.9613
Biology,113893,84.4328,42.9296,4.4122,1.4821
Biology,21932,28.9049,7.3385,2.1416,1.1114
Biology,118796,184.7185,33.3071,0.6125,0.3036
Biology,30855,147.7182,27.5727,4.4239,1.3683
Biology,193506,133.0972,5.867,3.895,0.2033
Biology,175088,161.1322,12.078,4.9048,1.5611
Biology,8400,107.6257,16.0169,4.5935,2.0
Biology,118858,164.3683,7.9416,4.0857,0.7659
Biology,174714,105.1969,10.719,0.2957,0.8687
Biology,16151,14.6238,14.6039,0.6263,0.1074
Biology,183479,79.8773,17.2099,2.701,0.064
Biology,67690,102.5442,36.0245,2.8276,1.8884
Biology,5499,144.4317,29.8259,2.1945,0.2217
Biology,7295,29.3971,47.7165,2.0473,0.8563
Biology,121885,34.2043,20.5753,2.1534,1.6568
Biology,127071,58.5843,37.4538,2.8577,1.8052
Biology,60040,56.5597,45.2014,0.01,0.9901
Biology,13183,156.9628,33.7205,1.4367,1.0951
Biology,161371,50.6253,20.3879,2.6287,1.335
Biology,144946,130.8363,36.344,3.7756,1.9241
Biology,117336,96.4316,9.6239,0.7536,1.2114
Biology,33711,112.6059,15.6292,2.7208,1.0693
Biology,6539,166.0622,26.6159,3.5961,0.0406
Biology,185423,90.2088,28.8192,2.2347,0.1425
Biology,193339,156.3569,0.1,0.2117,1.1122
Biology,180426,84.9942,45.754,2.2325,1.8727
Biology,127063,75.4652,34.7509,1.701,1.7302
Biology,134629,192.0694,24.9566,4.6529,1.9972
Biology,39360,39.0336,46.4301,0.344,1.0261
Biology,134272,17.1689,21.9702,3.2743,1.5873
Biology,179047,160.9526,48.6154,0.399,1.62
Biology,22357,19.127,25.6445,2.1442,1.2886
Biology,120121,176.708,6.2361,2.6759,0.7026
Biology,78505,93.92,38.6898,1.4129,0.9671
Biology,3869,185.6753,33.2894,2.1734,1.7393
Biology,193207,144.0016,39.5853,0.7783,0.6361
Biology,51108,119.7571,47.7338,1.6183,1.8305
Biology,113296,189.2657,40.0766,3.2616,0.487
Biology,95179,77.9619,32.0357,1.274,1.5759
Biology,91272,193.5827,41.4399,4.4619,1.2462
Biology,39467,37.6926,32.8377,3.176,1.5566
Biology,24328,98.3147,21.2771,2.2191,0.9152
Biology,92412,61.3162,42.6309,0.393,1.8554
Biology,136059,107.5813,12.5902,2.3021,1.2613
Biology,59871,35.4131,35.4174,3.5678,0.5884
Biology,154471,165.9199,44.6639,1.5409,1.3132
Biology,129391,161.7303,36.4765,4.111,0.5968
Biology,178286,191.1286,33.5044,1.2095,0.5754
Biology,87416,35.662,38.7101,4.1376,0.7223
Biology,71271,130.7067,26.0515,0.4598,1.7331
Biology,45064,100.5785,43.2071,4.2728,0.9287
Biology,108450,75.3097,9.9298,2.5151,1.3066
Biology,172890,69.7516,3.8128,1.5251,0.774
Biology,177597,87.2868,15.6957,1.5341,0.4863
Biology,20830,148.6326,27.5357,2.2619,1.9224
Biology,149501,123.1473,23.8471,5.0,1.1993
Biology,138965,101.7694,38.9871,0.9753,1.8998
Biology,117381,27.681,18.3426,0.4904,0.3508
Biology,48333,19.1172,24.9127,2.9535,0.276
Biology,135508,5.0,1.5105,2.2561,1.7133
Biology,77213,190.7317,19.6245,2.7437,1.3667
Biology,137967,5.0,32.9222,3.4021,0.4089
Biology,151810,23.0815,1.0324,1.3064,0.5096
Biology,31746,71.0562,13.7495,4.5359,1.5847
Biology,50377,153.8532,11.4453,2.3091,0.9334
Biology,180476,188.5632,0.9925,0.5748,1.2569
Biology,55045,158.5568,25.1603,3.8432,0.6588
Biology,98888,136.2382,8.4409,3.1939,0.7991
Biology,171862,104.5972,38.9577,1.661,1.9284
Biology,108455,19.9094,41.4083,3.12,0.4902
Biology,137672,190.8389,26.9738,1.33,1.0773
Biology,94179,150.0416,49.1457,2.1412,1.7166
Biology,172836,126.4314,22.6311,4.4409,0.5038
Biology,46714,156.6558,26.2069,0.526,0.8757
Biology,188907,150.2938,48.1789,1.8302,1.3059
Biology,103946,123.876,11.617,4.1787,0.9683
Biology,110616,185.45,47.2709,5.0,0.9082
Biology,106983,185.3031,1.7109,2.3576,0.7707
Biology,188563,126.3073,22.778,2.5394,1.17
Biology,125123,140.9989,2.2495,2.776,1.2156
Biology,150661,8.9551,36.163,4.7521,1.2886
Biology,44484,140.6952,29.7079,4.1978,0.1625
Biology,83989,23.5326,35.0383,0.7267,1.2479
Biology,37212,120.4244,20.2307,2.1586,1.892
Biology,44525,199.5069,20.0007,2.1224,1.0457
Biology,179274,112.1259,3.6293,3.8097,1.4905
Biology,164707,100.325,17.1009,3.2067,1.1043
Biology,64208,68.2207,47.3773,3.1182,1.6826
Biology,34828,32.4155,19.1355,4.8724,1.8358
Biology,150783,145.1007,41.6307,0.3912,0.4085
Biology,4420,43.8833,42.0548,1.1352,0.9022
Biology,97752,25.3644,20.4796,2.022,0.7709
Biology,132373,83.1186,32.9993,1.5455,0.8177
Biology,177308,159.9317,5.6024,0.2027,0.2708
Biology,116294,146.6898,5.1036,0.4238,1.6011
Biology,198307,20.2796,2.5675,3.5298,0.0199
Biology,186312,90.3915,29.6222,4.3335,1.0817
Biology,125019,108.2926,20.8404,2.674,1.3013
Biology,66726,128.3332,28.3833,2.8299,0.4404
Biology,142564,132.8632,25.1821,1.2363,1.8254
Biology,116668,74.0724,17.9662,3.9296,1.6809
Biology,7102,109.4289,31.6208,3.6289,0.9305
Biology,182408,100.6938,37.3997,2.9723,0.803
Biology,119015,176.6566,2.9035,1.1932,0.4355
Biology,27641,109.517,11.4755,0.5459,1.4382
Biology,166656,89.3288,37.2229,0.5707,0.2948
Biology,164817,78.6957,18.7264,3.0249,1.4193
Biology,155165,120.8478,33.2615,4.0905,1.7363
Biology,198177,164.6489,18.6929,4.5766,0.4704
Biology,104746,107.7771,20.2305,2.4865,1.7898
Biology,183957,134.2949,8.5256,3.7635,0.0641
Biology,37631,152.9458,14.613,4.6567,1.7751
Biology,73991,104.6503,29.2717,1.2795,0.322
Biology,5014,87.052,21.531,2.0603,1.3163
Biology,12093,176.8999,36.9871,4.7151,0.4466
Biology,19070,84.6232,41.5511,1.754,1.7368
Biology,36777,98.4215,28.2002,4.4076,0.9999
Biology,57958,197.4578,37.022,4.8417,0.2582
Biology,83074,5.0,16.1486,3.2975,1.1869
Biology,11729,43.5409,22.4622,3.9045,0.8759
Biology,177089,75.4186,35.49,3.6632,1.2865
Biology,198392,194.7131,19.8908,3.636,1.8235
Biology,159823,24.8275,30.2082,1.3865,0.8595
Biology,106864,8.8523,8.131,0.4401,0.555
Biology,131858,16.9477,29.4134,1.8307,0.0291
Biology,106510,23.7575,42.0879,3.309,1.2143
Biology,55748,10.4239,42.9095,0.4569,0.7484
Biology,6801,99.7169,36.9595,0.1525,0.8105
Biology,151262,114.6474,36.7191,0.6284,0.4077
Biology,181761,59.9439,27.9055,3.5079,0.8861
Biology,183065,86.0506,28.2346,4.8619,1.9743
Biology,30592,21.4068,7.9931,4.7029,0.6809
Biology,11647,68.2713,21.7046,2.3302,1.2877
Biology,140788,102.1626,24.1137,4.3166,1.5307
Biology,111627,153.479,47.9898,3.7342,1.5252
Biology,71316,5.0,20.207,2.4302,0.7389
Biology,3368,95.3505,27.3415,2.8484,1.1944
Biology,78575,64.0862,25.6486,0.5337,1.7535
Biology,7655,172.4009,32.4626,4.782,0.0807
Biology,71031,147.4445,37.176,1.7881,0.7969
Biology,88922,118.3968,11.4925,2.2671,0.4893
Biology,187838,54.626,26.1147,3.4103,0.7401
Biology,125046,177.3928,40.7591,1.684,0.8455
Biology,145475,11.5355,22.2377,1.2305,1.5414
Biology,33097,22.634,14.8296,3.2717,0.1016
Biology,143038,80.1838,32.5972,0.1503,1.0613
Biology,125862,34.3649,40.8919,3.5899,1.2139
Biology,119834,190.0297,3.0529,2.5741,0.9721
Biology,94848,159.1351,38.1843,3.0297,1.4894
Biology,53921,55.4377,40.7895,3.1455,0.8269
Biology,181798,118.1861,23.3352,2.6845,1.8271
Biology,127141,196.2916,48.1349,2.8234,0.9989
Biology,182372,179.5282,38.4692,3.336,1.1875
Biology,23677,125.6062,40.0813,3.8239,1.6782
Biology,56609,185.1387,37.0551,3.6255,0.5612
Biology,188733,200.0,7.0649,4.4463,0.1198
Biology,32024,152.1743,9.5986,0.9961,1.4739
Biology,71313,26.3868,24.1021,1.9566,0.9726
Biology,128813,80.2799,12.22,4.7969,1.7581
Biology,185078,176.532,20.8053,2.1085,1.9529
Biology,96285,48.4775,42.7296,0.6777,0.8189
Biology,147410,165.8754,42.0504,2.6984,0.7746
Biology,114632,27.9986,32.7135,0.5392,0.8226
Biology,151580,13.3017,43.4038,1.1213,0.6393
Biology,4051,80.2324,37.6788,4.9337,1.6187
Biology,180819,9.9006,22.3434,2.7452,1.4458
Biology,115692,194.9046,9.3075,1.6839,0.9999
Biology,88235,163.9541,24.59,5.0,0.1553
Biology,186093,163.707,36.4551,4.7911,0.5529
Biology,198484,133.7648,21.4748,2.167,0.5233
Biology,190407,45.7905,32.8679,1.3023,1.6951
Biology,188251,109.1589,6.0781,4.2786,0.1483
Biology,164165,123.6492,39.4332,3.5955,1.7365
Biology,171806,116.1674,39.288,3.3731,1.2698
Biology,74523,53.7767,34.6838,4.4017,1.4743
Biology,95476,108.5741,48.5089,3.4654,0.8692
Biology,18019,94.4399,40.962,1.4304,1.3544
Biology,84613,197.3516,45.563,3.5178,1.2404
Biology,87672,181.3783,47.5994,1.6276,1.561
Biology,74847,100.7926,40.8351,4.0708,0.8924
Biology,83750,121.6916,34.354,2.9566,0.9106
Biology,29251,153.9007,2.0411,0.4648,1.3324
Biology,104481,11.5521,21.7589,2.5789,0.2501
Biology,113566,173.5757,30.0781,1.539,0.8827
Biology,26945,173.4329,14.8589,1.7743,1.9679
Biology,91852,100.865,16.757,3.0573,0.1153
Biology,33217,76.9085,47.0342,1.6982,0.6085
Biology,9308,57.7983,43.6897,3.7171,0.6574
Biology,6949,94.1041,43.1348,0.3413,1.2486
Biology,184062,11.826,18.4351,3.1976,0.2525
Biology,133222,176.7632,1.771,4.2638,1.2531
Biology,101235,10.8484,5.3605,3.4817,0.2235
Biology,75740,74.6311,15.856,2.4232,0.1817
Biology,117352,190.9853,1.027,4.5987,1.4855
Biology,67617,146.9518,0.1238,1.5261,0.6161
Biology,17896,57.9111,46.5116,0.2147,1.9565
Biology,131798,50.7722,35.6843,1.9925,0.1234
Biology,178247,5.0,14.5972,0.0817,0.9144
Biology,139877,142.0418,6.3283,4.6598,0.2428
Biology,6237,14.4356,25.4716,1.144,0.781
Biology,21056,106.4254,0.1,3.9098,2.0
Biology,177615,186.5736,45.5667,3.8424,1.8128
Biology,188628,26.7605,21.4969,1.1139,0.1324
Biology,115548,177.5923,19.9335,3.0223,1.162
Biology,112488,197.576,19.606,0.1058,1.3651
Biology,135415,18.184,2.9824,2.5597,0.4104
Biology,145572,167.4097,32.4266,0.229,0.3389
Biology,185294,99.6556,36.8752,4.6244,1.8239
Biology,30375,190.7263,35.049,4.9058,1.9227
Biology,141734,114.4314,7.4876,1.245,1.9799
Biology,17964,124.2939,28.7818,1.0641,1.5903
Biology,114429,105.3821,27.779,3.7292,1.2961
Biology,191710,183.2655,44.2979,1.2783,0.7324
Biology,68215,145.3707,18.7365,4.6155,0.347
Biology,70042,111.1659,18.4658,2.8792,0.1706
Biology,145356,174.7637,30.7929,1.6936,1.4437
Biology,94468,50.9393,31.2895,4.1798,1.5768
Biology,193461,38.7057,23.3631,2.5376,1.7164
Biology,10435,26.979,24.131,4.6126,1.8075
Biology,186412,64.5113,23.7122,4.696,1.7174
Biology,176150,49.6244,42.2533,0.7529,1.9879
Biology,79832,181.1303,24.4938,0.0985,0.3837
Biology,52293,23.3726,46.6285,4.9227,1.565
Biology,79781,144.6327,24.8001,4.4606,1.1357
Biology,192475,42.4135,48.4979,0.3627,0.5053
Biology,161196,182.1086,40.241,4.1216,1.9925
Biology,44919,193.2184,19.0051,2.1373,1.8016
Biology,167319,99.6372,43.2412,1.2024,0.2482
Biology,122172,176.1691,6.056,4.3768,0.01
Biology,95758,5.0,46.705,1.0491,1.4316
Biology,194824,170.6639,30.9923,4.6508,1.241
Biology,57573,46.8154,3.8632,1.012,1.9541
Biology,60101,183.5378,31.6994,2.9509,0.4519
Biology,27646,8.2171,49.123,1.2212,0.12
