Application,Soil_pH,Moisture_pct,Nitrogen_mg_per_kg,Yield_ton_per_ha,Pesticide_Use_kg_per_ha
Agriculture,5.1042,55.9752,17.739,6.9505,0.6817
Agriculture,3.5,42.9672,114.4248,8.1391,1.8972
Agriculture,6.4328,39.6424,136.4278,6.8065,2.2704
Agriculture,6.1779,58.4055,93.5634,9.6771,0.3473
Agriculture,3.7387,46.9097,42.8327,3.7354,1.755
Agriculture,7.0104,58.5662,190.1737,9.7295,0.494
Agriculture,8.6361,43.5073,61.5723,8.5794,3.9688
Agriculture,5.7428,41.1774,28.379,7.3602,0.2738
Agriculture,8.3848,43.8416,125.0423,1.0186,0.1438
Agriculture,7.9667,14.0731,113.8769,9.5637,3.6129
Agriculture,4.2815,49.8427,152.4253,1.7676,3.9723
Agriculture,7.9879,58.257,148.0335,11.2745,2.5222
Agriculture,6.1625,38.3131,130.7013,1.595,1.7122
Agriculture,8.8263,0.0,41.9204,8.727,1.2016
Agriculture,4.594,5.3391,178.205,4.3241,0.6863
Agriculture,4.0159,11.7609,55.0476,9.0056,2.1991
Agriculture,4.8379,29.0972,18.701,5.8266,2.3497
Agriculture,3.8524,26.4624,65.7308,7.792,2.3911
Agriculture,5.4246,58.2029,90.2286,1.2338,3.9248
Agriculture,4.9082,56.2381,46.0524,11.6873,0.3938
Agriculture,5.6409,22.8385,70.8678,0.4671,3.3687
Agriculture,6.0843,47.4223,94.5255,11.3721,2.1149
Agriculture,4.3172,36.9677,63.2942,7.0467,1.0814
Agriculture,7.068,16.4865,19.488,3.4084,3.4361
Agriculture,4.6198,54.4317,42.6854,7.9714,1.2072
Agriculture,4.0518,15.9597,164.0841,8.0628,1.0743
Agriculture,7.6042,53.2353,184.8802,8.9217,4.9019
Agriculture,3.62,37.3755,30.0071,0.2853,4.1975
Agriculture,5.444,35.5202,132.4442,11.8706,3.449
Agriculture,4.3718,49.611,178.2794,7.487,1.6714
Agriculture,8.1298,29.1837,63.0329,4.4422,2.6319
Agriculture,8.0761,52.3051,162.7078,7.0667,0.8932
Agriculture,3.7634,32.8363,180.9986,1.8858,2.0105
Agriculture,6.4722,59.0819,58.1246,2.859,0.5203
Agriculture,5.2669,37.9095,15.3599,1.3804,2.9798
Agriculture,4.6062,22.2111,176.0215,10.4178,4.3187
Agriculture,5.0894,47.5256,71.0623,3.2941,3.9891
Agriculture,7.993,31.9093,8.7023,9.4705,4.2154
Agriculture,3.8311,47.7579,97.3639,2.9429,0.9074
Agriculture,7.0364,51.004,24.0832,1.9913,3.1452
Agriculture,8.4179,36.8467,172.1772,1.9121,4.5944
Agriculture,5.9893,52.9363,33.57,10.4098,3.7766
Agriculture,8.5354,23.8522,64.9193,1.6145,0.0439
Agriculture,8.5373,2.2827,158.4957,1.1337,4.601
Agriculture,6.7744,38.5377,158.6559,0.2,3.6229
Agriculture,5.9898,46.4994,186.1085,4.0359,0.5992
Agriculture,7.3143,1.1922,96.0126,11.2114,1.6453
Agriculture,8.715,47.5319,200.0,10.936,0.5808
Agriculture,7.174,38.0613,105.3496,1.5934,3.7558
Agriculture,4.5956,6.2137,157.4477,0.5668,0.0932
Agriculture,7.8657,33.5949,82.1367,9.2683,2.0834
Agriculture,8.8281,3.2044,190.1886,3.8684,4.9341
Agriculture,5.8696,19.8517,139.3366,10.1266,4.3238
Agriculture,7.2741,50.2079,17.4636,2.7283,3.0177
Agriculture,6.2248,4.4012,22.9144,5.8298,3.4233
Agriculture,4.1183,27.0179,177.7756,0.81,2.8042
Agriculture,5.3879,36.8858,164.9405,10.7196,4.0753
Agriculture,4.4829,54.5458,66.4144,2.3626,4.2767
Agriculture,7.1902,44.5312,97.031,4.2875,3.7498
Agriculture,6.6792,11.5797,167.2505,6.0757,1.0507
Agriculture,3.7582,58.5247,25.2921,3.3526,1.8169
Agriculture,3.6655,29.0303,31.1643,0.3144,3.8513
Agriculture,4.9001,20.7384,138.953,0.8052,4.1031
Agriculture,7.6179,9.3183,14.2685,10.7817,3.235
Agriculture,4.1505,52.7383,68.0558,3.9413,3.5458
Agriculture,4.6571,35.1284,56.1862,3.702,1.0194
Agriculture,8.5163,60.0,145.8935,10.9751,1.7712
Agriculture,6.6005,7.4321,0.0,9.9485,2.5689
Agriculture,6.8845,30.333,23.3945,8.341,4.9657
Agriculture,5.7831,4.8202,14.0258,7.9214,3.9263
Agriculture,4.9785,33.104,63.9441,9.8763,1.0111
Agriculture,4.9212,52.6237,42.3196,2.3438,1.9912
Agriculture,6.7607,7.6351,42.3051,8.2366,0.9577
Agriculture,6.0655,17.0612,72.0006,1.0281,0.794
Agriculture,5.6998,38.9514,42.0856,1.6617,0.6923
Agriculture,7.2478,4.1099,18.986,3.2124,4.7627
Agriculture,5.6519,26.9655,117.032,8.5962,4.5345
Agriculture,3.6418,20.597,195.3299,10.5936,2.1862
Agriculture,8.0875,50.5621,124.8996,8.173,2.7425
Agriculture,5.2646,2.8658,157.4583,5.5529,4.0936
Agriculture,8.6968,53.2014,194.1354,6.3723,3.1459
Agriculture,8.3015,43.5984,30.348,8.1083,3.6426
Agriculture,4.8631,16.0936,92.7936,7.1416,3.9109
Agriculture,8.9057,11.3279,110.2368,5.953,2.2912
Agriculture,8.3418,57.0487,68.5596,2.6658,5.0
Agriculture,8.8969,33.336,121.1266,7.2025,3.1566
Agriculture,7.1715,21.3475,124.587,0.7078,3.2068
Agriculture,8.612,3.1159,170.1548,6.9345,0.6487
Agriculture,7.2352,10.6617,163.4131,9.6841,4.9326
Agriculture,8.2013,36.7457,25.5415,2.134,0.1454
Agriculture,6.9021,30.447,35.3394,1.4047,4.8187
Agriculture,8.6222,45.052,46.2204,11.4376,4.702
Agriculture,6.3317,51.7641,61.3973,10.086,4.3442
Agriculture,7.6214,23.2349,113.8729,3.5668,3.3197
Agriculture,8.7277,6.9435,67.6366,2.604,3.0834
Agriculture,5.7453,46.585,199.8937,3.8314,4.8082
Agriculture,3.682,33.626,25.044,5.2726,4.8295
Agriculture,4.1008,59.276,51.0298,9.9409,4.0596
Agriculture,8.7527,48.5598,162.0104,2.7789,0.5132
Agriculture,8.2235,21.6527,115.3199,8.5382,1.78
Agriculture,6.1141,24.5103,110.3011,11.121,4.3339
Agriculture,8.958,14.3136,115.823,4.8826,3.4879
Agriculture,4.6257,31.5147,51.3061,0.776,0.6476
Agriculture,4.0121,43.4415,155.1642,9.9418,1.7649
Agriculture,6.8678,36.378,103.0008,8.6262,0.0929
Agriculture,5.4949,20.9866,8.083,1.9246,4.4981
Agriculture,5.2998,49.3753,29.2016,7.531,3.6748
Agriculture,7.6823,7.1915,163.6702,10.3261,2.1269
Agriculture,4.5432,8.4587,67.3282,2.5277,3.6454
Agriculture,7.5732,24.1728,151.6191,2.933,4.7374
Agriculture,5.4804,42.4598,131.5463,2.6854,1.3861
Agriculture,8.9719,41.0522,58.9047,12.0,1.3211
Agriculture,7.9179,21.0803,24.5347,2.7286,2.3343
Agriculture,7.0697,40.2049,159.5602,3.2241,3.6995
Agriculture,4.7173,3.4733,134.3694,0.825,4.9392
Agriculture,8.8294,16.5194,61.2243,11.6828,0.8568
Agriculture,3.6434,41.2708,105.7362,2.7923,1.6594
Agriculture,4.7899,12.5284,124.0432,8.7103,1.7024
Agriculture,3.8107,12.4451,0.0,0.2,3.6332
Agriculture,8.9088,6.7223,138.1605,9.8931,4.5431
Agriculture,8.2727,22.3308,144.222,8.9235,1.0665
Agriculture,8.4883,49.1577,12.666,1.1863,3.7044
Agriculture,7.4866,48.9575,154.852,1.9282,4.6135
Agriculture,3.5,51.6056,162.8221,4.2637,0.663
Agriculture,8.6741,1.72,59.2283,4.3396,3.0841
Agriculture,5.8573,60.0,31.8994,9.2577,1.0198
Agriculture,5.5023,32.5211,135.2365,1.0743,2.3059
Agriculture,5.0701,53.6011,27.0137,7.8631,0.7777
Agriculture,5.2374,53.4181,173.1597,2.8638,3.4114
Agriculture,8.046,30.9357,100.9166,4.7584,1.9655
Agriculture,4.8714,2.7932,182.5391,0.3298,2.7444
Agriculture,4.514,35.141,128.2707,4.1124,2.6176
Agriculture,7.5119,19.9365,55.2824,1.9057,3.5876
Agriculture,4.9075,12.2472,94.5483,6.6031,4.4291
Agriculture,3.5823,13.1541,101.6998,2.0153,1.4656
Agriculture,8.6166,33.9505,167.3823,10.2742,3.0925
Agriculture,5.2725,7.2596,174.8744,10.6541,2.829
Agriculture,7.847,50.5568,137.4969,10.1797,1.5585
Agriculture,6.0861,14.5439,57.2287,11.8313,2.6253
Agriculture,4.1819,34.5953,112.2676,10.8057,0.2395
Agriculture,7.1719,7.0817,23.9319,3.8802,2.2977
Agriculture,4.6236,52.7292,42.621,4.0435,1.3587
Agriculture,5.0083,43.8796,59.3751,6.576,4.4374
Agriculture,3.655,11.5262,17.8597,4.6695,1.6752
Agriculture,3.65,42.5368,182.7298,11.3182,1.04
Agriculture,6.4774,4.4762,28.7704,4.367,2.6106
Agriculture,3.9368,48.9197,134.1298,9.1072,3.9277
Agriculture,4.7531,28.1446,100.8981,7.1296,1.7247
Agriculture,8.7011,7.3434,164.4287,11.5081,4.2208
Agriculture,4.0205,33.6193,149.7963,8.9328,1.6894
Agriculture,5.1079,11.3929,150.7796,4.0748,3.6686
Agriculture,7.3859,39.1766,86.7699,2.6368,0.3879
Agriculture,8.3673,41.5334,164.9737,10.3511,0.2795
Agriculture,3.5735,45.3499,15.5718,10.6045,3.6887
Agriculture,4.4625,53.0506,94.1153,9.5743,1.9075
Agriculture,5.6405,41.0283,198.796,9.4505,2.0588
Agriculture,5.492,28.8749,193.1613,4.1918,2.8001
Agriculture,5.0177,50.6105,11.8353,6.4694,4.8618
Agriculture,4.6431,54.464,110.7848,10.6232,0.778
Agriculture,4.9159,47.2536,58.0594,2.0261,1.4022
Agriculture,4.2058,52.7211,142.5984,5.973,3.0814
Agriculture,4.4191,57.723,144.4492,4.4213,3.5532
Agriculture,6.9134,14.4723,0.0,8.3219,3.7932
Agriculture,5.0732,9.8081,169.0069,7.7245,3.0639
Agriculture,5.6559,28.0704,40.718,6.8498,3.0389
Agriculture,5.6954,58.0206,190.152,3.2914,0.7867
Agriculture,4.0958,6.5696,181.9554,2.2271,4.0384
Agriculture,8.11,40.1811,45.9759,9.2449,0.0136
Agriculture,8.6448,51.1473,129.1742,11.7078,2.1576
Agriculture,4.7337,60.0,60.8044,2.2198,0.9494
Agriculture,5.1423,36.469,19.5266,0.7967,0.4735
Agriculture,7.4417,22.8338,166.877,9.2771,1.4665
Agriculture,3.9769,11.2228,35.3667,4.5362,3.2362
Agriculture,8.3812,60.0,80.1038,2.613,2.684
Agriculture,4.1517,55.815,188.9297,6.3373,4.5299
Agriculture,7.5325,48.0528,21.3585,8.1759,3.0147
Agriculture,5.1821,56.3959,106.4784,2.2708,1.422
Agriculture,5.1825,1.9832,114.3444,11.5878,2.6432
Agriculture,4.4477,36.6598,147.1715,4.2433,1.1117
Agriculture,7.0094,16.531,168.7391,4.0084,0.7699
Agriculture,7.7999,46.2637,89.8224,5.1061,4.7401
Agriculture,8.758,8.8279,151.0152,8.8882,2.3113
Agriculture,5.1702,16.4601,183.3665,10.6722,3.2169
Agriculture,7.1428,50.5964,177.0775,3.5786,4.3559
Agriculture,5.8337,45.5793,102.3415,2.0452,1.5069
Agriculture,6.5375,57.4047,120.3113,3.4399,3.8157
Agriculture,4.2877,38.7404,133.0713,1.1002,3.8085
Agriculture,6.6789,19.0062,168.8395,7.7282,4.1646
Agriculture,8.2769,33.7049,104.6742,9.2659,0.8517
Agriculture,8.208,56.5585,20.0985,5.0182,4.8353
Agriculture,6.0756,39.7896,84.2803,11.746,1.3786
Agriculture,4.8741,52.5674,141.2562,8.7814,3.9186
Agriculture,7.9863,1.8481,132.4939,4.8408,0.7772
Agriculture,9.0,21.0433,145.4996,1.613,4.5117
Agriculture,5.6197,54.7638,99.4104,6.065,2.3124
Agriculture,8.6263,3.8737,36.7016,6.4033,3.2731
Agriculture,8.9565,30.9237,24.433,6.5968,4.4444
Agriculture,5.5713,21.3224,96.9852,8.2474,1.2781
Agriculture,7.4189,37.8305,46.2371,3.1377,1.8436
Agriculture,6.6683,8.3817,198.2233,0.2,1.3874
Agriculture,7.4872,38.5443,41.8102,9.8367,1.4227
Agriculture,4.1499,60.0,110.9318,10.1183,2.6166
Agriculture,5.3631,13.7944,3.632,10.6534,2.5863
Agriculture,4.083,27.9344,48.9618,11.7273,0.3871
Agriculture,6.9525,2.5992,56.3871,2.3551,3.3253
Agriculture,8.5734,24.9843,153.3656,4.687,1.8921
Agriculture,6.5899,24.6493,99.4403,10.2189,4.4373
Agriculture,4.1088,34.0788,4.5136,10.9726,4.5197
Agriculture,8.4109,14.366,76.9707,0.5294,3.747
Agriculture,4.2438,19.5425,128.6745,4.8777,4.1021
Agriculture,8.3186,36.5769,126.4608,1.5377,4.7148
Agriculture,7.5649,53.4634,6.2454,9.4364,2.9667
Agriculture,7.0631,13.6942,183.1375,9.0956,4.8225
Agriculture,6.9657,40.6194,49.7846,9.2,4.6049
Agriculture,4.3109,31.7774,184.0358,4.708,0.5826
Agriculture,6.206,8.5441,44.0548,4.9423,2.444
Agriculture,4.5559,32.7641,118.1221,2.9619,0.6038
Agriculture,6.7201,44.1527,74.2454,4.5313,3.3618
Agriculture,6.1202,34.8182,121.7217,11.8982,3.7414
Agriculture,7.1603,6.2618,102.2008,0.4594,4.4517
Agriculture,8.9319,52.3754,4.5667,3.9982,3.4805
Agriculture,5.2701,2.9887,62.4943,9.3975,2.4158
Agriculture,6.8597,11.3347,0.6666,4.981,0.7788
Agriculture,8.4441,38.2453,132.4791,11.1107,0.6549
Agriculture,4.1782,13.4687,173.5407,4.3836,2.4175
Agriculture,7.9838,5.4405,78.9821,10.5273,4.1337
Agriculture,5.0125,30.5581,108.6986,9.2451,3.9146
Agriculture,6.4427,43.8603,11.6514,0.4602,4.4324
Agriculture,8.9461,25.3486,80.3215,5.0748,4.1075
Agriculture,8.8815,42.5671,27.7844,3.1521,1.0681
Agriculture,5.3089,50.7811,17.6332,5.7834,0.9956
Agriculture,4.5459,57.5131,37.162,5.558,2.1857
Agriculture,8.7004,12.9841,171.2658,10.6619,0.8694
Agriculture,8.2889,37.2412,197.5959,2.2159,0.9689
Agriculture,6.7668,15.7195,170.3051,2.5506,1.3989
Agriculture,3.5824,52.7789,198.7096,1.4951,0.0
Agriculture,7.5428,52.8005,148.8214,8.776,2.7876
Agriculture,4.2856,19.4325,34.7578,10.7598,1.9285
Agriculture,8.7107,38.4905,116.3087,4.7468,1.0929
Agriculture,5.7363,51.804,147.2037,1.3292,0.4654
Agriculture,6.937,31.8109,96.8565,1.9894,2.1478
Agriculture,5.1546,44.0304,114.7932,1.3865,3.0056
Agriculture,6.0446,46.5283,114.294,7.7922,4.9229
Agriculture,7.6884,51.3304,90.0905,3.7291,1.2004
Agriculture,6.2793,30.1989,61.1265,11.0501,0.177
Agriculture,8.2562,58.0899,125.3115,1.9795,3.6895
Agriculture,7.4338,38.7778,11.3718,10.9761,1.2455
Agriculture,3.8212,9.3635,37.0924,4.43,2.5862
Agriculture,6.8494,34.8495,187.8383,10.5421,3.9532
Agriculture,6.8521,18.4563,102.168,11.4434,0.1368
Agriculture,5.6103,22.528,162.1364,11.9377,0.5846
Agriculture,5.1659,48.1177,144.0928,10.0895,0.642
Agriculture,3.6789,59.987,65.5468,1.2266,1.125
Agriculture,5.7321,51.9513,155.5879,0.8909,0.8889
Agriculture,5.1583,20.9654,15.0555,8.7678,1.6477
Agriculture,8.5304,26.7785,171.4463,10.8507,3.8746
Agriculture,7.3207,57.9832,127.7132,2.3486,0.063
Agriculture,6.058,53.9167,183.2599,11.3791,0.4628
Agriculture,7.6548,58.5211,179.1483,7.8097,2.6267
Agriculture,7.7455,26.0284,76.6951,1.5418,2.4872
Agriculture,5.932,46.8881,169.5249,2.3,2.3483
Agriculture,3.959,51.1825,109.1663,1.2798,2.5776
Agriculture,7.8179,4.0665,30.9432,1.8007,3.8624
Agriculture,4.0016,16.8558,163.8764,8.7288,2.8853
Agriculture,8.0768,55.2059,172.1415,2.7454,2.2811
Agriculture,5.2617,21.3841,13.4498,6.4862,0.4277
Agriculture,7.0679,18.7671,187.3396,8.9768,4.9878
Agriculture,7.4878,15.4168,120.2139,10.8023,1.1249
Agriculture,3.8105,20.9459,5.9433,6.7626,4.1817
Agriculture,5.7913,14.9381,110.8206,6.822,1.9044
Agriculture,6.9459,0.0,160.44,11.2809,3.4282
Agriculture,8.1753,11.6557,106.9867,3.6024,2.2526
Agriculture,7.4375,53.161,139.8305,2.974,1.9349
Agriculture,8.4396,3.6947,173.1819,10.4346,3.1561
Agriculture,4.0297,25.9827,174.2016,0.7376,2.4903
Agriculture,4.0551,27.2267,31.6787,1.9381,1.112
Agriculture,7.4852,46.7318,88.2572,5.5482,1.7309
Agriculture,5.505,15.9082,18.423,4.269,0.2139
Agriculture,6.0469,17.8217,124.6188,8.393,1.0784
Agriculture,6.8071,0.0,190.7248,1.2566,1.8302
Agriculture,9.0,54.0133,40.9312,5.8894,4.9008
Agriculture,4.1215,39.5115,76.4317,9.5069,2.6965
Agriculture,4.1069,15.2543,197.3884,8.5651,3.3662
Agriculture,8.1347,52.0493,145.6866,7.726,3.2998
Agriculture,3.5,4.8206,14.0185,3.314,4.8492
Agriculture,5.9001,21.0275,80.4683,4.3767,2.6364
Agriculture,7.7968,33.4066,197.6616,2.4477,3.0034
Agriculture,4.3482,31.5637,90.0874,6.3004,1.5127
Agriculture,4.5556,38.4035,116.7306,7.0863,3.314
Agriculture,5.1647,18.3168,140.7749,7.5244,3.8541
Agriculture,4.33,43.3001,134.8675,10.185,0.5488
Agriculture,7.1534,23.931,100.3102,0.6067,2.5568
Agriculture,4.6583,6.5279,25.4223,5.0887,2.0374
Agriculture,4.8641,44.4935,140.7962,7.262,0.3861
Agriculture,6.7442,54.0536,193.2783,6.8802,1.8004
Agriculture,8.8991,22.9028,189.1336,0.3949,2.7174
Agriculture,8.589,34.9543,116.4913,2.6749,3.236
Agriculture,8.2528,42.6194,94.0519,10.4109,1.3965
Agriculture,6.3719,47.3809,59.9491,6.089,2.3089
Agriculture,5.2393,11.9279,20.2137,4.7398,3.6696
Agriculture,7.2844,34.3599,177.0908,10.9095,2.1322
Agriculture,5.6978,43.3,22.5705,1.3755,4.7738
Agriculture,7.8306,11.9489,51.922,11.2461,0.0101
Agriculture,3.5,28.9275,149.9679,0.9196,1.4121
Agriculture,6.3086,29.166,144.8649,6.7991,0.6471
Agriculture,5.4116,50.0182,135.0457,6.8173,2.7128
Agriculture,4.893,46.1112,150.3735,7.7277,0.8127
Agriculture,7.1796,13.1939,107.9836,0.7295,3.7556
Agriculture,7.0974,14.0369,41.3879,6.2916,4.7756
Agriculture,3.8724,42.2783,199.3398,1.5865,1.1149
Agriculture,8.7771,45.2773,183.9312,2.4293,4.4896
Agriculture,5.6381,8.7865,88.493,2.5691,2.9834
Agriculture,8.5168,24.5933,103.8964,6.9607,0.9196
Agriculture,6.8203,47.8907,81.0686,4.927,3.628
Agriculture,7.0546,4.7076,127.3652,1.7358,0.4959
Agriculture,8.7466,23.4038,142.1507,3.4499,3.395
Agriculture,7.8876,38.8945,46.6794,1.4054,4.2279
Agriculture,4.3202,45.542,84.8399,8.04,4.7162
Agriculture,3.5,40.0194,127.849,6.5462,0.2678
Agriculture,5.1294,20.5686,197.3229,5.1732,0.2773
Agriculture,6.038,59.4364,64.087,10.8108,4.6113
Agriculture,7.3182,1.4934,145.1849,6.68,3.8121
Agriculture,7.1266,30.2784,74.2173,10.6991,3.9159
Agriculture,5.1422,27.5662,18.1778,6.6305,3.6096
Agriculture,6.5173,13.8289,154.9143,5.0837,3.6779
Agriculture,7.0745,32.7509,129.0686,6.7625,3.1772
Agriculture,6.4406,14.2885,101.2453,2.0666,3.9403
Agriculture,7.5013,25.654,135.8022,8.3717,0.3441
Agriculture,6.295,25.6317,181.485,11.209,3.8115
Agriculture,6.4166,46.4726,145.068,2.9724,2.9312
Agriculture,8.7483,56.5272,167.2006,4.6059,4.4385
Agriculture,5.7848,12.1181,56.689,5.0225,4.4259
Agriculture,7.601,59.5651,156.9459,5.7539,1.2071
Agriculture,5.4392,56.4183,80.0638,8.7253,3.9601
Agriculture,5.4689,9.611,2.7385,1.5535,4.8738
Agriculture,8.6058,52.5908,10.5357,4.1414,1.137
Agriculture,7.3942,32.9252,144.934,6.451,4.3542
Agriculture,8.8343,52.6809,44.2359,6.7845,3.0454
Agriculture,8.9014,58.0736,59.8907,6.5724,2.0177
Agriculture,3.5,52.679,119.8335,5.5742,3.9829
Agriculture,8.9685,25.4177,149.6254,8.7595,4.3285
Agriculture,3.9573,38.1631,110.582,2.2828,1.2979
Agriculture,3.8792,29.3755,138.2112,3.3122,3.8411
Agriculture,7.5889,21.2676,187.7551,4.9428,0.1316
Agriculture,5.2178,16.1416,169.1201,8.5754,2.1102
Agriculture,8.5744,26.7175,52.245,1.2827,0.2659
Agriculture,6.3481,48.6066,183.6023,1.6985,1.4457
Agriculture,5.5222,49.0561,66.3816,9.3297,4.8185
Agriculture,4.0165,55.356,135.0062,2.8303,3.6732
Agriculture,6.0742,17.0882,176.9012,11.3805,3.7383
Agriculture,5.0244,38.9121,127.0772,11.8063,0.6582
Agriculture,3.8804,40.2813,164.1756,8.3818,3.0537
Agriculture,7.3564,12.5909,178.2699,8.2511,2.0735
Agriculture,9.0,21.0249,195.4604,7.8173,3.4259
Agriculture,5.6507,21.226,75.7408,2.4261,0.7369
Agriculture,4.8454,58.8015,190.9061,6.0816,1.4111
Agriculture,3.991,58.4407,49.8873,9.2228,4.6988
Agriculture,4.6111,47.8689,93.4523,9.2265,0.8304
Agriculture,5.018,26.4442,146.9399,10.6329,3.1218
Agriculture,5.4459,16.4914,196.0643,10.8373,1.5519
Agriculture,6.9985,55.9817,17.1306,3.3519,0.3978
Agriculture,3.9811,16.4603,187.8967,8.5615,1.1399
Agriculture,3.7452,30.2564,200.0,8.0383,4.3836
Agriculture,8.7445,15.516,179.106,11.0385,4.5333
Agriculture,8.0704,58.9575,16.7757,3.1002,2.2836
Agriculture,5.1804,1.1358,167.3617,8.7097,3.1078
Agriculture,6.8647,10.9998,124.8347,5.213,2.7183
Agriculture,6.72,46.074,0.0591,4.4269,1.406
Agriculture,7.5065,9.2124,193.9528,0.5097,1.6822
Agriculture,8.2995,57.1013,24.7452,11.847,2.6808
Agriculture,5.4353,20.2686,78.893,7.6386,3.2364
Agriculture,7.023,54.4676,0.0,7.0718,1.7335
Agriculture,8.074,38.9592,63.925,3.1554,3.2031
Agriculture,7.2825,38.5932,106.9051,7.6009,4.6823
Agriculture,8.683,54.6603,183.7972,11.4469,0.043
Agriculture,6.1537,29.0739,200.0,2.1868,0.8168
Agriculture,8.0011,25.882,87.5322,11.6645,4.6148
Agriculture,8.468,13.3312,85.6306,5.3968,0.1908
Agriculture,6.4494,8.6476,40.8356,11.5471,3.7754
Agriculture,3.7218,47.4686,100.0465,7.7872,3.085
Agriculture,7.9212,7.6947,192.2476,4.0254,0.4438
Agriculture,8.1652,23.757,30.5741,4.6738,0.0
Agriculture,5.5563,25.9219,41.7487,3.5708,2.3827
Agriculture,4.6083,41.7669,179.1727,3.8322,0.6722
Agriculture,9.0,16.3631,127.0613,7.4992,4.334
Agriculture,6.5493,51.1054,67.7504,0.2142,2.4784
Agriculture,6.3274,13.2015,156.7817,11.4893,1.2728
Agriculture,8.6569,48.1762,33.7057,9.3329,0.7557
Agriculture,5.659,52.5113,167.2507,11.2963,4.1379
Agriculture,8.2289,12.6131,104.0086,8.559,3.5557
Agriculture,7.5098,49.0656,152.3896,5.4041,3.678
Agriculture,8.9124,42.0629,106.9553,2.2746,0.5888
Agriculture,5.9248,52.8266,46.4966,6.019,3.2886
Agriculture,8.4574,29.3429,130.2615,9.0099,4.3263
Agriculture,6.6987,14.5848,37.432,10.2967,3.9831
Agriculture,6.3317,55.1055,44.1405,4.3942,0.6281
Agriculture,5.1519,45.6848,107.8417,6.2418,4.7102
