Application,pH,Molarity_M,Conductivity_uS_per_cm,ReactionRate_per_s,Turbidity_NTU
Chemistry,7.0475,2.8643,11488.2622,74.1789,286.9409
Chemistry,4.2372,1.4624,11702.1712,89.3511,929.7212
Chemistry,8.5459,3.4929,3077.1212,88.4003,883.9741
Chemistry,4.9061,3.1495,8473.7532,27.3314,847.8076
Chemistry,6.5464,4.8172,519.5693,98.4929,135.0547
Chemistry,5.708,1.7112,3285.2551,79.1343,741.8882
Chemistry,10.6716,1.6436,1974.3432,25.5119,79.8232
Chemistry,7.2022,3.8216,9205.7402,90.2176,91.769
Chemistry,13.6503,0.9095,1531.1929,15.9331,176.684
Chemistry,6.9152,3.6446,18704.4525,14.2068,660.4601
Chemistry,12.612,3.7818,12371.8828,87.2867,361.628
Chemistry,8.401,4.3757,15518.4142,92.3966,839.8983
Chemistry,12.3244,3.6154,8465.2345,46.1383,755.9773
Chemistry,9.1674,0.8805,19355.4357,69.4966,765.9556
Chemistry,2.019,1.6903,15097.3892,29.3146,929.8151
Chemistry,1.4076,0.3701,6440.3569,74.0419,607.0892
Chemistry,10.621,3.6141,2737.208,85.4194,874.443
Chemistry,9.5198,3.3139,8833.0408,20.9085,259.9668
Chemistry,6.6938,2.6545,10723.0704,68.435,948.388
Chemistry,6.7658,5.0,10544.0935,87.977,895.0776
Chemistry,9.7084,1.5119,18451.3653,76.5408,381.9892
Chemistry,7.8052,4.3446,13777.069,80.1674,287.2107
Chemistry,2.9406,0.8344,9298.3605,24.341,304.0235
Chemistry,12.5077,4.8633,14396.3574,84.3832,490.3544
Chemistry,9.4374,1.3958,7380.2327,53.4048,646.3789
Chemistry,9.0473,3.9662,15670.5742,3.0654,495.4304
Chemistry,6.4899,0.4818,17486.6614,66.3666,495.8256
Chemistry,13.345,2.0754,19188.557,74.8608,76.5338
Chemistry,0.0,4.713,1564.3215,76.5959,866.4634
Chemistry,10.2703,1.5588,5779.6348,89.2571,206.974
Chemistry,13.827,3.667,3448.0597,12.9842,708.8024
Chemistry,8.1732,2.3711,13426.4947,21.3017,303.9498
Chemistry,8.267,2.9981,5020.4065,91.5973,494.9088
Chemistry,11.329,3.1919,9028.8957,76.3084,5.3985
Chemistry,0.0,2.6552,16004.8787,41.4194,814.3053
Chemistry,1.3982,2.4978,17953.4937,15.353,979.1132
Chemistry,12.0609,0.9668,12479.8428,84.8648,102.6399
Chemistry,9.0107,0.1657,9048.8142,30.8336,182.4456
Chemistry,14.0,3.5422,1159.2419,83.7114,80.6781
Chemistry,5.6513,3.535,14889.9507,54.6249,76.385
Chemistry,6.2095,3.7833,14259.3878,54.7759,518.2265
Chemistry,9.1375,4.8631,4638.547,56.5538,142.2656
Chemistry,2.7177,0.898,14237.0244,42.9188,258.6149
Chemistry,4.1365,4.2667,4810.3779,8.0387,451.8922
Chemistry,11.9692,1.3402,14204.3399,58.5572,484.4995
Chemistry,11.4843,2.6209,3080.3899,42.3511,298.5722
Chemistry,7.6457,1.3383,17831.5082,46.4414,1000.0
Chemistry,4.8718,0.8638,7723.4834,58.3824,89.0357
Chemistry,8.7582,0.2083,12947.7139,12.643,189.64
Chemistry,2.1505,1.7098,3800.629,24.8419,421.117
Chemistry,6.1211,4.9252,17529.5391,27.626,299.4047
Chemistry,6.6917,2.2595,19034.2664,39.6569,810.3438
Chemistry,6.2009,0.3832,5862.3825,9.6389,192.6079
Chemistry,5.8328,3.4158,4587.8904,15.6389,710.9598
Chemistry,4.9278,1.3548,10910.6878,25.3122,127.413
Chemistry,8.2742,0.3949,19167.3313,70.2221,278.9791
Chemistry,5.409,4.0944,15021.2881,67.0408,723.5961
Chemistry,8.4093,2.1683,20000.0,1.5232,114.9693
Chemistry,7.2297,4.9344,17257.5799,10.5533,949.9662
Chemistry,4.6521,3.6395,13295.9742,53.304,343.0852
Chemistry,10.8318,1.4991,3903.5966,43.8949,371.3754
Chemistry,0.3453,4.7606,17353.6629,25.4615,235.6619
Chemistry,4.1155,4.371,12020.6788,48.5364,882.4311
Chemistry,7.0351,1.525,9636.7957,20.2474,628.5275
Chemistry,12.73,1.4392,9331.5144,12.3674,56.4316
Chemistry,1.1994,2.6,19228.2455,7.7309,939.3734
Chemistry,7.6808,2.6726,425.2237,7.2116,906.1883
Chemistry,2.3236,3.0916,14985.4338,19.5913,535.876
Chemistry,0.7734,1.175,14698.6202,78.7199,319.4961
Chemistry,12.2532,0.3139,1605.979,77.7352,191.4446
Chemistry,11.7394,2.7434,19663.9843,90.7994,265.0478
Chemistry,3.7248,3.0486,10122.9702,68.4345,847.9142
Chemistry,12.0223,4.9515,13978.9344,37.9222,193.6268
Chemistry,5.495,2.5554,9322.8392,14.6798,132.1036
Chemistry,0.1861,0.8687,6422.9999,22.4532,331.2781
Chemistry,3.1583,1.4455,11853.1637,45.1434,297.8609
Chemistry,8.9776,0.2391,17647.3689,27.2178,714.6317
Chemistry,2.9465,0.0913,13543.9421,30.0993,383.2075
Chemistry,8.2941,2.3178,12706.4245,96.5972,205.9165
Chemistry,2.7228,3.3566,6794.1188,33.7984,139.3969
Chemistry,3.0185,4.9885,3895.1439,14.7163,521.3337
Chemistry,8.7824,3.2298,13110.091,39.0456,947.0014
Chemistry,11.8705,0.884,3040.0145,3.7284,437.2018
Chemistry,10.1705,4.4063,8854.0836,63.9794,70.4929
Chemistry,1.447,4.2922,4885.042,72.735,266.3971
Chemistry,13.0316,1.8678,14140.7397,41.2736,326.6583
Chemistry,2.1354,2.596,9953.3908,52.8233,622.4742
Chemistry,10.3518,2.5246,1823.5188,87.2017,904.8052
Chemistry,9.9792,2.1674,11592.9367,18.926,945.3439
Chemistry,6.3416,1.5954,12530.5043,18.5419,207.3115
Chemistry,8.1721,4.9648,5393.6902,28.4094,864.8093
Chemistry,1.5363,4.5875,7158.9898,21.1346,111.5628
Chemistry,14.0,1.6952,16918.9265,86.9884,544.8845
Chemistry,0.9785,3.0588,2467.3537,7.0177,329.1286
Chemistry,12.772,0.3657,19475.4808,5.2367,107.0698
Chemistry,4.0321,3.8533,4075.0242,96.3754,213.0447
Chemistry,5.3259,4.1812,5473.2539,39.2609,308.4666
Chemistry,11.348,2.438,7705.4334,49.8431,761.4166
Chemistry,12.2512,0.3453,19572.5473,58.1016,993.1081
Chemistry,9.7471,2.9146,17997.7154,81.8034,0.0
Chemistry,1.7833,0.3044,14772.1814,71.0699,778.6591
Chemistry,4.5143,4.0384,16318.3765,34.6787,507.036
Chemistry,8.4747,2.8196,10018.4728,80.0956,118.9876
Chemistry,13.5588,4.0993,18355.154,74.3202,246.524
Chemistry,5.8499,1.8528,2948.2931,87.3685,444.8164
Chemistry,4.1123,1.2577,10463.59,27.5866,747.0597
Chemistry,3.9183,4.7596,16579.9235,10.0571,211.2466
Chemistry,11.8978,4.6871,11712.0545,11.9466,610.062
Chemistry,2.1678,0.3853,16678.9431,47.5282,276.3404
Chemistry,9.276,4.3332,3489.4153,25.9181,819.3003
Chemistry,12.2081,4.6233,1130.7321,3.8928,284.7205
Chemistry,11.5792,2.3018,11509.8681,86.5273,805.9302
Chemistry,1.7383,4.5398,13855.4754,88.9014,336.1354
Chemistry,11.0879,2.4294,10917.249,38.7803,552.9966
Chemistry,12.3283,0.3064,7326.1706,12.7199,811.9153
Chemistry,10.9988,2.6719,14471.669,23.0115,99.9222
Chemistry,9.957,4.647,18615.2945,66.8658,140.2353
Chemistry,7.3065,2.576,11840.3685,68.595,942.559
Chemistry,10.6616,0.9771,3277.058,70.6179,168.8475
Chemistry,8.2304,2.0679,10096.836,85.9222,902.9156
Chemistry,5.7978,0.5005,15543.3697,88.5296,491.5261
Chemistry,6.4759,2.9148,4242.3298,98.9644,124.0079
Chemistry,9.418,3.1436,8752.4898,37.3603,439.8473
Chemistry,7.8974,3.3035,12812.8826,91.7306,521.4002
Chemistry,9.6846,0.2214,2058.0168,63.3141,154.5212
Chemistry,13.6658,4.197,3816.7389,12.9345,748.9379
Chemistry,4.1772,4.6384,14004.1235,60.9049,108.4596
Chemistry,14.0,1.4524,6937.4894,41.9072,126.6825
Chemistry,1.0925,3.9176,2262.2113,6.4435,544.564
Chemistry,8.4249,2.3899,14902.2292,23.13,855.3635
Chemistry,13.2965,2.6227,4264.1665,71.9298,620.2513
Chemistry,1.5487,1.3492,2196.5179,33.0646,35.0443
Chemistry,14.0,4.5159,12378.996,65.0755,428.022
Chemistry,13.1126,4.8646,18541.8762,93.9937,732.8365
Chemistry,11.8697,3.4386,10132.7644,57.2511,274.3443
Chemistry,6.8917,0.8999,4865.7638,94.8588,683.0005
Chemistry,3.3453,2.6382,11591.67,34.534,402.5935
Chemistry,1.1249,1.4712,12765.8138,88.8759,961.6471
Chemistry,0.8384,2.1964,18437.0417,94.8851,501.2307
Chemistry,8.2573,3.3044,19617.2274,55.018,830.3749
Chemistry,9.7953,0.444,6135.3649,37.7481,340.6692
Chemistry,3.2227,1.0241,14754.6754,35.8019,694.6569
Chemistry,6.1885,3.7415,16857.5685,41.603,339.1057
Chemistry,7.5308,0.256,12450.8601,62.429,293.6401
Chemistry,12.8343,3.1353,17031.8434,42.5244,157.8806
Chemistry,1.7736,1.4655,10235.6439,76.5637,664.364
Chemistry,11.3634,4.6353,11838.8598,71.0806,455.1779
Chemistry,10.7096,4.0748,1288.9628,34.6516,370.9228
Chemistry,9.3151,4.7098,7556.426,81.7104,79.5724
Chemistry,3.5843,0.4292,1371.1354,74.6831,658.1677
Chemistry,0.5536,5.0,15238.5333,67.9846,681.9384
Chemistry,10.7651,0.7493,8094.2046,17.8591,327.9467
Chemistry,7.825,4.088,17900.9345,53.4032,668.0252
Chemistry,8.4942,1.8508,1463.1767,45.6921,889.8362
Chemistry,12.102,4.9091,537.6946,0.6396,329.2089
Chemistry,1.8693,0.1236,7749.5903,99.3385,707.4055
Chemistry,3.3165,3.4485,19951.5076,69.9392,860.0328
Chemistry,5.5553,4.9132,18879.028,33.1141,447.9003
Chemistry,5.0376,3.4363,14020.4636,57.9184,158.6791
Chemistry,13.2768,3.6414,5419.2235,87.8771,26.2753
Chemistry,4.7482,3.4496,8667.0353,0.0001,699.6623
Chemistry,12.9647,5.0,18942.1887,20.4237,502.9908
Chemistry,7.3382,3.5793,15426.119,94.1593,172.5306
Chemistry,1.3519,2.7587,13809.509,0.0001,32.1227
Chemistry,9.276,1.1743,18554.3363,56.1445,405.6805
Chemistry,10.7125,4.1248,13873.5793,51.4983,428.5035
Chemistry,2.47,0.9801,6481.3758,100.0,961.4544
Chemistry,5.7772,0.2878,11052.6364,44.2776,158.797
Chemistry,1.7716,3.8772,5425.5791,96.9983,204.6309
Chemistry,2.3366,1.7883,10828.9907,0.5145,955.7937
Chemistry,10.0742,1.0767,19520.7739,33.3625,109.2298
Chemistry,6.7732,3.9706,10195.6096,26.1506,829.8332
Chemistry,0.3073,4.3333,10312.8311,15.1678,814.9701
Chemistry,12.8758,0.4226,5975.6189,97.8831,247.5148
Chemistry,9.8055,1.9354,4604.6968,94.6081,362.2486
Chemistry,0.5093,0.0601,1990.1489,16.3983,895.0504
Chemistry,10.3053,4.158,13841.752,50.5054,625.6116
Chemistry,11.7941,0.1713,11885.5575,10.7812,840.7521
Chemistry,5.7209,1.8988,10392.8706,10.4163,856.9673
Chemistry,10.7899,4.5666,18620.3625,72.4248,502.3048
Chemistry,3.9951,3.1148,13445.2458,85.8219,60.0682
Chemistry,2.0815,3.8613,7397.7902,59.7219,546.5338
Chemistry,13.5439,0.7283,5403.9977,12.5325,0.5064
Chemistry,0.0,0.5208,9840.0873,85.076,315.5383
Chemistry,7.2879,1.6786,6425.5734,87.0981,144.8511
Chemistry,1.032,3.3972,6259.5688,56.2533,408.413
Chemistry,8.6819,0.9981,13164.1151,40.1836,113.5482
Chemistry,0.1249,0.3283,5481.0558,40.6794,368.4675
Chemistry,0.7039,4.8104,662.6572,66.4501,45.2714
Chemistry,10.0771,1.352,7295.6162,93.2214,289.736
Chemistry,11.3717,3.1487,18889.7573,92.0879,404.9806
Chemistry,11.0785,3.282,12849.5034,79.4727,213.2069
Chemistry,2.2017,0.1123,10892.6791,32.5472,987.1663
Chemistry,0.0483,2.7711,9839.7256,43.1903,294.9984
Chemistry,10.0482,1.0496,16366.5014,71.1204,623.9516
Chemistry,2.9785,0.3961,2344.4737,68.6329,285.0282
Chemistry,4.0501,1.9505,5800.6371,91.1407,801.3
Chemistry,4.0602,3.9416,11142.3917,78.4377,721.4222
Chemistry,12.8266,4.9241,13005.4672,96.6022,791.5165
Chemistry,12.2642,2.5194,5554.9066,23.2788,155.2641
Chemistry,6.6034,4.4297,16788.7074,90.9735,352.0688
Chemistry,11.4145,4.7779,6485.0532,93.8218,167.9607
Chemistry,11.0105,2.2406,672.0294,92.9456,691.8486
Chemistry,6.9408,0.8126,10347.0959,15.2906,654.3111
Chemistry,1.1971,1.3926,18653.9395,92.9995,962.2084
Chemistry,10.6606,2.135,6430.7266,73.736,875.7026
Chemistry,9.6355,2.2572,6270.0805,40.0592,966.5327
Chemistry,2.2332,3.1833,10224.7478,45.0631,610.2209
Chemistry,6.7504,3.1928,3626.2612,8.9515,142.7894
Chemistry,10.8096,2.7324,12711.5162,40.4839,912.9528
Chemistry,10.8258,1.0526,9047.8528,26.3152,864.0516
Chemistry,13.5124,1.8364,7631.9581,67.4912,434.235
Chemistry,6.7997,2.0908,13930.4141,50.7434,529.5743
Chemistry,11.9818,3.4588,3884.302,95.882,105.1548
Chemistry,0.0,0.6282,19625.3664,63.4365,353.9079
Chemistry,8.9714,1.4075,10695.7835,78.9601,820.6818
Chemistry,3.8339,1.3712,3529.5543,80.8499,1000.0
Chemistry,2.2394,2.5215,1599.9888,11.3039,512.9543
Chemistry,10.2441,3.7426,14744.7128,79.3748,258.4275
Chemistry,5.4095,4.2426,4444.1116,18.3367,764.1743
Chemistry,8.4516,3.7519,14939.1935,22.5085,872.9354
Chemistry,11.8949,3.8156,14375.0716,48.116,629.7432
Chemistry,7.4697,1.1034,19532.1657,49.3173,493.3282
Chemistry,6.3366,4.2545,2432.7443,96.6046,887.7944
Chemistry,8.3627,0.3086,12204.6325,45.2714,651.8117
Chemistry,13.9062,2.736,14338.8475,42.4457,0.0
Chemistry,1.9389,0.4878,3856.3287,81.1283,972.3189
Chemistry,3.8491,3.024,15395.0999,29.4841,709.5889
Chemistry,12.744,0.1327,10316.4794,80.4227,506.6138
Chemistry,13.9976,3.1447,7460.9162,28.4803,7.0324
Chemistry,7.022,0.2159,7228.5483,37.4182,22.1199
Chemistry,0.0,0.8399,7440.1891,88.409,982.8804
Chemistry,11.5733,3.8784,15733.8635,46.8238,787.6505
Chemistry,8.4988,1.6022,19910.8361,91.1562,66.0338
Chemistry,7.3693,4.3703,13362.2985,35.6773,755.3534
Chemistry,13.0935,0.7061,4188.9085,11.0773,158.5549
Chemistry,2.4234,2.5157,2080.3912,76.9927,355.0578
