Application,Soil_pH,Moisture_pct,Nitrogen_mg_per_kg,Yield_ton_per_ha,Pesticide_Use_kg_per_ha
Agriculture,5.6032,18.8594,146.8791,9.1496,0.4943
Agriculture,3.5767,29.3078,59.7449,8.2504,0.7896
Agriculture,6.7873,36.5411,76.0763,3.1815,1.5327
Agriculture,3.5,51.5873,44.1233,10.2717,0.4208
Agriculture,7.9139,12.4585,15.1282,2.5002,4.4262
Agriculture,5.3361,7.7676,44.3054,0.9898,0.0818
Agriculture,3.7979,57.6902,164.8282,8.5356,2.3359
Agriculture,6.7671,7.0058,143.1906,6.047,0.8346
Agriculture,5.5786,25.6708,104.4942,10.1019,1.5954
Agriculture,8.7627,35.9523,95.303,4.5395,4.5722
Agriculture,6.6306,32.6339,179.3128,2.0064,0.7473
Agriculture,5.0995,4.895,11.7642,9.652,4.8199
Agriculture,7.3976,5.8778,52.4477,6.7884,1.005
Agriculture,4.9472,5.5191,74.9459,2.0004,3.8195
Agriculture,8.2505,34.6516,154.9002,8.4106,2.752
Agriculture,5.4432,35.0506,200.0,5.7413,4.3492
Agriculture,6.7345,13.026,50.5506,7.3106,2.959
Agriculture,3.6373,37.6063,184.076,5.6031,2.6777
Agriculture,5.8645,49.0276,160.2068,9.9017,1.0542
Agriculture,8.1888,3.5036,49.9684,9.7428,0.7703
Agriculture,7.793,30.1372,84.4523,8.2941,4.6188
Agriculture,4.7541,39.8075,78.0411,1.5533,1.6703
Agriculture,4.8466,14.5001,199.6727,9.9685,1.6714
Agriculture,7.9966,17.7374,37.523,8.1926,4.0006
Agriculture,8.9327,36.7256,158.9217,8.216,1.8232
Agriculture,3.8409,54.3871,63.5428,4.5259,4.7206
Agriculture,6.0918,49.0973,143.2976,10.8831,3.5794
Agriculture,5.337,32.8566,92.2014,8.8977,3.0219
Agriculture,8.3737,45.09,115.6747,1.4312,4.4131
Agriculture,4.0079,22.1924,169.6509,5.0725,0.2836
Agriculture,4.5805,40.1194,157.6695,10.6025,1.3045
Agriculture,7.6638,28.5039,170.1652,0.7588,2.3758
Agriculture,3.5777,12.7178,16.2514,11.4679,1.2796
Agriculture,6.2753,42.6642,133.0118,8.1753,3.7763
Agriculture,5.9644,35.0033,26.3366,7.7003,4.4911
Agriculture,5.4095,22.144,83.2998,3.1582,2.2551
Agriculture,5.7865,54.5629,110.1632,2.896,1.8747
Agriculture,6.4551,3.983,79.8315,10.9886,5.0
Agriculture,4.4038,20.0132,105.5056,3.342,2.1119
Agriculture,6.5491,4.1014,200.0,9.0637,2.4695
Agriculture,7.8515,44.4601,29.982,4.8765,1.55
Agriculture,7.8114,40.5805,131.148,1.6325,4.6031
Agriculture,4.5044,20.2324,78.0636,0.4477,2.79
Agriculture,4.2947,40.7144,31.381,6.6304,4.0032
Agriculture,4.98,23.0193,35.3259,11.2496,3.9816
Agriculture,5.3864,45.5444,184.3632,4.7104,1.5403
Agriculture,5.8755,29.1574,177.3262,4.6062,2.1213
Agriculture,7.3115,25.5713,173.4955,4.0257,4.0448
Agriculture,4.0253,54.7146,198.4943,6.4416,1.8914
Agriculture,3.5941,14.9189,49.2541,5.1977,3.7632
Agriculture,5.6139,6.2609,67.2963,10.606,4.7078
Agriculture,7.3599,34.6073,130.5065,5.8667,2.9083
Agriculture,4.635,57.663,99.8166,5.7684,3.6761
Agriculture,7.0046,22.0972,77.5067,1.7424,4.1898
Agriculture,4.833,2.216,69.0312,11.7671,4.2613
Agriculture,8.4704,20.2051,121.1419,3.0558,1.8889
Agriculture,8.5056,29.6832,112.5815,0.7863,0.2532
Agriculture,5.0343,6.2,31.3477,7.9307,2.0112
Agriculture,4.9141,41.9497,97.3247,7.2889,3.416
Agriculture,5.8909,60.0,112.3805,5.0881,2.1151
Agriculture,4.8377,26.6528,115.1247,5.2249,3.8041
Agriculture,7.2069,21.3063,40.6649,9.3056,1.5145
Agriculture,8.1043,22.6363,149.9345,2.7859,3.1107
Agriculture,7.1072,8.9436,4.5449,9.6014,0.8833
Agriculture,8.0372,55.2732,72.7976,7.9703,3.8102
Agriculture,5.4467,25.0776,154.0548,5.4228,2.7307
Agriculture,4.4562,24.4647,112.0483,5.7182,0.8798
Agriculture,7.387,39.7918,48.2727,3.1806,1.3611
Agriculture,5.648,24.9179,138.8506,8.9503,3.7629
