Application,Velocity_m_s,Acceleration_m_s2,Force_N,Mass_kg,Energy_J
Physics,-169.5447,5.3723,-1278.2482,6274.3229,2354549.0601
Physics,81.704,-8.4935,1174.2248,8499.1505,1003112.1566
Physics,198.287,-39.7628,-8360.4224,5515.7289,3415385.2705
Physics,-161.6747,31.7229,4531.716,4334.8917,345168.4089
Physics,-87.671,44.4631,-9546.5283,9930.1286,2136859.9307
Physics,15.7061,26.1504,6345.7074,5786.852,7380018.9728
Physics,-188.0726,31.7319,6223.4608,8639.4096,3377010.1991
Physics,181.5218,-31.7602,-5382.8428,10000.0,6689882.84
Physics,161.3187,-23.809,-3365.7379,6943.5244,7138437.9748
Physics,-209.604,-27.5004,-106.0171,5305.0225,6271847.2522
Physics,-18.6907,28.3976,1888.4076,55.1071,9298709.0645
Physics,154.9585,45.8004,-5018.2629,333.1687,472225.0333
Physics,-89.3744,20.6011,1463.7099,1981.4461,7517807.819
Physics,72.1938,34.193,-3685.6587,1614.1861,9491961.4405
Physics,-271.7474,12.8795,-9986.3561,2465.2041,8948580.997
Physics,73.4545,-11.8427,-9474.4781,3411.6582,1309304.8956
Physics,-216.1101,-8.0497,-7768.4868,3716.4708,3163849.7311
Physics,191.5178,-41.2307,6371.4844,3707.1452,1482821.9579
Physics,-79.6303,-42.8829,9149.1986,1232.009,6095500.3311
Physics,-141.3605,19.7946,-2285.2382,641.5462,6899266.9996
Physics,199.9159,-6.5906,425.8241,6667.5878,3257350.483
Physics,-263.2447,4.7031,-6553.1754,5516.8014,5357778.4567
Physics,-37.3856,6.0149,1390.5158,4269.5628,6813334.9122
Physics,-70.733,-23.919,-7371.9786,6250.3486,4291127.6153
Physics,-123.4481,-2.1704,2258.9911,8576.5035,8486430.9798
Physics,253.4222,-2.0224,8452.0388,4222.5837,7497772.3843
Physics,137.6788,-10.7379,-6413.7358,6037.2487,1206930.0364
Physics,-260.2589,32.9826,5673.4298,9523.0616,6113819.5543
Physics,128.4553,-4.0161,-10000.0,8380.5274,1909733.6936
Physics,20.2385,6.8207,-2847.5817,4499.6824,5406762.9087
Physics,241.9188,40.8258,-8226.6401,6450.036,9315429.0887
