Application,Units_Produced,Defects_count,Machine_Time_hours,Labour_Hours,Cost_USD
Manufacturing,63203,391,858.5801,3129.4227,554876.8484
Manufacturing,70597,183,610.9782,9397.7949,389756.0005
Manufacturing,67394,16,365.9403,9220.1276,1000000.0
Manufacturing,25489,964,963.7619,107.6563,287559.5114
Manufacturing,79214,11,426.2272,2044.6004,298933.3875
Manufacturing,84886,165,951.5645,10000.0,851457.2912
Manufacturing,13346,145,171.5482,4898.4439,0.0
Manufacturing,48005,281,879.7747,5692.9265,185191.8866
Manufacturing,6773,990,15.2128,1608.5032,593074.8935
Manufacturing,95001,548,550.4443,8973.8964,183009.5588
Manufacturing,75324,581,406.9344,2285.9101,992012.2356
Manufacturing,32343,168,523.2002,2084.2938,461129.9888
Manufacturing,74783,846,536.3304,2343.393,576719.847
Manufacturing,45963,169,397.0481,9217.8174,174480.0917
Manufacturing,41983,764,968.6446,7020.1206,308650.5536
Manufacturing,35972,345,979.812,7497.599,620590.4548
Manufacturing,16959,498,966.567,3770.2331,528507.0008
Manufacturing,89343,459,1000.0,8962.4645,800538.128
Manufacturing,34133,296,757.9235,7963.3897,293778.0734
Manufacturing,89754,942,1000.0,7464.2018,684202.4841
Manufacturing,51150,141,907.4939,10000.0,282221.5656
Manufacturing,21734,896,452.4789,3409.5782,595478.7169
Manufacturing,88364,784,802.8824,5489.6328,594340.3325
Manufacturing,17400,736,893.197,9152.8296,103391.8826
Manufacturing,20002,694,725.7629,7780.2401,580297.1943
Manufacturing,98329,732,409.4693,5666.0017,23229.6438
Manufacturing,36492,52,64.0273,515.0093,527065.704
Manufacturing,97753,117,786.2032,6909.0263,673025.3868
Manufacturing,93468,364,939.1689,5188.2533,78601.1105
Manufacturing,30875,670,380.4028,1700.2155,948876.7977
Manufacturing,25046,957,160.6652,9200.6297,442111.9595
Manufacturing,23664,135,346.9884,3600.5546,968173.0449
Manufacturing,24453,413,554.6661,4152.7011,102488.0213
Manufacturing,4746,76,279.5202,6689.5801,958975.3003
Manufacturing,89509,847,632.653,4897.3694,98191.9318
Manufacturing,13217,961,987.4057,773.4655,437607.6481
Manufacturing,63184,556,674.9652,3731.7217,956253.2686
Manufacturing,88898,17,371.0439,1024.3089,240289.6213
Manufacturing,41835,866,953.0537,1833.8136,39530.0146
Manufacturing,9133,940,569.2658,515.9082,787547.3019
Manufacturing,40533,402,139.1057,1981.6359,602920.2305
Manufacturing,5404,204,515.2775,3681.1259,539245.9417
Manufacturing,33339,498,651.7662,4936.4483,20667.1936
Manufacturing,28725,323,831.3425,9571.8563,664436.722
Manufacturing,74332,594,944.1178,4926.2794,175673.1569
Manufacturing,45380,561,362.7084,6803.8532,927508.3887
Manufacturing,48073,280,138.5587,3226.2415,652815.8183
Manufacturing,60873,165,65.2138,7564.9178,706794.0378
Manufacturing,86900,242,703.2264,6201.0481,246034.0431
Manufacturing,41341,888,803.8543,4756.924,887233.2864
Manufacturing,1236,478,398.7745,1919.9951,508959.0908
Manufacturing,67916,163,367.9188,3280.4291,882025.2808
