Application,Altitude_m,Speed_m_s,Fuel_kg,Payload_kg,Thrust_N
Aerospace,10915.71,899.6468,72711.3007,48054.6615,591837.4861
Aerospace,5478.9434,841.2797,92642.5668,21698.1814,382035.5964
Aerospace,7330.5779,188.5221,27272.3712,8402.8562,479863.9484
Aerospace,18632.119,567.9306,20049.2695,24859.6817,139734.9755
Aerospace,6572.8817,877.6968,5411.8309,1318.6352,301350.7106
Aerospace,7494.8942,807.4038,28505.2322,26192.1083,821111.2414
Aerospace,4322.3901,968.0095,55072.1628,28524.332,913447.7823
Aerospace,19117.7456,228.8603,81276.6685,19941.0555,609388.445
Aerospace,9141.7133,384.6967,28574.7177,35705.4003,511058.5156
Aerospace,11288.4335,483.6174,61695.8952,5078.9791,746763.2259
Aerospace,8865.7083,255.8884,50132.0533,44462.8428,591919.8892
Aerospace,4747.8266,364.0046,29025.074,48239.7941,963715.6782
Aerospace,15799.9253,521.0346,52836.6886,0.0,174346.1803
Aerospace,288.663,170.5213,15569.1084,42812.2823,406974.899
Aerospace,13554.8171,245.0387,64527.803,25872.9594,914376.3023
Aerospace,12321.136,130.9641,10740.9165,23070.3619,932421.0522
Aerospace,2638.1562,726.9499,71861.1375,12202.192,496327.5888
Aerospace,2504.4555,359.921,13111.528,19225.4785,103390.7305
Aerospace,13301.1886,194.7139,100000.0,47388.1905,807820.2745
Aerospace,6492.2193,467.3143,85866.6467,10491.6885,587668.6051
Aerospace,5702.2678,85.1767,31608.0405,10864.8915,792416.2369
Aerospace,1249.5876,937.8583,44007.668,11269.1388,478453.0025
Aerospace,14873.6182,315.885,27222.9403,27555.8443,196974.3152
Aerospace,17333.8669,883.8154,75682.259,47938.6251,17044.4506
Aerospace,16636.9527,510.9832,36597.7268,29254.1923,571020.8817
Aerospace,9904.2983,837.3596,77879.5601,12199.2887,149180.1211
Aerospace,10221.9708,256.6763,3990.3771,22984.9366,204244.496
Aerospace,4930.291,165.677,14465.0758,18727.2837,423125.7157
Aerospace,3235.1186,833.1268,35457.4945,4053.7821,473099.8256
Aerospace,16130.3955,217.5638,13069.7642,26174.5879,279092.5413
Aerospace,15980.8819,749.7908,58439.6292,4674.3556,92729.2939
Aerospace,15493.7377,362.816,7924.4841,41506.9919,957761.5495
Aerospace,8457.3323,722.5024,89240.7139,25290.6126,136737.4343
Aerospace,17370.7921,926.1886,78493.76,43026.0955,360495.6575
Aerospace,18655.8797,984.2363,22311.2643,48365.7437,349905.7917
Aerospace,6865.8156,381.1687,43284.4059,46699.1389,861112.3671
Aerospace,4264.8077,388.6785,44811.7463,6221.8238,379013.0995
Aerospace,8650.1276,932.717,76016.2216,47157.3252,149394.2525
Aerospace,3418.0033,882.5008,42025.003,42410.7457,0.0
Aerospace,17962.4282,66.9534,4164.1579,37683.4699,707021.631
Aerospace,6729.4637,548.2837,26011.896,5148.117,715342.9998
Aerospace,11863.1587,150.0072,48668.3923,8578.3333,399808.6737
Aerospace,11374.0286,1000.0,94303.2864,48081.128,125032.5112
Aerospace,10624.5965,141.1952,87774.1948,10495.444,368917.824
Aerospace,3230.1323,546.4992,21620.3735,8819.6687,620598.8749
Aerospace,19678.0521,693.974,70718.8535,18175.8803,655508.2262
Aerospace,3880.2058,943.1155,94900.926,46345.4927,79986.9738
Aerospace,15126.1569,805.5399,0.0,24416.6493,537892.6713
Aerospace,15433.5748,225.4031,70790.1624,47480.6103,264873.7279
Aerospace,3296.0238,593.4707,46292.2752,15515.7234,630868.1409
Aerospace,18566.5846,954.29,68730.8597,9769.1023,658500.508
Aerospace,9769.9538,721.3222,64693.8171,24692.3844,917460.0133
Aerospace,12232.3417,697.3861,97458.4478,29980.2403,385222.5477
Aerospace,12823.0501,742.747,30070.4133,20448.8922,561314.3071
Aerospace,9720.6778,297.5642,79747.0635,16233.6984,250700.1081
Aerospace,2771.5634,749.5865,22286.2902,10353.3374,314284.8266
Aerospace,15047.339,256.2054,45472.6915,13417.9924,33045.5611
Aerospace,11878.0263,437.7255,98874.432,35421.4282,306685.5789
Aerospace,1810.9687,859.2368,76066.6789,20601.3083,65863.3567
Aerospace,14407.6388,55.9747,31971.5305,2846.4497,930435.0905
Aerospace,14468.9861,450.6394,60017.7839,4712.0517,617153.2824
Aerospace,10894.1333,292.2827,3198.0338,18044.9796,207195.4258
