Application,WaterLevel_m,FlowRate_m3s,Turbidity_NTU,DissolvedOxygen_mg_per_L,Temperature_C_water
Hydrology,80.3144,183.9884,108.1912,14.3672,21.0756
Hydrology,79.1048,623.8988,214.9469,7.546,35.2916
Hydrology,30.994,2997.7059,361.794,6.2086,-4.4677
Hydrology,71.2676,4507.0104,530.591,9.2945,18.9434
Hydrology,72.4216,4477.0643,653.7644,17.4652,26.716
Hydrology,59.9644,837.4621,348.2402,5.3648,-5.0716
Hydrology,59.8739,2011.784,660.2171,2.1464,-8.9262
Hydrology,56.6182,335.1894,939.7749,18.4473,11.8387
Hydrology,7.4931,2203.8423,639.1722,1.0252,29.7556
Hydrology,69.7738,3752.7784,182.4271,18.5141,-1.2586
Hydrology,45.6987,3982.8266,594.5612,6.3946,30.9138
Hydrology,45.5405,2566.9788,525.494,10.1992,24.0707
Hydrology,84.2801,532.0067,860.2616,2.8478,6.0123
Hydrology,0.639,1821.7121,336.7132,18.1241,15.0311
Hydrology,27.5001,4711.9855,385.7532,15.4171,36.4981
Hydrology,13.0137,1180.1863,583.4194,18.3715,1.0906
Hydrology,0.0,1630.6238,488.9681,13.5315,16.7928
Hydrology,25.8601,3624.4917,737.6882,4.1651,21.5911
Hydrology,93.7059,3574.4574,60.6465,5.9813,-3.8335
Hydrology,26.2719,4742.2345,557.5402,9.359,-7.3107
Hydrology,65.8237,2039.2047,125.7658,11.8459,-8.5266
Hydrology,10.8818,2566.6966,336.629,18.8286,7.3953
Hydrology,62.5977,2332.3735,677.3025,8.7478,-7.5376
Hydrology,99.2743,4861.044,197.5082,13.7064,31.7416
Hydrology,34.1155,3851.1863,314.0301,19.4782,40.0
Hydrology,85.8758,4145.5299,732.0592,3.109,-5.1816
Hydrology,100.0,586.1505,652.7076,17.7055,11.7919
Hydrology,59.3994,3935.867,88.6497,8.6687,-8.1366
Hydrology,30.4021,1996.6095,590.8422,15.1245,-4.2491
Hydrology,66.0538,168.7727,158.2975,5.9876,7.131
Hydrology,84.0149,426.3677,240.1129,6.3458,8.608
Hydrology,16.7569,3516.5795,442.7307,0.2707,37.2579
Hydrology,45.0632,1789.8164,110.8423,19.5129,9.3613
Hydrology,33.1907,4111.1091,955.8456,16.4559,14.7258
Hydrology,28.936,3705.2931,159.219,1.7247,3.3644
Hydrology,85.0483,240.2707,761.6659,20.0,-10.0
Hydrology,40.6891,3274.0277,818.3119,12.477,36.0724
Hydrology,34.3562,924.4019,978.8893,16.241,-6.3212
Hydrology,58.4976,2148.6543,444.0114,1.2841,38.3433
Hydrology,21.0864,3039.5698,883.0281,7.3771,-1.308
Hydrology,21.9267,4190.7735,958.5985,14.1555,20.3656
Hydrology,56.881,2206.1181,165.2266,1.2409,39.8947
Hydrology,38.3789,3985.5437,500.1301,9.9456,-2.9368
Hydrology,27.913,3726.2122,78.0238,8.9029,10.8669
Hydrology,4.284,2179.847,618.5012,4.6464,28.0198
Hydrology,51.1735,2660.2924,608.5011,6.1345,-6.3313
Hydrology,83.6605,3505.3807,200.3354,20.0,24.0828
Hydrology,84.6289,228.6909,801.9968,6.1401,-7.5038
Hydrology,20.8956,4306.1381,25.7844,3.5333,1.6706
Hydrology,62.8259,3834.923,798.3631,11.2859,-1.6393
Hydrology,86.1154,1189.189,14.105,13.5004,35.159
Hydrology,41.7136,4947.0555,670.5806,15.0642,-1.0259
