Application,Distance_km,Delivery_Time_hours,Fuel_L,Load_tonnes,Stops_count
Logistics,1044.6124,13.3553,1354.4199,58.765,0
Logistics,436.7732,220.269,4532.1502,47.7156,62
Logistics,459.7856,188.7471,1313.5663,54.4167,6
Logistics,68.2644,29.894,2165.2518,47.1077,57
Logistics,1901.2044,50.2771,4845.746,43.1324,85
Logistics,1676.3649,164.0927,4318.6595,96.2789,49
Logistics,764.6013,211.7072,1432.799,48.2687,33
Logistics,1822.7435,112.8891,1602.2285,9.6618,50
Logistics,1308.1769,112.8619,3095.6774,76.8568,9
Logistics,1482.2047,72.0928,4525.0855,40.1751,25
Logistics,1361.1608,95.4492,0.0,73.866,31
Logistics,1477.9154,65.7026,1871.1634,57.6327,41
Logistics,322.4732,77.5148,4261.247,70.5109,90
Logistics,1109.4028,7.0049,1890.6813,7.0589,61
Logistics,1663.7388,0.7872,3672.3972,0.0,11
Logistics,17.4147,166.7002,3301.505,39.2719,39
Logistics,270.6692,156.9756,979.0742,67.5924,86
Logistics,557.9594,74.6689,2329.8712,25.7201,77
Logistics,598.4878,199.0755,2780.7114,44.9196,33
Logistics,371.4877,64.5647,3442.9971,99.9132,80
Logistics,1245.823,96.3893,4102.8655,23.3668,69
Logistics,573.1159,175.6931,3750.3352,83.8759,26
Logistics,340.0609,170.2184,262.7359,82.0259,7
Logistics,1851.0536,213.5771,3435.3872,85.7514,96
Logistics,1343.9318,6.2938,2537.2102,94.5032,98
Logistics,534.382,41.6801,2871.4642,48.1557,46
Logistics,787.532,157.627,1842.9485,68.1637,80
Logistics,1441.5458,79.1215,3547.7246,64.3392,25
Logistics,1618.8383,12.6674,3198.4769,33.9633,56
Logistics,419.0784,137.0496,2897.7271,27.4771,6
Logistics,1901.8358,98.3142,4228.7772,30.7448,87
Logistics,1563.7236,91.2391,500.9382,22.3079,88
Logistics,1744.9095,61.3466,1510.3325,76.4046,98
Logistics,256.0892,2.2694,2427.0923,97.3052,25
Logistics,275.0954,43.7291,4886.3339,86.1661,58
Logistics,582.1411,113.2688,252.3221,21.5179,68
Logistics,76.3671,60.5493,1635.9902,3.8035,46
Logistics,184.7032,204.8407,4596.6142,76.0268,34
Logistics,299.4269,32.5571,4605.2841,40.625,29
Logistics,1451.6278,210.4244,4329.334,82.9878,49
Logistics,1.0,92.9783,1540.2139,77.8357,88
Logistics,174.7105,66.3434,4321.2302,64.7886,23
Logistics,1891.5755,62.1153,2474.491,26.047,29
Logistics,124.6221,79.2979,3186.4103,10.4656,83
Logistics,1057.6191,121.9947,1233.9045,25.4202,53
