Application,Speed_kmh,Fuel_Usage_L_per_100km,Distance_km,Load_tonnes,Idle_Time_min
Transportation,76.7614,17.3715,1017.8626,26.8829,582.162
Transportation,4.1349,9.5563,1648.0351,6.5345,413.3339
Transportation,91.039,38.0512,825.0446,36.2767,376.7337
Transportation,114.9036,22.7542,362.9729,20.5072,293.8142
Transportation,19.6967,29.6659,618.9287,14.0394,207.9474
Transportation,85.1307,17.8277,1028.8197,19.4168,212.6393
Transportation,81.8853,15.8019,1072.7331,23.8581,374.0157
Transportation,20.6298,18.3159,1643.5223,16.6718,446.8441
Transportation,15.9469,18.4779,1572.1526,12.0912,431.1394
Transportation,137.0824,20.8816,1131.8084,19.8838,115.3552
Transportation,58.8788,23.8644,1537.4891,1.7084,300.715
Transportation,26.4236,22.4576,383.6991,36.61,481.4799
Transportation,24.0501,7.2099,57.8577,8.8816,273.4149
Transportation,95.214,20.6353,1727.2708,1.9052,311.7128
Transportation,85.864,8.9237,130.5578,31.8464,448.2094
Transportation,93.7649,7.1076,578.4302,37.9543,386.1275
Transportation,12.1127,37.6736,1279.7213,40.4769,211.4066
Transportation,124.5781,23.9427,811.7705,21.0744,543.7826
Transportation,56.1558,26.5739,1821.6646,9.5671,122.1906
Transportation,44.1498,19.0054,600.9033,35.9856,599.0837
Transportation,63.6375,35.9454,53.9767,35.5184,54.3163
Transportation,56.0545,27.5236,605.3741,11.508,1.2567
Transportation,119.0737,31.7222,1129.5003,44.9553,528.5048
Transportation,128.3852,15.298,662.267,6.7608,134.7611
Transportation,41.0051,38.9906,1078.0098,50.0,448.142
Transportation,124.7396,33.27,1722.1859,43.9147,496.3323
Transportation,100.3944,34.259,1792.967,33.8951,501.5264
Transportation,131.4208,9.5525,512.063,47.4805,600.0
Transportation,34.501,13.3769,994.1257,35.8817,194.7456
Transportation,76.0678,14.0918,1194.5218,9.3268,448.9767
Transportation,39.3035,13.8955,1906.9179,22.5175,103.6225
Transportation,116.7053,34.9521,1978.645,2.9782,233.2617
Transportation,2.3964,3.1618,423.8043,20.9759,542.6737
Transportation,71.6496,5.4652,1472.7277,36.92,216.3444
Transportation,51.3144,15.3127,827.437,19.9405,347.5476
Transportation,43.1101,10.9314,6.4225,17.9703,306.1889
Transportation,92.2093,13.3321,0.1,30.7994,380.5862
Transportation,121.2828,33.5565,947.9866,42.2013,588.5252
Transportation,82.8326,24.0146,1016.135,2.8241,17.6004
Transportation,121.2935,3.4366,0.1,20.1242,341.5119
Transportation,35.9642,18.8579,1380.9452,8.8039,533.2443
Transportation,66.9304,16.8058,606.1255,33.6544,288.1449
Transportation,66.3448,7.2293,1116.9061,4.6292,48.8155
Transportation,0.0,28.9131,570.2788,34.2349,342.0267
Transportation,75.5611,28.5339,374.9874,13.5473,213.2923
Transportation,91.4848,29.9779,798.2724,9.6461,73.1024
Transportation,83.6303,30.5836,405.219,48.3935,516.435
Transportation,102.9188,3.0,987.6736,0.8784,309.742
Transportation,81.5221,37.9611,448.1686,21.1621,561.9655
Transportation,5.5945,32.3725,1041.5264,0.2037,496.3293
Transportation,14.2237,35.8389,318.3601,24.5124,401.4528
Transportation,83.1816,3.0,1324.3722,23.7192,0.0
Transportation,43.8112,36.8864,1486.7411,15.8358,233.4689
Transportation,10.8316,34.0126,177.8501,6.9413,111.9019
Transportation,63.183,33.2997,918.4007,20.1185,562.4439
Transportation,77.7131,6.5452,57.0371,34.2807,103.3033
Transportation,44.6702,29.9627,1166.964,38.4057,155.5545
Transportation,100.1699,39.3893,516.4453,27.7159,304.2739
Transportation,89.6563,29.0765,1079.6901,29.1922,140.1638
Transportation,48.2848,24.7502,1033.3733,8.7951,112.4166
