Application,CO2_ppm,PM2_5_ug_per_m3,Temperature_C_env,Noise_dB,AQI
Environmental,933.4125,467.9493,-20.648,128.9429,397.1722
Environmental,610.1527,151.8301,-2.4249,29.4217,134.368
Environmental,875.017,278.4041,4.5122,110.9034,420.0663
Environmental,300.0,419.965,8.6986,23.1997,28.446
Environmental,509.0313,205.8942,-3.8682,76.1502,472.5573
Environmental,977.3223,403.3026,-28.4803,76.7579,47.0647
Environmental,609.2844,363.9263,-17.4681,100.515,400.9185
Environmental,926.1099,453.9162,-21.489,62.7685,271.9047
Environmental,526.3549,157.6203,4.6216,116.1846,216.4962
Environmental,697.9997,63.6596,-12.4889,56.2476,147.4765
Environmental,894.585,217.2122,-6.079,60.0637,418.9569
Environmental,735.2493,388.3615,3.7938,49.453,97.8959
Environmental,810.5672,213.0989,-12.364,105.6027,356.6219
Environmental,480.3256,123.2335,-9.1801,27.9647,215.249
Environmental,424.3075,13.2072,39.2813,62.8816,500.0
Environmental,457.0145,173.3705,13.201,55.3776,300.6803
Environmental,641.4425,346.1998,37.9026,49.1298,58.2053
Environmental,841.8955,76.7545,11.0194,28.4927,201.3894
Environmental,549.4191,174.5109,45.5006,43.1807,33.6083
Environmental,704.536,22.3421,-9.5347,75.2888,142.8198
Environmental,862.5025,362.1263,15.7468,80.3773,163.3676
Environmental,486.752,444.4213,13.1188,56.0114,423.1209
Environmental,920.1146,296.0851,44.6019,97.7423,408.308
Environmental,984.6214,5.1654,1.4095,59.9702,5.9463
Environmental,324.9951,116.7247,37.568,59.1362,248.5336
Environmental,325.1443,205.2949,13.8394,116.4544,111.1942
Environmental,354.9219,294.4325,26.3491,83.9254,166.5559
Environmental,843.2871,245.7647,43.3308,128.6929,10.696
Environmental,422.0422,450.712,46.7652,62.6868,367.8709
Environmental,784.8163,479.0421,27.9417,118.529,468.8019
Environmental,580.8605,63.8614,-4.6604,109.6801,121.7151
Environmental,899.5732,79.8857,-6.1901,128.3806,172.4684
Environmental,871.3834,182.8249,-6.5464,132.8284,111.6628
Environmental,975.623,198.2916,-20.2634,27.449,474.4512
Environmental,478.0835,289.7436,-25.9661,30.1125,0.2207
Environmental,452.8033,396.6387,16.0079,96.869,281.915
Environmental,333.1763,77.8107,35.4009,70.6227,441.8428
Environmental,562.9414,413.2868,-27.5577,120.0432,84.5814
Environmental,592.1669,308.1551,14.4448,22.4188,289.0933
Environmental,972.3366,488.623,-1.7399,115.7926,26.3604
Environmental,883.3655,305.9291,44.9029,36.339,404.7807
Environmental,404.3766,366.6722,-17.0998,49.6253,114.0746
Environmental,836.6359,96.613,14.4628,135.6389,482.0307
Environmental,433.0788,371.8932,49.7078,32.0881,471.0922
Environmental,348.6755,47.2604,-1.5598,59.5944,365.4452
Environmental,895.6752,342.4608,29.4038,30.5677,255.7484
Environmental,1000.0,36.4592,38.9496,118.3888,375.1785
Environmental,339.2328,64.3621,-16.4276,103.1123,54.1865
Environmental,872.7339,63.2672,50.0,113.004,162.3204
Environmental,904.9432,0.0,35.9545,84.2991,26.4129
Environmental,393.5509,177.7811,-21.1916,63.4444,313.7854
Environmental,490.8097,489.2589,-5.7815,20.0,412.9465
Environmental,814.3441,167.0727,21.0855,53.5632,463.3787
Environmental,875.6825,375.6769,42.5733,82.0435,326.884
Environmental,553.9104,62.5909,-13.5901,100.1433,371.9041
Environmental,433.7758,242.2496,27.7663,49.5219,438.1785
Environmental,741.6828,97.9962,-7.9706,40.4242,456.087
Environmental,794.2764,89.2635,34.0961,42.7206,233.7636
Environmental,651.3175,44.5735,25.2866,61.7539,51.4154
Environmental,398.5675,240.9658,14.1977,37.3896,216.2024
