Application,pH,Molarity_M,Conductivity_uS_per_cm,ReactionRate_per_s,Turbidity_NTU
Chemistry,11.688,4.0091,6671.8275,55.7834,614.7084
Chemistry,9.8377,1.2347,443.1726,10.7266,561.9658
Chemistry,13.4164,3.7025,17982.8032,56.2823,263.0438
Chemistry,9.278,3.5681,3062.2357,32.8399,207.0427
Chemistry,13.3238,1.7358,10936.8183,79.4507,128.0523
Chemistry,7.9548,2.743,4710.693,75.5959,857.2078
Chemistry,8.1568,0.6102,2018.752,92.7149,636.7872
Chemistry,13.4479,2.1399,824.8535,1.2751,163.0744
Chemistry,8.9274,4.4167,2909.3627,77.3939,197.7506
Chemistry,0.51,2.056,1938.7143,93.344,860.0782
Chemistry,10.0904,4.1637,14810.7585,76.9857,749.9799
Chemistry,12.798,3.0535,10124.6,13.1787,649.2012
Chemistry,11.6318,1.0328,6597.2648,10.9964,410.5075
Chemistry,8.0315,3.0434,7620.698,0.0001,279.8131
Chemistry,8.918,2.4309,18409.0954,61.2741,954.9105
Chemistry,14.0,1.9589,18374.0913,61.8619,783.6415
Chemistry,1.7406,0.6741,14128.4349,97.9281,305.4785
Chemistry,9.4514,2.1284,17570.8282,41.2846,895.5965
Chemistry,3.663,0.5171,6850.387,32.8436,741.6682
Chemistry,8.9266,0.536,7664.7841,63.2741,337.8832
Chemistry,8.1935,2.2644,11936.9243,81.3093,466.6413
Chemistry,2.3284,1.581,12753.3311,94.1372,184.0072
Chemistry,2.5161,4.7339,9713.067,81.868,105.0894
Chemistry,8.6188,1.8462,7004.515,41.2029,708.9207
Chemistry,1.514,3.7907,19894.9474,65.0542,266.1478
Chemistry,3.748,2.7424,16579.204,85.7347,791.925
Chemistry,11.5909,3.6818,8707.6524,51.1519,994.0839
Chemistry,4.6288,1.3736,14902.5298,21.2659,106.5574
Chemistry,6.8391,4.7012,5122.2764,17.7349,460.8134
Chemistry,12.8997,2.7882,2137.9864,0.0001,797.2481
Chemistry,3.3556,3.9374,6421.8368,71.6314,754.9281
Chemistry,5.4411,1.6831,8222.2922,11.6277,767.4784
Chemistry,8.2136,0.5693,1111.9664,25.4576,354.2846
Chemistry,11.2022,3.37,15897.8975,27.2886,455.1273
Chemistry,12.7565,0.0994,6879.9472,58.9053,590.6318
Chemistry,12.7737,2.383,11324.3571,36.0765,968.0854
Chemistry,11.2692,1.0212,1531.263,66.0978,337.5853
Chemistry,3.7123,3.0555,3074.7221,5.3754,922.5676
Chemistry,0.3066,4.9541,17962.3735,13.2187,275.6564
Chemistry,5.4701,2.4215,12512.4865,53.0735,993.3741
Chemistry,1.705,4.2096,19219.4199,29.98,692.7322
Chemistry,9.9042,2.7403,19267.6345,28.566,477.0514
Chemistry,9.2001,2.5037,7835.2694,2.4492,617.2477
Chemistry,0.6674,4.6795,6351.0082,89.6352,302.8996
Chemistry,11.8055,4.2975,17499.1857,69.7253,282.5792
Chemistry,3.6392,3.8759,20000.0,15.3435,139.6538
Chemistry,6.1177,1.462,12680.9004,6.746,126.1891
Chemistry,9.0121,2.8301,16315.7702,99.5753,310.8334
Chemistry,5.7491,1.0585,16404.3226,69.285,788.9522
Chemistry,6.025,2.2993,6725.578,40.8752,610.6747
Chemistry,0.8398,2.421,11916.6578,67.3552,101.5455
Chemistry,5.9144,4.1405,16626.652,76.1832,857.8635
Chemistry,10.3822,4.505,13710.4083,75.012,594.468
Chemistry,12.7124,2.034,0.0,50.3782,965.3962
Chemistry,6.0558,0.0457,6620.1976,42.6642,658.3479
Chemistry,5.8462,4.1384,2490.6079,3.4933,200.6603
Chemistry,9.9657,0.8467,4473.9025,91.6953,471.5116
Chemistry,13.1597,3.0615,17670.515,60.8685,640.8459
Chemistry,3.8108,0.0734,558.3024,20.7342,9.7662
Chemistry,6.098,2.0393,4233.5701,91.8703,20.2858
Chemistry,11.3304,4.9957,6230.089,90.6279,133.1451
Chemistry,8.1031,0.5268,11691.7815,99.7033,259.4329
Chemistry,1.4465,2.2181,10103.8265,85.5533,409.0041
Chemistry,8.8713,1.5934,4510.1554,97.3596,455.4168
Chemistry,2.7639,4.4959,2965.8461,26.9543,150.5394
Chemistry,7.561,4.3004,5165.7726,85.6793,703.0844
Chemistry,7.298,1.2199,10140.7004,82.4346,575.611
Chemistry,12.6811,0.4634,5666.2606,26.4244,326.2529
